date,open,high,low,close,volume
2025-03-14,18.9311,19.2032,18.7435,19.2032,4348400
2025-03-17,19.2032,19.494,19.1844,19.2407,3538200
2025-03-18,19.0064,19.2582,18.9878,19.0904,6540600
2025-03-19,19.053,19.2302,18.9038,19.053,3322400
2025-03-20,19.081,19.4074,18.7266,18.9784,6807400
2025-03-21,18.9225,19.0157,18.6054,18.68,7429700
2025-03-24,18.7453,19.0997,18.6986,19.0717,3344700
2025-03-25,19.0624,19.0624,18.6893,18.8012,4378500
2025-03-26,18.8385,19.0064,18.7639,18.9411,3661300
2025-03-27,18.9878,19.137,18.8106,18.8572,3573500
2025-03-28,19.0157,19.0157,18.6334,18.8292,3458500
2025-03-31,18.9505,19.0251,18.652,18.8572,6085400
2025-04-01,18.9878,19.0251,18.4375,18.6707,4656800
2025-04-02,18.5961,18.7266,18.4935,18.708,3408500
2025-04-03,18.624,18.7453,18.1111,18.1484,4953400
2025-04-04,17.9619,18.0272,17.1412,17.1878,6635600
2025-04-07,16.6656,17.4956,16.3765,16.9733,11850100
2025-04-08,17.3837,17.6728,16.563,16.7775,10504300
2025-04-09,16.4604,17.6262,16.162,17.3837,9153900
2025-04-10,17.2531,17.3837,16.4791,16.9454,5594600
2025-04-11,16.7961,16.936,16.2739,16.936,8020200
2025-04-14,17.02,17.5982,16.9827,17.449,6743800
2025-04-15,17.4863,17.5795,17.4117,17.5049,4363100
2025-04-16,17.5609,17.6914,17.2345,17.3277,5320200
2025-04-17,17.414,17.7703,17.3765,17.5828,4277200
2025-04-21,17.3671,17.5734,17.0764,17.3015,4307000
2025-04-22,17.5453,17.7235,17.414,17.6391,5477600
2025-04-23,17.7985,18.0986,17.5078,17.6484,4721800
2025-04-24,17.5922,17.8641,17.5922,17.6391,5285900
2025-04-25,17.6391,17.6578,16.495,16.7201,11084800
2025-04-28,16.6826,16.7294,16.4387,16.645,6635600
2025-04-29,16.7201,16.8232,16.3825,16.6544,8170200
2025-04-30,16.5888,16.8138,16.4106,16.7294,7753800
2025-05-01,16.7763,16.8889,16.6169,16.6732,4502200
2025-05-02,16.842,17.0108,16.6451,16.7013,5480400
2025-05-05,16.5982,16.7576,16.4763,16.4856,5386000
2025-05-06,16.4575,16.6826,16.3075,16.3543,5056800
2025-05-07,16.2887,16.42,16.1387,16.1762,9862900
2025-05-08,16.2418,16.4763,16.1387,16.3075,7054200
2025-05-09,16.3075,16.5044,16.2793,16.3825,4245600
2025-05-12,16.495,16.5888,16.2512,16.4575,7264800
2025-05-13,16.4575,16.5044,16.0824,16.1762,6254100
2025-05-14,16.1012,16.1012,15.848,15.9136,6808300
2025-05-15,15.9699,16.2418,15.8855,16.2324,8330200
2025-05-16,16.2981,16.6263,16.2324,16.6263,7607200
2025-05-19,16.449,16.7225,16.449,16.7131,5908700
2025-05-20,16.581,16.7602,16.4867,16.4961,7367000
2025-05-21,16.4301,16.4773,15.8642,15.8736,9504700
2025-05-22,15.8736,15.9585,15.6944,15.8642,5683000
2025-05-23,15.8265,15.9585,15.7227,15.8831,5878300
2025-05-27,16.0057,16.4207,15.9868,16.3641,6536300
2025-05-28,16.449,16.4584,16.1472,16.4207,10147000
2025-05-29,16.4678,16.6659,16.2698,16.5244,6771800
2025-05-30,16.4301,16.5433,16.3358,16.4207,9932400
2025-06-02,16.3169,16.4395,16.166,16.4207,4933900
2025-06-03,16.3924,16.3924,15.9491,16.1755,6344600
2025-06-04,16.2226,16.2415,16.0811,16.1283,4165700
2025-06-05,16.0906,16.2886,15.9491,16.1094,5474500
2025-06-06,16.2603,16.3075,16.1472,16.2792,4569400
2025-06-09,16.3075,16.4867,16.1472,16.2886,4366300
2025-06-10,16.3075,16.6659,16.2698,16.5999,5181500
2025-06-11,16.647,16.7414,16.4207,16.515,4769100
2025-06-12,16.5056,16.5527,16.3735,16.5056,4496900
2025-06-13,16.3547,16.4867,16.2698,16.3924,4890000
2025-06-16,16.4607,16.5745,16.214,16.2615,5171100
2025-06-17,16.214,16.3184,16.0812,16.1381,4495400
2025-06-18,16.214,16.3943,16.0907,16.1761,5384400
2025-06-20,16.2425,16.4702,16.214,16.2235,10740400
2025-06-23,16.2615,16.622,16.252,16.5935,6258000
2025-06-24,16.5271,16.7358,16.5271,16.5935,7394500
2025-06-25,16.5461,16.584,16.2899,16.4227,10403700
2025-06-26,16.4797,16.6125,16.4133,16.584,7602500
2025-06-27,16.603,16.6884,16.3563,16.4702,9421000
2025-06-30,16.4797,16.622,16.214,16.6125,7523300
2025-07-01,16.5366,17.2102,16.5366,16.9635,8679600
2025-07-02,16.8592,17.4189,16.8592,17.3715,9219300
2025-07-03,17.3241,17.5328,17.2576,17.2861,5546800
2025-07-07,17.381,17.381,16.9066,17.0584,6445100
2025-07-08,17.011,17.343,16.9161,17.2766,5116700
2025-07-09,17.3335,17.3905,17.2481,17.324,5035500
2025-07-10,17.3241,17.7415,17.2766,17.5897,6325400
2025-07-11,17.4569,17.5707,17.3525,17.5043,5349100
2025-07-14,17.4664,17.6182,17.4379,17.5897,5492200
2025-07-15,17.6466,17.6466,17.2197,17.2956,4857900
2025-07-16,17.3715,17.5612,17.1723,17.324,4948700
2025-07-17,17.3525,17.5043,17.2671,17.4189,5104100
2025-07-18,17.459,17.5639,17.3636,17.4781,4445200
2025-07-21,17.5639,17.688,17.4781,17.5544,4484400
2025-07-22,17.5735,18.1268,17.5735,18.1173,6362500
2025-07-23,18.1173,18.2508,18.0791,18.1745,6819800
2025-07-24,18.1268,18.2509,18.0028,18.0028,6248000
2025-07-25,17.5449,17.5449,16.6767,16.7912,16253200
2025-07-28,16.8198,16.8293,16.4191,16.4668,13634000
2025-07-29,16.3141,16.6099,16.1997,16.5717,11866200
2025-07-30,16.6004,16.9438,16.3428,16.4286,10665500
2025-07-31,16.3523,16.4095,16.1138,16.1615,10396300
2025-08-01,16.3046,16.4668,15.9516,15.9993,12918400
2025-08-04,16.0566,16.171,15.9325,16.1233,9180400
2025-08-05,16.1997,16.4286,16.1233,16.4,6476600
2025-08-06,16.4573,16.4763,16.0279,16.0756,7309200
2025-08-07,16.1901,16.2951,16.0375,16.1806,4854000
2025-08-08,16.1806,16.3046,16.0566,16.1806,7199500
2025-08-11,16.2187,16.3046,15.9516,15.9993,5985600
2025-08-12,16.0852,16.2283,15.8657,16.2187,8526400
2025-08-13,16.2569,16.3618,16.0852,16.3523,7554300
2025-08-14,16.171,16.3809,16.1043,16.2569,5526100
2025-08-15,16.2664,16.5527,16.2378,16.5145,6202200
2025-08-18,16.5548,16.6412,16.3533,16.3725,5136600
2025-08-19,16.4684,16.6508,16.3533,16.526,6258700
2025-08-20,16.4876,16.7467,16.3725,16.526,9673200
2025-08-21,16.4204,16.6124,16.4012,16.5836,5651300
2025-08-22,16.6796,17.1786,16.6796,17.0346,8698800
2025-08-25,17.0634,17.0922,16.8907,16.9387,6117900
2025-08-26,16.8907,16.9387,16.6604,16.8235,9520000
2025-08-27,16.8619,17.1978,16.8427,17.1786,5569300
2025-08-28,17.2554,17.2746,16.9579,17.1402,4611700
2025-08-29,17.1498,17.2554,17.0922,17.217,5435900
2025-09-02,17.1402,17.2554,17.0826,17.2266,5553900
2025-09-03,17.1402,17.3322,16.9963,17.0155,5895100
2025-09-04,17.1018,17.2938,16.9963,17.2746,4876000
2025-09-05,17.4281,17.6776,17.3418,17.6489,5903800
2025-09-08,17.5049,17.7544,17.4185,17.5625,8335700
2025-09-09,17.5625,17.6968,17.217,17.3322,6425200
2025-09-10,17.2266,17.4089,17.217,17.2266,5570300
2025-09-11,17.2074,17.4473,17.169,17.4089,6798600
2025-09-12,17.4185,17.4665,17.3034,17.3514,4343400
2025-09-15,17.5337,17.5721,17.3897,17.5145,5982800
2025-09-16,17.4857,17.5721,17.3705,17.4953,6803600
2025-09-17,17.5625,17.812,17.4665,17.4761,6730100
2025-09-18,17.5433,17.8984,17.3897,17.8216,5266500
2025-09-19,17.8814,18.0262,17.756,17.8235,18093700
2025-09-22,17.756,17.9104,17.4858,17.8525,7251500
2025-09-23,17.8814,18.2867,17.8332,18.2288,7008500
2025-09-24,18.1709,18.1709,17.8911,17.9972,5778600
2025-09-25,18.0069,18.0262,17.8621,17.8911,6464900
2025-09-26,17.9683,18.3157,17.9586,18.2771,7739100
2025-09-29,18.2867,18.6052,18.2578,18.3446,6897700
2025-09-30,18.4122,18.528,18.2674,18.4797,6917600
2025-10-01,18.4025,18.5666,18.3446,18.5087,5571400
2025-10-02,18.4797,18.5376,18.306,18.5087,5134300
2025-10-03,18.6148,18.9912,18.5859,18.692,5611800
2025-10-06,18.7113,18.7982,18.5569,18.5666,5176200
2025-10-07,18.5762,18.6824,18.4122,18.4701,5600300
2025-10-08,18.4411,18.4508,18.1323,18.1902,7071400
2025-10-09,18.2385,18.3253,17.7946,17.8042,12931600
2025-10-10,17.8139,17.8428,17.37,17.4182,13971400
2025-10-13,17.4279,17.5244,17.2059,17.3314,12586500
2025-10-14,17.177,17.5437,16.8971,17.5051,19292100
2025-10-15,17.5823,17.9007,17.563,17.8621,20475100
2025-10-16,17.949,18.113,17.756,17.8042,25954500
2025-10-17,17.8062,18.0876,17.7965,18.0002,7618400
2025-10-20,18.1167,18.2428,18.0585,18.1652,4308800
2025-10-21,18.1943,18.2331,17.9905,18.0294,4811400
2025-10-22,18.0488,18.1943,17.942,18.0682,6196000
2025-10-23,18.1264,18.1264,17.845,17.9905,7319100
2025-10-24,18.1652,18.7668,17.9517,18.204,9408700
2025-10-27,18.1943,18.7183,18.0682,18.4951,9167300
2025-10-28,18.3011,18.3593,17.3598,17.4957,13474800
2025-10-29,17.3695,17.5345,16.9134,17.059,8897400
2025-10-30,17.0008,17.3792,16.9814,17.0493,9628600
2025-10-31,17.0299,17.5151,16.8746,17.418,9652600
