date,open,high,low,close,volume
2025-03-14,177.3989,179.5159,175.4897,179.1894,1003000
2025-03-17,178.2892,181.9197,178.2595,180.9898,964500
2025-03-18,180.0105,180.8315,177.6264,178.8333,724300
2025-03-19,179.1202,181.7021,178.675,180.3073,746800
2025-03-20,178.398,180.9305,178.0716,179.3477,835300
2025-03-21,178.0617,179.3972,175.7172,177.7056,1244200
2025-03-24,180.7128,183.8982,180.2776,183.5124,773600
2025-03-25,184.1356,185.6293,182.3846,183.7399,757300
2025-03-26,183.819,184.9468,179.6445,180.2875,1020700
2025-03-27,179.8423,179.8423,176.4789,177.2209,779400
2025-03-28,177.211,178.3288,172.4231,172.7693,608900
2025-03-31,170.405,175.1237,167.5758,173.7882,1332200
2025-04-01,173.0067,175.5886,171.5328,174.5697,877600
2025-04-02,172.2253,177.5671,170.9096,177.0923,870700
2025-04-03,168.0705,170.4347,160.483,160.9777,1320600
2025-04-04,156.259,156.7339,148.9783,151.8965,1607800
2025-04-07,146.4755,156.536,141.4997,149.8389,2442000
2025-04-08,155.6061,157.3571,147.0889,149.5125,1465800
2025-04-09,147.9198,166.1316,146.7129,164.074,3360500
2025-04-10,159.1476,160.5721,152.7176,157.8418,1461600
2025-04-11,157.4857,161.8878,156.2986,160.3643,1590100
2025-04-14,161.5415,163.5892,159.6818,161.8977,1254700
2025-04-15,161.6207,163.7574,160.7798,161.5217,698100
2025-04-16,160.2555,162.7682,157.9803,160.216,1220000
2025-04-17,160.6512,162.0362,158.8904,159.3454,3019100
2025-04-21,158.2177,158.2177,153.7761,156.3184,1111500
2025-04-22,158.5244,162.5703,156.724,161.7987,1438600
2025-04-23,167.3978,170.4248,163.332,164.5587,2070300
2025-04-24,158.2573,168.7431,156.4371,167.8924,2581900
2025-04-25,167.6352,169.5444,166.9032,167.19,1122800
2025-04-28,167.6055,170.7513,167.2989,168.4958,1071600
2025-04-29,167.1802,169.5642,166.6954,168.387,1508100
2025-04-30,166.5174,169.5048,164.3806,168.8124,1481800
2025-05-01,170.1874,170.9491,167.8528,167.9814,1270100
2025-05-02,170.8898,172.5121,169.5048,171.9977,1408900
