date,open,high,low,close,volume
2025-03-14,34.4487,34.8233,34.3363,34.6267,5991200
2025-03-17,34.6641,35.39,34.6641,35.1324,5097100
2025-03-18,35.3759,35.404,34.9545,35.2261,4866000
2025-03-19,35.1231,35.3291,34.6922,34.8327,5525100
2025-03-20,34.43,34.6547,34.1864,34.2895,5406300
2025-03-21,33.9523,34.0506,33.5439,33.8774,13257700
2025-03-24,34.2145,34.5218,33.69,33.9898,6797400
2025-03-25,33.9898,34.0178,32.9923,33.0812,7218000
2025-03-26,33.0344,33.5121,32.9033,33.3248,5801600
2025-03-27,32.7815,33.1562,32.4162,33.0063,6911900
2025-03-28,32.8377,32.9876,31.962,32.1821,6913700
2025-03-31,31.9573,32.9782,31.7793,32.7066,8477200
2025-04-01,32.2945,32.5614,31.9329,32.4162,6446000
2025-04-02,32.1446,32.9407,32.1259,32.6785,5146700
2025-04-03,31.3579,31.5077,29.391,29.4659,18080900
2025-04-04,28.2951,28.5106,26.2674,26.4125,18677500
2025-04-07,25.4947,27.4334,24.6592,25.7756,19652900
2025-04-08,27.1618,27.1618,23.7151,24.174,17050500
2025-04-09,23.7432,28.2296,23.4716,27.9673,19876900
2025-04-10,26.9745,26.9932,24.9327,25.5602,15213200
2025-04-11,25.298,26.7029,24.7922,26.628,11189100
2025-04-14,27.3023,27.5833,26.4687,27.0494,10448500
2025-04-15,26.2908,26.937,25.9302,25.9442,12375800
2025-04-16,25.9442,26.3938,25.4993,25.7288,8672400
2025-04-17,25.9723,26.6092,25.9723,26.3657,8474900
2025-04-21,26.3844,26.5437,25.9536,26.3376,7745100
2025-04-22,26.731,27.4896,26.6935,27.1618,8488300
2025-04-23,28.1546,28.8009,26.9136,27.1618,10727000
2025-04-24,26.7123,28.2661,26.272,27.8737,13069300
2025-04-25,27.4803,28.1734,27.2742,28.1172,12991600
2025-04-28,28.3326,28.9789,27.8268,28.0516,9347200
2025-04-29,27.9111,28.7681,27.883,28.7072,9498800
2025-04-30,28.2998,28.6979,27.8737,28.651,11306100
2025-05-01,28.7353,28.8899,28.3513,28.5949,7009600
2025-05-02,28.9039,29.0913,28.2951,28.4918,8619400
2025-05-05,28.0095,28.0984,27.0869,27.115,9061700
2025-05-06,27.0588,27.4241,26.8153,26.9745,7691300
2025-05-07,27.1618,27.2649,26.4828,26.6467,8814500
2025-05-08,26.9183,27.8549,26.8424,27.3866,7787000
2025-05-09,27.5833,27.8737,27.3538,27.6114,8162800
2025-05-12,29.6439,30.337,28.9789,29.0163,11832500
2025-05-13,28.9695,29.2411,28.6604,28.8196,8502800
2025-05-14,28.7353,28.8196,28.1453,28.2577,6434900
2025-05-15,27.9111,28.06,27.5318,28.0048,6481000
2025-05-16,27.9954,28.3747,27.6582,28.2764,5872600
2025-05-19,27.7706,28.3045,27.5412,28.2015,5937100
2025-05-20,28.2296,28.3663,27.8287,27.9018,5576400
2025-05-21,27.6395,27.7894,26.8715,26.9277,8938600
2025-05-22,26.731,27.0167,26.5249,26.8527,6885100
2025-05-23,26.3657,26.6654,26.1409,26.5249,7095200
2025-05-27,27.0213,27.1993,26.8715,27.0869,8763100
2025-05-28,27.1618,27.2461,26.4687,26.5437,7731600
2025-05-29,27.012,27.2461,26.4125,26.9651,10227600
2025-05-30,26.8355,26.9171,26.3316,26.6292,13965300
2025-06-02,26.5524,26.6196,25.7786,26.1108,12390500
2025-06-03,26.1108,26.9315,25.4292,26.6772,10557600
2025-06-04,26.7348,27.1955,26.5812,27.1475,8844700
2025-06-05,27.3683,27.4595,26.8307,27.0515,8634700
2025-06-06,27.2147,27.6899,27.1715,27.4067,6728400
2025-06-09,27.6467,28.6019,27.6275,28.2131,11394400
2025-06-10,28.4915,29.6482,28.3667,29.4706,10985100
2025-06-11,29.8162,29.9314,29.0626,29.4514,7842300
2025-06-12,29.0002,29.2306,28.7507,28.933,6817200
2025-06-13,28.7219,29.7778,28.5971,28.7027,10271600
2025-06-16,29.125,29.3458,28.6835,29.3458,10658500
2025-06-17,29.2306,29.3842,28.2467,28.2611,8850700
2025-06-18,28.1651,28.2419,27.3395,27.3587,12211600
2025-06-20,27.3731,27.4643,26.418,26.6484,22583000
2025-06-23,26.1108,26.5188,25.5444,25.794,17264100
2025-06-24,26.1588,26.752,25.9572,26.4276,19116200
2025-06-25,26.4276,26.4468,25.746,25.746,15726100
2025-06-26,26.0148,26.4468,25.9188,26.0628,13857800
2025-06-27,26.3028,26.6484,25.6692,25.9188,18629400
2025-06-30,25.8228,25.842,25.3236,25.4196,11746900
2025-07-01,25.3716,27.3078,25.314,26.7156,21426600
2025-07-02,27.0227,27.5795,26.4948,27.5795,14120500
2025-07-03,27.5219,27.6275,27.2339,27.3203,5950000
2025-07-07,26.8883,27.3395,26.0004,26.3796,13061900
2025-07-08,26.6004,28.4195,26.562,27.8963,18326600
2025-07-09,28.1891,29.1154,28.0307,28.6451,15427600
2025-07-10,28.5107,29.6885,28.4003,29.0194,12068000
2025-07-11,28.4339,28.6259,27.9539,28.3667,12318800
2025-07-14,28.0787,28.2227,26.9459,27.1187,13284400
2025-07-15,27.5219,27.6899,26.8211,26.8691,9162900
