date,open,high,low,close,volume
2025-03-14,114.1191,116.2825,113.5203,116.012,5709900
2025-03-17,115.5678,117.3159,114.9786,116.6784,7126500
2025-03-18,115.732,116.9295,115.5967,116.6301,4384800
2025-03-19,116.3887,116.746,114.6116,115.2297,4220600
2025-03-20,115.5002,116.1473,115.0366,116.0507,4343900
2025-03-21,115.8768,116.775,114.3315,115.0269,5850300
2025-03-24,114.7758,115.7126,113.9742,114.1094,3904700
2025-03-25,114.0611,114.1867,110.9899,112.1102,5551600
2025-03-26,112.3227,113.3175,112.1102,113.105,3095900
2025-03-27,113.839,114.1867,113.105,113.6265,2833500
2025-03-28,114.6213,115.8575,113.6168,115.3263,3941400
2025-03-31,116.1859,118.3106,116.0603,117.7988,6465600
2025-04-01,117.8664,117.8664,116.466,116.9296,2934100
2025-04-02,116.9199,117.2386,115.7996,116.2728,2541700
2025-04-03,118.7935,120.4064,117.4704,119.8076,7427100
2025-04-04,120.7251,120.9859,113.8293,114.8627,8332600
2025-04-07,113.6941,116.2052,111.7528,112.8635,7214800
2025-04-08,114.1287,114.3122,110.7774,111.9846,4976200
2025-04-09,110.8257,113.81,108.2373,112.3323,7414700
2025-04-10,112.3323,113.9645,110.7001,112.8442,6360400
2025-04-11,112.8828,115.2491,111.5693,114.8724,6054400
2025-04-14,114.6309,117.0454,114.0321,116.4756,3226200
2025-04-15,116.9296,117.5863,116.2245,116.3694,2340900
2025-04-16,117.3352,117.8084,115.9637,116.2342,2506800
2025-04-17,116.804,119.3247,116.379,117.6346,3409800
2025-04-21,117.4221,117.7795,114.9207,116.0603,3076200
2025-04-22,117.2289,118.6873,116.379,118.3396,3522600
2025-04-23,117.0648,117.9437,115.9348,117.2676,4036000
2025-04-24,117.0068,117.3642,116.0603,116.5722,3199000
2025-04-25,116.6398,117.1227,115.336,115.7513,2717200
2025-04-28,115.8865,116.746,115.1042,116.5432,2119800
2025-04-29,116.1762,117.7408,115.2877,117.538,2323600
2025-04-30,118.1658,118.2141,116.5336,117.8471,2999000
2025-05-01,117.6346,118.1851,116.5529,117.1807,2609900
2025-05-02,117.2193,117.8277,116.4177,117.4221,2720100
2025-05-05,117.9436,117.9823,116.1279,116.6205,3875200
2025-05-06,117.8374,119.9235,117.3642,118.7356,3959100
2025-05-07,118.3589,119.1509,117.509,118.4072,3466700
2025-05-08,117.8471,118.2527,115.7223,115.8961,3571300
2025-05-09,116.1279,116.3694,115.2877,116.2149,3036900
2025-05-12,114.94,116.2052,111.5017,111.8881,5661200
2025-05-13,112.0136,112.0716,109.1838,109.2031,7359400
