date,open,high,low,close,volume
2025-03-14,141.98,145.12,140.35,143.45,759400
2025-03-17,143.0,150.86,143.0,149.24,1121900
2025-03-18,149.35,150.46,148.29,149.37,673900
2025-03-19,148.95,150.53,148.95,149.83,961100
2025-03-20,149.77,151.15,148.62,149.01,882400
2025-03-21,148.24,149.76,147.19,148.15,1037200
2025-03-24,149.32,150.93,148.41,150.41,704900
2025-03-25,150.72,152.01,149.09,150.78,662300
2025-03-26,151.3,153.42,149.95,151.37,574000
2025-03-27,151.82,153.31,150.3,152.5,410700
2025-03-28,152.57,152.85,149.87,150.22,614900
2025-03-31,149.85,153.94,149.37,152.97,661300
2025-04-01,152.97,153.5,150.53,151.91,718500
2025-04-02,150.17,155.0,150.17,154.29,710700
2025-04-03,152.35,156.01,151.74,153.73,882400
2025-04-04,151.18,154.72,148.2,149.49,1009500
2025-04-07,146.02,151.83,143.68,146.61,1237100
2025-04-08,150.81,151.68,141.91,143.92,904700
2025-04-09,142.56,155.32,142.4,152.86,1171700
2025-04-10,152.03,154.52,148.04,153.36,683300
2025-04-11,153.0,157.12,151.84,155.51,581000
2025-04-14,154.91,154.91,147.81,150.88,1304700
2025-04-15,151.1,151.71,145.64,146.28,1126000
2025-04-16,147.04,147.47,141.35,141.5,1121800
2025-04-17,140.36,141.59,136.54,140.03,995000
2025-04-21,140.18,140.45,133.02,133.5,1184600
2025-04-22,134.63,135.13,132.63,134.97,948200
2025-04-23,136.66,140.28,136.66,138.93,917700
2025-04-24,139.14,140.73,137.98,139.56,648300
2025-04-25,139.98,139.98,137.46,139.56,600700
2025-04-28,140.73,142.36,138.93,140.5,587700
2025-04-29,140.55,142.57,139.05,141.54,611800
2025-04-30,141.18,141.87,139.15,141.55,744000
2025-05-01,140.64,142.43,138.67,140.44,643200
2025-05-02,142.5,142.5,139.35,141.13,575000
2025-05-05,141.07,142.91,140.15,141.57,420700
2025-05-06,141.22,144.28,140.66,142.62,828100
2025-05-07,142.74,144.23,142.54,143.96,674100
2025-05-08,144.0,145.8,142.8,143.63,569500
2025-05-09,143.59,144.42,142.76,143.76,664500
2025-05-12,146.5,147.1,142.5,144.43,1279600
2025-05-13,142.56,145.18,136.43,143.98,2167800
2025-05-14,144.18,144.43,139.56,139.9,1131000
2025-05-15,140.2,143.63,139.16,143.6,688100
2025-05-16,143.96,145.45,143.16,145.41,738900
2025-05-19,144.41,145.05,140.49,144.96,940300
2025-05-20,145.29,147.68,144.64,145.77,701800
2025-05-21,144.42,144.9,140.68,140.85,665200
2025-05-22,140.0,140.54,138.1,138.52,627400
2025-05-23,137.99,138.63,136.5,138.19,605500
2025-05-27,138.59,140.42,137.81,139.89,795000
2025-05-28,139.24,139.29,136.5,136.66,609200
2025-05-29,137.0,137.02,134.81,136.33,724000
2025-05-30,135.94,136.92,134.56,136.26,1163900
2025-06-02,135.67,136.49,133.9,134.41,775600
2025-06-03,134.0,136.03,132.57,135.99,995700
2025-06-04,136.31,138.17,136.04,136.75,721400
2025-06-05,136.9,139.39,136.67,137.74,948400
2025-06-06,138.11,139.78,137.46,137.9,590300
2025-06-09,138.01,138.48,135.16,137.78,566200
2025-06-10,138.15,140.02,137.27,139.11,576000
2025-06-11,139.07,140.6,137.24,138.17,634900
2025-06-12,138.14,138.29,135.84,137.35,852700
2025-06-13,136.12,137.99,134.64,136.12,826100
2025-06-16,136.51,137.89,134.95,137.84,646700
2025-06-17,136.58,137.5,135.79,136.51,848800
2025-06-18,136.27,138.26,135.26,135.79,833500
2025-06-20,136.04,136.98,135.07,136.94,1711200
2025-06-23,136.22,137.83,135.13,136.34,1017100
2025-06-24,137.28,141.79,136.04,140.95,733900
2025-06-25,140.54,141.33,139.63,140.36,607100
2025-06-26,141.26,143.01,139.82,141.09,949300
2025-06-27,141.42,143.64,140.3,141.67,1155000
2025-06-30,141.69,143.05,140.71,142.45,984600
2025-07-01,142.43,147.45,142.32,146.71,1234900
2025-07-02,145.66,145.99,142.56,142.56,831000
2025-07-03,142.86,144.06,141.84,142.56,600100
2025-07-07,142.73,143.89,141.6,142.81,718400
2025-07-08,142.2,145.88,141.89,143.8,826700
2025-07-09,145.08,145.08,139.55,141.84,810100
2025-07-10,141.17,144.19,140.81,143.46,734800
