date,open,high,low,close,volume
2025-03-14,137.5601,138.6355,137.2813,138.1178,3065500
2025-03-17,138.3866,142.7579,138.0082,142.2899,4510500
2025-03-18,141.5132,142.8176,140.9356,141.2642,2728400
2025-03-19,141.4136,142.1206,140.9755,141.3638,2527700
2025-03-20,140.8062,143.0864,140.5871,142.6384,2883700
2025-03-21,141.6626,144.6,141.3937,143.6839,9254800
2025-03-24,145.1576,145.2472,142.957,143.9328,2848100
2025-03-25,144.6597,145.8247,143.1561,143.883,2382000
2025-03-26,144.2614,145.7351,143.9527,144.5701,2218900
2025-03-27,144.3809,145.7849,143.7835,144.6796,2333000
2025-03-28,144.4904,145.1177,143.4847,143.6341,2423600
2025-03-31,143.5046,144.0622,142.4193,143.9029,4213500
2025-04-01,144.3809,145.2073,143.644,145.048,2278600
2025-04-02,144.3809,144.9783,142.6881,144.2514,2021900
2025-04-03,143.1163,146.4719,142.728,144.2315,4330500
2025-04-04,142.489,144.0722,134.4534,134.7621,4711800
2025-04-07,132.3923,136.1661,130.59,134.0452,5825100
2025-04-08,134.6825,136.2458,130.6,131.9641,3425700
2025-04-09,131.2771,139.9897,131.2472,135.9968,5410100
2025-04-10,135.5886,140.6867,134.8517,138.7948,3840900
2025-04-11,138.7948,142.8275,137.351,142.3197,3116900
2025-04-14,142.5487,145.5857,141.9015,144.8787,2600400
2025-04-15,145.0381,145.6654,143.8731,144.9883,2277500
2025-04-16,144.8688,145.1575,142.0807,142.3595,2215800
2025-04-17,142.6583,145.4662,142.3596,144.9883,1761900
2025-04-21,144.4008,144.4008,140.4378,141.324,2712300
2025-04-22,143.4847,146.1334,142.7678,145.2472,2361100
2025-04-23,145.4662,145.8446,142.2202,143.1163,2412000
2025-04-24,144.1817,145.994,142.7578,145.5658,2274700
2025-04-25,145.9442,146.6213,144.7991,145.9741,1836600
2025-04-28,146.0437,146.8105,144.8688,146.0935,2761800
2025-04-29,145.4961,146.5117,144.9982,145.3467,2233200
2025-04-30,144.8688,145.4264,142.8375,144.4705,2802000
2025-05-01,144.5601,146.3026,143.3652,144.4805,3328800
2025-05-02,148.3638,154.2585,147.2187,150.4548,5109200
2025-05-05,150.6839,154.6767,150.0765,154.0793,4308800
2025-05-06,152.1974,155.1049,151.6099,153.8802,3011800
2025-05-07,157.3353,160.0138,153.0139,154.836,5444600
2025-05-08,155.2045,156.0309,152.5459,154.9954,3982800
2025-05-09,155.0053,155.5331,152.4164,152.6454,2921700
2025-05-12,152.6853,153.1433,147.7564,148.6326,3736200
2025-05-13,147.5971,149.728,147.5971,148.4236,3582900
2025-05-14,147.4378,148.324,145.9044,146.6014,2759400
2025-05-15,147.1092,149.9769,146.9997,148.9314,3711000
2025-05-16,149.1504,151.0822,148.563,150.893,3934800
2025-05-19,149.0608,151.5601,148.4036,149.8375,4010100
2025-05-20,149.9769,151.2913,149.3297,151.2713,2171900
2025-05-21,150.0765,150.873,149.6682,149.8574,2880400
2025-05-22,150.5146,150.7635,145.8446,146.0039,4574500
2025-05-23,146.2429,147.2984,145.8347,146.2628,2108700
2025-05-27,146.91,147.3083,145.6156,146.2827,4489500
2025-05-28,146.522,147.4094,145.9537,146.4422,2280600
2025-05-29,146.4423,146.6616,140.7692,142.4143,3517100
2025-05-30,142.7632,143.6406,141.188,143.3515,5555200
2025-06-02,143.182,145.7643,143.0823,145.4452,3418100
2025-06-03,144.7972,145.8341,144.2388,145.8042,2863800
2025-06-04,145.6247,148.5061,145.2957,148.0176,2927900
2025-06-05,148.4562,148.526,146.4323,147.4393,2610200
2025-06-06,147.7284,150.4702,147.5589,149.1243,2783800
2025-06-09,148.5659,148.9946,145.5948,146.4821,3042700
2025-06-10,146.6117,147.5589,145.2658,146.7214,4231100
2025-06-11,146.5619,147.2698,145.1062,147.2399,1749600
2025-06-12,147.19,149.6327,146.8909,149.6028,1926200
2025-06-13,148.6058,149.8521,147.848,148.0375,1703900
2025-06-16,148.2469,150.7294,147.3495,150.6497,2621800
2025-06-17,150.5898,150.6198,149.0744,149.882,2251400
2025-06-18,150.3506,152.9727,149.9119,150.55,3227000
2025-06-20,151.2977,152.1751,149.4632,150.1113,6574500
2025-06-23,150.4902,154.0096,149.6826,153.9498,2752000
2025-06-24,156.1632,157.6388,154.8671,157.4792,3883000
2025-06-25,157.7584,158.576,156.9309,157.3497,2239100
2025-06-26,157.2699,157.6687,156.4723,157.2599,1455400
2025-06-27,157.22,158.1173,156.552,157.2699,2316500
2025-06-30,157.2699,159.4334,156.3925,159.224,2698400
2025-07-01,159.0546,160.5102,158.0874,158.586,3285400
2025-07-02,157.9379,158.6258,156.2928,156.562,2901500
2025-07-03,156.891,157.5191,153.1721,154.9069,1321200
2025-07-07,155.2559,155.6946,152.873,153.0724,2502800
2025-07-08,152.9229,153.6208,151.8959,152.1851,1710500
2025-07-09,152.6537,152.6537,150.859,152.2249,1845100
2025-07-10,151.4274,152.4543,150.4702,150.8491,1613100
2025-07-11,150.6895,150.8889,147.9278,148.2468,1840300
2025-07-14,148.6556,149.8421,147.5689,148.3864,2857000
2025-07-15,148.1571,148.8151,146.532,148.2967,2075900
2025-07-16,147.3894,149.6427,147.3894,148.9049,1889600
2025-07-17,148.5559,149.8919,148.1172,149.3835,1828400
2025-07-18,149.8421,151.4672,148.9148,149.6626,3850800
2025-07-21,149.852,153.1322,149.3436,152.9328,2758400
2025-07-22,154.3386,158.1772,153.9997,156.552,3204500
2025-07-23,156.1532,156.4324,152.8331,153.2718,2586300
2025-07-24,152.4343,153.5111,151.547,152.1851,2482500
2025-07-25,152.5041,152.7534,151.0285,151.2279,1450600
2025-07-28,150.55,152.4244,150.5201,151.537,2991300
2025-07-29,151.9558,152.8331,146.532,147.3495,3172200
2025-07-30,151.4473,158.895,150.4204,155.7943,6044500
2025-07-31,154.8172,155.7245,151.7464,152.0355,3641000
2025-08-01,152.3047,157.2798,151.0485,156.6118,4397000
2025-08-04,157.25,159.8422,155.904,159.2939,2745300
2025-08-05,161.2181,161.4075,158.6258,160.5102,2933200
2025-08-06,160.8193,162.584,159.1144,162.5142,2597800
2025-08-07,163.7605,163.8602,160.6697,162.265,2856300
2025-08-08,163.0028,167.26,162.7635,167.1404,4591300
2025-08-11,170.0617,176.0936,169.5931,175.5851,6125200
2025-08-12,175.7746,178.2671,173.8703,177.3798,3792700
2025-08-13,177.2601,179.304,176.4725,177.8683,3571100
2025-08-14,177.2801,180.3609,176.8514,178.4765,3751000
2025-08-15,178.5862,178.5862,172.4246,174.1494,3428800
2025-08-18,171.8164,172.8932,167.5791,168.6558,3600000
2025-08-19,168.1573,170.5801,166.9509,170.1713,2413500
2025-08-20,170.1813,171.9759,169.4933,170.8194,2289700
2025-08-21,170.2012,171.2381,169.5133,171.0387,1655800
2025-08-22,171.9161,172.5941,169.6828,170.8892,1707300
2025-08-25,171.0986,173.0328,170.4804,172.2451,1928800
2025-08-26,171.5173,172.7337,170.6798,171.7167,2594400
2025-08-27,172.2856,173.3836,171.3973,172.2757,2099800
2025-08-28,172.0361,173.4235,168.6924,170.6687,2628400
2025-08-29,170.9082,172.2157,170.3493,171.6269,2090000
2025-09-02,169.6805,172.9344,169.4809,171.1278,2359200
2025-09-03,170.6387,171.6369,167.1852,167.5446,2753100
2025-09-04,167.854,167.9737,165.2189,167.7142,3410800
2025-09-05,168.5227,169.0018,166.4666,168.3031,2205500
2025-09-08,169.1216,169.8103,166.8658,167.7442,1691100
2025-09-09,168.0037,168.0037,165.6481,165.728,2058700
2025-09-10,165.4984,170.0299,164.1909,169.95,2831900
2025-09-11,170.7685,170.9482,168.2133,169.5707,2411000
2025-09-12,169.2713,172.8146,168.6824,172.0561,1996200
2025-09-15,171.1977,172.3655,170.4092,171.4472,2042700
2025-09-16,171.6069,175.2301,170.6886,171.7566,3189200
2025-09-17,171.8964,173.9126,170.1896,173.2638,1883500
2025-09-18,172.605,174.4615,171.557,172.8446,2354800
2025-09-19,172.5252,174.3617,170.8683,172.7647,8449800
2025-09-22,173.3636,173.4634,171.3973,173.0941,2842900
2025-09-23,173.2837,174.9306,172.8945,173.7429,2158700
