date,open,high,low,close,volume
2025-03-14,248.4444,249.5926,245.376,248.4048,1944300
2025-03-17,247.2863,251.5525,246.8805,249.3155,1062600
2025-03-18,248.7183,251.1234,247.7385,251.0937,2636800
2025-03-19,251.0244,252.994,250.1336,251.5094,1780100
2025-03-20,250.3415,250.8759,247.8969,249.3518,1179700
2025-03-21,247.303,248.7184,244.6902,248.4214,3034100
2025-03-24,248.4214,250.9056,247.2931,250.0248,1470400
2025-03-25,250.8166,250.8166,247.4317,248.6194,1106900
2025-03-26,249.0153,250.8561,249.0153,249.7971,1192100
2025-03-27,250.2722,251.0442,248.4511,250.0842,884800
2025-03-28,251.3906,251.5193,246.6399,246.9467,775200
2025-03-31,246.917,251.836,246.1252,250.9155,1568100
2025-04-01,250.2326,252.0735,247.8969,251.6578,1085800
2025-04-02,249.7378,251.1333,248.5303,251.0541,1055900
2025-04-03,247.8177,254.914,246.9467,247.6692,1610800
2025-04-04,245.4424,248.6194,234.1199,235.3273,2595500
2025-04-07,233.2984,236.8119,224.0939,227.9638,2325700
2025-04-08,232.3582,233.8922,220.6101,223.3318,1952300
2025-04-09,219.9371,235.5748,219.3432,235.1096,1925000
2025-04-10,231.3783,233.6745,225.4301,230.161,1610900
2025-04-11,228.5576,234.4366,226.3802,232.9025,1347900
2025-04-14,235.5847,237.188,233.4073,236.1686,1051700
2025-04-15,235.5847,237.8017,234.5653,235.7331,1661400
2025-04-16,234.6444,236.4754,231.5565,233.5359,1868700
2025-04-17,235.743,238.3757,233.3578,236.2775,1409300
2025-04-21,235.644,235.8222,227.0334,229.1316,834100
2025-04-22,231.3288,234.8622,231.3288,234.3772,1397200
2025-04-23,237.8907,239.0289,233.5755,235.5055,1093600
2025-04-24,235.4263,237.8907,233.1994,237.2078,1030500
2025-04-25,236.6833,236.6833,233.5062,235.6935,900000
2025-04-28,236.9505,238.5143,234.0704,236.5744,1752900
2025-04-29,242.9779,245.2444,238.445,244.3734,1849900
2025-04-30,243.5124,249.9654,241.2855,248.847,2042900
2025-05-01,247.0952,252.3011,246.0263,250.0248,1770500
2025-05-02,253.0533,254.6369,252.2319,252.7564,1099400
2025-05-05,252.5981,253.9639,251.3114,252.4793,794500
2025-05-06,250.5593,252.6476,249.0747,250.0545,858200
2025-05-07,249.7675,252.4001,248.8668,251.7172,1323500
2025-05-08,251.9943,254.7458,250.4999,250.7968,1078600
2025-05-09,250.2128,250.7473,248.0453,250.0742,951200
2025-05-12,253.6472,255.6662,250.5889,251.8657,1975500
2025-05-13,251.4797,252.3506,248.6293,248.9163,1290900
2025-05-14,249.3023,250.4009,246.4816,247.5802,1043600
2025-05-15,248.6392,253.4195,247.1941,253.281,872000
2025-05-16,253.2117,256.4778,251.45,256.4283,1118200
2025-05-19,255.0427,258.962,253.9144,258.675,1132700
2025-05-20,257.329,259.7439,256.8044,259.6845,891700
2025-05-21,257.7545,259.9022,257.0122,258.2692,1200000
2025-05-22,257.8733,259.0115,256.171,256.9925,873600
