date,open,high,low,close,volume
2025-03-14,234.3974,236.2111,232.9108,233.8127,1017800
2025-03-17,235.7057,239.4717,235.2795,238.114,752400
2025-03-18,236.3102,236.3102,231.3053,233.5253,1012900
2025-03-19,235.1209,240.1754,234.5659,240.0961,1550000
2025-03-20,242.2566,243.7432,238.4212,241.2755,1342200
2025-03-21,240.5024,242.4746,237.2319,241.8205,1391100
2025-03-24,243.3171,245.656,241.1863,243.1684,1169400
2025-03-25,242.8413,243.6738,239.5312,241.1466,1411600
2025-03-26,240.9385,244.0603,238.1635,239.5708,731300
2025-03-27,239.7393,242.5143,238.2626,241.6322,621700
2025-03-28,241.7512,242.1872,237.7076,238.1833,664300
2025-03-31,239.9078,242.6134,236.3102,241.3845,737100
2025-04-01,241.3845,242.3557,238.1734,241.6818,733000
2025-04-02,239.8384,245.9533,238.8474,245.3587,908000
2025-04-03,240.0961,243.5549,229.2042,229.7295,1281300
2025-04-04,222.9903,224.3282,208.0152,208.1936,2944300
2025-04-07,206.0925,216.9943,200.4236,206.8259,2018700
2025-04-08,213.2381,214.6256,200.2056,203.6644,1305400
2025-04-09,199.3137,224.1102,198.1937,222.4353,1579600
2025-04-10,219.9675,219.9675,207.371,215.7852,1376400
2025-04-11,213.922,218.6097,208.5206,218.2728,1593600
2025-04-14,222.5443,224.5562,219.8882,222.3163,891600
2025-04-15,222.2965,225.9436,221.3153,223.5353,867500
2025-04-16,221.5829,223.9318,215.2005,217.3213,1269100
2025-04-17,216.9547,221.3946,214.9824,219.2738,1458600
2025-04-21,215.9438,219.4521,211.6425,213.367,1475900
2025-04-22,239.1149,246.5975,230.6512,242.8909,1994900
2025-04-23,246.657,253.1286,244.6748,247.0831,1372200
2025-04-24,249.4022,256.191,244.8136,254.9026,1185400
2025-04-25,255.6162,257.5091,251.9493,254.1891,1118400
2025-04-28,254.3179,256.7658,251.1068,254.0404,690900
2025-04-29,252.7818,256.8253,252.7421,256.3496,848800
2025-04-30,254.1098,258.4705,251.5231,257.8065,958600
2025-05-01,256.419,260.9085,254.417,258.2822,773600
2025-05-02,261.9392,264.2187,260.4923,261.9689,789000
2025-05-05,259.8382,263.9115,257.2614,260.0067,563300
2025-05-06,256.7857,261.7014,256.746,259.8382,596100
2025-05-07,259.2039,264.2881,259.2039,263.6835,749700
2025-05-08,266.0026,271.3643,264.7241,268.738,809800
2025-05-09,268.1037,268.5298,265.3485,267.4991,795200
2025-05-12,273.0094,274.833,270.6012,273.9014,750400
2025-05-13,277.499,277.499,270.0858,271.3148,887000
2025-05-14,270.6606,270.6606,267.0234,268.6487,708700
2025-05-15,269.6894,273.3464,268.2721,272.7022,652300
2025-05-16,273.386,276.4484,269.9173,276.1907,619200
2025-05-19,271.5625,278.5198,271.5625,278.0342,801000
2025-05-20,276.052,278.5099,263.6736,274.5456,1288500
2025-05-21,270.066,271.3147,255.1702,256.2108,2198200
2025-05-22,256.3,261.3842,253.7827,261.0572,1228500
2025-05-23,258.5152,261.4444,257.7407,260.3423,660000
2025-05-27,264.9892,265.9524,255.1094,256.569,1099900
2025-05-28,255.9832,262.1891,255.3676,260.2926,942000
2025-05-29,262.0799,262.1196,257.3336,261.1962,524900
2025-05-30,260.5805,263.6786,258.9422,262.3282,1046500
2025-06-02,259.1408,259.7266,255.1689,259.5677,575600
2025-06-03,259.5082,262.07,255.9931,261.6132,605800
2025-06-04,262.0203,266.6475,260.4614,265.1183,760600
2025-06-05,265.9226,270.1526,263.2019,264.324,852700
2025-06-06,265.3269,267.3724,264.0758,266.4191,659800
2025-06-09,267.422,268.8419,263.758,266.6276,630000
2025-06-10,269.3483,271.6718,268.2263,270.0037,632200
2025-06-11,270.0037,272.3967,268.2064,269.5866,726600
2025-06-12,269.2093,269.2093,265.1481,267.0744,609300
2025-06-13,262.5962,266.4489,261.7026,262.4275,663600
2025-06-16,263.4104,265.873,258.0386,265.5652,833100
2025-06-17,256.708,261.782,250.6212,254.1959,1454300
2025-06-18,254.3448,255.9037,251.5844,251.6042,840000
2025-06-20,252.21,255.3477,250.9092,253.898,1992200
2025-06-23,249.2509,253.6199,245.4579,253.2823,824200
2025-06-24,255.7449,260.5707,252.5674,259.9649,773400
2025-06-25,259.5677,260.3621,255.7647,256.2115,607100
2025-06-26,258.7138,259.528,252.9447,254.1462,715300
2025-06-27,254.5533,259.0911,242.7868,254.3349,1976700
2025-06-30,255.8144,258.1677,253.8285,257.5421,981500
2025-07-01,255.2484,262.9041,254.9704,262.0799,935500
2025-07-02,261.1962,261.8019,257.1946,260.521,625300
2025-07-03,260.7096,261.4842,258.8628,259.9649,386700
2025-07-07,259.6968,262.5466,257.9095,262.2189,765600
2025-07-08,262.0799,273.9655,258.7336,262.2983,2346100
2025-07-09,262.6757,265.8631,260.5508,263.8573,700500
2025-07-10,262.8445,266.6574,261.5536,263.1324,601200
2025-07-11,260.9976,262.0303,255.7051,256.8371,530800
2025-07-14,256.1122,259.7067,255.7647,258.8032,512300
2025-07-15,260.3522,263.3311,254.7321,255.5761,1339400
2025-07-16,257.0158,257.562,251.7234,257.5024,1199700
2025-07-17,258.1677,261.0274,257.1747,259.5777,573400
2025-07-18,261.2756,261.4543,259.8656,261.2359,764800
2025-07-21,262.626,263.3708,257.135,257.8102,1418800
2025-07-22,243.0351,245.9742,234.5354,236.7298,2438400
2025-07-23,237.0972,245.2593,236.3525,244.1273,1837600
2025-07-24,246.0437,247.2849,244.0181,244.2465,1670500
