date,open,high,low,close,volume
2025-03-14,64.9944,65.8901,63.9904,65.4767,3996300
2025-03-17,65.713,68.4395,65.713,67.8096,2775600
2025-03-18,67.7111,67.908,66.717,66.9729,2031700
2025-03-19,66.7071,67.3962,65.8114,66.5398,2668500
2025-03-20,65.9492,67.5733,65.9492,66.9532,2738300
2025-03-21,66.7859,67.1599,65.0436,65.9,5875400
2025-03-24,66.2937,67.0713,65.7917,66.3922,2874900
2025-03-25,66.1461,66.5693,64.5416,65.0436,2363200
2025-03-26,65.1519,65.1519,64.1971,64.8566,2235300
2025-03-27,64.7188,66.274,64.2759,65.9,3133500
2025-03-28,65.211,65.7327,64.1971,64.394,2037700
2025-03-31,63.577,65.4767,63.2325,64.9649,3121400
2025-04-01,66.1559,66.8843,65.3094,66.8056,3269100
2025-04-02,66.2347,67.8982,66.2347,67.6816,3908300
2025-04-03,63.7837,64.9255,57.2085,57.2774,11321500
2025-04-04,52.1688,54.3835,50.6726,52.0999,10911300
2025-04-07,49.5407,54.3638,48.0543,52.1196,8610100
2025-04-08,54.1374,54.1374,48.4382,49.2749,6309800
2025-04-09,48.704,56.0273,47.6114,55.2792,9087800
2025-04-10,54.2358,54.2358,50.7907,52.4641,5799200
2025-04-11,51.3912,54.5016,49.8163,54.3638,4459900
2025-04-14,55.9978,57.6416,54.1374,54.7182,6687900
2025-04-15,53.6354,54.2063,53.0842,53.5567,2754100
2025-04-16,52.9169,53.724,51.1549,51.8341,2713900
2025-04-17,52.5231,54.4425,52.3066,53.6157,6345200
2025-04-21,53.1629,53.6649,51.6865,53.537,4923200
2025-04-22,54.2063,55.6336,53.8913,55.0627,3122900
2025-04-23,56.9526,58.8129,55.7418,56.362,3363700
2025-04-24,56.3324,57.9566,55.2989,57.7302,2721800
2025-04-25,57.5924,58.931,57.1593,58.4586,2585800
2025-04-28,57.6809,58.9606,57.2478,58.2125,4026400
2025-04-29,58.0058,58.8424,57.6908,58.6554,2919500
2025-04-30,58.0747,59.1377,57.4939,59.0196,4161000
2025-05-01,58.2223,58.9704,56.8246,57.9664,5809600
2025-05-02,59.0984,59.7972,56.3816,58.4586,4292000
2025-05-05,58.0747,58.9802,56.5982,56.7951,3439900
2025-05-06,56.1946,57.9959,55.7714,57.612,3674200
2025-05-07,57.5825,58.616,57.0018,58.3306,2876500
2025-05-08,58.9212,61.1851,58.3306,60.2796,4019300
2025-05-09,60.3878,61.4607,59.9646,60.0335,2802600
2025-05-12,63.6361,66.6382,63.6361,64.3349,5516600
2025-05-13,64.1873,64.8172,63.6361,64.4531,2836300
2025-05-14,64.0003,64.0003,62.8683,63.1045,3107100
2025-05-15,61.1359,63.0848,61.0572,62.6714,2434900
2025-05-16,63.7542,64.7976,62.7207,64.1479,4460300
2025-05-19,63.449,64.7779,63.2916,64.3251,3754100
2025-05-20,64.7188,66.2051,64.1381,65.0436,3863700
2025-05-21,64.1774,65.6244,62.4549,62.6616,5315500
2025-05-22,62.3072,64.1676,62.199,63.4097,2927500
2025-05-23,62.1202,62.9274,61.5887,62.6911,2537400
2025-05-27,64.1085,66.0378,63.5278,66.0083,3758700
2025-05-28,65.9984,66.5004,65.1125,65.2307,2650900
2025-05-29,66.7564,68.4002,66.4906,67.593,5809700
2025-05-30,67.4743,67.7711,66.198,66.2277,4619400
2025-06-02,65.8023,66.2574,64.7239,65.9408,2530000
2025-06-03,65.9804,68.3845,64.1402,68.1965,4211400
2025-06-04,68.4735,69.5421,68.0877,68.0976,3081300
2025-06-05,68.0877,68.2064,66.5542,66.7323,2452800
2025-06-06,67.3952,67.8404,66.5344,67.7315,2264000
2025-06-09,69.0375,69.829,68.2262,68.2658,4188100
2025-06-10,68.9484,70.4127,68.4636,69.7102,3180700
2025-06-11,69.9774,71.0953,68.9089,69.1166,3181800
