date,open,high,low,close,volume
2025-03-14,408.1064,413.6187,405.8642,412.1402,1451700
2025-03-17,412.4143,422.9396,412.4143,421.5884,1494400
2025-03-18,424.2222,428.9806,421.7353,427.1301,2135000
2025-03-19,424.2516,426.2392,416.0958,421.4808,1365600
2025-03-20,421.4318,427.326,419.2778,425.2014,1331000
2025-03-21,423.2431,427.2084,416.0859,418.2595,3034700
2025-03-24,417.0846,423.2823,415.8999,418.2987,972100
2025-03-25,419.8653,419.9828,410.7597,414.6173,1309700
2025-03-26,415.7629,425.5147,413.6285,421.5298,1224400
2025-03-27,421.05,424.6628,415.8999,422.92,1075200
2025-03-28,427.1693,427.5414,422.4599,422.969,1134100
2025-03-31,425.6419,429.4016,421.9116,425.8671,1560600
2025-04-01,428.7848,428.7848,422.9592,423.6348,1283500
2025-04-02,421.1577,423.6348,417.3979,420.3548,1156300
2025-04-03,424.8391,444.9595,424.8391,443.2265,3314800
2025-04-04,440.8766,449.1402,419.5128,419.924,4515500
2025-04-07,412.6102,420.8639,403.4067,414.2942,2422100
2025-04-08,445.5371,449.1598,417.2805,421.892,3101900
2025-04-09,421.4808,432.9264,412.2479,426.5721,2416700
2025-04-10,429.0296,435.0804,419.3365,427.2476,1617600
2025-04-11,425.5636,433.2201,422.7046,430.6157,1350200
2025-04-14,430.4884,434.023,425.9063,431.9473,1017100
2025-04-15,432.241,432.241,425.3971,428.6183,1076300
2025-04-16,428.4323,432.1627,423.2627,425.9455,1170400
2025-04-17,381.847,428.8338,381.847,415.6552,3569400
2025-04-21,412.8451,413.6186,393.8017,398.1881,2294400
2025-04-22,401.8401,409.761,394.0857,407.2056,1890500
2025-04-23,406.0796,423.8796,406.0796,417.9463,1801400
2025-04-24,416.3992,420.2765,409.6435,419.8261,1485400
2025-04-25,417.8386,417.8386,405.7467,412.8647,1534500
2025-04-28,413.0018,418.6022,401.1449,405.169,1534500
2025-04-29,406.2265,406.8629,400.0092,405.0026,1140700
2025-04-30,410.2603,413.8438,403.8179,411.7877,1356200
2025-05-01,409.6044,410.6128,399.5784,399.7742,1321800
2025-05-02,403.6808,405.453,398.051,401.4093,1048500
2025-05-05,403.6906,409.1834,399.4707,407.5972,1222000
2025-05-06,407.1272,409.0756,403.8864,405.3257,1080700
2025-05-07,406.6573,410.1429,405.0124,408.7036,822200
2025-05-08,406.7846,411.2101,403.3088,403.7592,897100
2025-05-09,403.9941,405.0222,393.7038,396.1222,948100
2025-05-12,398.4916,415.3712,398.0608,407.979,2027900
2025-05-13,391.4226,391.4226,366.9452,367.5522,3575000
2025-05-14,375.9724,380.3588,365.4961,366.4654,2188600
2025-05-15,358.7208,382.082,349.9775,381.847,2954300
2025-05-16,383.1297,394.9571,381.9743,394.8592,2542600
2025-05-19,396.7978,398.4916,389.5133,395.3683,1329200
2025-05-20,396.9642,404.327,394.8885,403.8668,1221200
2025-05-21,394.5948,402.7115,391.5596,391.7554,1540000
2025-05-22,387.2418,391.6869,375.7178,376.4718,1965000
2025-05-23,377.1572,378.2146,361.0413,364.4877,2479600
2025-05-27,367.8362,369.8531,361.1196,368.1201,1938400
2025-05-28,367.1606,376.5501,365.1828,370.0489,2158800
2025-05-29,370.3329,374.964,368.2474,372.575,1629200
2025-05-30,371.9778,381.2596,371.3903,375.8158,3195000
2025-06-02,374.3178,377.8229,366.4263,369.1677,1767400
2025-06-03,367.5718,371.0868,361.2958,371.0378,1911600
2025-06-04,371.5959,377.2355,371.5959,372.1246,1083800
2025-06-05,373.0645,376.8047,369.716,376.6089,2130300
2025-06-06,378.0873,385.9102,376.5991,385.1367,2749700
2025-06-09,384.4416,386.0179,378.9293,381.4651,1605300
2025-06-10,381.4848,383.5598,374.1387,377.5512,1676800
2025-06-11,376.8333,379.4688,374.1388,374.6108,1247800
2025-06-12,373.8536,379.9999,370.4411,379.813,897900
2025-06-13,377.4626,381.7208,376.0662,378.1707,958500
2025-06-16,378.4952,378.7017,365.4847,370.2838,1709300
2025-06-17,369.5462,372.762,368.3169,368.966,1279700
2025-06-18,369.3299,372.5653,366.714,369.6741,1155100
2025-06-20,370.5591,373.6962,364.7275,368.3071,2950400
2025-06-23,369.6052,369.6052,363.6654,366.2419,1419900
2025-06-24,366.1239,371.6015,364.2849,370.1756,1068500
2025-06-25,367.5007,370.1756,364.9832,367.6581,1228400
2025-06-26,367.1074,372.9882,364.7767,366.9893,1367400
2025-06-27,367.7072,375.7515,366.714,375.1615,1774400
2025-06-30,374.6894,383.4418,372.7128,382.5075,1728400
2025-07-01,382.6649,393.8856,381.298,389.1948,1703300
2025-07-02,361.1086,368.3661,343.8202,344.4397,4805800
2025-07-03,349.1208,351.3138,341.4501,342.0697,2006200
2025-07-07,342.2271,344.6856,338.0181,341.1256,2255800
2025-07-08,340.0144,344.8626,339.1785,343.6628,1619500
2025-07-09,341.2437,342.2271,336.9462,340.6143,1822100
2025-07-10,336.9166,342.7187,333.7599,340.1225,2218500
2025-07-11,337.9886,338.6278,332.0094,335.0187,1698100
2025-07-14,332.1471,334.6253,329.6099,334.4286,1652700
2025-07-15,333.7992,337.9886,330.1114,330.6326,1739400
2025-07-16,331.9996,340.6142,330.6228,338.8343,2488100
2025-07-17,328.4593,328.4593,291.4732,297.4327,7408700
2025-07-18,285.4941,288.4443,271.8247,272.4934,8394400
2025-07-21,273.7325,276.4663,269.848,271.864,3583400
2025-07-22,271.4116,278.7577,271.4116,277.0466,3505400
2025-07-23,278.8954,291.7191,277.1154,291.6797,3249800
2025-07-24,285.1892,290.775,275.1191,275.778,3569400
2025-07-25,278.9544,289.4375,278.3053,284.3041,4807800
2025-07-28,283.9894,286.6643,278.797,281.2359,2470400
2025-07-29,279.7804,290.3029,276.5844,283.9403,2661200
2025-07-30,286.1136,289.7129,281.4719,288.6803,2132900
2025-07-31,285.3269,288.1394,277.9611,278.384,3261000
2025-08-01,281.2555,283.3109,269.2973,270.1037,3382600
2025-08-04,269.848,275.8075,269.494,270.3692,3387400
2025-08-05,269.7595,278.0595,269.73,271.8246,2012700
2025-08-06,271.4313,276.1418,269.1695,271.7165,2487000
2025-08-07,274.293,279.8296,273.585,278.7774,2237000
2025-08-08,279.0134,290.2833,279.0134,289.113,2405100
2025-08-11,290.0964,294.4824,285.1597,285.9661,1650200
2025-08-12,286.3398,288.5328,284.9138,287.6281,1522800
2025-08-13,289.2113,293.9514,286.7331,289.5457,2471500
2025-08-14,289.2605,291.9944,285.6514,290.5291,2153000
2025-08-15,305.8409,306.8243,299.0553,304.4346,3415600
2025-08-18,307.8077,311.3381,304.1002,304.1887,2509200
2025-08-19,305.1229,310.748,303.4118,306.8242,2644200
2025-08-20,307.4241,311.5643,304.7001,304.8574,2135300
2025-08-21,304.8575,308.4273,303.4905,304.4641,1593100
2025-08-22,307.4733,313.9245,307.3651,311.2988,2961400
2025-08-25,311.0628,311.8003,307.4438,308.7911,1239000
2025-08-26,307.2471,308.6337,302.4972,304.8869,1843700
2025-08-27,304.3461,307.3356,301.7597,304.6706,1462900
2025-08-28,305.9883,306.0178,300.2747,305.2606,1193700
2025-08-29,305.5851,314.7899,305.3,313.3639,3115300
2025-09-02,314.19,320.2478,312.4789,316.9829,1950100
2025-09-03,314.3572,318.5858,312.1937,316.2552,1645600
2025-09-04,303.4807,308.6436,301.2975,302.9398,2826900
2025-09-05,303.3823,310.04,299.1143,308.4371,1862300
2025-09-08,310.3842,312.8526,301.6122,303.0479,2006100
2025-09-09,305.3983,311.6233,304.169,309.863,1926800
2025-09-10,306.7384,309.2994,301.2112,303.3074,1723600
2025-09-11,310.486,314.0357,307.6482,311.3561,3594500
2025-09-12,313.8577,315.6572,307.8459,308.2612,1503300
2025-09-15,308.3007,309.9421,302.5658,303.4656,2001800
2025-09-16,304.2368,307.836,300.9145,306.5209,2068100
2025-09-17,308.0041,312.246,303.7326,305.018,1621200
2025-09-18,305.7596,312.948,304.5038,312.2262,2309800
2025-09-19,313.2644,314.6388,309.8828,310.1893,3117400
2025-09-22,308.4787,315.3903,307.5097,314.3224,1456200
2025-09-23,313.7093,321.2636,313.7093,320.0968,2118400
2025-09-24,320.9669,325.3571,316.2604,322.7171,2096500
2025-09-25,322.3414,324.3585,311.979,313.1458,1860700
2025-09-26,315.766,316.5768,312.7305,315.0343,1482000
2025-09-29,314.7377,318.0204,312.4635,316.1022,1139300
2025-09-30,315.6276,321.5701,313.6599,319.4937,1854800
2025-10-01,320.3935,329.0354,319.4343,328.9266,2128400
2025-10-02,325.3077,337.5586,325.2088,336.4215,2181800
2025-10-03,337.4498,352.9934,337.262,346.5664,2683000
2025-10-06,349.9381,351.2433,345.1426,346.0127,1725300
2025-10-07,349.9381,355.1786,348.3956,353.4779,1782100
2025-10-08,354.091,360.7355,353.4878,358.2735,1833900
2025-10-09,359.816,360.7751,354.091,354.1107,1291600
2025-10-10,356.1872,357.5814,348.0792,349.2756,1769000
2025-10-13,347.2091,351.3026,346.5466,347.4761,1173300
2025-10-14,341.2468,347.486,340.5052,346.5466,1638300
2025-10-15,343.3133,347.3376,338.8836,345.5677,1764700
2025-10-16,343.8275,347.6046,343.0958,344.2724,1162200
2025-10-17,344.6284,347.2684,342.0477,344.8558,1440100
2025-10-20,344.8558,351.797,343.7187,350.0963,1946900
2025-10-21,340.8315,350.6006,333.2278,345.8248,4061800
2025-10-22,343.0859,344.3515,334.1177,341.3358,3056900
2025-10-23,334.8593,344.7668,331.3392,342.3938,2493900
2025-10-24,343.1156,345.1129,336.2238,338.5079,1318300
2025-10-27,337.1928,338.8836,334.2858,338.6463,1137700
2025-10-28,338.6463,343.3628,333.7123,335.591,1368700
2025-10-29,337.3905,338.3892,330.7756,332.5851,1572900
2025-10-30,329.2628,331.6161,318.1885,318.3368,1709900
2025-10-31,316.4087,317.17,310.5057,313.6401,1613900
2025-11-03,314.352,314.9255,305.364,309.6751,1530000
2025-11-04,306.9757,315.2617,306.5209,313.0666,1548700
2025-11-05,311.5538,315.4397,308.627,314.5102,1299800
2025-11-06,314.5992,319.4739,310.9111,310.9111,1259200
2025-11-07,309.9619,314.263,307.2229,314.2136,1151500
