date,open,high,low,close,volume
2025-03-14,380.0323,389.4927,378.5154,387.7064,330500
2025-03-17,385.0319,397.8254,383.535,394.2727,391200
2025-03-18,388.0357,391.748,382.3275,385.7404,359700
2025-03-19,387.8661,401.0488,385.3213,397.7157,412300
2025-03-20,389.9118,405.7091,389.9118,398.6936,559600
2025-03-21,393.0353,395.0711,389.6324,394.3227,1255900
2025-03-24,404.1623,414.6605,403.6034,411.996,560900
2025-03-25,410.8783,415.9378,406.2978,411.4272,359400
2025-03-26,410.9083,411.008,390.3209,391.4386,296600
2025-03-27,387.866,389.1234,376.5994,378.5453,637100
2025-03-28,378.9345,379.5034,365.9614,370.1028,400400
2025-03-31,360.4329,368.9353,351.3717,368.8654,775900
2025-04-01,367.7577,376.31,365.203,374.7233,408300
2025-04-02,363.9457,384.2535,362.0496,384.1538,400000
2025-04-03,361.4009,366.8895,351.4515,353.8066,491200
2025-04-04,339.2967,347.0406,320.2262,341.3125,1172100
2025-04-07,325.1261,361.2412,324.1281,349.755,1144100
2025-04-08,368.3864,374.7732,346.9608,353.5273,819300
2025-04-09,349.9945,395.8495,349.0565,390.1912,931500
2025-04-10,375.2322,385.4311,365.1032,374.4239,643600
2025-04-11,374.5037,384.4731,366.2209,382.9363,455200
2025-04-14,392.0374,392.1871,378.2061,384.992,388500
2025-04-15,385.6806,394.8615,385.2116,389.2931,395700
2025-04-16,382.0581,388.5047,374.2243,381.609,498400
2025-04-17,381.5391,383.4065,373.5904,378.2737,359200
2025-04-21,373.5404,375.1781,356.4646,362.1965,400600
2025-04-22,370.2052,375.8072,365.3521,372.6717,370600
2025-04-23,392.1441,396.9473,381.589,383.5862,404700
2025-04-24,382.7075,402.13,381.7688,400.0529,331800
2025-04-25,404.6663,414.063,403.8575,409.6592,524500
2025-04-28,410.2784,416.7292,403.5279,409.6792,689300
2025-04-29,408.3011,414.2527,405.9844,412.4353,501100
2025-04-30,384.455,400.2326,374.1096,400.1328,1128000
2025-05-01,410.8875,418.3569,406.9031,411.936,606900
2025-05-02,416.0702,433.2159,415.1315,429.581,678600
2025-05-05,425.6765,439.0176,425.6765,435.3728,551400
2025-05-06,431.019,436.671,429.1217,432.4569,411800
2025-05-07,433.4655,436.8407,427.2942,433.5354,430400
2025-05-08,439.7066,447.8052,434.4041,439.6168,312400
2025-05-09,440.7552,443.3914,436.0019,438.8079,219900
2025-05-12,457.8409,464.3417,451.1304,456.6626,441800
2025-05-13,456.9522,473.6285,456.413,471.7113,750100
2025-05-14,475.1564,478.0722,465.2504,465.9095,599300
2025-05-15,463.0336,468.7654,460.3474,463.6327,489900
2025-05-16,465.3004,471.6613,462.3446,469.764,424000
2025-05-19,460.3673,470.2234,459.4686,469.3246,298800
2025-05-20,471.9609,477.4831,470.7326,471.851,564800
2025-05-21,466.7783,475.0665,462.6042,463.1135,355100
2025-05-22,459.3488,461.5457,451.3501,457.6612,455700
2025-05-23,452.2788,464.6213,450.042,462.6641,397600
2025-05-27,468.9352,475.3461,466.289,474.9167,340500
2025-05-28,476.1649,476.1649,467.3974,468.4759,280800
2025-05-29,471.6513,476.3247,464.142,467.5971,343800
2025-05-30,466.7882,471.3617,463.5029,471.192,807400
2025-06-02,467.6669,469.4644,456.6526,468.8852,330900
2025-06-03,471.5215,485.8812,468.1663,483.0951,435300
2025-06-04,481.8968,489.3063,479.7898,481.9568,340400
2025-06-05,483.1351,488.108,479.3205,483.3747,350900
2025-06-06,489.3063,491.0339,483.3747,488.128,336300
2025-06-09,483.5245,486.0609,471.192,473.1193,488900
2025-06-10,473.7484,473.7584,454.4957,465.2704,404800
2025-06-11,467.7569,471.7113,463.5528,471.222,329900
2025-06-12,466.9081,475.4459,465.8296,474.2576,380700
2025-06-13,473.4388,480.7784,469.3546,477.2434,401000
2025-06-16,482.3162,488.9868,479.3404,485.1223,376700
2025-06-17,482.506,486.2307,478.7213,480.7085,571500
2025-06-18,480.6985,492.6915,480.4589,484.5231,541500
2025-06-20,487.0295,488.6273,477.4831,484.3434,1452500
2025-06-23,484.593,495.5275,482.8854,493.8998,389200
2025-06-24,498.4034,502.6574,492.7714,499.9413,359700
2025-06-25,503.626,504.9441,498.6031,501.8585,266700
2025-06-26,505.6731,511.9941,503.8657,510.2666,340400
2025-06-27,518.445,531.7361,516.9172,529.8688,681300
2025-06-30,528.9202,537.538,522.7589,534.1328,421500
2025-07-01,530.7077,535.1014,516.1782,530.1285,635600
2025-07-02,528.99,541.033,528.291,541.033,388800
2025-07-03,536.7091,549.4011,532.3253,546.4453,302500
2025-07-07,547.5638,553.1858,544.3283,550.3598,481000
2025-07-08,551.8077,551.8077,531.4965,540.5737,416900
2025-07-09,545.7063,547.3141,538.6763,545.5067,389100
2025-07-10,545.227,550.0801,536.3496,546.8148,383300
2025-07-11,546.8547,555.822,541.2327,553.4354,215600
2025-07-14,552.8163,559.2172,551.2186,556.0717,283900
2025-07-15,561.7362,562.2258,546.3811,549.2283,341600
2025-07-16,551.1764,555.0427,545.9115,552.7648,258200
2025-07-17,553.5641,561.4864,553.5641,558.7091,287700
2025-07-18,561.5064,569.4488,559.5384,565.0131,415100
2025-07-21,564.2838,565.7723,558.1597,559.898,263500
2025-07-22,559.0988,561.3466,539.4778,558.4394,315000
2025-07-23,564.3136,573.4648,562.6553,573.1051,231700
2025-07-24,576.1322,579.9185,568.4896,578.2402,253700
2025-07-25,606.4229,635.7645,605.314,634.4458,658100
2025-07-28,634.4458,641.3392,626.044,631.0491,578500
2025-07-29,635.9144,636.6037,627.7323,635.6146,418000
2025-07-30,633.9063,641.9285,632.0781,638.7117,560800
2025-07-31,666.9943,666.9943,615.4442,626.8831,731400
2025-08-01,608.1812,631.6884,595.0439,624.0658,508800
2025-08-04,630.7894,634.2261,620.4194,628.6115,340100
2025-08-05,635.0052,635.0052,613.1864,624.3955,404700
2025-08-06,622.1877,625.1049,615.2044,621.6682,299300
2025-08-07,620.0697,624.3356,612.8966,616.9128,220100
2025-08-08,619.5103,619.85,609.41,617.6221,321400
2025-08-11,618.4613,623.3965,610.6988,614.0955,299100
2025-08-12,617.8119,633.167,614.7449,631.9582,347400
2025-08-13,635.6347,639.7607,602.3069,616.1136,364000
2025-08-14,603.7955,617.5422,603.7955,609.1603,239200
2025-08-15,609.1603,612.7767,596.2827,605.0342,233200
2025-08-18,604.0152,612.7568,603.8754,612.3272,261900
2025-08-19,611.2782,611.2782,604.305,606.5128,229500
2025-08-20,599.4197,606.8525,588.73,604.5447,302700
2025-08-21,604.4148,611.0784,601.2079,610.2592,225100
2025-08-22,613.0365,624.6553,609.0703,609.6498,222900
2025-08-25,609.6498,619.4703,605.1342,608.5709,279300
2025-08-26,609.41,619.1905,607.8716,618.2415,422900
2025-08-27,615.0046,627.7223,615.0046,623.3965,372800
2025-08-28,623.3965,633.6565,623.3965,632.6375,322900
2025-08-29,632.6376,632.6376,611.0485,619.4004,353400
2025-09-02,605.274,620.9688,595.5934,619.8099,298700
2025-09-03,622.5673,627.3627,619.6202,626.6734,303200
2025-09-04,630.7794,641.459,625.8941,639.9505,330100
2025-09-05,639.9705,639.9705,611.9076,624.7952,429800
2025-09-08,629.9501,636.9333,619.0207,620.9788,577500
2025-09-09,630.9891,630.9891,617.7919,622.4274,560800
2025-09-10,631.109,641.2292,627.3926,633.7864,767700
2025-09-11,641.379,647.5631,634.2959,639.381,666600
2025-09-12,637.0733,639.9305,627.9821,628.4716,455300
2025-09-15,627.3926,629.7304,615.5541,628.1419,523600
2025-09-16,623.5364,627.013,612.9566,618.3914,431200
2025-09-17,621.0088,625.4945,610.6489,616.1235,381600
2025-09-18,617.792,638.4919,615.9238,628.3118,706300
2025-09-19,626.7632,634.1061,613.2163,631.4088,10505000
2025-09-22,624.5054,655.2856,621.9879,655.1957,837700
2025-09-23,659.3617,659.7912,641.0993,644.0765,546300
2025-09-24,651.2696,652.4584,624.9051,625.9641,462900
2025-09-25,614.8048,627.3926,608.411,624.3955,357400
2025-09-26,628.9711,645.3253,625.9141,639.9505,396300
2025-09-29,643.3771,650.2804,635.5447,640.0104,410400
2025-09-30,640.0104,650.5502,639.5508,648.9117,300800
2025-10-01,643.8467,657.2438,640.3601,654.2866,407900
2025-10-02,652.3984,663.5276,649.0316,659.6414,342400
2025-10-03,662.3588,662.6086,649.3115,653.7771,321600
2025-10-06,657.004,678.3633,656.8641,669.352,592100
2025-10-07,680.1116,685.1567,662.6584,672.429,485300
2025-10-08,676.2154,694.7275,672.2992,694.3578,417600
2025-10-09,694.3278,696.8254,678.0236,680.1715,414700
2025-10-10,687.3146,697.235,663.0181,663.098,423300
2025-10-13,674.1874,686.2456,671.8496,676.3652,241600
2025-10-14,667.354,680.3614,660.3707,673.488,452000
2025-10-15,685.6607,692.1569,679.5944,690.228,662900
2025-10-16,692.3767,695.4948,682.6425,686.81,416500
2025-10-17,682.5126,691.6971,674.9471,688.599,524700
2025-10-20,699.5824,703.67,692.9464,699.7623,289500
2025-10-21,698.0234,700.8217,680.0941,689.5385,384400
2025-10-22,694.6154,699.8722,646.1643,662.5345,568900
2025-10-23,665.6027,697.6835,665.2629,695.8647,470700
2025-10-24,729.5645,752.0711,729.4546,747.7936,689900
2025-10-27,749.4227,755.1193,741.0577,754.3997,477600
2025-10-28,754.6396,758.2674,746.5644,750.9918,399100
2025-10-29,755.3391,778.1755,755.3391,776.5365,684700
2025-10-30,664.6033,715.403,631.683,647.6135,1422400
2025-10-31,657.0978,681.7131,657.0978,675.3769,962900
2025-11-03,672.6185,681.4333,669.6803,673.1182,428100
2025-11-04,660.6157,664.1036,645.8245,654.1096,449600
2025-11-05,656.9179,678.8948,656.9179,675.0171,314600
2025-11-06,669.3405,672.3088,652.7804,653.36,337400
2025-11-07,644.7552,655.2389,635.7305,648.9527,578100
2025-11-10,664.1236,665.6027,645.6146,655.9385,290300
2025-11-11,650.2619,655.059,639.3284,640.4677,299200
2025-11-12,645.2748,655.5787,640.4677,642.9962,328900
2025-11-13,641.2273,643.7358,615.1529,618.5908,497200
2025-11-14,602.9202,630.0539,600.6415,619.4902,489000
2025-11-17,620.2698,626.5061,606.2981,611.0353,382400
2025-11-18,602.2505,623.6977,602.2505,614.2234,381900
2025-11-19,617.8112,624.7671,603.22,605.4786,673000
2025-11-20,623.1581,626.2262,577.5353,582.7322,666300
2025-11-21,583.8215,584.9508,564.583,581.2331,545600
2025-11-24,589.718,613.6337,584.7709,602.4804,582600
2025-11-25,599.9219,608.4768,587.1895,605.2487,310100
2025-11-26,609.0865,617.6213,609.0865,610.3557,237600
2025-11-28,616.552,619.0306,612.6544,614.7031,146000
2025-12-01,605.2288,610.5056,600.6415,607.4175,273800
2025-12-02,611.3951,617.7813,602.1506,606.0083,341200
2025-12-03,604.3893,612.3745,590.6375,611.6349,355100
2025-12-04,608.6267,638.5688,606.6379,634.981,508400
2025-12-05,632.8822,637.4295,622.2686,623.248,387700
2025-12-08,626.4261,644.935,621.3991,628.8446,475700
2025-12-09,625.4067,635.9304,622.1686,623.3679,408600
2025-12-10,623.4579,633.392,610.7855,626.646,330100
2025-12-11,623.208,641.8169,617.9612,639.1985,306700
2025-12-12,640.9674,641.3872,604.6191,623.278,534600
2025-12-15,623.7377,631.9428,618.111,623.7177,280500
2025-12-16,624.6272,630.5336,620.0999,624.1874,311900
2025-12-17,620.7894,624.967,590.8973,596.1141,591100
2025-12-18,607.4774,617.2315,601.9407,612.4944,477300
2025-12-19,613.4338,623.278,608.4868,611.0452,891300
2025-12-22,618.8406,627.5854,613.4838,621.4691,263400
2025-12-23,618.7807,627.3455,618.221,625.3168,197900
2025-12-24,622.4685,626.2562,618.0411,625.6965,97500
2025-12-26,628.0052,628.6548,623.8476,626.7159,151300
2025-12-29,622.9083,629.4443,621.1293,622.8882,251900
2025-12-30,622.5884,623.1581,616.2921,616.9318,200000
2025-12-31,617.9612,619.6302,609.6361,611.425,265500
2026-01-02,616.1122,640.6176,614.5832,638.269,286100
2026-01-05,644.3254,662.2547,644.1755,653.1801,473000
2026-01-06,651.3512,660.8056,625.6765,655.5487,395500
2026-01-07,654.9991,657.0678,646.5641,650.5817,484500
2026-01-08,650.6117,650.8815,617.7213,627.8953,424200
2026-01-09,630.8434,651.6111,630.5237,645.8845,319500
2026-01-12,646.9138,664.0636,645.2148,660.2559,412200
2026-01-13,661.9648,670.6597,661.9648,670.15,327300
2026-01-14,667.2,667.45,640.65,660.73,320600
2026-01-15,672.74,689.8,669.76,682.13,454700
2026-01-16,689.25,708.36,689.09,698.69,485400
2026-01-20,684.7,696.74,680.0,687.76,303700
2026-01-21,693.97,711.05,687.8,708.71,272200
2026-01-22,720.5,724.74,690.0,702.89,290200
2026-01-23,702.01,703.75,688.62,694.21,248100
