date,open,high,low,close,volume
2025-03-14,116.6751,119.7318,115.9519,119.4907,3266800
2025-03-17,119.375,120.2525,118.9025,119.1629,3695800
2025-03-18,120.2525,120.2911,117.6394,118.189,3028500
2025-03-19,118.3529,121.0239,118.3529,120.4743,3479300
2025-03-20,119.5197,121.0046,118.6036,119.8571,4074900
2025-03-21,119.1243,120.6961,118.594,120.6961,9750400
2025-03-24,120.7732,124.5724,120.4936,123.6852,3236200
2025-03-25,123.8106,124.9291,122.5281,122.8271,3337200
2025-03-26,124.1481,125.8548,123.7142,124.5627,2716700
2025-03-27,124.312,124.447,121.911,122.2003,2367000
2025-03-28,122.0171,122.4124,120.5321,122.0653,2354300
2025-03-31,122.0846,125.0063,121.9592,123.6563,3149100
2025-04-01,123.1935,124.8713,122.7596,124.6784,1926700
2025-04-02,123.6949,125.7488,123.6949,125.3245,1827400
2025-04-03,118.3529,120.8118,115.1998,115.6048,5530300
2025-04-04,111.4488,112.442,105.2969,106.5986,8834600
2025-04-07,103.4455,109.5107,101.5073,105.1329,8269500
2025-04-08,106.8011,108.0064,99.762,101.2084,5531800
2025-04-09,98.8749,111.5453,98.8749,109.9735,9991600
2025-04-10,106.0683,107.8425,98.8556,100.8709,8314500
2025-04-11,102.057,105.7019,99.8199,104.6605,4992100
2025-04-14,107.1868,107.5147,102.327,103.7926,4030300
2025-04-15,103.889,105.2004,103.3394,103.6383,3192300
2025-04-16,104.266,107.195,103.76,105.3266,4270700
2025-04-17,106.7279,109.6471,105.8813,107.5258,5905400
2025-04-21,105.6575,106.3776,104.519,106.1732,3001800
2025-04-22,107.8664,109.4331,107.2436,108.3238,2947600
2025-04-23,109.472,110.6105,107.0685,108.567,3037900
2025-04-24,109.7931,110.7273,108.6351,110.4061,2075400
2025-04-25,109.2676,110.4743,108.7908,110.0266,2093400
2025-04-28,109.8418,111.4668,109.6666,111.0678,1908400
2025-04-29,110.1434,110.9705,108.9855,109.8904,2323700
2025-04-30,108.9854,108.9854,105.6186,107.3604,5383300
2025-05-01,106.5917,110.2505,106.3289,108.6741,4603700
2025-05-02,108.1291,109.1217,105.1028,107.8761,6415000
2025-05-05,105.93,106.3095,104.1395,105.5991,5226300
2025-05-06,106.543,107.2631,104.9861,105.7937,4505000
2025-05-07,106.397,106.397,104.1784,105.0639,4013500
2025-05-08,106.1051,109.1022,105.6867,106.7571,6135400
2025-05-09,107.5064,108.1583,106.5722,108.1291,4079900
2025-05-12,112.9264,114.0163,110.8927,110.99,3983600
2025-05-13,111.5446,114.6001,110.9024,113.5103,4112800
2025-05-14,112.1772,113.0724,111.5155,112.4788,3878500
2025-05-15,110.844,112.8583,110.0753,112.7415,3243800
2025-05-16,113.3741,113.5687,111.7782,112.3912,3406000
2025-05-19,111.1749,111.5447,109.6569,110.883,2864000
2025-05-20,110.9997,111.243,109.4039,109.5498,2336500
2025-05-21,109.8223,110.1337,108.1583,108.3821,3198500
2025-05-22,107.4382,108.4405,105.7256,107.808,3050900
2025-05-23,106.3678,107.6231,106.3678,107.2144,1993300
2025-05-27,107.6329,108.4892,106.4846,108.2362,2475100
2025-05-28,109.6666,109.6666,107.1074,107.4772,2260600
2025-05-29,107.4869,108.0416,106.4262,106.9225,3421100
2025-05-30,105.5797,106.5625,104.5676,105.6478,5536300
2025-06-02,108.1194,108.8006,106.7474,108.3432,4151400
2025-06-03,108.3627,110.8246,107.2047,109.7834,3279200
2025-06-04,109.9196,111.4473,107.7885,107.7885,3333900
2025-06-05,108.9076,109.0633,107.4577,108.0415,2697500
2025-06-06,109.6569,111.6128,109.6569,110.9803,3055900
2025-06-09,111.1262,112.1772,110.1337,111.2527,3647600
2025-06-10,113.2086,116.303,112.8778,114.7072,4952200
2025-06-11,115.7484,117.3345,114.0163,116.6923,3893000
2025-06-12,116.05,117.5097,115.2716,117.3442,3318600
2025-06-13,121.8691,122.4919,119.2028,121.908,7915200
2025-06-16,120.0689,121.509,118.3854,119.8645,5142500
2025-06-17,121.2366,122.5697,120.3121,121.2852,4563500
2025-06-18,121.6355,123.319,119.8256,120.4484,4553000
2025-06-20,120.6527,122.5697,120.4678,121.9469,11229400
2025-06-23,123.4455,124.3699,118.2492,118.7066,5080000
2025-06-24,117.6264,118.979,116.5755,117.4318,3980900
2025-06-25,117.0037,117.9184,116.0598,116.595,2799000
2025-06-26,116.7701,117.8989,116.2447,117.8697,2705300
2025-06-27,117.7432,117.8794,116.6631,117.5486,4187900
2025-06-30,116.7701,117.1594,115.6511,116.3906,3491200
2025-07-01,116.7409,118.366,114.9018,117.9281,3680300
2025-07-02,119.884,119.9424,117.4221,119.5726,3460500
2025-07-03,119.5629,120.3803,118.7163,119.8353,1437200
2025-07-07,118.8914,119.378,114.8921,116.3906,3692400
2025-07-08,116.4977,121.7134,116.0111,120.6138,3753400
2025-07-09,119.6699,120.6041,118.2492,118.6092,2245700
2025-07-10,117.8697,118.9888,116.595,118.4536,2703500
2025-07-11,118.5801,120.244,117.8502,119.7283,2215900
2025-07-14,119.3099,119.6894,117.9086,119.3001,3074500
2025-07-15,119.2904,119.5142,116.449,116.4879,2993300
2025-07-16,116.4879,116.8577,114.532,115.6024,3682400
2025-07-17,115.0088,116.3824,114.9794,116.196,2795600
2025-07-18,116.7454,117.4224,115.2149,115.4602,5901900
2025-07-21,115.7937,115.9115,114.2926,114.2926,3248000
2025-07-22,114.5084,116.1764,114.1454,115.7054,2200000
2025-07-23,116.0881,116.8043,115.0677,116.6375,2798100
2025-07-24,116.5394,117.442,115.8526,116.8043,2452100
2025-07-25,116.8141,117.079,115.6368,116.1568,1785300
2025-07-28,117.4813,119.4239,117.1968,119.3553,2795000
2025-07-29,119.6987,120.8957,118.5802,120.827,2916200
2025-07-30,119.9243,120.5424,118.3741,118.953,2691400
2025-07-31,118.0209,120.3266,117.5009,117.756,2657200
2025-08-01,117.2066,117.6383,113.7432,114.4005,2689000
2025-08-04,113.7432,115.3522,113.6647,114.8028,2300500
2025-08-05,115.0088,115.8428,114.1062,115.5583,3035000
2025-08-06,116.716,117.6775,113.8903,114.3907,3050400
2025-08-07,114.95,116.9613,113.5567,113.7824,4400400
2025-08-08,114.0964,115.4209,111.2216,114.0866,3969100
2025-08-11,114.6949,115.6368,112.8798,114.636,3043100
2025-08-12,114.8617,117.6677,114.4692,115.7839,2902100
2025-08-13,115.7741,117.2164,115.2639,117.2164,2951200
2025-08-14,116.5394,117.7658,116.0096,117.5303,2246700
2025-08-15,117.5598,118.4919,116.6964,116.7454,2944400
2025-08-18,116.1273,116.2941,115.0285,115.5092,2743200
2025-08-19,114.8322,116.3137,114.3711,115.1069,2425700
2025-08-20,115.519,116.5688,114.8224,116.1273,2527500
2025-08-21,115.9017,116.5786,115.1364,116.2745,1853000
2025-08-22,116.7945,119.1198,116.559,118.8255,2245900
2025-08-25,118.3251,119.3356,117.442,119.1394,2092800
2025-08-26,118.3153,119.4436,118.0013,119.0119,3191300
2025-08-27,118.6096,121.1507,118.6096,120.5621,2195000
2025-08-28,120.6504,122.2006,119.7379,121.9945,1937900
2025-08-29,121.9258,123.27,121.71,122.4655,1738000
2025-09-02,122.1319,123.7409,121.2096,123.7213,2224900
2025-09-03,122.5538,123.4074,117.6677,118.3055,2658300
2025-09-04,118.1092,119.9538,117.5402,119.3062,1689700
2025-09-05,117.6481,118.2956,114.8322,115.7054,3711200
2025-09-08,115.6269,116.1862,113.8707,115.4307,2550500
2025-09-09,116.147,117.4911,115.0481,115.0971,2359000
2025-09-10,115.5288,118.0209,115.1658,117.9915,2128100
2025-09-11,116.8337,118.1288,116.3039,117.7364,2283100
2025-09-12,118.4919,118.7372,115.7447,115.9311,1967200
