date,open,high,low,close,volume
2025-03-14,816.4378,823.5626,810.4175,818.6955,695300
2025-03-17,816.0371,840.6269,815.3139,837.822,902500
2025-03-18,844.1258,844.1258,817.4836,822.1944,691900
2025-03-19,827.1397,844.1454,823.8266,835.9456,1079500
2025-03-20,832.9841,836.3853,826.9442,832.4172,532800
2025-03-21,826.8269,829.4169,812.9292,815.6755,1624900
2025-03-24,828.205,838.9069,824.6475,833.121,745800
2025-03-25,828.9576,837.8807,819.0181,822.1553,581000
2025-03-26,827.8825,832.1046,807.1532,812.2158,764100
2025-03-27,814.5614,814.5614,801.9147,806.6059,799600
2025-03-28,804.8174,807.2705,779.26,784.8015,896500
2025-03-31,788.7108,801.3185,777.1,796.8715,1083800
2025-04-01,797.976,801.2599,782.6807,798.4354,871800
2025-04-02,788.1928,814.8643,788.1928,812.7044,431100
2025-04-03,792.1804,795.6499,771.0992,783.2769,1222700
2025-04-04,772.7509,774.4515,747.78,748.8453,820500
2025-04-07,733.6086,762.4498,709.4782,730.7939,927900
2025-04-08,762.6257,762.6257,713.6416,723.2977,812900
2025-04-09,712.3026,780.4718,685.5138,779.3577,753200
2025-04-10,758.472,763.8864,733.5793,753.2726,696100
2025-04-11,739.0035,765.6946,732.6508,759.2246,513900
2025-04-14,765.2352,775.4484,758.2179,766.105,621200
2025-04-15,770.5519,778.2533,763.603,769.6429,352500
2025-04-16,762.4888,770.9135,756.2534,761.0326,405400
2025-04-17,776.4061,783.7851,769.9655,772.2427,479700
2025-04-21,766.0268,766.7403,741.8378,755.6769,493800
2025-04-22,764.5217,778.351,764.5217,773.1907,556900
2025-04-23,787.0787,807.3096,781.9281,791.1151,640100
2025-04-24,791.2519,804.661,784.2738,798.6699,490900
2025-04-25,808.2575,825.2827,806.3029,819.106,605300
2025-04-28,815.6658,827.6186,814.5712,825.5369,521000
2025-04-29,828.9771,841.399,823.3965,832.3489,696100
2025-04-30,820.9629,844.5559,820.5427,841.2427,729100
2025-05-01,844.1259,864.9432,840.5782,842.4351,677300
2025-05-02,856.0884,860.076,850.7521,856.0004,443300
2025-05-05,859.1866,867.8263,853.1565,863.1937,377600
2025-05-06,860.0564,866.9661,852.8632,855.5411,439200
2025-05-07,853.6353,861.6593,849.9899,852.7068,576800
2025-05-08,855.8147,862.8712,840.0796,841.4772,496200
2025-05-09,830.7363,849.3057,818.3926,844.8002,226000
2025-05-12,863.7312,863.7312,842.4644,850.7424,507200
2025-05-13,852.5406,854.5442,842.8161,849.1004,774700
2025-05-14,846.794,852.8632,836.747,839.7376,590100
2025-05-15,838.6528,849.1396,838.6528,847.5856,429300
2025-05-16,849.7064,856.626,841.7705,856.0689,589400
2025-05-19,843.5297,861.0044,843.5297,857.6815,412300
2025-05-20,848.6509,856.6846,845.797,856.0396,296300
2025-05-21,851.7849,855.7251,840.1509,844.1894,793700
2025-05-22,848.3753,855.1061,843.2068,851.4213,413400
2025-05-23,849.8491,852.2073,842.6172,848.4342,441600
2025-05-27,855.843,867.8308,852.8854,861.5519,502000
2025-05-28,868.2925,868.2925,857.0614,865.2956,373000
2025-05-29,865.2956,880.5553,856.8256,871.9871,290600
2025-05-30,862.5542,878.9144,860.9329,873.3529,973100
2025-06-02,868.8133,875.1412,859.1839,874.9938,338000
2025-06-03,871.6433,881.2039,866.3471,879.2682,535900
2025-06-04,880.29,898.0358,874.5516,896.326,573300
2025-06-05,899.4998,908.7854,890.3224,893.9088,605900
2025-06-06,898.9005,901.4258,893.4274,898.5173,294200
2025-06-09,896.0215,899.3623,890.5385,891.6882,336600
2025-06-10,892.0223,895.5203,879.9756,891.5507,439500
2025-06-11,890.2241,897.2596,877.5879,878.148,547400
2025-06-12,878.148,886.7949,877.9417,880.8207,493900
2025-06-13,877.0672,878.7867,867.9388,877.1065,502400
2025-06-16,878.5214,884.9771,871.4074,872.6946,543100
2025-06-17,874.8366,883.061,868.0567,871.3287,606700
2025-06-18,868.2827,877.2441,866.7401,871.4172,550200
2025-06-20,874.8661,879.0422,866.6713,867.5163,788100
2025-06-23,870.2283,881.4299,868.3712,874.4927,693000
2025-06-24,880.9779,894.7538,870.6802,890.7252,436400
2025-06-25,888.7207,889.6149,804.0011,809.9655,1352000
2025-06-26,777.2745,780.7332,698.1557,732.5565,4005300
2025-06-27,750.5576,778.4929,740.8889,771.4476,2193300
2025-06-30,778.8761,782.5412,762.9187,781.6273,1066900
2025-07-01,783.3764,786.5993,769.2761,781.5389,971300
2025-07-02,780.3009,783.1013,771.2414,781.313,631000
2025-07-03,783.8088,783.8088,769.168,773.3048,539900
2025-07-07,775.378,780.3401,759.116,763.5967,700800
2025-07-08,763.862,768.3033,748.0225,754.036,668400
2025-07-09,761.376,761.376,747.1677,751.4027,534700
2025-07-10,762.8303,764.2354,740.4074,745.684,751000
2025-07-11,736.9977,746.1654,730.9351,743.532,587400
2025-07-14,744.3672,750.9605,743.3945,746.9711,428000
2025-07-15,748.0127,754.0458,742.8049,746.7353,580900
2025-07-16,750.0467,756.1486,743.4829,752.3165,447200
2025-07-17,749.182,763.0661,745.7331,762.0737,435600
2025-07-18,768.0381,768.8634,756.2075,764.2452,626100
2025-07-21,779.2004,792.9175,774.1007,775.4567,1003300
2025-07-22,775.6434,789.8615,775.6434,786.619,566100
2025-07-23,784.3197,787.1299,779.6228,782.3545,429300
2025-07-24,780.2321,781.6568,771.7031,775.8005,370700
2025-07-25,777.5496,789.4195,773.0592,787.4837,482700
2025-07-28,787.6704,791.0702,777.9426,779.8096,578300
2025-07-29,783.4157,799.0292,781.4997,797.0149,612900
2025-07-30,797.4079,800.8175,777.9426,783.17,572600
2025-07-31,791.64,795.3837,769.8263,771.5065,935200
2025-08-01,771.1726,771.1726,751.8448,758.3202,500600
2025-08-04,758.723,767.3502,753.8592,764.8446,538400
2025-08-05,764.9527,767.1439,759.8334,765.3851,456700
2025-08-06,766.5641,769.5315,758.7819,759.5483,316300
2025-08-07,761.8378,767.252,754.1638,765.7781,325000
2025-08-08,762.8695,766.6525,752.1789,762.6927,252800
2025-08-11,759.3617,768.3033,756.6203,763.2332,311800
