date,open,high,low,close,volume
2025-03-14,48.8899,50.2834,48.0696,50.1253,5463200
2025-03-17,49.8979,51.242,49.8979,51.0542,6562500
2025-03-18,52.1611,52.6948,51.5879,51.9437,5469600
2025-03-19,52.2204,53.2482,51.7263,52.9715,4574400
2025-03-20,52.675,53.8609,52.418,53.1,9073600
2025-03-21,52.5564,52.8727,52.0425,52.2599,12816100
2025-03-24,52.8035,53.9202,52.5268,53.3668,5900000
2025-03-25,53.515,54.0092,53.3866,53.6139,4418000
2025-03-26,54.1871,54.6911,52.1809,52.2995,7310200
2025-03-27,52.5268,52.6256,50.817,51.7065,8090800
2025-03-28,51.5484,52.5268,51.5385,52.3884,4971100
2025-03-31,52.0722,53.3075,51.5385,52.8035,5614100
2025-04-01,53.0407,53.9103,52.5366,53.2482,5996700
2025-04-02,52.4872,54.6021,52.2995,53.9795,7610000
2025-04-03,50.9258,53.0209,50.817,51.4792,10916400
2025-04-04,48.6033,49.1172,43.0591,45.5693,21964000
2025-04-07,44.1067,49.3544,44.0276,46.7552,13411600
2025-04-08,49.2358,49.8485,46.2908,46.9331,17665700
2025-04-09,45.8559,50.2636,44.3241,49.5817,17700400
2025-04-10,48.2376,48.6527,46.2907,47.9214,9685200
2025-04-11,47.6249,49.898,47.2,49.0678,8898900
2025-04-14,49.898,50.1747,49.0579,49.384,4377300
2025-04-15,49.0381,50.402,48.9887,50.145,5226300
2025-04-16,49.9276,51.3309,49.898,50.2537,6418900
2025-04-17,50.6293,51.1629,50.2241,50.3822,5000200
2025-04-21,49.6608,49.809,46.7355,47.1209,8263800
2025-04-22,47.5755,48.5638,47.3877,48.0005,6595500
2025-04-23,49.4433,49.8189,46.5872,48.1784,16265000
2025-04-24,49.0184,49.1765,47.7336,48.2475,10317800
2025-04-25,48.0894,49.7596,47.7435,49.6509,9360300
2025-04-28,49.3939,50.7775,49.1765,50.5206,9331200
2025-04-29,49.8881,51.0246,49.1172,50.6194,6302200
2025-04-30,49.5619,49.6608,48.3661,48.8603,11852300
2025-05-01,48.7318,50.9949,48.3562,49.7695,7661700
2025-05-02,51.0147,51.3013,50.2241,51.242,6651900
2025-05-05,51.3408,53.2581,51.2519,52.8924,9242500
2025-05-06,52.9023,53.2581,52.0524,52.8232,6405800
2025-05-07,53.2177,54.09,52.6032,53.4854,7086600
2025-05-08,53.9314,54.1098,52.7519,52.9303,9416500
2025-05-09,53.4259,55.1605,53.0889,55.1308,7707900
2025-05-12,55.557,55.6164,53.5349,54.0107,12305900
2025-05-13,54.5856,56.1715,54.318,55.7057,8429900
2025-05-14,55.1704,56.1616,54.8631,55.8643,6017700
2025-05-15,55.0614,56.5383,55.0614,55.5074,9102900
2025-05-16,55.3488,55.5471,54.9424,55.3687,4375000
2025-05-19,55.0614,55.5966,54.4369,55.0713,6377400
2025-05-20,55.3885,56.8654,55.0416,55.6462,5806300
2025-05-21,55.3488,55.785,54.5559,55.22,5669300
2025-05-22,55.4975,55.8246,54.7442,55.2001,7733200
2025-05-23,54.764,55.5272,54.6649,55.1209,6813700
2025-05-27,55.5867,56.1121,54.8136,56.0625,5229200
2025-05-28,56.231,56.5284,54.6352,55.0118,5046500
2025-05-29,55.1209,55.5272,54.6352,54.883,3493200
2025-05-30,54.5162,55.1209,54.0008,54.6451,7853800
2025-06-02,55.9535,56.687,55.2596,56.1616,7686100
2025-06-03,56.2707,56.3896,55.4777,56.1517,8247100
2025-06-04,56.0427,56.2409,54.8136,55.0019,4438700
2025-06-05,55.2993,55.3092,54.4567,54.8433,4423600
2025-06-06,55.1209,56.2211,54.8433,55.894,3826200
2025-06-09,55.5867,55.5867,54.1296,54.4171,7188200
2025-06-10,54.7541,55.0614,52.9303,53.2574,8012300
2025-06-11,53.5448,54.199,53.2673,53.4953,5060500
2025-06-12,53.7431,55.0713,53.4655,55.0316,4919700
2025-06-13,55.3885,56.459,53.8422,56.34,7732500
2025-06-16,56.4292,58.2332,56.3896,57.6583,9217100
2025-06-17,57.9854,58.5901,57.3808,58.3522,6883000
2025-06-18,58.9072,59.6705,57.6881,58.8478,7527200
2025-06-20,58.9172,60.2652,58.263,59.9084,11714600
2025-06-23,60.2652,60.4833,58.6099,58.8478,8520700
2025-06-24,58.6594,60.2454,58.3819,59.8092,6716800
2025-06-25,59.6308,59.7894,57.6484,57.7178,7702700
2025-06-26,57.6683,58.035,57.0636,57.6385,7422100
2025-06-27,57.698,58.035,57.1033,57.7971,10530900
2025-06-30,57.47,58.3621,57.2123,57.807,11140900
2025-07-01,57.5196,57.579,54.7145,55.2299,11291000
2025-07-02,55.3587,55.8841,54.4865,55.6462,9724300
2025-07-03,55.5768,55.894,54.2288,54.8235,4295600
2025-07-07,54.6748,55.7651,54.2783,55.666,6809200
2025-07-08,56.3103,56.3995,53.9017,54.3774,9849900
2025-07-09,54.3675,54.7739,53.2772,54.3973,8462900
2025-07-10,54.3576,54.5658,52.9501,54.0404,8486400
2025-07-11,53.9512,54.9325,53.6638,54.8433,5152400
2025-07-14,54.9623,57.8467,54.9028,57.7674,9983200
2025-07-15,57.7872,58.0845,56.2112,57.7277,9774700
2025-07-16,58.6793,59.7795,58.3423,58.6594,10269300
2025-07-17,58.5504,58.828,57.916,58.2332,6118200
2025-07-18,58.8379,59.0956,57.6385,58.6694,6066900
2025-07-21,57.2916,57.4799,52.9997,53.0691,14668900
2025-07-22,52.8213,54.1792,52.5933,53.862,13814500
2025-07-23,52.8312,53.4953,50.8091,51.503,24393100
2025-07-24,51.9193,54.0504,51.9094,53.5547,12622200
2025-07-25,53.4358,53.525,51.2552,51.7309,8472100
2025-07-28,52.0878,52.286,50.6208,51.4534,15091200
2025-07-29,52.0085,53.2277,51.7508,52.6329,9167300
2025-07-30,52.2563,53.2475,51.7607,52.8906,10705000
2025-07-31,52.8113,54.0008,52.6428,53.2772,7027400
2025-08-01,52.6131,52.8411,51.6417,51.8796,7274900
2025-08-04,52.0085,52.3356,51.0173,51.4137,6784200
2025-08-05,51.5426,51.6715,50.6703,51.2353,6134900
2025-08-06,51.7006,51.81,50.8257,51.1637,5117300
2025-08-07,51.1737,52.1182,50.8754,50.945,4552100
2025-08-08,51.1538,51.631,50.3385,50.9947,4540200
2025-08-11,51.2135,51.6112,50.8356,51.5217,5264400
2025-08-12,51.1439,51.2532,50.1297,50.9748,7429400
2025-08-13,51.5316,51.81,50.7362,51.1836,7803800
2025-08-14,51.2333,52.4861,50.8953,51.7503,5292000
2025-08-15,51.9393,53.0727,51.8796,52.5457,10069000
2025-08-18,50.776,50.8058,49.1156,50.2093,10794100
2025-08-19,49.6127,50.4379,49.2846,50.249,6083700
2025-08-20,50.428,51.0842,50.1297,51.0444,5348100
2025-08-21,51.1041,51.8895,50.766,51.7503,4557700
2025-08-22,51.7503,52.5358,51.3626,51.6708,4768100
2025-08-25,51.462,52.2375,51.2234,51.5117,5109800
2025-08-26,51.5614,52.5855,50.5075,52.4066,9503800
2025-08-27,52.4463,52.8639,50.8456,51.0544,7541300
