date,open,high,low,close,volume
2025-03-14,57.3031,58.9564,57.2362,58.6697,1851900
2025-03-17,58.9851,59.6254,58.5551,58.7749,2979900
2025-03-18,58.4977,59.1667,58.2875,59.1571,1671200
2025-03-19,58.9373,59.4916,58.5742,58.7749,1591300
2025-03-20,58.88,59.3005,58.4404,58.8704,1485100
2025-03-21,58.7271,59.3387,57.867,58.2301,4539300
2025-03-24,58.0103,58.7271,57.9912,58.1632,1641700
2025-03-25,58.0008,58.1346,56.1467,56.4048,1892100
2025-03-26,56.5481,57.4847,56.3952,57.284,2068300
2025-03-27,57.3796,58.1059,57.0546,57.628,1487300
2025-03-28,58.1632,58.966,57.6089,58.4117,1660700
2025-03-31,58.8609,59.5872,58.5455,59.3578,2448800
2025-04-01,59.2527,59.5012,58.5933,59.3387,1751000
2025-04-02,59.6541,60.0364,59.224,59.8548,1985900
2025-04-03,60.1988,60.6862,58.88,59.1763,3874700
2025-04-04,59.7975,60.0459,55.6306,55.7549,3531800
2025-04-07,54.4743,54.9043,52.496,53.0981,4874500
2025-04-08,53.9678,54.4647,51.2823,51.8461,3500800
2025-04-09,51.1963,54.0251,49.9634,53.8148,4872300
2025-04-10,52.6107,53.9486,51.8079,53.2223,3411200
2025-04-11,53.1745,54.0442,52.2762,53.8244,2615000
2025-04-14,54.2067,56.1181,53.9964,55.8887,2702800
2025-04-15,55.9843,56.3187,55.3631,55.4108,2162200
2025-04-16,55.8409,56.4621,55.3248,55.4873,2099500
2025-04-17,55.277,56.0989,54.8183,54.8948,3762600
2025-04-21,54.675,54.7801,53.0981,53.8817,2013000
2025-04-22,54.436,55.774,54.4074,55.4777,1637900
2025-04-23,55.2675,56.5577,54.9426,55.3917,2170700
2025-04-24,55.3726,56.3092,54.8088,55.9365,2286300
2025-04-25,55.8313,55.9269,55.1433,55.2962,2992200
2025-04-28,55.43,56.7106,55.2293,56.4812,7427600
2025-04-29,56.4048,56.9686,55.9269,56.787,4396300
2025-04-30,56.8444,57.3604,55.8982,56.8444,5246000
2025-05-01,56.9017,57.3604,56.4143,56.4621,2793700
2025-05-02,56.185,56.8635,55.4586,56.2232,3877400
2025-05-05,56.3761,56.7775,55.9078,56.6628,2067300
2025-05-06,56.6532,57.0833,56.3092,56.5863,2492200
2025-05-07,56.9782,60.0555,56.7679,59.4821,4553700
2025-05-08,59.7401,60.5716,59.3865,59.9313,2973100
2025-05-09,60.1415,60.5238,59.7592,60.2084,2341100
2025-05-12,59.9599,60.218,59.052,59.4916,2201000
2025-05-13,59.4916,60.6958,59.0616,60.1224,2705700
2025-05-14,59.6828,59.6828,57.9339,58.6315,2670000
2025-05-15,59.0698,60.4631,58.7796,60.3567,2942700
2025-05-16,60.2696,61.2178,59.9987,61.1501,2129300
2025-05-19,60.8018,61.5468,60.6179,61.4694,1887700
2025-05-20,61.9241,64.0141,61.721,63.4239,3665800
2025-05-21,62.824,63.24,61.779,61.8854,2674600
2025-05-22,61.3339,61.392,60.2793,61.0146,1949100
2025-05-23,61.2855,61.4307,60.2019,61.4017,1587300
2025-05-27,61.9241,62.8046,61.2468,62.5144,2260000
2025-05-28,62.2725,62.4176,60.9759,61.3146,1692800
2025-05-29,61.2468,62.1757,61.005,62.0112,1766600
2025-05-30,61.8854,62.9885,61.2081,62.7079,5660700
2025-06-02,62.2434,62.853,61.6919,62.8143,1775300
2025-06-03,62.9304,63.2981,62.4466,63.1336,2928000
2025-06-04,63.1142,63.3271,62.4466,62.5627,2981100
2025-06-05,62.5434,63.5787,62.3015,63.182,4307200
2025-06-06,63.3561,63.4335,62.6982,63.3658,2738500
2025-06-09,63.0755,64.0915,62.9885,63.5109,1840300
2025-06-10,63.3948,64.0238,63.1529,63.7528,2142200
2025-06-11,63.6754,64.0238,63.3271,63.4239,1393700
2025-06-12,63.7044,63.9463,63.3078,63.6658,1634400
2025-06-13,63.5884,63.9657,62.8046,63.0949,1750700
2025-06-16,63.4335,63.7722,61.9628,62.2725,1934300
2025-06-17,62.108,62.466,60.8985,61.1501,2568000
2025-06-18,61.2662,61.392,60.3373,60.376,2799300
2025-06-20,60.6953,61.3049,60.2696,60.4921,5066300
2025-06-23,61.005,61.7016,60.734,61.3146,3175600
2025-06-24,61.4404,62.0306,61.3049,61.7693,2793800
2025-06-25,61.3049,61.6532,60.3664,60.4341,2292900
2025-06-26,60.6083,61.392,60.4534,61.1985,2389500
2025-06-27,61.2565,62.166,61.063,61.3049,2858700
2025-06-30,61.1404,62.3208,59.8729,61.5565,4386100
2025-07-01,61.6145,63.0078,61.2468,62.4563,2135200
2025-07-02,62.166,62.8433,61.8758,62.3595,1855900
2025-07-03,62.5434,62.9981,62.1951,62.4563,1471300
2025-07-07,62.466,62.7272,61.9822,62.3015,1781400
2025-07-08,61.8274,62.6788,61.1791,62.466,2257400
2025-07-09,62.6595,63.0272,61.8467,62.9981,1972000
2025-07-10,62.2725,63.9851,62.0209,63.9657,1484600
2025-07-11,63.3078,63.927,63.0562,63.5787,1605800
2025-07-14,63.4432,64.0431,62.9691,63.2594,2174200
2025-07-15,63.1723,63.3174,62.2047,62.6208,1479700
2025-07-16,62.8336,63.3465,62.2725,62.6885,1962700
2025-07-17,62.5047,63.1336,62.2338,62.7369,2106400
2025-07-18,62.6885,63.4239,62.6885,63.2884,3868800
2025-07-21,63.4045,63.8302,62.9594,63.4142,1379200
2025-07-22,63.7141,64.5172,63.3271,64.4495,1591800
2025-07-23,64.5946,64.7107,63.8883,64.2173,1599700
2025-07-24,64.3334,64.4108,63.927,64.256,1594300
2025-07-25,64.256,64.6236,64.0431,64.4592,1715900
2025-07-28,64.3237,64.4108,62.8724,63.0659,1695100
2025-07-29,63.1142,64.2656,62.9498,64.2173,1848900
2025-07-30,64.0431,64.6623,63.6367,63.8496,1859300
2025-07-31,63.3852,64.1495,63.3852,63.956,4534200
2025-08-01,64.4205,64.4205,63.1046,63.4239,2841200
2025-08-04,63.6174,64.5366,63.6174,64.3043,2027800
2025-08-05,64.4592,64.9139,63.5593,63.7432,1606900
2025-08-06,64.3334,64.3334,63.3078,63.3078,1982700
2025-08-07,63.6851,64.1108,63.5787,63.7915,1692800
2025-08-08,63.8496,64.1205,62.495,62.9304,2162500
2025-08-11,63.3174,63.598,63.0175,63.5593,2163300
2025-08-12,63.5593,63.7141,62.9981,63.6851,1784100
2025-08-13,63.6851,64.1592,63.3852,64.1495,1432300
2025-08-14,63.8302,64.0818,63.3465,63.3852,2176900
2025-08-15,63.627,63.6754,63.0852,63.4045,2314000
2025-08-18,63.5496,63.6948,62.3015,62.4466,1924400
2025-08-19,62.5047,63.598,62.5047,63.5787,1375900
2025-08-20,64.0528,64.972,63.5206,63.5787,1853000
2025-08-21,63.5109,63.8302,63.182,63.2981,1456400
2025-08-22,63.7625,64.4495,63.569,64.3721,1528800
2025-08-25,61.4404,62.137,59.5342,61.3339,6013500
2025-08-26,61.3146,62.2047,61.2275,62.0306,5334600
2025-08-27,62.466,62.8627,62.108,62.6982,2512700
2025-08-28,62.6208,62.8046,62.0112,62.2144,1886900
2025-08-29,62.2144,62.6498,61.8854,61.9919,1740700
2025-09-02,61.6822,62.0596,60.9759,61.6339,1780300
2025-09-03,61.1888,61.5565,60.9372,61.2468,1944700
2025-09-04,61.6822,61.7403,60.734,61.3629,2336900
2025-09-05,61.5081,61.7016,60.9082,61.4694,1653300
2025-09-08,61.4113,61.6532,60.4244,60.8211,2591000
2025-09-09,60.8308,62.4079,60.5986,61.808,3149300
2025-09-10,61.9435,62.1564,61.4791,61.9338,3130300
2025-09-11,61.9338,62.9885,61.5081,62.9401,2725500
2025-09-12,62.6885,63.6948,62.5047,63.569,2168900
2025-09-15,63.6658,64.0915,63.2691,63.3948,2869600
2025-09-16,63.2691,63.3271,61.3049,61.3629,2994500
2025-09-17,61.8854,62.0983,61.1791,61.2468,2604100
2025-09-18,60.9566,62.0693,60.8501,61.808,3176700
2025-09-19,62.3208,67.2167,61.6242,64.8268,13697800
2025-09-22,64.5851,67.1392,63.998,66.2095,6796700
2025-09-23,66.1508,67.9807,65.9943,67.9318,3831200
2025-09-24,67.9514,68.1471,67.4034,67.6187,3835400
2025-09-25,67.237,68.0297,66.963,67.0315,3175500
2025-09-26,67.3545,68.47,67.1196,68.2743,3139200
2025-09-29,68.3526,69.1354,67.9807,69.018,2462500
2025-09-30,69.0082,69.6443,68.5581,69.6149,2599100
2025-10-01,70.0846,70.4467,69.6443,70.0651,3624600
2025-10-02,69.5367,70.4174,69.4975,70.251,2994300
2025-10-03,70.4565,71.9048,70.3195,70.9751,2659200
2025-10-06,71.2589,71.6014,70.9458,71.1415,2719500
2025-10-07,71.347,71.5036,70.4663,71.2785,3379900
2025-10-08,71.5623,72.8638,71.0828,71.9146,2916500
2025-10-09,71.9243,71.9341,70.7794,70.8381,1771000
2025-10-10,71.1806,71.2589,70.3782,70.799,1459100
2025-10-13,70.0162,70.5348,69.0865,69.4486,2970700
2025-10-14,69.2822,69.7715,68.8223,69.0767,2986800
2025-10-15,69.5758,70.9262,69.1942,70.6914,2094300
2025-10-16,70.5935,71.1121,69.6639,69.8302,2116000
2025-10-17,70.3586,71.0143,69.9868,71.0045,2843500
2025-10-20,71.484,71.7873,70.5935,71.2883,2344400
2025-10-21,72.5506,72.5996,71.347,71.6406,2544100
2025-10-22,71.6406,71.9733,71.0926,71.5525,2771800
2025-10-23,71.8558,72.4332,71.4351,72.306,2336200
2025-10-24,72.306,73.4411,72.1201,73.0693,1807300
2025-10-27,72.58,73.1769,72.1494,73.1084,1680400
2025-10-28,73.4803,73.6368,71.8069,73.2748,2287200
2025-10-29,72.9714,73.1182,71.7971,72.2277,1960800
2025-10-30,71.9243,72.6974,71.8069,72.2179,2358500
2025-10-31,71.9341,72.7463,71.1806,72.2277,3103700
2025-11-03,71.7971,73.0301,70.7599,72.7659,2638600
2025-11-04,73.3041,73.3041,72.0026,72.2375,3406600
2025-11-05,72.4038,72.6974,70.525,71.347,3167800
2025-11-06,70.2216,71.5427,69.6247,70.0064,2716800
2025-11-07,70.3195,71.5819,70.2314,71.4742,2701700
