date,open,high,low,close,volume
2025-03-14,68.43,69.66,67.78,69.29,3587100
2025-03-17,68.86,71.05,68.64,70.63,5653000
2025-03-18,70.39,71.08,70.02,70.34,3717500
2025-03-19,70.38,71.2,69.96,70.9,5201500
2025-03-20,70.67,71.85,70.16,70.95,4052900
2025-03-21,70.62,70.94,69.82,70.46,7144400
2025-03-24,70.83,72.24,70.63,71.35,3603100
2025-03-25,71.46,72.29,70.78,71.24,6112400
2025-03-26,71.02,71.42,70.39,71.09,3487900
2025-03-27,70.83,71.57,70.32,71.19,3079200
2025-03-28,70.92,71.66,70.63,70.91,4513900
2025-03-31,70.39,72.74,70.33,72.48,5036100
2025-04-01,72.18,72.45,71.23,71.87,3130400
2025-04-02,70.82,72.36,70.73,72.05,2865300
2025-04-03,71.0,73.26,70.82,72.98,6930500
2025-04-04,71.43,71.72,68.83,69.36,7511800
2025-04-07,67.98,71.22,66.86,69.0,5654500
2025-04-08,70.25,70.78,66.42,67.07,5839400
2025-04-09,66.58,70.5,65.94,69.9,8766400
2025-04-10,69.28,69.35,66.77,68.26,5423500
2025-04-11,68.7,69.83,67.13,69.4,4890100
2025-04-14,69.97,70.3,69.36,69.87,3576200
2025-04-15,70.33,70.99,69.95,70.76,3669200
2025-04-16,70.87,71.91,70.52,71.2,4222100
2025-04-17,71.28,72.15,70.55,71.53,3252300
2025-04-21,71.2,71.2,68.63,69.2,3767400
2025-04-22,69.8,70.79,69.21,70.6,3005600
2025-04-23,71.97,72.75,69.84,70.46,7500100
2025-04-24,74.2,76.29,72.94,75.13,11705300
2025-04-25,74.82,76.1,74.1,76.04,6330200
2025-04-28,76.38,76.6,74.94,75.54,5001900
2025-04-29,75.5,76.58,74.96,76.28,4491200
2025-04-30,76.18,76.35,74.52,75.49,4900100
2025-05-01,75.54,75.82,74.15,75.18,5139700
2025-05-02,76.58,77.12,75.41,75.65,3286800
2025-05-05,75.12,75.54,74.64,75.11,2457600
2025-05-06,74.41,75.36,74.25,74.92,2433700
2025-05-07,74.83,75.75,74.41,75.04,2420000
2025-05-08,75.43,76.13,74.51,74.63,3743900
2025-05-09,74.67,74.91,73.61,73.68,3814700
2025-05-12,74.4,74.84,73.68,74.8,3789000
2025-05-13,74.88,75.94,74.08,75.5,5657600
2025-05-14,75.44,77.24,75.35,76.75,7672100
2025-05-15,76.93,77.27,76.11,76.88,4542600
2025-05-16,76.86,78.28,76.84,78.0,4985800
2025-05-19,77.74,78.26,77.2,78.04,5518500
2025-05-20,78.0,78.37,77.54,77.83,5333200
2025-05-21,77.55,77.77,75.43,76.1,4413000
2025-05-22,76.0,76.17,74.69,74.79,4287200
2025-05-23,74.8,75.15,74.2,74.99,3738100
2025-05-27,75.46,76.47,75.28,76.22,3499400
2025-05-28,77.01,78.75,76.31,76.66,6036600
2025-05-29,76.82,78.0,76.44,77.73,4110800
2025-05-30,77.6,78.3,76.93,78.22,9048500
2025-06-02,77.49,78.14,76.25,78.1,3374800
2025-06-03,77.37,78.37,77.13,77.72,4093400
2025-06-04,77.05,78.46,77.05,77.85,3444000
2025-06-05,77.75,78.27,77.37,77.77,2308000
2025-06-06,77.22,77.8,76.54,77.52,2633900
2025-06-09,77.25,77.37,75.28,76.36,2492000
2025-06-10,75.98,76.55,75.47,75.8,2911800
2025-06-11,75.81,76.15,75.3,75.47,4874500
2025-06-12,75.28,76.62,75.26,75.89,2851300
2025-06-13,75.2,75.92,75.01,75.15,2661800
2025-06-16,75.15,75.81,74.54,74.82,2925600
2025-06-17,74.32,74.53,72.98,73.27,3037400
2025-06-18,72.78,74.56,72.42,73.98,3983300
2025-06-20,74.43,74.75,73.35,73.83,7031000
2025-06-23,73.71,75.69,73.38,75.32,3796200
2025-06-24,75.71,76.63,74.12,75.85,4651000
2025-06-25,75.79,77.27,75.67,76.97,3724600
2025-06-26,76.99,77.9,76.67,77.15,4814200
2025-06-27,77.25,78.25,76.94,78.21,6205600
2025-06-30,78.06,78.53,77.67,78.21,3098900
2025-07-01,77.7,78.03,76.92,77.18,3143200
2025-07-02,76.79,78.07,76.3,77.02,3082700
2025-07-03,77.21,77.43,76.5,76.79,1679400
2025-07-07,76.8,77.43,76.03,76.69,2503600
2025-07-08,76.68,77.3,76.16,76.39,2412000
2025-07-09,76.79,77.36,75.84,77.19,2635600
2025-07-10,77.65,78.9,77.21,78.8,4298300
2025-07-11,78.26,78.39,77.05,78.05,3780200
2025-07-14,77.94,78.81,77.81,78.28,4845100
2025-07-15,78.69,78.73,76.81,76.81,3990900
2025-07-16,77.03,77.04,75.3,76.14,5066400
2025-07-17,76.18,76.56,75.44,76.18,4140700
2025-07-18,76.5,77.36,76.37,76.49,4816600
2025-07-21,76.98,77.57,76.52,76.56,2869100
2025-07-22,76.47,77.02,76.07,76.3,4867600
2025-07-23,77.07,77.54,76.58,76.91,5237300
2025-07-24,76.86,77.08,75.39,75.8,7545800
2025-07-25,81.5,83.0,77.52,80.0,15656700
2025-07-28,80.45,80.73,78.37,78.49,6024500
