date,open,high,low,close,volume
2025-03-14,98.0956,100.0934,97.5234,99.5018,3644800
2025-03-17,99.4048,102.5664,98.8714,102.3821,4954400
2025-03-18,103.4004,105.5534,102.8573,103.769,4952600
2025-03-19,103.798,105.7086,103.2162,105.2818,5783600
2025-03-20,105.0685,106.3195,104.6321,105.951,6788500
2025-03-21,105.7474,106.271,103.8368,104.1084,53145100
2025-03-24,104.7678,106.0965,104.1181,105.8055,5712500
2025-03-25,105.9025,106.7753,105.4952,106.4941,4518400
2025-03-26,106.6784,107.813,106.0965,106.6202,4182900
2025-03-27,106.659,107.1827,105.8637,106.3292,2805200
2025-03-28,106.4165,107.8179,106.2322,107.59,3031200
2025-03-31,107.59,108.841,106.5814,107.9585,3077200
2025-04-01,108.0361,109.4132,107.3475,109.3356,3140600
2025-04-02,108.9235,110.5818,108.4822,110.4315,3048400
2025-04-03,107.2505,109.258,107.0663,107.2118,4792100
2025-04-04,103.672,103.769,95.2929,96.99,10622600
2025-04-07,95.1183,101.9263,93.8818,97.0385,7631500
2025-04-08,101.8293,102.3918,95.5644,96.99,6351800
2025-04-09,95.031,101.0729,92.4707,100.6656,8978600
2025-04-10,98.435,99.0121,94.4976,96.5439,4360100
2025-04-11,96.9124,101.0409,96.4954,100.297,4418600
2025-04-14,102.6925,102.9155,99.4242,99.8122,2820700
2025-04-15,100.0158,101.8196,99.6085,101.0826,2291200
2025-04-16,100.8886,103.1386,100.8886,101.5869,3219600
2025-04-17,103.061,104.0599,102.4985,103.255,3595900
2025-04-21,103.1871,103.1871,98.1635,99.1527,3116300
2025-04-22,100.7917,101.2766,98.949,99.8994,2556200
2025-04-23,99.8994,102.7507,98.2973,101.8487,3538000
2025-04-24,101.7808,102.1736,100.6704,101.2475,2447600
2025-04-25,100.0449,102.2561,99.9091,102.1203,1986300
2025-04-28,102.2851,104.0987,102.2221,103.8756,2878900
2025-04-29,103.1192,104.7387,102.3627,104.2248,3130200
2025-04-30,101.3541,102.7313,98.8036,100.7626,6136500
2025-05-01,98.1732,102.3821,98.1732,100.3068,3977100
2025-05-02,102.1639,102.964,100.2098,102.6828,2828000
2025-05-05,102.2076,105.5631,102.1251,105.0782,3301500
2025-05-06,105.5437,106.7947,104.5836,105.2334,2782400
2025-05-07,105.7764,107.5415,105.0345,106.979,2500800
2025-05-08,107.8615,108.3319,105.4419,105.5243,3434800
2025-05-09,107.0469,109.6353,106.3923,108.9865,2943600
2025-05-12,109.9078,110.2181,105.8055,107.5706,4011300
2025-05-13,109.3938,110.5964,108.5743,109.6847,3263700
2025-05-14,108.8507,110.1406,108.0846,109.8884,2465200
2025-05-15,109.3669,111.5504,109.3669,111.2092,2685000
2025-05-16,111.9987,111.9987,110.4196,111.141,1919300
2025-05-19,111.141,111.4431,109.5229,110.6146,2617200
2025-05-20,111.1117,113.0125,110.4684,112.0182,2715600
2025-05-21,112.0182,113.5193,111.6576,111.8135,2465600
2025-05-22,111.794,112.5397,110.7316,111.5016,3273800
2025-05-23,111.7258,113.2562,111.1117,113.032,1820500
2025-05-27,114.1237,114.6598,112.3984,114.3186,1883000
2025-05-28,114.6891,114.6891,112.1157,112.4666,1899100
2025-05-29,112.9053,113.0807,112.0475,112.759,1457700
2025-05-30,112.9443,113.6071,111.8525,113.1977,5078500
2025-06-02,115.3714,116.3949,114.3381,116.2876,2593000
2025-06-03,116.3851,117.009,115.0156,115.2349,2659400
2025-06-04,115.1569,115.3811,113.0905,113.2659,2146600
2025-06-05,113.4121,113.7825,111.9032,112.6518,1691600
2025-06-06,113.1489,114.8011,112.8663,114.3869,1536700
2025-06-09,113.5583,113.6948,111.7063,112.0377,2490600
2025-06-10,112.7298,113.2659,108.4896,109.7276,3332100
2025-06-11,110.4879,110.8583,108.9575,109.3962,2771700
2025-06-12,109.3669,112.106,109.1427,112.0572,2613200
2025-06-13,112.3496,113.8605,108.821,113.5193,2314400
2025-06-16,114.1237,116.9505,113.7533,115.6151,2617300
2025-06-17,116.1999,116.9505,114.9035,116.5703,2957700
2025-06-18,116.9992,118.0422,115.3129,117.7205,3101800
2025-06-20,118.3054,120.2305,117.8472,118.9682,5906900
2025-06-23,118.8317,120.0307,117.6425,118.3833,3080900
2025-06-24,117.935,120.1769,117.5158,119.4361,4037800
2025-06-25,119.1144,119.1144,115.732,116.0732,2714700
2025-06-26,116.0927,116.312,114.6891,115.6735,2737100
2025-06-27,115.6833,116.4241,114.9863,115.9562,5158300
2025-06-30,114.6793,115.654,113.4121,113.9872,2600200
2025-07-01,113.4999,113.7046,108.0997,108.3824,3997800
2025-07-02,109.3182,109.5619,106.3696,107.5539,3481000
2025-07-03,108.6066,108.6066,105.2145,105.9943,1807000
2025-07-07,105.5166,107.2907,105.0488,106.1502,3064000
2025-07-08,106.3159,106.9398,103.0213,103.6939,4017900
2025-07-09,102.8946,104.0691,100.5474,102.5437,3383000
2025-07-10,102.2902,103.0798,100.7745,102.5437,2646300
2025-07-11,103.031,103.996,102.5778,102.9043,2660300
