date,open,high,low,close,volume
2025-03-14,115.5226,115.7301,112.6279,113.764,1836700
2025-03-17,113.6553,115.7795,113.4973,115.493,1316400
2025-03-18,115.3744,117.627,114.9595,115.7893,1169000
2025-03-19,115.9869,116.56,114.3864,114.999,1113800
2025-03-20,114.3469,115.4337,113.7443,114.2778,1310900
2025-03-21,113.1515,114.9891,112.7761,114.9002,3662100
2025-03-24,115.0089,116.5106,114.7915,116.4513,1331700
2025-03-25,116.5204,117.0441,115.9277,116.8959,1169800
2025-03-26,117.3207,118.8915,117.3207,117.7356,1855900
2025-03-27,117.953,119.1978,117.1923,118.8323,942400
2025-03-28,118.5062,118.9212,117.6368,118.2889,967800
2025-03-31,118.2494,119.5041,117.953,118.8026,1376700
2025-04-01,118.8916,120.9268,118.3185,120.7687,1058400
2025-04-02,120.3636,120.7983,119.099,120.4229,1158600
2025-04-03,113.8035,114.5939,105.9492,109.3281,3901800
2025-04-04,107.5201,110.5828,105.8801,107.6683,2114600
2025-04-07,105.2181,108.9329,102.4321,104.3883,2185000
2025-04-08,105.8702,107.0557,100.466,101.6022,1729600
2025-04-09,100.3376,109.0218,99.2607,108.6069,2348400
2025-04-10,108.0832,108.5772,104.0128,106.957,1528700
2025-04-11,107.3126,110.3555,106.5618,108.8242,2297300
2025-04-14,110.1678,111.2348,109.2886,110.7013,1236900
2025-04-15,110.3061,111.1459,108.5278,108.7056,828200
2025-04-16,107.4608,108.8538,103.8053,104.2104,1480400
2025-04-17,105.1193,106.1369,104.5167,105.4157,1288300
2025-04-21,104.3981,104.6846,102.5111,103.5287,1229200
2025-04-22,104.3191,105.9986,103.7461,105.8208,1134000
2025-04-23,107.7967,109.0218,105.0798,105.801,1505100
2025-04-24,105.8504,110.0592,105.7022,109.6442,1617800
2025-04-25,108.7748,109.4763,106.2753,107.2731,1327000
2025-04-28,107.6683,108.8637,106.4333,107.3818,1143100
2025-04-29,106.7297,107.6782,106.3247,107.0557,1125500
2025-04-30,106.7297,108.7847,105.6232,108.5871,1324000
2025-05-01,108.7056,109.8418,107.7276,108.2907,1108600
2025-05-02,109.8221,112.1339,109.4565,111.2348,987500
2025-05-05,110.237,111.1558,109.1996,110.4247,1146700
2025-05-06,105.6726,107.856,104.7242,104.902,2507400
2025-05-07,105.89,108.676,104.9415,106.6902,3163200
2025-05-08,108.0042,109.911,107.0557,108.9131,1409300
2025-05-09,108.9625,109.2886,107.0953,107.7868,916000
2025-05-12,112.0055,115.3645,111.9659,114.6828,1809300
2025-05-13,115.4534,115.4534,113.4775,113.9221,1230700
2025-05-14,113.4182,113.4182,112.1734,112.8946,1237800
2025-05-15,112.7365,113.6949,112.1833,113.6158,936600
2025-05-16,114.3173,117.0144,114.0802,116.9057,3300500
2025-05-19,115.6708,116.9057,115.6016,116.718,1149400
2025-05-20,116.718,117.0045,114.5445,114.999,1170500
2025-05-21,113.7047,114.1592,111.9363,112.1042,1389000
2025-05-22,111.7091,112.9045,110.9286,112.3216,1396700
2025-05-23,109.99,111.8573,109.4861,111.1064,1102900
2025-05-27,112.1932,113.517,111.3435,112.9045,1519500
2025-05-28,112.8551,113.0823,110.6618,110.7804,1438300
2025-05-29,111.5806,112.0944,110.7507,111.9066,1565500
2025-05-30,111.9659,112.371,110.8495,111.3732,2573300
2025-06-02,110.9156,110.9951,109.3239,110.6271,1446100
2025-06-03,110.1396,111.6019,109.503,111.1742,859900
2025-06-04,111.4428,111.9899,110.5773,110.9852,738200
2025-06-05,111.2339,111.2438,110.2491,110.5674,941600
2025-06-06,111.592,112.1789,110.836,111.771,1030000
2025-06-09,112.3977,112.9648,111.582,112.4077,973700
2025-06-10,113.0443,114.5365,112.169,114.3276,884800
2025-06-11,114.6161,114.6161,113.2134,113.8501,1367100
