date,open,high,low,close,volume
2025-03-14,159.2036,161.7826,157.9637,160.8006,1879400
2025-03-17,162.963,166.4446,161.5049,165.0163,1974100
2025-03-18,165.165,167.873,162.8142,163.826,1869800
2025-03-19,164.0442,173.5766,164.0442,171.0868,2219900
2025-03-20,169.4303,174.8561,169.4303,171.6919,2404700
2025-03-21,170.7595,172.9913,168.6864,172.4061,4416400
2025-03-24,176.1258,177.1177,173.1798,176.8499,1948600
2025-03-25,176.9888,178.2485,172.902,175.4314,1820600
2025-03-26,175.5505,177.0582,170.9876,172.0291,1578900
2025-03-27,170.948,171.2356,163.7268,167.7044,2219300
2025-03-28,166.5339,169.1129,164.3616,166.7422,1807200
2025-03-31,164.0938,167.0795,159.4615,166.7422,2405300
2025-04-01,165.0758,166.6827,161.3561,166.3454,2324600
2025-04-02,164.2227,167.8333,163.8656,166.4942,1915900
2025-04-03,157.6661,158.7671,150.9607,151.1393,3400900
2025-04-04,143.799,145.5647,138.0459,140.7142,4650800
2025-04-07,133.9393,147.9254,128.9599,138.6906,4698500
2025-04-08,144.3744,148.2925,133.1656,135.5264,3555300
2025-04-09,135.0304,162.0702,135.0304,160.374,5720900
2025-04-10,154.1646,154.9185,144.8505,148.3123,2806100
2025-04-11,148.4908,150.1573,143.1642,149.3141,3124000
2025-04-14,153.3314,153.3314,145.8821,148.0246,1854000
2025-04-15,149.0761,152.4288,148.7785,150.3656,1427300
2025-04-16,148.8082,154.2638,148.7785,151.3376,2198100
2025-04-17,153.3215,153.3215,147.2509,149.9291,2152300
2025-04-21,147.8659,149.2149,143.0352,145.4853,1411500
2025-04-22,148.2131,152.7561,145.9515,151.6947,1484500
2025-04-23,157.2198,162.4274,153.8175,155.0078,1493800
2025-04-24,153.4504,158.8663,151.9824,158.2613,1366100
2025-04-25,157.8843,159.2234,156.9122,158.8167,1020700
2025-04-28,159.154,161.2271,157.4677,159.9376,1470900
2025-04-29,159.7392,160.8303,156.3766,158.8564,2204900
2025-04-30,149.9192,156.208,143.5213,155.6624,2838400
2025-05-01,158.4596,160.8006,156.446,156.6841,2251900
2025-05-02,158.9159,161.0486,156.5254,160.4832,2694300
2025-05-05,158.9159,165.5519,157.7256,164.2822,1796400
2025-05-06,162.8142,165.5816,162.4769,163.3994,1729600
2025-05-07,163.6672,168.855,163.3697,165.2146,2206900
2025-05-08,167.139,171.4935,166.147,167.625,3648300
2025-05-09,151.3575,157.3289,147.3501,155.3946,6379500
2025-05-12,162.9035,167.754,161.981,165.8991,3188400
2025-05-13,167.2183,172.2573,166.0677,168.0019,2875600
2025-05-14,168.5475,170.4917,167.3374,167.8532,2124500
2025-05-15,167.7837,168.8054,164.2822,164.8675,1797100
2025-05-16,163.6375,165.7403,162.9729,165.3138,1759800
2025-05-19,162.7448,164.9468,162.3678,164.1533,1825500
2025-05-20,162.834,163.9847,159.5508,161.2073,4099100
2025-05-21,159.65,162.7745,157.1702,158.053,1973700
