date,open,high,low,close,volume
2025-03-14,138.093,140.2869,137.4841,140.1323,1543800
2025-03-17,138.2399,140.5711,137.7908,140.0934,1125200
2025-03-18,139.2431,141.4405,138.7749,141.3259,1336600
2025-03-19,140.4756,141.8705,139.0233,140.2462,1192100
2025-03-20,140.8673,141.3928,139.0138,139.3673,1288200
2025-03-21,139.0807,139.0807,136.9883,137.3896,1769800
2025-03-24,137.9437,139.8928,137.4947,139.4819,1248200
2025-03-25,139.5966,140.2367,136.6252,138.1443,1034900
2025-03-26,138.7271,139.4915,137.294,139.0902,532700
2025-03-27,139.8068,141.8227,138.3354,138.7176,650400
2025-03-28,139.8641,139.8641,138.1539,138.9756,612700
2025-03-31,139.5679,142.7686,139.5679,141.8705,1355000
2025-04-01,142.5584,142.9979,139.9214,141.2495,830000
2025-04-02,140.7526,141.5456,138.966,140.896,1442500
2025-04-03,139.5392,141.9182,137.0074,137.7335,1530000
2025-04-04,136.4724,137.8577,131.7526,132.0488,1378900
2025-04-07,131.3513,132.622,124.9118,126.4786,1775800
2025-04-08,128.915,128.915,119.3416,120.9659,1634700
2025-04-09,118.6728,130.1379,115.6346,129.6411,1864000
2025-04-10,128.7525,131.122,123.1538,125.9627,2067900
2025-04-11,124.9118,128.0169,122.8194,127.9022,1346100
2025-04-14,128.3131,131.657,128.0264,131.5328,1139900
2025-04-15,131.3895,133.0424,130.8067,132.0774,1171000
2025-04-16,132.8131,133.8163,130.9691,132.0583,632800
2025-04-17,133.2812,135.7653,132.8513,134.8863,714500
2025-04-21,133.5297,134.4564,130.2621,132.0392,946700
2025-04-22,134.3418,136.5106,133.673,135.5074,789700
2025-04-23,137.7335,138.0106,133.9883,135.001,798300
2025-04-24,135.4214,136.8832,134.2176,135.536,906100
2025-04-25,135.4405,136.0902,133.4914,134.7621,730000
2025-04-28,134.294,135.7844,134.0934,135.5838,804100
2025-04-29,135.2303,135.9469,133.845,135.1252,1154400
2025-04-30,137.0552,140.3323,135.1634,139.9883,1782900
2025-05-01,140.0838,143.38,139.0233,141.6698,1467700
2025-05-02,144.0393,144.8227,142.2335,142.8928,838100
2025-05-05,142.5775,143.6189,141.5456,142.7208,833000
2025-05-06,141.5265,142.5297,140.5616,140.6571,654900
2025-05-07,140.8004,142.3577,140.3227,140.6666,996000
2025-05-08,140.9437,142.3386,139.1858,140.8577,925200
2025-05-09,140.9724,142.7686,140.9724,141.8036,522300
2025-05-12,143.4278,144.3355,140.5807,142.2526,876100
2025-05-13,142.9119,143.2463,139.4342,140.466,914500
2025-05-14,139.6061,139.9501,138.2112,139.3099,1001700
2025-05-15,139.9119,142.0711,139.5584,141.9565,687100
2025-05-16,142.0233,145.1189,141.8418,144.9947,646600
2025-05-19,143.2941,146.017,143.0743,145.7877,699200
2025-05-20,144.9183,146.5329,144.4883,145.2813,928200
2025-05-21,144.1348,144.7367,138.2876,138.9278,849100
2025-05-22,138.7845,139.3482,136.4437,138.3259,1425900
2025-05-23,138.6603,139.6252,137.7144,139.2335,829200
2025-05-27,140.6953,141.6412,139.0711,141.3259,844700
2025-05-28,141.2208,142.0042,140.3323,141.8705,753100
2025-05-29,142.4246,144.7272,141.794,144.0871,759500
2025-05-30,143.3227,144.8227,142.5584,144.4119,1450400
2025-06-02,143.6285,146.4087,142.1858,146.1699,1123000
2025-06-03,145.4055,145.6826,142.7112,143.2463,1008000
2025-06-04,142.5584,143.724,141.5361,142.9979,1105900
2025-06-05,142.9214,143.6762,142.0425,142.7686,694800
2025-06-06,143.3896,144.6507,141.8896,143.1507,692700
2025-06-09,143.0934,145.1667,142.1858,143.7336,1219500
2025-06-10,144.0871,145.3673,143.6093,144.8609,776100
2025-06-11,145.4629,146.1316,143.0456,143.5711,789200
2025-06-12,143.7336,144.5648,142.931,143.8004,812500
2025-06-13,142.3864,143.3705,141.5647,142.931,945900
2025-06-16,143.6071,145.5195,143.0083,143.8872,874400
2025-06-17,143.5974,144.3798,141.9071,142.8441,635800
2025-06-18,143.1338,143.2787,141.2987,141.4532,948200
2025-06-20,141.4725,143.1338,140.9123,141.0862,2164100
2025-06-23,141.5111,144.1577,141.4435,143.8872,993300
2025-06-24,143.4043,144.206,141.4629,143.4622,1224400
2025-06-25,142.7668,143.7616,140.1299,140.4776,1051400
2025-06-26,140.9026,141.1344,138.8356,140.6805,1328400
2025-06-27,141.0186,142.96,140.3135,140.8833,1431500
2025-06-30,140.7867,142.535,137.8311,142.4094,1396200
2025-07-01,142.3515,147.036,142.2355,145.365,1598400
2025-07-02,145.0656,146.9297,144.8338,146.6013,1326100
2025-07-03,147.7411,148.1757,146.0991,147.6638,836000
2025-07-07,147.6831,148.7456,143.4139,143.9065,1225500
2025-07-08,142.7571,145.4713,142.7571,144.7179,998900
2025-07-09,144.8145,145.4133,143.2401,143.6361,798400
2025-07-10,143.327,145.8673,142.7958,143.7423,1052900
2025-07-11,143.6747,145.4616,142.4094,145.1139,1142700
2025-07-14,144.515,145.8286,144.3219,145.3167,1078400
2025-07-15,145.0269,145.9445,142.8344,142.902,1488900
2025-07-16,143.3656,144.0418,141.9844,143.8679,1041200
2025-07-17,143.752,144.8145,141.6753,142.2452,1231100
2025-07-18,142.0617,143.1049,140.9606,143.0566,761300
2025-07-21,143.5492,144.2156,142.5446,142.7571,1146300
2025-07-22,143.0276,146.2826,142.2838,146.1667,689300
2025-07-23,145.8576,146.5627,144.8821,145.8286,908100
2025-07-24,145.1429,145.9445,144.1963,145.3747,889400
2025-07-25,145.5292,146.7752,143.9355,145.7127,866700
2025-07-28,144.9014,145.5389,143.1338,143.2497,939100
2025-07-29,144.2253,146.7752,143.0565,146.7269,1125400
2025-07-30,146.8428,147.6831,143.5974,144.2446,1423400
2025-07-31,139.4635,139.5407,129.7757,129.7757,4363500
2025-08-01,132.5574,135.5324,130.8285,134.5471,3193400
2025-08-04,133.6585,135.2136,133.2625,133.3495,1309600
2025-08-05,133.929,134.4312,132.2483,133.8807,1484200
2025-08-06,134.3926,134.5858,133.0887,133.3398,1106600
2025-08-07,133.9097,134.0449,131.9393,133.5716,828500
2025-08-08,133.9193,134.3057,131.4756,131.7075,839500
2025-08-11,131.4563,132.0648,130.2586,130.616,1321600
2025-08-12,131.2438,132.0359,130.2586,130.9154,1049600
2025-08-13,131.3791,133.6296,130.7802,133.4944,1183300
2025-08-14,132.4125,132.4995,130.7512,131.9682,1475700
2025-08-15,132.5671,132.8665,131.07,132.3739,1195000
2025-08-18,132.3063,132.5478,131.5723,132.1904,1217100
2025-08-19,132.8762,134.8755,132.8182,134.7017,912400
2025-08-20,135.6,136.8556,134.7886,134.8755,1085300
2025-08-21,133.5426,135.0011,133.5426,134.2864,725900
2025-08-22,135.1074,139.3572,134.5858,137.8794,940400
2025-08-25,137.4448,138.1113,135.3006,135.4068,562100
2025-08-26,137.0971,137.4255,135.2426,135.7642,1295900
2025-08-27,137.0198,137.5993,135.3295,136.7397,1086800
2025-08-28,136.9425,137.5607,136.4113,137.4641,649000
2025-08-29,137.5124,138.8743,137.5027,138.6811,857300
2025-09-02,137.2516,137.7635,135.6772,136.0539,1185700
2025-09-03,135.8414,138.3141,135.7641,138.3141,925800
2025-09-04,139.251,139.3862,137.1164,138.9322,1435500
2025-09-05,140.0333,142.9503,139.7532,142.2549,1229000
2025-09-08,140.2169,142.1293,139.193,142.0038,1434000
2025-09-09,141.1055,141.9651,139.0095,139.9368,1206000
2025-09-10,140.0527,140.6322,139.647,140.0527,944900
2025-09-11,140.0913,143.4912,140.0623,143.2497,959000
2025-09-12,143.2497,144.2156,142.0424,142.1293,1176600
2025-09-15,143.0376,143.7114,140.2249,140.3714,892900
2025-09-16,140.01,140.9769,139.385,140.0686,981500
2025-09-17,140.6448,142.4321,139.3264,139.8342,738100
2025-09-18,139.5022,140.3714,138.6915,139.3557,875100
2025-09-19,138.9845,139.7463,136.0253,136.0644,2182100
