date,open,high,low,close,volume
2025-03-14,9.188,9.3116,9.169,9.2546,91313800
2025-03-17,9.2641,9.4924,9.2641,9.4353,98583100
2025-03-18,9.4638,9.5494,9.3972,9.4638,102730900
2025-03-19,9.4733,9.7777,9.4638,9.6731,124697400
2025-03-20,9.578,9.654,9.5019,9.5209,109103700
2025-03-21,9.4258,9.6255,9.3497,9.5114,240638600
2025-03-24,9.5494,9.7492,9.5209,9.7492,102847200
2025-03-25,9.7967,9.8443,9.6731,9.7872,83674900
2025-03-26,9.7682,9.8443,9.597,9.7967,139742100
2025-03-27,9.7587,9.8918,9.3402,9.4163,229032500
2025-03-28,9.3592,9.4068,9.1499,9.2451,136868300
2025-03-31,9.1024,9.616,9.0834,9.5399,139951900
2025-04-01,9.6065,9.6731,9.3307,9.4543,135388700
2025-04-02,9.3592,9.7682,9.3402,9.654,136908500
2025-04-03,9.5019,9.7016,9.0643,9.0739,220271000
2025-04-04,8.8646,9.2546,8.7505,9.1119,177466200
2025-04-07,8.817,9.169,8.5602,8.7885,274938500
2025-04-08,9.0548,9.0548,8.1322,8.2654,199286800
2025-04-09,8.0847,9.0739,8.0276,9.0358,199663000
2025-04-10,8.6554,8.8266,8.4461,8.6934,163535400
2025-04-11,8.6649,8.8931,8.5983,8.8741,146073700
2025-04-14,8.9217,9.3307,8.7505,9.2355,189955000
2025-04-15,9.1499,9.1595,8.9217,8.9883,125469000
2025-04-16,9.0073,9.1499,8.8361,8.9407,133804900
2025-04-17,8.9502,9.2165,8.9407,9.1595,129204600
2025-04-21,9.1119,9.1595,8.8931,9.0073,94138900
2025-04-22,9.0834,9.2451,9.0643,9.1785,121387100
2025-04-23,9.3592,9.5209,9.2355,9.3021,158691500
2025-04-24,9.3877,9.597,9.3402,9.5684,87031000
2025-04-25,9.5589,9.6065,9.4828,9.5494,88682400
2025-04-28,9.5684,9.6826,9.4828,9.5304,77051500
2025-04-29,9.578,9.6921,9.4448,9.654,141980300
2025-04-30,9.616,9.635,9.3782,9.5209,136406200
2025-05-01,9.6445,9.8157,9.5304,9.6826,126532500
2025-05-02,9.7967,9.8823,9.7206,9.7777,82228700
2025-05-05,9.7301,9.7397,9.6065,9.6731,105766300
2025-05-06,9.597,10.1011,9.5684,9.9299,131814000
2025-05-07,9.9489,9.9965,9.6255,9.7777,116885100
2025-05-08,9.8348,9.9489,9.7587,9.7777,107173400
2025-05-09,9.8538,9.9774,9.8443,9.9204,76350700
2025-05-12,10.1906,10.3546,10.1134,10.1809,102035800
2025-05-13,10.2292,10.2581,10.0555,10.2292,83671000
2025-05-14,10.2002,10.3257,10.1134,10.2774,84453100
2025-05-15,10.2195,10.4029,10.1809,10.3739,71096500
2025-05-16,10.3932,10.4318,10.2678,10.4222,64913000
2025-05-19,10.316,10.4125,10.2581,10.3739,60195700
2025-05-20,10.4125,10.4608,10.2871,10.345,61063800
2025-05-21,10.2871,10.316,10.0844,10.1134,89090500
2025-05-22,10.1134,10.1327,9.9783,10.0748,94081100
2025-05-23,9.9397,10.0458,9.93,9.9976,80519000
2025-05-27,10.0844,10.123,9.8528,9.9493,89066800
2025-05-28,9.959,9.9783,9.7949,9.8142,102335600
2025-05-29,9.8528,9.9204,9.7563,9.8625,101642200
2025-05-30,9.8239,10.0941,9.766,10.0169,152191600
2025-06-02,9.9107,9.9204,9.5344,9.6309,170340800
2025-06-03,9.6212,9.8721,9.544,9.8335,121584300
2025-06-04,9.8335,10.0072,9.8239,9.8818,123191200
2025-06-05,9.8432,9.8914,9.6791,9.7467,133191400
2025-06-06,9.8046,9.9879,9.7949,9.9011,105916700
2025-06-09,9.93,10.0844,9.93,9.9783,63638900
2025-06-10,10.0169,10.2774,9.9976,10.2292,87955500
2025-06-11,10.2678,10.3932,10.2388,10.2871,93094900
2025-06-12,10.2099,10.2195,10.0651,10.1616,76393300
2025-06-13,10.1037,10.1423,10.0169,10.0651,90106200
2025-06-16,10.1327,10.2967,10.1327,10.2485,75195200
2025-06-17,10.2195,10.2581,10.0169,10.0555,100969400
2025-06-18,10.0651,10.1616,10.0362,10.0651,82770200
2025-06-20,10.123,10.2292,10.0941,10.2195,116743400
2025-06-23,10.1809,10.3739,10.1713,10.3739,77576500
2025-06-24,10.4125,10.4897,10.345,10.3546,77244400
2025-06-25,10.3836,10.3932,10.0555,10.1134,91927300
2025-06-26,10.1327,10.2774,10.1037,10.2581,88416400
2025-06-27,10.3257,10.538,10.3064,10.4222,182008200
2025-06-30,10.345,10.4801,10.316,10.4704,88472200
2025-07-01,10.4318,10.9819,10.4125,10.9529,140150700
2025-07-02,10.9819,11.3679,10.9722,11.3582,122331600
2025-07-03,11.3389,11.5416,11.3389,11.3968,60311500
2025-07-07,11.1942,11.3775,11.0784,11.1845,73842100
2025-07-08,11.2424,11.4354,11.2328,11.2714,74190200
2025-07-09,11.3679,11.4837,11.3486,11.4161,63886900
2025-07-10,11.4451,11.5512,11.3679,11.4933,67263000
2025-07-11,11.4354,11.4451,11.3003,11.3679,65340700
2025-07-14,11.3486,11.4837,11.2617,11.4644,62098100
2025-07-15,11.4837,11.5126,11.117,11.1652,65101900
2025-07-16,10.9529,11.0494,10.7599,10.8468,107978100
