date,open,high,low,close,volume
2025-03-14,142.6279,147.0083,141.3624,146.2101,2738700
2025-03-17,146.7942,149.8897,146.2588,148.9649,1979600
2025-03-18,149.8994,150.9021,148.0791,150.8826,2352900
2025-03-19,151.2038,154.3577,151.0773,153.4135,2974500
2025-03-20,152.664,155.0197,151.8171,154.2701,2048800
2025-03-21,152.6348,154.5135,152.0118,154.2896,7798100
2025-03-24,154.6303,157.1515,154.3383,156.7329,2042200
2025-03-25,157.6966,158.9232,156.3046,157.3073,2324100
2025-03-26,158.5143,160.7435,158.0276,158.7577,2373500
2025-03-27,158.3196,158.8745,155.3993,155.9737,1468100
2025-03-28,155.6816,156.6843,151.71,153.3551,1635700
2025-03-31,153.4427,157.3073,152.6348,155.633,2068900
2025-04-01,155.9834,156.8595,153.6569,156.5966,1455900
2025-04-02,154.8153,157.4825,154.056,157.2002,1394900
2025-04-03,147.0472,148.9552,137.3518,137.527,5414200
2025-04-04,130.4891,132.2121,119.8787,120.0928,5425100
2025-04-07,117.6495,125.8166,113.9212,121.222,5480200
2025-04-08,125.8166,126.206,114.2911,116.0823,3368700
2025-04-09,112.7531,133.7014,110.9717,131.3457,5370800
2025-04-10,125.8166,126.5759,116.4716,119.8884,4367600
2025-04-11,119.8203,125.6025,117.815,125.583,3928700
2025-04-14,128.3086,129.4281,122.5264,124.2494,2523500
2025-04-15,123.3246,126.5662,123.3246,123.7627,1690700
2025-04-16,124.337,129.0582,124.3175,126.7608,2047300
2025-04-17,129.0582,135.5218,129.0582,133.9837,3667400
2025-04-21,130.6156,130.7811,126.8582,128.8343,2180300
2025-04-22,131.5307,134.305,130.8104,132.913,1731900
2025-04-23,134.1297,136.281,130.8201,131.9395,2130200
2025-04-24,133.3024,134.1492,131.521,132.5431,2054400
2025-04-25,131.521,133.6041,131.2679,133.1271,1608400
2025-04-28,132.7864,134.9183,132.621,134.159,1664800
2025-04-29,134.1492,134.3439,131.7448,133.02,1665100
2025-04-30,130.8687,131.0245,127.0431,128.5033,1980000
2025-05-01,127.8219,132.7767,127.4228,131.2484,2158100
2025-05-02,132.9324,134.1882,130.2652,133.1758,2368000
2025-05-05,130.4404,131.4723,128.5422,129.5449,2865800
2025-05-06,130.3431,133.3607,127.8316,128.4741,3775900
2025-05-07,129.2431,129.3599,124.3565,126.1281,2549200
2025-05-08,127.0139,133.682,127.0139,132.5625,2555000
