date,open,high,low,close,volume
2025-03-14,423.0566,430.804,422.5735,430.597,242600
2025-03-17,428.7932,435.693,427.7484,433.357,337000
2025-03-18,432.4304,435.4959,428.744,433.5246,234400
2025-03-19,432.2629,436.5802,429.71,432.1249,530100
2025-03-20,429.5227,443.0364,417.7437,424.7618,587500
2025-03-21,419.6855,427.295,417.4973,426.6642,541000
2025-03-24,429.3551,434.2638,425.3039,425.9249,340000
2025-03-25,429.2861,434.4511,426.9204,433.1105,266000
2025-03-26,435.1115,436.6492,432.2629,434.9242,244300
2025-03-27,436.4027,444.6628,435.8803,442.7998,287500
2025-03-28,443.5589,445.6091,438.7586,442.3366,312800
2025-03-31,441.6565,449.4828,438.4431,448.1324,399200
2025-04-01,448.3493,453.8001,445.9146,450.4685,263500
2025-04-02,449.9757,449.9757,441.824,445.2542,375300
2025-04-03,436.4126,447.6692,430.4295,430.8928,338600
2025-04-04,427.4626,432.9726,408.6162,410.2328,769300
2025-04-07,417.4086,417.4086,394.8167,399.7747,554600
2025-04-08,411.2185,411.2185,388.4688,393.141,311700
2025-04-09,389.5531,422.2878,386.0835,420.7107,457500
2025-04-10,415.6146,417.034,401.4109,410.7256,294900
2025-04-11,408.1431,422.337,399.2522,419.3503,266500
2025-04-14,425.57,430.3999,419.9418,426.8022,269500
2025-04-15,427.847,431.7207,426.5262,429.986,395700
2025-04-16,427.7879,428.9313,419.0448,421.1148,243100
2025-04-17,420.6909,424.7618,419.5771,420.9373,255300
2025-04-21,417.655,417.655,403.3429,407.118,210700
2025-04-22,410.0455,419.5081,410.0455,417.8916,222100
2025-04-23,422.2779,430.4788,418.0,419.4292,253200
2025-04-24,419.8925,424.6238,417.586,422.0216,174200
2025-04-25,420.8979,421.8737,417.0241,418.3943,151600
2025-04-28,420.8289,422.5243,413.9883,416.8467,227300
2025-04-29,417.1621,423.4508,415.5752,422.5735,209500
2025-04-30,419.4785,426.8022,416.4328,426.0334,285200
2025-05-01,424.9195,428.399,423.5396,423.7367,223900
2025-05-02,429.3847,431.7207,425.5306,428.3398,234600
2025-05-05,426.743,431.3462,425.4518,426.8909,127000
2025-05-06,424.2394,428.9116,423.1354,423.6677,243900
2025-05-07,425.0969,435.9789,418.9068,433.8991,341900
2025-05-08,434.6877,446.2596,432.2925,442.0705,357200
2025-05-09,442.652,448.9604,442.0902,448.1127,384900
2025-05-12,453.879,454.6774,447.3833,449.8672,330600
2025-05-13,451.4246,455.6039,444.3474,444.9684,360800
2025-05-14,445.402,454.8942,441.1833,453.2875,371400
