date,open,high,low,close,volume
2025-03-14,261.0,264.01,255.9,262.46,441200
2025-03-17,259.97,269.77,257.9,267.45,485500
2025-03-18,265.24,266.96,263.68,264.83,338000
2025-03-19,265.33,272.87,264.38,270.21,549500
2025-03-20,267.63,270.95,266.35,268.48,464400
2025-03-21,266.88,268.8,262.76,268.4,1289400
2025-03-24,273.74,276.38,272.19,274.31,545200
2025-03-25,274.79,278.85,270.36,275.05,570700
2025-03-26,274.86,277.1,271.3,272.84,336500
2025-03-27,271.85,271.85,267.48,270.08,356100
2025-03-28,268.87,270.92,261.17,263.88,490900
2025-03-31,260.11,268.52,259.0,266.27,719400
2025-04-01,265.37,269.18,264.03,268.58,457600
2025-04-02,264.37,274.54,264.37,272.73,463600
2025-04-03,257.47,261.88,249.88,250.98,590100
2025-04-04,244.74,246.09,236.57,239.25,725500
2025-04-07,232.41,252.79,227.04,243.48,1073100
2025-04-08,256.14,256.91,238.38,241.53,738000
2025-04-09,239.21,266.24,236.82,264.14,632500
2025-04-10,258.18,258.61,246.64,255.0,672000
2025-04-11,255.0,263.37,253.46,261.68,600700
2025-04-14,266.76,268.41,260.46,262.69,424300
2025-04-15,263.74,265.52,261.39,263.53,424100
2025-04-16,260.7,264.04,256.94,258.98,510400
2025-04-17,262.1,262.83,256.7,258.61,405100
2025-04-21,255.78,258.22,247.84,250.8,370800
2025-04-22,254.17,257.45,252.6,254.77,524300
2025-04-23,260.72,265.99,256.56,262.46,568800
2025-04-24,261.15,269.78,261.15,268.16,497200
2025-04-25,268.33,270.36,264.82,270.03,607600
2025-04-28,270.22,271.48,263.88,265.07,1049900
2025-04-29,260.03,265.96,256.49,262.72,1281000
2025-04-30,260.75,265.42,255.57,264.74,859100
2025-05-01,264.54,269.13,262.71,265.77,664100
2025-05-02,269.03,271.27,267.46,268.81,514300
2025-05-05,266.89,270.46,265.35,267.19,386400
2025-05-06,263.05,266.3,260.69,264.82,417200
2025-05-07,266.85,267.68,264.21,267.48,488700
2025-05-08,270.13,275.7,268.13,273.14,558900
2025-05-09,273.99,274.82,267.86,270.07,379600
2025-05-12,280.0,281.03,276.96,280.35,348600
2025-05-13,280.1,285.08,280.1,283.23,469300
2025-05-14,283.0,284.52,279.55,281.59,564200
2025-05-15,282.06,284.01,280.25,282.67,254800
2025-05-16,283.51,285.12,280.53,284.92,331400
2025-05-19,281.69,286.29,281.55,285.7,284400
2025-05-20,285.56,288.34,284.61,286.9,462000
2025-05-21,285.11,290.34,283.93,286.26,443400
2025-05-22,286.06,286.82,283.62,284.48,323000
