date,open,high,low,close,volume
2025-03-14,68.0589,69.5115,67.6787,69.1118,3723500
2025-03-17,68.8973,71.0812,68.4781,70.4475,3420600
2025-03-18,70.8277,71.9293,70.2135,71.4516,5841200
2025-03-19,71.2079,73.0407,70.8179,72.4655,4613200
2025-03-20,72.0073,73.0115,71.8611,72.5435,3472600
2025-03-21,72.2998,72.5728,71.2859,71.5101,6912500
2025-03-24,71.8611,72.4655,71.6564,72.4265,2459300
2025-03-25,72.6215,72.6898,72.0463,72.3095,2919900
2025-03-26,72.992,73.4502,72.2413,72.7093,2014800
2025-03-27,72.6898,73.3527,72.3583,73.187,2412300
2025-03-28,73.187,73.4892,71.3834,71.8026,2280400
2025-03-31,71.8221,73.1285,71.3444,72.8067,3004100
2025-04-01,72.7288,73.0505,72.0073,72.6995,2762400
2025-04-02,72.3193,73.9864,71.9683,73.8402,2732800
2025-04-03,72.3875,74.4544,72.0951,72.641,4952700
2025-04-04,71.3834,71.8123,67.9517,68.1467,8785900
2025-04-07,67.0743,69.6773,65.5046,66.9768,6075500
2025-04-08,68.7706,69.7358,65.5241,66.4308,4899900
2025-04-09,65.5339,70.9934,65.0269,70.5937,5587700
2025-04-10,69.999,70.4962,66.5283,67.7664,3477900
2025-04-11,67.8639,70.8764,66.9767,70.5352,3490100
2025-04-14,70.311,70.5742,69.3848,69.57,3683200
2025-04-15,70.233,70.4475,68.2051,68.3221,3529200
2025-04-16,68.4586,68.5659,66.3723,66.9183,4109700
2025-04-17,68.4391,73.4307,68.1369,72.7093,8057000
2025-04-21,74.0351,76.5309,73.6647,74.4544,10388300
2025-04-22,75.1173,77.4084,74.6494,77.1354,5443900
2025-04-23,78.2273,79.6507,76.8819,77.4181,5263800
2025-04-24,77.0964,78.7635,76.4334,77.8666,5489400
2025-04-25,77.2134,77.7301,76.5797,77.2719,4098000
2025-04-28,77.7788,77.8373,75.0393,76.024,4057000
2025-04-29,76.0825,76.7162,75.673,76.6577,3425600
2025-04-30,76.4724,77.1451,75.2245,76.9014,3533000
2025-05-01,76.1507,76.6284,75.634,75.7607,2587800
2025-05-02,76.8916,77.3596,76.3554,76.8819,3191000
2025-05-05,76.7747,76.9989,76.0825,76.3555,4406400
2025-05-06,75.1466,76.0435,73.2455,73.9864,7402200
2025-05-07,74.3276,75.166,72.8262,73.6159,5012000
2025-05-08,74.0059,76.7259,73.7622,75.9655,4855800
2025-05-09,76.3554,77.0379,75.9557,76.3749,3409700
2025-05-12,77.1744,77.5643,75.9752,76.9014,3471400
2025-05-13,76.9501,76.9989,75.3708,75.7315,3655600
2025-05-14,75.673,76.4237,75.0491,76.0922,4415000
2025-05-15,76.024,76.8234,75.8485,76.7357,4284600
2025-05-16,76.7649,77.8763,76.5602,77.8568,4884600
2025-05-19,77.2816,79.2704,77.1646,78.9487,3139100
2025-05-20,78.6562,79.2217,78.0713,78.5783,2990200
2025-05-21,77.9251,78.6757,77.1451,77.1841,2827500
2025-05-22,76.8917,77.1549,75.5658,76.3749,2642900
2025-05-23,75.868,76.5894,75.2733,76.258,1696800
2025-05-27,76.219,77.9738,76.0532,77.9543,2605900
2025-05-28,78.0031,78.4418,77.8276,77.9641,2609800
2025-05-29,77.9641,77.9641,75.6535,76.3067,3602300
2025-05-30,76.2092,77.6423,75.556,77.6131,5576900
2025-06-02,76.7454,77.4961,75.9655,77.1061,3950700
2025-06-03,76.3554,78.2955,76.3359,78.1298,4555600
2025-06-04,78.315,79.0267,78.12,78.3248,2457700
2025-06-05,78.3248,78.9585,78.0128,78.5198,2229600
2025-06-06,79.2899,79.6604,78.8805,79.1925,2450900
2025-06-09,79.1145,79.9334,78.4808,79.6409,2213200
2025-06-10,80.1112,80.3071,79.0727,79.4548,2520300
2025-06-11,79.7879,79.9348,78.8865,79.4156,2221000
2025-06-12,79.1217,79.396,78.4065,79.1805,2502100
2025-06-13,78.2595,78.3869,77.3386,77.7403,2953000
2025-06-16,78.2889,79.347,78.0734,79.298,2575900
2025-06-17,79.1413,79.5331,78.6808,78.8082,2053900
2025-06-18,78.8669,80.072,78.6416,78.8082,3023900
2025-06-20,78.8278,79.298,78.2301,78.5436,4369400
2025-06-23,78.3869,79.2196,77.8382,78.8669,3233000
2025-06-24,79.8369,80.699,79.3666,80.4639,3580300
2025-06-25,80.4639,80.5521,79.0237,79.0923,2700300
2025-06-26,79.1609,79.2882,77.6325,78.3771,4049700
2025-06-27,78.6318,79.2784,77.8676,79.1609,4300700
2025-06-30,79.2294,79.8467,78.9845,79.7585,2356200
2025-07-01,79.6017,81.0615,79.249,80.6794,3001400
2025-07-02,80.6304,80.7382,78.9453,79.6213,3393100
2025-07-03,79.6997,80.3169,79.6507,80.1112,1293000
2025-07-07,80.1994,80.3561,78.8963,79.2,2245800
2025-07-08,79.0237,79.494,78.1811,78.2301,2323800
2025-07-09,78.3379,78.622,77.8089,78.3967,2364800
2025-07-10,78.2497,79.3274,78.044,78.5926,2700200
2025-07-11,77.995,78.0244,76.545,77.0545,3054300
2025-07-14,77.4464,78.6122,77.1035,77.8872,2148300
2025-07-15,77.6815,78.093,77.1035,77.1035,1678700
2025-07-16,77.4268,77.8089,76.8095,77.7403,2504200
2025-07-17,78.3771,79.3078,77.7795,79.1021,2238800
2025-07-18,79.4058,79.5038,78.4359,78.7004,2382400
2025-07-21,78.7298,79.1511,78.093,78.4555,1298300
