date,open,high,low,close,volume
2025-03-14,50.9195,51.8555,50.7362,51.7862,3365300
2025-03-17,51.6871,52.1923,51.5683,51.9645,2515400
2025-03-18,51.8654,51.9843,51.3206,51.8853,3036800
2025-03-19,51.806,52.4697,51.6574,52.44,2639500
2025-03-20,52.2418,52.7718,52.0536,52.7074,2946000
2025-03-21,52.4994,53.5395,52.222,52.8956,16692500
2025-03-24,53.5197,53.6266,52.4548,52.8857,3738000
2025-03-25,53.0343,54.5548,52.8362,54.4409,5313800
2025-03-26,54.4409,55.1541,54.3616,54.6885,3709200
2025-03-27,54.4607,54.8272,54.1932,54.4013,2928500
2025-03-28,54.5796,54.9857,53.8664,54.213,3149300
2025-03-31,54.4112,56.3328,54.0645,56.0654,10299200
2025-04-01,55.7781,56.0951,54.8619,55.2928,4094700
2025-04-02,55.0352,56.5904,55.0352,56.5012,3531600
2025-04-03,55.2333,55.6593,51.2761,51.3404,6555400
2025-04-04,50.0686,51.7367,49.0721,49.2603,5844200
2025-04-07,46.9216,50.1617,46.3877,48.0914,8048400
2025-04-08,49.8942,49.8942,46.6056,47.0018,5742100
2025-04-09,46.8136,51.3553,46.6056,51.0235,6581000
2025-04-10,50.3697,50.6867,47.8042,49.0523,4544800
2025-04-11,49.0523,49.5773,47.8884,48.4282,4433400
2025-04-14,48.8393,49.9735,48.8393,49.0622,3920200
2025-04-15,49.082,49.9784,48.7749,49.5872,4280800
2025-04-16,49.3891,49.4485,47.3386,47.8042,3681100
2025-04-17,48.0716,48.2202,47.4476,47.5169,3921600
2025-04-21,47.3287,47.8636,45.9815,46.7641,3836900
2025-04-22,47.6754,47.824,47.1405,47.7447,2790200
2025-04-23,48.6362,49.711,48.0617,48.2004,2884100
2025-04-24,47.9527,48.9185,47.5763,48.557,2670400
2025-04-25,48.6858,48.9433,48.2004,48.8839,2770700
2025-04-28,49.082,49.3891,48.6759,49.0424,2681800
2025-04-29,48.6957,49.3395,48.4035,49.1612,2480500
2025-04-30,48.6957,49.4534,47.6754,49.3197,3624200
2025-05-01,49.181,49.181,48.3965,48.7551,3370900
2025-05-02,49.0126,50.023,48.9383,49.0027,3737300
2025-05-05,48.032,49.0919,47.2098,48.7947,4424300
2025-05-06,48.4381,49.1909,48.4282,49.0721,3099200
2025-05-07,49.5376,50.3895,49.4138,50.3301,4209300
2025-05-08,50.4886,50.9442,49.8942,49.9438,3007800
