date,open,high,low,close,volume
2025-03-14,90.999,91.9737,90.4639,91.8877,1037000
2025-03-17,91.8685,93.8179,91.8685,93.5599,605500
2025-03-18,93.2828,94.3626,92.4801,92.9579,702400
2025-03-19,92.7954,94.1619,92.2603,93.1968,640300
2025-03-20,92.805,93.8561,92.5661,92.9961,630800
2025-03-21,92.5757,92.6234,90.4925,90.8747,1674800
2025-03-24,91.5628,94.3339,90.8079,93.8944,1297500
2025-03-25,93.9326,94.3339,92.8815,93.3879,938400
2025-03-26,93.6268,94.2479,92.7763,93.1777,581400
2025-03-27,93.4835,93.9995,91.9832,92.4801,417700
2025-03-28,93.2159,93.2159,91.4768,92.6235,849700
2025-03-31,93.0821,93.7319,92.2603,93.4739,982200
2025-04-01,93.6769,94.0731,92.4978,93.7348,1035800
2025-04-02,93.5512,96.035,93.2033,95.7547,920800
2025-04-03,93.8025,94.4983,89.4052,89.5695,1274100
2025-04-04,88.893,88.9606,85.7327,86.1,1326100
2025-04-07,83.6162,86.9021,81.722,83.6646,1450300
2025-04-08,86.4962,86.8345,79.8568,80.7556,1853400
2025-04-09,79.4702,87.9555,77.9432,87.3467,1783600
2025-04-10,86.129,88.3518,83.7419,85.9743,1212500
2025-04-11,86.5059,88.0812,84.2638,87.2307,949400
2025-04-14,87.9749,89.7435,87.9749,89.1829,1094600
2025-04-15,89.1829,90.1687,88.9026,89.2022,733600
2025-04-16,89.2022,90.2653,88.2648,88.98,636600
2025-04-17,89.3665,91.3284,88.9703,90.5746,542200
2025-04-21,89.5792,89.9464,88.1198,89.1926,620100
2025-04-22,90.4006,90.9998,89.4149,90.4296,843700
2025-04-23,91.1255,92.9907,90.8355,91.4927,975500
2025-04-24,91.2704,92.7201,91.1158,92.3045,1039700
2025-04-25,92.0243,92.0243,90.6326,91.2124,418300
2025-04-28,91.3477,91.8116,90.3813,91.57,645900
2025-04-29,91.1061,91.9083,90.2943,90.8452,733300
2025-04-30,90.42,91.0578,88.6031,90.8645,940100
2025-05-01,91.4637,92.9037,90.4779,92.0629,719100
2025-05-02,93.1646,93.9764,92.2175,93.2806,526500
2025-05-05,92.6911,92.7297,91.2994,91.454,678200
2025-05-06,90.5843,92.1595,90.3813,91.541,632000
2025-05-07,91.9856,92.7297,91.599,92.0146,588900
2025-05-08,92.4398,92.9134,91.4251,92.0339,784900
2025-05-09,92.0532,92.0532,89.9851,90.362,1249900
