date,open,high,low,close,volume
2025-03-14,256.5495,257.7857,254.5285,257.0695,956600
2025-03-17,257.0695,261.9552,257.0499,260.1599,974400
2025-03-18,259.6693,263.574,258.6882,262.4555,1569900
2025-03-19,262.4752,265.1829,261.4941,262.897,1496000
2025-03-20,261.1115,262.3869,259.5418,260.67,1251500
2025-03-21,259.5222,260.2678,255.2643,258.4234,3313600
2025-03-24,259.9832,261.1703,258.6098,260.8466,1023200
2025-03-25,260.876,262.9265,259.5026,262.4752,911900
2025-03-26,264.0547,265.4478,263.4857,264.4766,1139900
2025-03-27,264.8886,266.164,263.6034,264.3882,802100
2025-03-28,263.9272,265.0946,262.5046,263.986,1240400
2025-03-31,263.9271,268.7638,263.7015,267.4197,1853700
2025-04-01,267.4197,269.5879,266.2326,268.9502,1470300
2025-04-02,266.5859,273.002,266.1149,270.8143,1350000
2025-04-03,268.7442,273.8066,263.8978,264.5158,1416700
2025-04-04,259.944,260.6995,245.022,245.277,3232200
2025-04-07,240.0283,248.4557,234.6717,242.9911,2328400
2025-04-08,252.1543,256.0492,246.8958,249.5839,2277200
2025-04-09,245.1887,267.5865,245.1887,266.3798,2676600
2025-04-10,263.9075,269.4113,258.0506,266.6742,2094300
2025-04-11,266.6741,274.0237,263.6258,272.9188,1568500
2025-04-14,273.0963,276.6084,270.196,275.0201,1244600
2025-04-15,274.1618,277.1411,272.5932,273.4022,1544800
2025-04-16,273.8165,277.0029,271.4982,272.899,1964500
2025-04-17,271.8238,274.6551,269.6633,272.3565,1722000
2025-04-21,271.3009,272.5341,266.9504,269.4956,1423100
2025-04-22,268.0158,271.952,263.2905,271.0938,3048600
2025-04-23,267.9665,269.1996,260.0448,262.1461,2245700
2025-04-24,261.3569,268.5979,259.295,268.0454,1835000
2025-04-25,269.6435,269.831,264.563,268.3019,947600
2025-04-28,269.2489,271.3897,265.9935,268.2723,1031000
2025-04-29,268.3315,269.7126,267.2661,268.4104,1002000
2025-04-30,269.17,269.3476,264.6715,268.4499,1388800
2025-05-01,267.8481,269.5942,265.6087,267.8481,1319900
2025-05-02,271.291,272.5143,263.3792,269.3476,1637700
2025-05-05,270.0086,270.4624,268.006,268.4696,1156500
2025-05-06,267.5817,268.3315,264.8294,266.9602,994500
2025-05-07,266.4571,267.8185,264.6025,265.8159,861600
2025-05-08,266.2894,270.8668,266.2894,268.3118,1339500
2025-05-09,269.6633,269.979,265.7764,267.8974,1029100
2025-05-12,270.4032,272.7511,265.8652,272.5143,1158900
2025-05-13,272.2381,273.2641,269.2884,269.3377,1100700
2025-05-14,268.9234,269.535,263.7837,267.0392,1000700
2025-05-15,268.8741,275.1286,267.6409,274.7537,1396800
2025-05-16,276.3814,276.9339,274.5959,276.924,1173800
2025-05-19,276.9339,279.0943,275.533,277.5751,802100
2025-05-20,276.3913,279.0648,276.3913,277.7724,734700
2025-05-21,277.22,278.1572,273.1654,273.9547,997100
2025-05-22,273.2345,275.0299,271.4982,273.2937,1034800
2025-05-23,271.0444,271.9125,269.5745,271.0444,835900
2025-05-27,273.3134,276.046,272.5834,275.464,1053300
2025-05-28,275.8783,276.2236,269.5251,269.9494,1006100
2025-05-29,269.2687,271.735,267.5324,271.4883,992200
2025-05-30,271.8435,275.1878,270.4229,274.734,1657500
2025-06-02,274.0927,274.0927,270.1664,271.9915,1001600
2025-06-03,272.0408,273.1259,269.8902,272.317,1051000
2025-06-04,272.8201,273.5798,271.1036,271.3206,772500
2025-06-05,272.248,272.248,268.9727,270.7189,871000
2025-06-06,271.7646,274.3197,271.4785,272.7511,647000
2025-06-09,272.5045,274.3196,270.1171,273.5699,789600
2025-06-10,273.9842,275.0891,272.4453,273.6291,1008300
2025-06-11,272.7313,273.2739,264.4841,272.1098,970000
2025-06-12,271.5081,276.1841,271.1727,276.1545,753700
2025-06-13,280.6629,282.9319,278.0585,279.1831,1649100
2025-06-16,279.4101,280.1598,274.4775,275.5232,927500
2025-06-17,276.3025,278.0289,273.6192,277.5061,984200
2025-06-18,277.506,280.0414,274.5071,274.7734,731900
2025-06-20,275.681,276.3025,271.7744,275.0201,1518700
2025-06-23,276.3025,279.558,275.8685,278.5123,1205600
2025-06-24,276.7464,278.167,274.4775,277.2594,1127300
2025-06-25,279.7257,283.3758,277.3384,282.0539,2205900
2025-06-26,283.6126,288.9595,282.4978,287.46,1857700
2025-06-27,285.921,287.6672,284.7274,286.8188,2268300
2025-06-30,287.6376,289.1864,286.73,287.7263,1184100
2025-07-01,287.6968,290.4294,285.4968,290.4097,1468700
2025-07-02,290.1532,290.3603,286.3847,289.9559,1086600
2025-07-03,290.6004,292.9405,289.8765,292.2761,646600
2025-07-07,292.524,295.2112,291.2449,292.1671,978700
2025-07-08,294.3683,299.0089,293.0099,294.1502,1427200
2025-07-09,295.4194,297.472,294.3386,297.4323,1134400
2025-07-10,297.4025,301.6564,296.4011,300.8235,1362800
2025-07-11,300.3476,300.8136,298.6718,299.6535,952500
2025-07-14,299.5543,303.1537,298.8999,302.2811,1147100
2025-07-15,301.8349,302.757,298.1859,298.3148,1146900
2025-07-16,298.6024,299.4551,295.3798,297.472,1142900
2025-07-17,297.472,298.999,295.9945,297.5612,1227400
2025-07-18,298.0669,298.9693,295.2607,296.4606,1636200
2025-07-21,296.4506,297.472,294.4576,294.5468,1065800
2025-07-22,292.6926,296.3912,291.473,295.0922,1597400
2025-07-23,307.3877,316.0838,306.0293,314.2692,2415400
2025-07-24,316.3119,319.7824,311.354,311.592,1641400
2025-07-25,311.3937,312.3258,308.3793,311.3738,1218100
2025-07-28,311.0268,311.0268,308.4586,310.4616,1153600
2025-07-29,313.3372,314.2891,310.7888,312.0481,1140800
2025-07-30,312.4447,312.7124,307.8537,309.5493,1518000
2025-07-31,308.7263,310.6698,307.6852,308.9841,1647900
2025-08-01,307.0406,308.7263,303.4512,308.1215,891100
2025-08-04,308.409,310.5607,307.7149,310.1443,852300
2025-08-05,309.5692,312.0184,309.351,311.116,1017700
2025-08-06,312.3258,314.3287,310.3624,312.3357,893400
2025-08-07,311.354,312.0481,307.12,310.0947,954400
2025-08-08,310.3426,313.1487,310.184,311.4829,1157300
2025-08-11,311.3441,312.4447,310.5608,312.2762,1004600
2025-08-12,311.83,312.7025,309.5791,311.3639,1034400
2025-08-13,312.0977,315.0526,311.2747,314.8146,813500
2025-08-14,316.9366,318.295,313.1785,313.1785,843100
2025-08-15,313.2975,313.2975,310.6698,311.0466,900500
2025-08-18,311.1061,313.4561,310.5112,310.9375,818300
2025-08-19,310.0451,313.8032,310.0253,313.7338,748400
2025-08-20,314.7253,315.9549,313.7734,314.8047,798900
2025-08-21,314.1998,315.4195,313.1785,313.8627,717500
2025-08-22,315.5384,318.176,314.9336,316.9167,917200
2025-08-25,317.1448,319.4849,317.1349,317.1944,804100
2025-08-26,316.3119,320.1295,316.3119,319.4651,952100
2025-08-27,320.0897,323.0744,320.0897,322.7174,846900
2025-08-28,322.7769,323.2727,320.4071,322.1721,801100
2025-08-29,322.41,323.2529,320.9822,321.8349,670200
2025-09-02,321.6465,322.1423,319.3064,321.6565,874200
2025-09-03,321.4284,321.706,318.4537,320.0898,658000
2025-09-04,320.5459,321.0318,318.2058,319.7229,943800
2025-09-05,321.2697,321.4779,317.6604,320.1393,860900
2025-09-08,319.7824,320.417,317.0357,320.0005,810300
2025-09-09,319.1874,319.6832,316.1235,318.6222,789700
2025-09-10,318.0769,321.0417,317.948,320.3277,709100
2025-09-11,320.2087,327.2192,319.3957,326.8424,834100
2025-09-12,327.2192,327.3977,323.0248,323.4016,578800
2025-09-15,323.7487,325.5037,322.9356,324.2246,694800
2025-09-16,325.0873,326.6837,323.2132,323.6495,1350700
2025-09-17,324.0263,325.7021,321.8052,322.5389,1343800
2025-09-18,321.24,322.6778,319.7625,321.8349,1096300
2025-09-19,322.6183,322.9653,319.2073,321.3491,2654500
2025-09-22,320.2782,321.5474,318.2058,319.941,1354900
2025-09-23,319.8914,322.995,318.414,320.4765,1250600
2025-09-24,319.1577,322.7075,318.5528,320.8929,1452400
2025-09-25,322.5786,325.7516,319.7824,321.6961,1014000
2025-09-26,323.6792,327.8439,323.4611,327.5563,1043600
2025-09-29,332.177,334.6758,328.538,329.3709,1693100
2025-09-30,329.3312,338.1463,329.3312,338.1265,1622800
2025-10-01,335.0526,338.3149,333.476,337.8786,1162500
2025-10-02,336.6986,338.8008,335.2212,338.1761,942900
2025-10-03,339.0883,342.3109,338.3744,340.7244,710200
2025-10-06,341.6168,344.4428,340.4964,343.5801,885900
2025-10-07,341.6565,344.4428,339.9609,340.536,740600
2025-10-08,342.3109,344.3139,340.536,343.5207,773900
2025-10-09,343.362,344.3932,339.3461,339.8816,798300
2025-10-10,339.4732,340.6086,331.446,331.5854,927300
2025-10-13,331.7448,335.4297,330.8883,333.0296,839200
2025-10-14,332.2727,337.4017,331.6452,334.135,862600
2025-10-15,334.5633,338.6068,325.9983,330.6891,1018300
2025-10-16,331.0875,332.0237,328.1694,329.245,787800
2025-10-17,327.5818,330.8086,326.8747,329.8027,916700
2025-10-20,331.6452,336.5651,330.4103,335.8182,823600
2025-10-21,336.5352,340.3795,336.5352,339.3039,946500
2025-10-22,339.8517,340.8875,336.7145,336.8639,1171900
2025-10-23,338.1785,341.3058,337.8698,340.1106,1198900
2025-10-24,355.5476,359.0333,342.1224,349.3429,2098000
2025-10-27,352.3407,354.3923,344.921,352.3307,1674900
2025-10-28,350.5978,351.2153,345.1899,345.2696,926600
2025-10-29,343.8553,344.672,338.3976,342.0826,1712200
2025-10-30,342.7001,347.8291,342.461,343.2578,1303800
2025-10-31,343.1582,344.0246,339.9613,343.4968,1520300
2025-11-03,342.6005,342.6502,338.059,340.4791,1352400
2025-11-04,339.4035,343.8255,337.6208,342.0726,1254500
2025-11-05,340.9871,345.1301,339.6624,341.5149,1088700
2025-11-06,341.7141,342.8893,338.3578,338.9155,899000
2025-11-07,340.4194,345.7376,337.4415,344.9309,1209000
2025-11-10,344.5027,348.5561,342.9391,348.0681,923900
2025-11-11,348.0382,352.0518,346.6738,350.9862,670600
2025-11-12,350.4683,352.3008,347.9586,348.0283,941400
2025-11-13,348.1577,348.5761,341.3555,342.6602,975500
2025-11-14,340.4393,344.184,337.7204,342.8494,1081500
2025-11-17,344.2637,345.3592,339.8517,340.3895,909100
2025-11-18,342.1722,343.4968,339.1545,339.9015,1208700
2025-11-19,337.8897,341.983,334.9218,341.6643,1253500
2025-11-20,345.7177,348.0482,337.5511,338.059,892300
2025-11-21,337.6308,340.8177,334.0853,338.9554,1358300
2025-11-24,335.8182,338.547,332.9897,336.7543,1476500
2025-11-25,337.4117,341.6643,337.4117,339.6824,1498700
2025-11-26,339.7521,340.9074,337.4117,338.6566,693400
2025-11-28,339.0848,340.6982,338.2184,340.2401,361400
2025-12-01,338.2482,338.9255,330.7289,331.0277,1193600
2025-12-02,332.9798,336.0373,331.5456,334.4338,980200
2025-12-03,335.38,337.1029,332.1731,336.7045,985200
2025-12-04,336.8141,341.4352,336.8141,340.3098,1412700
2025-12-05,339.6226,340.1106,332.6312,335.9377,1317800
2025-12-08,336.5751,337.6706,332.9897,334.643,1435600
2025-12-09,334.6031,337.7702,332.2627,332.91,1033800
2025-12-10,332.3822,343.5366,332.1731,340.8377,1654500
2025-12-11,340.9671,343.1283,338.7362,340.0907,1326100
2025-12-12,339.4732,340.5588,335.3601,336.1169,1226900
2025-12-15,336.9436,339.8318,335.9974,339.3039,1382500
2025-12-16,341.007,341.1265,333.3582,336.1169,966300
2025-12-17,335.0414,338.1487,331.695,335.0414,1003700
2025-12-18,335.8481,339.045,335.0712,335.9676,992700
2025-12-19,336.4954,340.031,335.6289,337.9793,2663400
2025-12-22,337.4913,344.2637,336.0671,343.7856,1197900
2025-12-23,344.2637,346.0265,341.7838,342.4411,1246800
2025-12-24,342.1324,344.8612,342.1125,343.9848,314000
2025-12-26,343.4669,344.6621,340.0409,340.8078,464500
2025-12-29,340.5488,342.3316,338.9653,339.0948,783200
2025-12-30,338.9952,339.6127,337.8299,338.0889,662500
2025-12-31,338.6864,339.6027,335.1111,335.2903,522900
2026-01-02,335.1708,342.0726,332.92,342.0029,972200
2026-01-05,346.5045,354.8704,344.6222,354.1134,1912200
