date,open,high,low,close,volume
2025-03-14,194.3413,196.6591,192.5807,196.0722,3263200
2025-03-17,195.9628,202.528,195.2963,200.9663,3733000
2025-03-18,200.7375,200.9165,198.4695,199.7328,3983100
2025-03-19,200.26,205.7311,200.26,204.4876,3564000
2025-03-20,203.9206,205.0845,202.0406,202.8563,3970800
2025-03-21,201.5333,203.2343,199.7627,203.0552,7976300
2025-03-24,205.8305,209.7697,204.5175,209.1231,4043900
2025-03-25,209.6603,211.6398,209.143,211.0131,4315200
2025-03-26,211.1722,213.0822,205.6017,206.2782,4791100
2025-03-27,205.2735,206.5965,201.7322,204.796,3301900
2025-03-28,204.5175,205.7709,198.5391,198.8276,5178400
2025-03-31,196.49,200.5087,193.4262,199.0962,6923100
2025-04-01,198.5093,203.4233,197.425,202.717,3854000
2025-04-02,198.4297,201.1255,197.3852,198.7182,6026500
2025-04-03,188.8405,193.1278,185.7369,186.6421,12750500
2025-04-04,178.7339,182.1956,164.549,165.9317,18167100
2025-04-07,162.3507,174.4168,158.5209,166.817,18545500
2025-04-08,175.0733,177.411,165.4841,168.4782,11903400
2025-04-09,164.937,188.1143,164.8276,186.284,12548600
2025-04-10,180.9423,184.4338,175.0336,180.5543,8150900
2025-04-11,178.0675,183.2799,174.1283,180.7135,6491100
2025-04-14,184.3741,186.6222,182.8621,185.0207,5319100
2025-04-15,182.9118,187.4478,181.3302,184.6924,4999300
2025-04-16,183.1009,184.9013,180.3255,181.4894,5128000
2025-04-17,182.4244,183.27,180.6339,180.8328,4932000
2025-04-21,178.346,179.8381,175.0932,177.411,8501600
2025-04-22,185.518,188.9996,181.1412,188.1839,13041000
2025-04-23,194.9083,195.9926,191.5561,192.6602,7235700
2025-04-24,193.3068,196.6591,193.0283,196.3706,5906300
2025-04-25,197.6538,198.937,196.2214,197.3852,4390600
2025-04-28,198.4496,200.4192,197.5543,199.8024,3416900
2025-04-29,199.4344,201.3642,198.5988,199.4443,3444200
2025-04-30,197.5543,200.9663,195.8235,200.4789,4436300
2025-05-01,201.1851,204.1594,199.8024,202.538,4687600
2025-05-02,205.2337,207.6211,204.4777,206.6064,3831700
2025-05-05,205.2237,209.4116,204.5672,207.8399,4466500
2025-05-06,204.9353,208.7252,204.8358,207.5017,3169600
2025-05-07,207.8001,209.521,207.1237,208.8147,3968300
2025-05-08,209.8891,215.6585,209.4016,213.3607,5870300
2025-05-09,214.0769,214.9821,211.6099,213.8282,3778200
2025-05-12,218.1852,218.8218,210.0383,217.7972,5468000
2025-05-13,218.8417,222.373,218.1454,220.4133,7188700
2025-05-14,221.7662,222.174,219.2893,222.0646,4764700
2025-05-15,222.2735,228.8785,222.2735,228.1723,7207700
2025-05-16,227.8639,231.0968,226.3917,230.5596,4651700
2025-05-19,228.2917,234.6281,227.7147,234.0512,4734400
2025-05-20,232.9271,234.837,232.569,234.0213,4311000
2025-05-21,233.6234,236.0506,231.435,232.3104,4631000
2025-05-22,229.9728,231.2261,228.2121,229.0576,6909400
2025-05-23,227.6351,232.4596,226.8095,231.5643,4234200
2025-05-27,234.1805,241.0044,233.8622,240.507,7162400
2025-05-28,240.507,244.7048,240.3279,242.387,9570500
2025-05-29,243.2425,243.6504,240.2185,242.8745,5243700
2025-05-30,242.1085,245.5602,241.0243,244.6152,9143000
2025-06-02,244.5555,246.7937,243.2226,246.177,5450800
2025-06-03,246.1969,249.1811,242.8943,247.5596,6456200
2025-06-04,248.6638,251.7276,248.4052,249.5591,5811500
2025-06-05,251.1507,251.6779,248.7931,250.5936,4188200
2025-06-06,251.6679,256.1144,250.7428,254.2841,5796700
2025-06-09,252.6825,253.9757,249.8177,250.0863,5771600
2025-06-10,249.4596,249.9271,238.4877,240.7258,11230900
2025-06-11,241.3625,245.6597,237.2542,244.2273,6940800
2025-06-12,238.7364,242.1483,237.4233,238.7264,8946600
2025-06-13,233.7627,236.7469,232.4695,235.3543,7420300
2025-06-16,236.349,238.6767,234.8271,235.2946,4505600
2025-06-17,235.4836,237.7118,233.6433,234.5087,5720500
2025-06-18,234.7176,238.2589,231.0172,234.648,7761100
2025-06-20,238.4578,239.5321,235.2647,238.1097,9142100
2025-06-23,237.9804,247.1518,237.3636,246.5052,8052000
2025-06-24,247.0723,248.0769,244.2771,247.4403,5255700
2025-06-25,248.7633,249.6685,247.1717,248.5842,5197400
2025-06-26,249.8575,254.1349,248.6837,249.6785,6790300
2025-06-27,250.524,259.1782,250.4543,253.17,26988000
2025-06-30,254.9605,256.5322,252.5333,256.0348,8135800
2025-07-01,254.4034,254.4034,245.8089,247.7089,7178300
2025-07-02,246.6942,247.8183,242.3771,243.4613,6228600
2025-07-03,244.2571,247.3905,243.71,245.5801,3089500
2025-07-07,246.5763,248.489,245.5403,247.702,5336400
2025-07-08,247.0545,248.509,242.4123,246.1081,5994500
2025-07-09,248.0407,250.7603,245.879,249.3756,5589500
2025-07-10,249.6546,251.7167,245.8093,251.6071,5462500
2025-07-11,250.5412,255.9007,250.4415,254.4462,7867200
2025-07-14,255.2133,261.4594,255.024,261.3398,7502200
2025-07-15,262.9138,264.0495,260.7421,263.661,9392400
2025-07-16,262.9935,265.8426,261.031,265.1652,11912900
2025-07-17,268.7714,271.7599,257.1757,259.2877,16260200
2025-07-18,264.3882,268.6718,261.559,262.2663,8619800
2025-07-21,262.6847,265.2349,258.5904,261.8578,5208500
2025-07-22,259.736,260.503,253.6891,258.0126,4751300
2025-07-23,259.5367,262.7245,258.9589,262.1766,4689800
2025-07-24,262.5552,268.8112,262.1766,266.9882,5206700
2025-07-25,267.805,271.7898,267.2372,270.5545,4598400
2025-07-28,272.3178,272.3975,266.4204,269.5783,5006400
2025-07-29,271.6902,272.7561,268.094,269.2794,4125300
2025-07-30,269.8871,272.5868,268.4825,272.5071,4697000
2025-07-31,272.0289,273.8918,268.8511,270.0465,4524000
2025-08-01,264.5177,269.5185,260.7122,268.353,4416300
2025-08-04,269.4787,275.7945,269.1898,275.1769,3744000
2025-08-05,275.2068,275.944,267.5959,271.0826,4000600
2025-08-06,272.4573,274.0014,268.881,271.2419,3576800
2025-08-07,270.9132,271.8297,267.7055,270.9829,3050400
2025-08-08,272.5369,276.1232,271.5408,273.9615,4467300
2025-08-11,274.101,275.3562,271.5109,274.1508,3360100
2025-08-12,274.9876,279.4705,274.6489,278.5639,3630100
