date,open,high,low,close,volume
2025-03-14,82.0,82.1796,80.2541,81.8203,5207300
2025-03-17,81.6905,82.7436,81.4709,82.3194,2526800
2025-03-18,82.0099,82.2295,81.0816,81.99,2899900
2025-03-19,81.7304,82.4741,81.6306,82.2495,3124200
2025-03-20,81.9001,82.529,81.4011,81.6606,2731100
2025-03-21,81.0018,81.6805,80.0036,81.3412,4304400
2025-03-24,82.0,82.6388,81.3312,81.5508,4453600
2025-03-25,81.8103,82.7386,81.3312,82.3094,3730100
2025-03-26,82.2495,82.7087,80.338,80.8521,2859100
2025-03-27,81.2413,82.6488,81.0217,81.5109,3074600
2025-03-28,81.2713,81.6386,79.6393,79.8639,3189800
2025-03-31,79.5544,80.862,79.0553,80.5626,4151200
2025-04-01,80.2232,80.6923,79.1851,79.4247,2996300
2025-04-02,78.6361,79.7341,78.5563,79.2151,2806100
2025-04-03,76.3952,76.4501,70.3213,71.8685,9331400
2025-04-04,63.2443,63.6805,57.934,60.3995,16890600
2025-04-07,60.4194,63.6286,58.7475,60.8786,9299600
2025-04-08,63.0746,64.3123,57.944,58.6427,7418900
2025-04-09,57.5946,65.4103,57.5447,64.8613,8488500
2025-04-10,63.5737,64.0827,59.588,62.1662,7636300
2025-04-11,62.2261,63.4808,60.7478,62.6953,7221500
2025-04-14,63.8032,64.6667,63.1245,64.2724,4896000
2025-04-15,64.3822,64.6816,62.5456,62.9847,5405800
2025-04-16,62.9847,63.5787,60.5891,61.3677,6206900
2025-04-17,61.8768,62.7252,61.5873,62.2561,4474000
2025-04-21,61.6173,61.6921,59.8405,60.3695,5755100
2025-04-22,61.4775,62.2261,60.639,61.5374,4508800
2025-04-23,64.3822,66.9575,64.1576,64.7715,6292800
2025-04-24,64.9212,67.2669,64.6517,66.9575,6555800
2025-04-25,68.9099,70.7275,67.8413,68.3307,5508600
2025-04-28,68.2408,68.7102,67.1922,67.9811,3896300
2025-04-29,67.7914,68.4505,67.0224,68.0011,5692100
2025-04-30,72.4054,72.5052,69.7488,70.2382,12759300
2025-05-01,70.2282,70.8274,67.5417,67.5817,8115300
2025-05-02,69.8088,71.117,69.2795,70.4379,7209400
2025-05-05,69.8387,70.4979,69.0997,69.2794,5927300
2025-05-06,68.3906,68.89,66.9824,67.0024,5677400
2025-05-07,67.3869,69.2195,66.8626,68.7302,5304500
