date,open,high,low,close,volume
2025-03-14,109.9661,110.4239,108.0276,108.5536,8647900
2025-03-17,107.6672,109.6446,106.6249,109.3524,9259000
2025-03-18,109.2842,109.294,106.9951,107.375,10250400
2025-03-19,106.849,106.8782,103.0597,104.7254,11967600
2025-03-20,104.063,104.063,101.9882,103.1279,11281700
2025-03-21,102.4363,104.6378,102.2025,104.3066,26497500
2025-03-24,104.2384,104.6085,103.3519,103.9754,8563200
2025-03-25,103.9754,105.154,103.5468,105.0956,8444700
2025-03-26,105.193,107.599,105.1053,106.4398,7391400
2025-03-27,107.1509,108.9141,106.8977,108.2809,6382900
2025-03-28,108.2712,109.4693,106.81,108.8946,7844800
2025-03-31,106.8295,109.5472,106.7613,109.1478,8828600
2025-04-01,109.0991,109.9369,107.8426,108.3978,6284400
2025-04-02,108.2517,109.1186,107.6088,108.992,7444300
2025-04-03,110.0927,111.7779,109.3719,109.479,10045200
2025-04-04,107.6477,109.9466,104.3455,104.4722,12920000
2025-04-07,102.0369,106.1768,100.644,102.787,14202800
2025-04-08,102.6701,104.6865,99.1633,100.5173,11293700
2025-04-09,95.4325,104.6767,94.7994,102.524,19225200
2025-04-10,102.1051,102.2804,96.6794,98.7737,14193700
2025-04-11,99.5335,102.0759,98.1503,100.9459,8683700
2025-04-14,101.2869,104.404,101.2869,103.7416,6335100
2025-04-15,103.6442,103.7416,102.1538,102.9428,7577300
2025-04-16,103.1864,103.6442,101.6473,102.1635,7115800
2025-04-17,102.0272,103.011,100.8388,101.8323,8066400
2025-04-21,101.4038,102.5045,100.4199,101.6278,6721000
2025-04-22,102.183,103.6831,102.0661,102.7772,7540700
2025-04-23,103.2058,103.878,96.7476,103.6247,8178700
2025-04-24,103.3617,104.7741,103.0013,103.4007,10133200
2025-04-25,100.0205,101.5012,90.9517,100.4978,14208000
2025-04-28,101.17,103.7805,100.4686,103.5857,9458900
2025-04-29,102.9428,104.3942,101.4135,101.5109,7646100
2025-04-30,102.6019,104.0436,101.1115,103.7805,9628500
2025-05-01,102.7772,103.1182,100.4881,100.5758,7270900
2025-05-02,102.1538,102.446,99.8257,100.9946,7033800
2025-05-05,101.0336,101.1602,99.8062,100.1472,5487300
2025-05-06,99.6796,100.0692,94.8091,95.3448,11409400
2025-05-07,95.3351,97.1177,94.8091,96.3384,8119000
2025-05-08,94.7312,95.8903,92.8317,95.6176,12994700
2025-05-09,95.5299,96.0949,93.7084,94.4,13141000
2025-05-12,94.2831,101.9492,93.6986,101.131,12935600
2025-05-13,99.9036,100.1667,98.121,98.8029,8443000
