date,open,high,low,close,volume
2025-03-14,56.2833,57.3594,56.1405,56.7214,5510200
2025-03-17,57.0356,58.3308,56.8547,58.0356,4770400
2025-03-18,58.0356,58.5308,57.369,57.5594,7385200
2025-03-19,56.5309,57.569,55.3214,56.3785,9743300
2025-03-20,56.5404,56.569,55.2262,55.5309,7132300
2025-03-21,55.6167,56.4357,55.331,55.8452,48561100
2025-03-24,55.2357,56.2738,55.0262,55.3976,5381900
2025-03-25,55.6833,55.6833,54.8834,55.0357,4987900
2025-03-26,55.1786,56.4738,55.0738,56.2547,5204200
2025-03-27,56.6928,57.169,56.4928,56.8166,4013100
2025-03-28,57.1499,57.588,56.169,56.2928,5763500
2025-03-31,56.8833,57.7594,56.7214,56.9404,5336400
2025-04-01,57.2166,57.4071,56.3214,56.8737,4037400
2025-04-02,57.2071,57.3404,55.9785,56.369,3952400
2025-04-03,57.188,58.4356,57.0166,58.0642,7965600
2025-04-04,58.0927,59.626,56.4928,56.769,7577900
2025-04-07,55.95,57.2833,55.2643,55.8357,8031900
2025-04-08,56.2166,56.6547,53.4548,53.9977,10132300
2025-04-09,53.4072,55.6167,52.8454,55.2929,7453800
2025-04-10,55.2832,55.9568,54.1285,55.0138,5031100
2025-04-11,55.2832,56.0723,54.7155,55.7836,4235600
2025-04-14,55.774,56.9769,55.2351,56.7748,4153900
2025-04-15,56.7748,56.8325,55.418,55.6682,4145500
2025-04-16,56.1878,56.2648,54.09,54.3402,4202500
2025-04-17,54.5711,55.6104,54.321,55.341,3368900
2025-04-21,55.2159,55.5623,55.0138,55.4949,3885500
2025-04-22,55.5431,56.2455,55.2159,55.8702,3556000
2025-04-23,55.4083,55.6682,54.6193,55.1197,3493700
2025-04-24,55.0427,55.2063,54.1093,54.2632,3532900
2025-04-25,54.4557,54.4845,53.2817,54.0226,3996100
2025-04-28,53.9649,54.244,53.2817,53.6474,3566500
2025-04-29,53.7532,54.1093,52.9353,54.0323,3275400
2025-04-30,54.5134,54.9272,53.8494,54.6,4779500
2025-05-01,54.0611,54.1381,53.4164,53.4838,4328700
2025-05-02,53.6955,53.8206,53.0026,53.3394,3512600
2025-05-05,53.3009,53.3683,52.4445,52.9738,3923000
2025-05-06,52.8005,53.0796,52.3675,52.5022,4058700
2025-05-07,52.4637,52.6851,51.7901,52.3868,5250500
2025-05-08,52.3675,53.1566,52.2039,52.6466,4035200
