date,open,high,low,close,volume
2025-03-14,164.7455,167.6703,163.9432,167.0425,18611100
2025-03-17,166.7485,167.8796,165.2388,165.9962,17839100
2025-03-18,165.3882,165.8666,158.2529,162.1096,24616800
2025-03-19,163.3503,167.5538,162.4883,165.7071,24955700
2025-03-20,163.2606,166.4546,162.578,164.4814,19981500
2025-03-21,162.8171,165.8965,162.4683,165.6772,29882100
2025-03-24,168.6818,169.9126,166.8631,169.3445,18742800
2025-03-25,170.5902,172.3143,169.9624,172.1947,13841600
2025-03-26,170.7098,171.3476,166.2861,166.5642,22498000
2025-03-27,166.1357,166.8631,163.2855,163.5147,21571200
2025-03-28,161.8006,163.2456,154.8038,155.5223,34866500
2025-03-31,154.2767,156.5887,151.6856,155.6918,33591600
2025-04-01,154.765,159.5285,154.7201,158.3326,20111400
2025-04-02,156.4193,159.7228,155.9907,158.3127,17113300
2025-04-03,152.3085,154.1541,151.6557,152.1042,28416100
2025-04-04,149.3836,152.5626,147.0317,147.231,39832200
2025-04-07,142.896,154.3962,142.1685,148.7258,47823000
2025-04-08,153.0459,153.9079,144.7097,146.075,35304400
2025-04-09,145.8259,161.3123,145.3077,160.5051,46479500
2025-04-10,158.2131,159.4787,151.6757,154.8347,35270500
2025-04-11,155.049,159.3093,155.049,158.8508,22582000
2025-04-14,161.7508,163.4649,159.3691,160.9137,18255900
2025-04-15,161.0134,161.4917,157.1019,158.1333,15690800
2025-04-16,154.9344,157.635,153.3798,154.9643,16921500
2025-04-17,156.0705,156.5289,150.3801,152.8316,19513400
2025-04-21,150.4449,150.5396,147.8887,149.3437,16147800
2025-04-22,150.5495,154.0773,150.3502,153.3698,15910300
2025-04-23,157.366,159.4687,155.8114,157.1766,18575700
2025-04-24,157.9789,161.1529,157.5454,160.9137,30787500
2025-04-25,166.5243,167.6604,162.4384,163.2855,35148100
2025-04-28,163.6941,164.3817,159.8275,161.8604,20871200
2025-04-29,161.4867,162.1195,158.8409,161.5017,15955200
2025-04-30,159.3092,160.818,156.6136,160.3357,20639500
2025-05-01,161.9601,163.3752,160.3755,162.2291,21904300
2025-05-02,164.3867,166.1257,163.0962,165.2388,16844900
2025-05-05,163.9482,166.5243,163.9034,165.4779,15309300
2025-05-06,163.3951,166.1656,162.568,164.6309,10691900
2025-05-07,165.4979,166.4147,148.975,152.2736,78729800
2025-05-08,155.3828,156.8677,153.5691,155.2134,38387500
2025-05-09,155.0141,155.8911,153.3,153.8481,22871000
2025-05-12,158.5519,159.8873,157.346,159.0302,31884900
2025-05-13,159.369,161.5017,157.0371,160.3357,24944300
2025-05-14,160.7542,167.76,160.3755,166.2353,31769200
2025-05-15,166.5642,166.9329,163.2755,164.8302,22717600
2025-05-16,168.348,170.0621,166.3748,166.8532,36271400
2025-05-19,165.1441,167.3714,164.8451,167.2916,21374700
2025-05-20,167.1821,169.0954,163.6941,164.7505,33563300
2025-05-21,164.3817,173.9287,164.3219,169.4741,45567600
2025-05-22,172.7528,177.5163,171.2879,171.3875,45024100
2025-05-23,169.6934,170.6152,168.6769,169.0057,24963600
2025-05-27,170.7098,173.6895,170.6202,173.3806,24341300
2025-05-28,173.3806,175.872,172.4189,172.7827,25999200
2025-05-29,174.3971,174.7957,171.1882,172.3641,21174700
2025-05-30,171.816,172.8425,167.9444,172.2545,36258300
2025-06-02,168.4277,170.4726,168.0689,169.783,24742900
2025-06-03,168.2833,169.215,166.1058,167.1322,25386700
2025-06-04,167.7002,168.9958,167.2169,168.8064,18508700
2025-06-05,171.0287,171.7662,168.7666,169.225,25375400
2025-06-06,171.7064,175.2242,171.7064,174.3174,22258100
2025-06-09,175.4748,177.5152,175.2652,177.2308,18817600
2025-06-10,177.3605,182.035,176.0784,179.6054,32908000
2025-06-11,180.8227,181.3416,177.6,178.3882,18994400
2025-06-12,177.0811,177.7297,175.7142,176.5723,17345900
2025-06-13,173.1899,177.9422,173.18,175.4848,20873200
2025-06-16,175.5097,177.8444,175.4249,177.5401,18132500
2025-06-17,176.6022,178.3134,175.5446,176.8317,17656100
2025-06-18,176.8816,177.4244,172.4516,173.589,32531800
2025-06-20,174.472,174.9709,165.8963,167.353,55402600
2025-06-23,166.944,168.1014,162.963,165.6369,36975600
2025-06-24,167.3082,168.8696,166.5349,167.363,27310300
2025-06-25,168.271,172.9704,168.1822,171.1046,23627400
2025-06-26,172.9953,174.2575,170.476,174.038,25909100
2025-06-27,174.2376,178.4381,172.3219,177.8694,74053100
2025-06-30,180.3787,181.1719,175.1056,176.9913,43964600
2025-07-01,176.4077,176.8217,174.2675,176.5124,25778500
2025-07-02,176.1482,179.5306,175.6943,179.356,19325900
2025-07-03,179.4159,180.3637,177.7895,180.1442,13287400
2025-07-07,179.7302,179.9347,176.243,177.161,20991400
2025-07-08,178.3782,178.3882,173.5291,174.7664,24108600
2025-07-09,175.7142,179.8749,173.4893,177.2608,31288000
2025-07-10,176.273,179.1864,175.3451,178.2984,24693700
2025-07-11,177.5102,182.1996,177.142,180.9025,23975700
2025-07-14,181.6608,184.3148,180.3049,182.3992,20990400
2025-07-15,183.5266,184.9933,181.9801,182.6885,23911600
2025-07-16,183.9058,184.9185,182.6686,183.357,21152600
2025-07-17,182.7035,184.7708,181.0921,184.2849,21654400
2025-07-18,186.2006,186.9389,184.3148,185.5221,21033400
2025-07-21,186.6795,190.8302,186.6296,190.7204,24665000
2025-07-22,191.9876,192.9255,188.0714,191.6783,26212900
2025-07-23,191.9277,192.9255,189.7526,191.0796,34068100
2025-07-24,197.6648,198.5228,191.5186,192.7658,45252100
2025-07-25,192.4964,194.8362,191.6982,193.6438,31101800
2025-07-28,193.9731,194.3822,191.4238,192.9853,25553500
2025-07-29,192.8656,196.218,192.5563,195.9885,31891600
2025-07-30,195.8589,198.0339,195.1205,196.9963,21150500
2025-07-31,196.1582,196.3877,191.6483,192.4266,27852000
2025-08-01,189.3535,191.1874,188.2759,189.5231,21236700
2025-08-04,190.7454,195.6393,190.4909,195.3101,23386000
2025-08-05,195.1055,198.2535,194.2375,194.8811,19010200
2025-08-06,194.8112,196.9364,194.03,196.4775,15383700
2025-08-07,197.2657,197.9242,194.7813,196.8366,14660600
2025-08-08,197.5351,202.9728,197.4552,201.6358,24379900
2025-08-11,201.102,201.7057,199.351,201.1769,16690200
2025-08-12,201.6408,204.669,200.9474,203.7012,19854000
2025-08-13,204.5193,204.9683,198.1936,202.5737,19573000
2025-08-14,202.1048,204.9584,201.8703,203.362,17777100
2025-08-15,204.2599,206.8641,201.6309,204.4495,21111400
2025-08-18,204.6091,205.6767,202.9529,203.8309,13000200
2025-08-19,203.4468,203.8309,200.4784,202.0349,13476600
2025-08-20,201.2267,201.7156,197.0162,199.7401,13971700
2025-08-21,200.2689,202.903,199.9496,200.1691,11768900
2025-08-22,203.5016,208.7598,201.6758,206.2554,25723700
2025-08-25,206.5348,210.6156,205.4872,208.69,22788800
2025-08-26,207.9017,207.9915,205.986,207.4827,23051000
2025-08-27,205.996,209.099,205.9262,207.7421,15249000
2025-08-28,207.3729,212.4215,207.1335,211.8927,20915700
2025-08-29,210.7952,214.856,210.4959,213.0501,24682200
2025-09-02,208.5203,211.8917,206.4949,211.5136,28900100
2025-09-03,225.971,231.2791,224.6141,230.5806,72250300
2025-09-04,229.6378,232.2469,226.2504,232.1371,32196000
2025-09-05,232.1371,235.5993,231.8578,234.6415,26127700
2025-09-08,235.4704,238.0768,233.4132,233.8426,23128800
2025-09-09,233.8725,240.2639,233.0636,239.6147,22854800
2025-09-10,238.9257,241.7518,237.7872,239.2353,19990100
