date,open,high,low,close,volume
2025-03-14,162.7058,165.9147,161.8886,164.9182,31995900
2025-03-17,164.4598,165.7254,163.1045,163.7223,31184300
2025-03-18,163.1144,163.6824,156.1785,160.1148,42074800
2025-03-19,161.201,165.2968,160.4437,163.3237,34275600
2025-03-20,161.0117,164.3202,160.4038,162.2374,28138500
2025-03-21,160.653,163.6725,160.3341,163.4234,36625800
2025-03-24,166.4927,167.7384,164.5694,167.1006,30879100
2025-03-25,168.3961,170.0404,167.7384,169.9706,24174400
2025-03-26,168.416,169.0239,164.2704,164.4896,28901600
2025-03-27,164.0611,164.8484,161.4402,161.6794,24508300
2025-03-28,159.9354,161.2608,153.0991,153.7967,48669300
2025-03-31,152.5809,155.0025,150.1394,154.1057,54603500
2025-04-01,153.0892,157.5537,153.0892,156.5273,30672900
2025-04-02,154.6139,157.8626,154.1654,156.4973,25041700
2025-04-03,150.5878,152.2521,149.8703,150.1992,46883400
2025-04-04,147.4986,150.548,144.8777,145.0969,62259500
2025-04-07,141.0609,152.3218,140.0444,146.2429,76794100
2025-04-08,150.6975,151.7139,142.5358,144.2,52200200
2025-04-09,143.921,158.9987,143.4127,158.1616,70406200
2025-04-10,155.9991,157.175,149.4119,152.2919,48022000
2025-04-11,152.3716,157.1252,152.2919,156.597,33636200
2025-04-14,159.4471,161.1612,157.0155,158.5203,30333000
2025-04-15,158.5801,159.0983,154.6737,155.7699,27551500
2025-04-16,152.571,155.3513,150.9865,152.8002,28187400
2025-04-17,153.7568,154.1455,147.9869,150.6377,33046600
2025-04-21,148.3656,148.4353,145.5952,147.1597,26049100
2025-04-22,148.3755,151.6641,148.0267,150.9466,26971800
2025-04-23,155.0723,156.9857,153.2785,154.8132,31128800
2025-04-24,155.6104,159.0385,155.2517,158.7296,45894000
2025-04-25,164.4996,165.5261,160.4835,161.4004,56034000
2025-04-28,161.8687,162.5862,158.0519,160.055,29745800
2025-04-29,159.766,160.1846,156.9757,159.6066,26809000
2025-04-30,157.4341,158.7196,154.863,158.2513,34981100
2025-05-01,159.8956,161.3904,158.3609,160.7426,30203200
2025-05-02,162.8454,164.4,161.3107,163.4632,25715000
