date,open,high,low,close,volume
2025-03-14,116.1837,118.5165,115.6126,118.0906,944300
2025-03-17,117.9647,119.9006,117.9647,119.5231,1471200
2025-03-18,119.4457,120.2007,118.6907,119.9974,1280200
2025-03-19,119.7845,121.0041,119.4747,120.5975,1333800
2025-03-20,119.5812,120.8589,116.6483,116.8709,1687100
2025-03-21,115.8546,116.6773,113.9283,114.9737,3064500
2025-03-24,115.3803,117.1904,115.3803,116.8032,831000
2025-03-25,116.7548,117.0839,113.7832,114.1123,1830700
2025-03-26,114.3252,115.6029,114.209,114.664,2176600
2025-03-27,114.7027,117.7421,113.8896,116.687,2353600
2025-03-28,116.2224,116.8419,114.1994,114.6737,1016000
2025-03-31,114.3736,116.0191,113.9767,115.3222,1109900
2025-04-01,112.2828,114.9447,112.1376,114.6543,1540000
2025-04-02,113.9477,116.6677,113.5896,116.2224,1078500
2025-04-03,114.8189,116.1837,113.4928,114.8769,1545300
2025-04-04,115.2835,116.0772,112.6506,113.0669,1751400
2025-04-07,110.1243,111.1213,105.3716,106.8042,2877600
2025-04-08,109.4177,110.5308,101.2675,102.158,2526600
2025-04-09,101.403,111.1019,100.677,110.3276,2578500
2025-04-10,108.9918,110.2598,105.4974,109.6597,1979500
2025-04-11,110.0468,111.6536,107.8689,111.5569,1263900
2025-04-14,112.7087,113.1733,111.5375,112.5055,1177900
2025-04-15,112.4958,113.4734,110.6179,110.647,1076400
2025-04-16,110.676,111.0148,107.9754,108.5755,1005900
2025-04-17,109.1079,110.7728,108.8079,110.4437,1632700
2025-04-21,109.6693,110.0565,107.1042,108.2368,2080000
2025-04-22,112.3506,114.7608,108.8659,111.2665,2671800
2025-04-23,111.4988,115.0221,111.3633,112.4183,1846100
2025-04-24,111.9537,113.4347,110.163,113.3379,1141400
2025-04-25,112.8829,113.425,111.7214,112.9023,1171400
2025-04-28,113.2605,114.8092,112.2731,113.7541,1717800
2025-04-29,112.641,114.7221,112.5539,114.4704,1142600
2025-04-30,113.909,114.3058,111.7698,113.7831,1265400
2025-05-01,113.3089,114.4704,112.428,113.2508,844100
2025-05-02,114.693,116.658,114.3543,116.4354,1135800
2025-05-05,116.0095,116.3289,114.2865,114.8963,968700
2025-05-06,113.8412,114.693,113.2411,113.2701,978200
2025-05-07,113.2605,113.9961,111.9731,112.2441,1087500
2025-05-08,112.9314,114.8866,112.641,113.8122,1002900
2025-05-09,113.8799,114.5091,113.0185,113.6573,769700
2025-05-12,116.3095,118.7004,115.9901,118.0809,1219400
2025-05-13,118.5552,118.7197,117.2678,117.3162,1017500
2025-05-14,116.5999,120.7815,115.6804,120.2588,3003500
2025-05-15,120.3652,123.5111,120.1523,123.395,1693700
2025-05-16,123.5401,125.447,123.3853,124.5468,2063000
2025-05-19,122.9303,125.2244,122.9303,124.9534,1132100
2025-05-20,124.7791,125.1179,123.8112,123.9176,1062000
2025-05-21,122.8529,123.4337,120.9751,121.0815,1295000
2025-05-22,120.7718,123.453,120.7718,122.8239,924400
2025-05-23,120.9363,122.6496,120.5782,122.1656,978600
2025-05-27,123.4433,123.6079,121.9043,123.1917,1146100
2025-05-28,123.5498,124.2758,121.7785,121.9043,834800
2025-05-29,121.9914,122.6496,120.7621,122.3205,1153900
2025-05-30,122.0398,123.2401,120.7815,122.4657,2359400
2025-06-02,121.8075,124.1983,120.7911,124.1596,1131700
2025-06-03,123.8015,124.8275,122.9497,123.6563,998100
2025-06-04,123.5498,123.8886,122.1656,122.2334,691300
2025-06-05,122.214,122.5915,121.2074,122.1172,735000
2025-06-06,122.7418,123.2493,122.0001,122.2539,664100
2025-06-09,122.2344,122.8589,119.9995,122.2344,791700
2025-06-10,122.4588,124.1569,121.7659,123.4933,1063000
2025-06-11,122.8882,123.1908,120.1361,120.3313,980100
2025-06-12,119.3554,119.697,117.7549,119.1895,1501400
2025-06-13,117.7451,118.9455,116.3105,116.7985,1231200
2025-06-16,117.6378,117.8037,116.9741,117.5987,1351800
2025-06-17,116.7009,117.6963,116.2324,116.4569,1210200
2025-06-18,116.8473,117.1303,115.8128,116.008,987300
2025-06-20,116.3788,116.9253,115.6566,116.8863,1665400
2025-06-23,116.8473,118.4966,116.2324,118.3697,1123000
2025-06-24,118.6918,118.9748,117.8037,118.2819,740500
2025-06-25,118.3014,118.3014,115.9006,116.2812,681100
2025-06-26,116.4764,117.1303,114.4855,116.1934,922300
2025-06-27,116.779,117.7256,116.3886,117.5792,1000800
2025-06-30,117.345,118.5942,116.6814,118.3892,1174000
2025-07-01,118.155,123.425,117.7256,122.3222,1688000
2025-07-02,122.3319,124.5766,121.4536,124.4009,1040200
2025-07-03,124.235,124.8791,123.4543,124.3424,495200
2025-07-07,123.7275,124.6449,121.7074,122.5076,895600
2025-07-08,122.2441,123.8056,121.4048,123.6299,998800
2025-07-09,123.5616,123.5616,121.5707,122.2344,1101600
2025-07-10,121.7757,124.1081,121.3853,122.9858,1428100
2025-07-11,121.7757,122.0489,120.2532,121.5415,896100
2025-07-14,121.8342,122.2246,120.1947,121.4146,1106900
2025-07-15,121.4731,121.7952,119.248,119.2871,731800
2025-07-16,118.9845,119.6481,117.4816,119.5994,784600
2025-07-17,119.492,120.8681,119.1212,120.5558,945200
2025-07-18,121.1218,121.5024,118.8089,119.9507,1460600
2025-07-21,120.2727,122.166,119.7457,120.9071,1570300
2025-07-22,119.4042,130.2662,119.4042,130.1003,3074000
2025-07-23,130.6566,131.9448,129.4464,131.4373,1596900
2025-07-24,131.2812,131.3104,129.7197,130.0027,1304300
2025-07-25,129.5733,130.5687,128.7535,130.4809,823100
2025-07-28,130.1198,130.5297,128.6071,129.8661,1192800
2025-07-29,129.6319,130.3735,128.8902,130.2467,1353700
2025-07-30,130.2662,130.5492,127.8849,128.8511,1975100
2025-07-31,127.3092,128.8121,125.2402,125.777,2190600
2025-08-01,126.0307,126.9188,122.9663,125.2109,1655900
2025-08-04,124.8498,128.3924,124.801,128.0997,1241800
2025-08-05,128.6364,129.8173,127.8947,129.3781,1277700
2025-08-06,129.7782,130.6175,129.1048,130.2369,958000
2025-08-07,130.9591,131.4178,128.5681,130.7444,747200
2025-08-08,130.803,130.803,129.7099,129.8856,627300
2025-08-11,130.1393,130.803,128.695,130.1881,779300
2025-08-12,130.6761,131.6032,130.11,131.5154,847000
2025-08-13,131.7886,135.1946,131.408,134.7262,1321900
2025-08-14,133.3599,134.5505,132.462,134.4529,968700
2025-08-15,135.2044,135.5557,133.9162,134.4822,1285400
2025-08-18,134.775,134.775,133.6234,133.8381,1250600
2025-08-19,134.4529,136.434,134.2284,135.4093,680900
2025-08-20,135.7118,136.2584,133.5063,133.6917,635800
2025-08-21,132.8622,133.516,131.8862,133.0476,642900
2025-08-22,133.7014,137.4197,133.6819,136.1413,943400
2025-08-25,135.5167,136.2486,134.9409,135.8973,791800
2025-08-26,136.0437,137.2733,135.3215,135.4093,859900
2025-08-27,135.5947,136.6487,134.9702,136.4828,1924200
2025-08-28,136.6292,136.6292,135.0775,135.9558,755700
2025-08-29,136.5707,137.1074,135.3312,135.9753,675900
2025-09-02,135.2532,135.829,132.7548,132.7548,1022300
2025-09-03,132.8426,133.5648,131.9741,132.989,711200
2025-09-04,139.313,140.0254,133.9357,137.8491,3464900
2025-09-05,138.0752,139.7563,135.7256,137.1413,2049900
2025-09-08,136.7087,137.7115,135.4111,137.4854,1480900
2025-09-09,136.9742,137.3772,135.2439,136.6006,1019300
2025-09-10,135.9419,137.3674,135.6765,137.1315,1825100
2025-09-11,137.4264,140.6804,136.3942,140.356,1125900
2025-09-12,139.3434,140.0906,138.2227,138.8912,856700
2025-09-15,138.6553,138.6553,136.6301,136.6891,1454500
2025-09-16,137.682,138.3603,136.5613,137.2691,1884900
2025-09-17,137.7508,139.7072,136.6989,136.8759,1693600
2025-09-18,136.109,137.2396,135.2439,135.5782,952400
2025-09-19,136.1484,136.404,134.3592,135.008,1444800
2025-09-22,138.6061,139.0682,135.1063,135.6273,1437100
2025-09-23,135.5585,137.3969,135.4012,136.3155,1572400
2025-09-24,135.4504,137.3182,135.4504,136.2663,911500
2025-09-25,135.6765,136.3155,133.671,133.9561,941600
2025-09-26,134.0544,135.9813,133.671,135.3619,728700
2025-09-29,135.47,137.0233,134.8015,136.866,1220400
2025-09-30,136.6497,137.4559,135.5683,136.2565,1033100
2025-10-01,136.2958,137.1413,135.2833,135.8338,801400
2025-10-02,136.0992,138.38,135.647,138.0163,1163800
2025-10-03,137.7017,138.2325,136.9938,137.3674,717700
2025-10-06,137.0233,137.161,135.7453,136.1091,935800
2025-10-07,136.1484,136.1484,133.3957,133.7103,820700
2025-10-08,133.6022,133.6022,131.3116,131.4197,928600
2025-10-09,130.5251,130.8003,128.1165,129.2962,1028700
2025-10-10,129.2962,130.181,127.8019,128.1362,1017500
2025-10-13,128.028,129.6305,128.028,129.4732,957700
2025-10-14,129.0898,131.7245,128.6474,131.4,736300
2025-10-15,131.459,133.032,130.5742,131.2919,652600
2025-10-16,131.4295,131.8916,130.1908,131.5082,818200
2025-10-17,131.8228,132.2848,130.6824,130.8495,1314700
2025-10-20,131.2624,131.2624,129.0898,129.5813,1668500
2025-10-21,130.7512,134.5558,128.4114,132.2357,2768800
2025-10-22,132.2357,132.4519,130.4366,130.6136,1347300
2025-10-23,130.7512,131.4197,127.7429,131.0068,1614900
2025-10-24,131.6557,131.7245,128.6376,128.7162,1293500
2025-10-27,128.7653,129.2077,127.5955,129.1979,1181800
2025-10-28,128.5982,130.7217,128.2148,129.4339,921700
2025-10-29,128.5392,129.5715,126.4551,126.9663,1013000
2025-10-30,126.632,129.3454,126.0815,126.229,713300
2025-10-31,125.3344,126.2093,124.3611,125.1574,1050800
2025-11-03,124.1645,124.8232,120.9498,121.52,1616100
2025-11-04,120.9596,121.3922,119.544,120.6155,1392700
2025-11-05,120.5369,123.1716,120.3894,122.4834,1612600
2025-11-06,121.9132,123.1716,121.3823,122.916,1130300
2025-11-07,122.8865,125.0493,122.8177,124.5184,935500
2025-11-10,124.4889,125.1083,122.7882,123.0438,1288900
2025-11-11,123.5943,125.3442,122.8963,125.1377,788300
2025-11-12,125.0886,126.7205,124.8133,124.951,1294000
2025-11-13,126.5829,128.028,125.1083,125.5703,1094300
2025-11-14,125.6784,126.4256,124.715,125.1083,1043400
2025-11-17,124.9805,125.7768,123.8401,124.4398,1119400
2025-11-18,123.6926,124.9706,122.9258,124.076,1222100
2025-11-19,123.7909,124.2923,122.218,123.2797,1087600
2025-11-20,123.3878,125.0886,122.6112,122.916,909000
2025-11-21,123.496,128.0084,123.4862,126.3863,1156600
2025-11-24,126.1405,126.4846,124.2923,124.3709,1168000
2025-11-25,125.3344,127.1924,124.7937,126.691,2084200
2025-11-26,126.3666,128.0477,126.229,127.6643,1103600
2025-11-28,127.9985,128.8342,127.5365,128.1951,315400
2025-12-01,127.0351,129.5027,127.0351,127.7528,901000
2025-12-02,127.7724,127.7724,125.8652,126.7697,847800
2025-12-03,127.3202,128.7752,127.2809,127.2809,1092200
2025-12-04,127.4873,128.4213,126.809,128.1264,771100
2025-12-05,127.8588,129.256,127.2345,129.0578,861600
2025-12-08,128.5723,129.0578,126.8976,127.2048,1614200
2025-12-09,126.4418,126.6301,123.5186,125.3815,2058200
2025-12-10,125.7184,130.7325,125.7184,130.0488,1508900
2025-12-11,130.8018,132.9125,130.782,132.7441,1104500
2025-12-12,133.2692,133.7746,130.2172,130.3559,867900
2025-12-15,130.8117,131.4162,129.9199,130.7127,2209800
2025-12-16,130.9207,131.0892,128.166,128.2849,883000
2025-12-17,127.4327,129.0876,126.531,126.8976,1224600
2025-12-18,127.1057,127.4922,124.0933,124.7869,1035700
2025-12-19,124.8563,125.2725,124.1032,124.3212,1870100
2025-12-22,123.8456,124.8167,123.1717,124.0537,989900
2025-12-23,124.8068,124.9356,122.488,122.7357,650300
2025-12-24,122.5177,124.8167,122.2898,124.3509,487400
2025-12-26,124.1726,125.0049,123.8257,124.7572,580000
2025-12-29,124.9752,125.3319,122.9339,123.2906,630000
2025-12-30,122.8943,123.578,122.4979,122.9042,724500
2025-12-31,122.5871,123.2609,121.8241,121.8439,665900
2026-01-02,122.0024,123.687,121.1998,122.8745,893900
2026-01-05,121.8736,122.6366,121.4475,122.2601,1135800
2026-01-06,121.6754,123.7564,120.8926,123.3699,1025300
2026-01-07,123.3699,124.2122,121.0611,121.4475,739000
2026-01-08,120.4566,126.1643,120.2981,125.5797,1236800
2026-01-09,126.313,127.3336,124.8068,127.1751,1518600
2026-01-12,126.7688,128.4831,126.1841,128.0372,1264100
2026-01-13,127.9282,130.8018,127.7795,130.7721,869400
2026-01-14,130.891,132.9521,130.7226,132.5855,889100
2026-01-15,132.1099,135.1619,131.7531,134.9241,1775800
2026-01-16,134.1313,135.8754,133.7647,135.697,961600
2026-01-20,133.1602,134.2106,129.7713,130.7721,1096900
2026-01-21,131.3667,135.0628,130.891,135.0034,866700
2026-01-22,135.7168,136.7474,134.7953,135.5979,801900
2026-01-23,136.0537,136.8465,135.37,136.3807,824000
2026-01-26,137.0447,138.8283,135.9546,137.9167,929600
2026-01-27,138.1545,138.4617,135.9646,138.1149,1376400
2026-01-28,138.2833,139.6012,136.9357,138.7491,1278400
2026-01-29,139.7003,140.2751,136.4699,137.6194,986300
2026-01-30,136.2519,137.7284,135.0232,137.7284,2047300
2026-02-02,137.9464,139.9976,136.1925,139.9778,865500
2026-02-03,139.6805,143.882,139.0661,141.5434,1279500
2026-02-04,142.9605,146.9539,142.4749,146.6071,1340900
2026-02-05,145.5369,146.1611,143.5154,144.8829,1434900
2026-02-06,144.7739,147.2313,144.209,147.162,883500
2026-02-09,146.5278,147.925,144.4072,144.6946,1203200
2026-02-10,146.5575,146.7755,144.9621,145.3486,838000
2026-02-11,147.4989,148.4403,146.0323,147.9052,1005400
2026-02-12,148.6385,150.1942,145.1702,146.2702,1884600
2026-02-13,146.4683,147.9349,145.0117,145.8242,1203400
2026-02-17,136.133,136.133,124.4005,124.5987,4107600
2026-02-18,122.0223,123.1916,118.2766,119.8125,2668000
2026-02-19,119.1783,119.9909,117.0676,118.2865,1916400
2026-02-20,117.5235,118.9108,115.3236,116.9884,2276900
2026-02-23,116.2155,117.0776,114.6894,115.1056,1506500
2026-02-24,117.1172,119.9116,116.7704,117.7415,2379000
2026-02-25,117.0974,118.1577,114.8183,115.8587,2098500
2026-02-26,116.1758,116.9289,114.3922,115.7993,1336400
2026-02-27,114.848,118.4847,114.0156,118.1775,1468200
2026-03-02,116.4533,117.5532,115.0759,117.4739,1133200
2026-03-03,114.9471,116.3046,112.8067,115.3633,1123200
2026-03-04,115.4921,115.9875,114.1642,114.5903,1280800
2026-03-05,114.303,116.0668,114.303,116.047,1294500
2026-03-06,114.98,115.79,113.18,115.52,1099700
2026-03-09,113.92,114.56,110.77,111.84,1584700
2026-03-10,111.63,111.8,108.89,108.96,1813400
2026-03-11,109.1,114.78,108.14,109.2,3380000
2026-03-12,108.44,109.33,106.77,107.01,3482700
2026-03-13,108.01,108.01,105.02,105.74,1722400
2026-03-16,105.73,106.5,103.42,104.01,2414400
2026-03-17,104.67,105.23,102.58,102.82,2981700
2026-03-18,101.37,102.44,100.48,100.72,2052200
2026-03-19,99.8,100.52,98.14,99.09,2242800
2026-03-20,99.0,99.96,96.08,96.38,3127925
