date,open,high,low,close,volume
2025-03-14,91.6149,93.2248,91.0421,93.0767,3081600
2025-03-17,92.9977,94.7656,92.9186,94.4989,2347100
2025-03-18,94.6075,95.1804,93.3137,94.6767,3878900
2025-03-19,95.0915,97.0569,94.8446,96.9088,2745500
2025-03-20,95.9014,97.1952,95.7532,96.1779,2560200
2025-03-21,95.5063,96.5927,94.9038,95.852,4603600
2025-03-24,96.889,98.1829,96.8495,97.7878,2341400
2025-03-25,98.6668,99.052,97.1261,97.689,2107900
2025-03-26,98.252,99.3187,97.9359,98.6866,1964000
2025-03-27,98.5582,98.7458,97.4717,98.2421,1984100
2025-03-28,97.9656,98.5285,95.773,96.3162,1830100
2025-03-31,95.7532,97.4322,94.5582,96.7112,2259500
2025-04-01,96.7211,97.5804,95.7137,97.2248,1816700
2025-04-02,96.0199,98.7557,95.8322,98.3705,1748800
2025-04-03,93.9754,95.052,91.6446,91.8322,3775000
2025-04-04,88.81,89.1162,83.4569,83.8322,6327900
2025-04-07,80.7606,86.0841,77.3532,81.5112,5696800
2025-04-08,85.3038,85.3038,77.0865,78.489,5624000
2025-04-09,77.4322,89.8372,76.8692,89.1458,4636500
2025-04-10,86.4693,87.1211,79.7631,82.2125,3732200
2025-04-11,82.2717,84.4742,79.931,83.9112,2832800
2025-04-14,85.4717,85.5507,83.3088,84.01,2198800
2025-04-15,84.2273,85.1952,84.2273,84.3655,1521900
2025-04-16,84.1581,84.652,82.3409,83.0816,3398400
2025-04-17,74.331,75.7729,67.6248,68.6026,17560900
2025-04-21,67.7038,68.8001,65.1161,66.6371,7951300
2025-04-22,67.5359,70.9235,67.3482,70.5087,8123000
2025-04-23,72.1186,73.6297,70.5976,70.8742,4298800
2025-04-24,70.4495,71.8026,69.3927,71.1705,6357200
2025-04-25,70.2519,71.9606,70.0149,71.5853,3427400
2025-04-28,72.1976,73.9853,71.7137,73.3927,5080300
2025-04-29,73.8964,75.8322,73.1161,75.6841,3008300
2025-04-30,73.9557,75.6445,73.0273,75.368,2969300
