date,open,high,low,close,volume
2025-03-14,523.1518,532.5374,516.0098,530.4212,2808100
2025-03-17,530.245,545.8517,529.04,540.1498,2695600
2025-03-18,539.121,542.5108,535.5549,540.5808,2641000
2025-03-19,537.8572,551.573,533.5465,546.028,2769800
2025-03-20,541.874,556.9027,540.7964,551.2596,2531300
2025-03-21,544.0588,555.492,540.0225,553.6697,3565600
2025-03-24,563.3296,570.8929,561.4192,568.326,1877700
2025-03-25,572.8229,574.9782,566.4744,574.0475,1875500
2025-03-26,576.4478,580.6115,559.4107,562.2714,1944200
2025-03-27,553.5325,554.5122,541.3352,547.5759,2100900
2025-03-28,544.6662,549.1239,526.7964,532.0966,2773100
2025-03-31,522.9853,536.2799,517.8615,535.2022,2455100
2025-04-01,532.224,540.7572,522.4171,537.3184,1869600
2025-04-02,528.844,555.8055,528.1386,551.6711,2560700
2025-04-03,514.7656,519.2331,499.2177,500.8539,5193900
2025-04-04,477.1156,482.0142,450.6636,461.2542,8105200
2025-04-07,437.8295,480.0351,430.4621,456.0618,6353800
2025-04-08,478.3403,481.9358,443.6392,452.8386,4240900
2025-04-09,442.199,511.4053,438.0353,506.3794,7024100
2025-04-10,492.8888,492.8888,464.3795,479.8588,5374500
2025-04-11,477.1156,488.4018,468.8665,484.4046,3770200
2025-04-14,499.6488,501.6082,487.0596,493.751,4392600
2025-04-15,497.1114,508.1233,496.7097,497.5816,2501200
2025-04-16,491.5368,499.11,482.6901,488.921,2765600
2025-04-17,493.026,504.3808,488.9896,499.1491,2593500
2025-04-21,495.1421,498.9336,484.6397,491.1841,2859300
2025-04-22,499.8741,510.4255,498.6005,509.436,2514600
2025-04-23,522.7992,540.5905,517.5382,518.5668,3048100
2025-04-24,516.4017,535.7411,512.7964,534.3009,2223600
2025-04-25,533.5465,537.9454,530.2351,533.8012,1612700
2025-04-28,533.8012,543.2456,531.4597,535.31,1459700
2025-04-29,532.753,539.6991,530.3135,537.7789,1695600
2025-04-30,524.886,538.3667,520.6634,536.4366,2438300
2025-05-01,536.9754,547.0174,534.4282,542.5892,2583000
2025-05-02,550.1819,558.2155,548.3401,554.6102,2883000
2025-05-05,547.0272,555.0608,546.1847,548.2029,2197200
2025-05-06,538.445,546.1259,535.9566,538.2099,2902500
2025-05-07,539.0427,544.1078,536.6228,540.718,1954900
2025-05-08,547.478,560.5472,546.8804,554.2183,1994600
2025-05-09,558.676,560.4884,554.2967,555.5899,1522500
2025-05-12,584.158,591.1237,576.144,579.3379,3527700
2025-05-13,581.2581,595.3757,581.023,591.5548,2765800
2025-05-14,591.5449,602.5176,590.2713,599.1866,2874400
2025-05-15,597.3545,606.6422,597.3545,603.3994,2428100
2025-05-16,604.4281,608.1901,601.1069,606.4659,2021800
2025-05-19,596.8256,606.8088,586.1958,599.8724,2842100
2025-05-20,595.4149,599.1377,590.7711,594.2098,1601600
2025-05-21,589.5856,597.4918,579.9845,581.4149,2635900
2025-05-22,580.5233,589.9775,580.4841,586.088,1939600
2025-05-23,573.1266,589.7424,570.6774,586.3918,1530600
2025-05-27,593.6024,605.1335,592.6717,603.2328,2364700
2025-05-28,604.7514,606.074,594.9838,596.0908,2001900
2025-05-29,596.1692,597.6191,586.1566,592.5834,1736100
2025-05-30,590.7522,594.2967,584.6773,591.1953,2129500
2025-06-02,589.3737,589.9349,583.0428,589.4918,1221200
2025-06-03,590.7521,596.9747,584.5788,594.5231,1730300
2025-06-04,596.1476,596.9846,589.4918,589.9743,1294900
2025-06-05,590.7521,600.3223,583.7616,596.5415,2086700
2025-06-06,603.5518,611.8026,600.598,604.5364,1675900
2025-06-09,605.2748,609.5577,601.5925,604.0638,1610700
2025-06-10,603.5518,607.047,599.9186,605.3929,1376400
2025-06-11,607.6674,620.1323,605.1173,614.5496,2063600
2025-06-12,611.4285,616.3613,606.3087,615.4752,1634700
2025-06-13,606.5548,610.562,600.1944,604.0834,1674800
2025-06-16,609.4593,622.5248,608.4748,618.1729,1870400
2025-06-17,615.0715,621.934,613.3977,615.0124,1479300
2025-06-18,614.8844,630.0175,614.0376,625.449,2423100
2025-06-20,628.9837,632.7349,626.8766,630.9233,4115400
2025-06-23,629.4071,637.4413,620.2996,636.9096,2020800
2025-06-24,644.3629,653.5393,643.1716,651.9048,2307800
2025-06-25,654.3564,659.7914,650.6052,659.5452,1566400
