date,open,high,low,close,volume
2025-03-14,313.4888,319.1066,310.8783,317.0124,1041800
2025-03-18,326.3356,330.3983,325.1337,327.9547,1009700
2025-03-19,328.7991,333.4478,328.2627,331.9479,1276200
2025-03-20,330.597,333.2393,329.564,331.2923,1671400
2025-03-21,329.7427,329.9215,323.1868,326.5939,3392400
2025-03-24,325.6304,334.5405,323.8523,331.6102,1423800
2025-03-25,334.4908,340.4507,330.6665,334.2126,1318000
2025-03-26,334.7491,338.2257,330.6169,335.0371,1191800
2025-03-27,335.6828,341.3646,331.3817,340.0534,1326100
2025-03-28,340.709,342.6658,338.3746,339.8746,1114500
2025-03-31,338.9111,346.1127,337.3615,343.2419,1571800
2025-04-01,344.4836,345.6557,340.4706,343.4208,1226300
2025-04-02,341.6229,346.2219,339.7653,344.7121,1249400
2025-04-03,344.0366,350.9899,342.8148,346.808,1946900
2025-04-04,344.1856,346.3312,328.074,329.4348,2518300
2025-04-07,324.0708,333.1597,316.3328,327.4283,1999100
2025-04-08,337.6297,343.6591,325.8489,329.9612,2058700
2025-04-09,324.7165,342.487,319.889,336.2688,2909100
2025-04-10,338.0071,339.8845,322.2332,332.7525,2134700
2025-04-11,332.1764,334.2922,322.2928,331.1433,1677500
2025-04-14,334.2424,338.8813,330.3089,338.3448,1172400
2025-04-15,335.4742,339.1098,333.0207,333.3087,1011400
2025-04-16,334.312,335.0769,326.9515,328.7892,1194600
2025-04-17,334.1034,336.5172,328.8587,332.7724,1830600
2025-04-21,332.6929,332.6929,312.3298,315.4886,1650300
2025-04-22,318.1507,322.7498,315.4191,322.4518,1432800
2025-04-23,326.435,335.7623,325.8092,333.7359,1402100
2025-04-24,335.3649,340.6891,333.7259,339.1296,2272300
2025-04-25,347.9106,347.9106,319.2434,325.7297,2803600
2025-04-28,324.8655,330.8552,323.9616,329.8023,1528100
2025-04-29,329.1169,341.305,327.5177,338.3051,1416600
2025-04-30,337.888,343.7783,332.8717,342.7751,1330400
2025-05-01,341.7023,345.8147,338.6826,340.7487,1148000
2025-05-02,344.4935,346.5696,342.338,345.6458,802300
2025-05-05,346.1425,348.8046,341.9208,347.0464,789900
2025-05-06,347.2649,358.5292,343.8976,354.3175,1587000
2025-05-07,353.7712,361.082,347.8311,358.5689,1984400
2025-05-08,356.2942,361.529,351.3375,351.5561,1224500
2025-05-09,351.6355,354.546,350.0164,351.3376,979500
2025-05-12,352.6884,370.8761,352.3905,360.8535,1679400
2025-05-13,360.0291,370.449,359.0358,365.6414,2203500
2025-05-14,365.542,369.6146,363.2375,365.0453,1798700
2025-05-15,365.0453,383.1138,364.3103,382.9251,3047300
2025-05-16,383.8787,385.4978,378.4254,384.9316,1789700
2025-05-19,382.4086,385.7859,381.6835,384.3059,2041100
2025-05-20,382.4583,385.5276,381.4351,383.4714,1361400
2025-05-21,379.8061,384.137,378.4552,379.2598,1118200
2025-05-22,376.3494,380.9683,372.2072,374.1243,1250400
2025-05-23,372.0582,374.9388,371.1145,374.0746,1138200
2025-05-27,377.2235,378.4055,374.6706,376.2798,996900
2025-05-28,374.4521,379.7862,374.4323,375.9123,921100
2025-05-29,380.0544,383.6304,375.6441,376.1208,1449500
2025-05-30,375.0977,382.1205,372.5052,378.8426,2556400
2025-06-02,377.74,379.6571,375.1475,379.6075,1066900
2025-06-03,378.9419,382.2199,376.3593,380.5014,1220800
2025-06-04,382.5377,383.6602,378.9121,379.1108,943000
2025-06-05,380.2829,381.7232,376.7069,378.9518,1058700
2025-06-06,378.8028,383.978,378.187,381.7729,619600
2025-06-09,379.3193,379.3193,353.8705,370.5185,2014600
2025-06-10,364.648,366.6247,355.7975,362.4826,1915000
2025-06-11,363.1084,368.0353,361.5191,365.1348,1026700
2025-06-12,365.5917,369.1875,363.7044,369.1875,787900
2025-06-13,366.6545,372.3065,365.3533,368.7007,872300
2025-06-16,369.8552,372.2936,349.0744,366.8396,2140000
2025-06-17,363.2368,370.8704,359.5743,370.6813,1334100
2025-06-18,370.7411,378.7528,369.1188,375.0704,1374300
2025-06-20,373.9358,377.5585,371.9553,375.7073,4238400
2025-06-23,377.1604,378.8324,370.5619,376.9215,1098000
2025-06-24,377.1306,377.4291,371.2586,377.2201,1105100
2025-06-25,375.5282,376.5334,368.1335,372.4131,1294200
2025-06-26,377.5486,386.7447,374.4832,375.8666,1838000
2025-06-27,376.7026,382.0769,374.4235,377.4988,1554900
2025-06-30,374.6026,381.5694,373.2192,381.2808,1172500
2025-07-01,382.2661,389.1532,379.2306,387.6802,1299900
2025-07-02,385.1423,385.1423,375.6277,376.2448,1297300
2025-07-03,377.3595,379.3698,369.4572,374.7917,943100
2025-07-07,375.2993,377.1803,373.1794,377.1803,1369700
2025-07-08,374.9012,380.7334,374.0154,375.8069,1098700
2025-07-09,377.2002,377.2002,373.2491,376.6429,1217700
2025-07-10,374.9709,379.4794,366.6705,376.5235,1584400
2025-07-11,373.4282,375.3391,371.6965,374.2841,877100
2025-07-14,374.1448,379.6684,372.8908,378.6433,935600
2025-07-15,377.7377,381.1812,366.8994,370.0344,1304400
2025-07-16,364.0828,364.0828,353.2545,360.8582,2004800
2025-07-17,359.7933,363.7743,356.3597,360.8781,1226100
2025-07-18,361.7937,363.1274,357.8426,359.4051,1029800
2025-07-21,359.7833,364.4212,357.6336,362.8188,1145300
2025-07-22,367.3074,372.4031,343.8394,349.3033,2985800
2025-07-23,351.3038,355.3744,348.4872,351.5924,1237000
2025-07-24,348.4076,350.3683,338.7338,339.8584,2404800
2025-07-25,334.3745,343.3617,328.4329,332.7324,3175900
2025-07-28,330.503,339.5698,330.0352,338.9229,1869500
2025-07-29,339.5001,346.7655,338.2063,342.8641,1879300
2025-07-30,342.6053,353.8019,341.0826,353.3739,2389900
2025-07-31,352.0701,356.9767,351.4531,352.309,1462700
2025-08-01,354.1005,356.7578,351.7119,355.2748,1369800
2025-08-04,355.036,363.0378,353.3441,361.4753,1078300
2025-08-05,362.4804,365.6752,359.7037,362.0823,1106100
2025-08-06,362.2615,368.3724,362.2615,364.4113,1125200
2025-08-07,364.8094,371.5572,363.5653,371.5572,1136800
2025-08-08,372.4728,380.2656,371.2884,379.7978,1016100
2025-08-11,379.9471,382.9926,376.7424,381.0916,991600
2025-08-12,383.1717,388.994,381.43,388.4565,1089900
2025-08-13,388.8844,390.8849,386.8542,388.6058,1416100
2025-08-14,388.4963,393.3133,386.9537,391.7806,912000
2025-08-15,391.7309,394.1095,384.6148,393.9105,1251400
2025-08-18,393.8707,395.5128,391.4522,391.7508,1016100
2025-08-19,392.3778,403.2261,391.0939,400.7777,1502100
2025-08-20,401.5341,409.0483,398.0507,408.2321,1639500
2025-08-21,410.0435,410.0435,402.2009,402.3403,1198700
2025-08-22,402.0318,405.8336,399.3247,403.0469,1081200
2025-08-25,402.9971,404.2611,399.454,400.8573,805500
2025-08-26,399.1853,401.0862,397.8118,400.0511,1180600
2025-08-27,399.8621,404.9379,396.9261,403.1265,702200
2025-08-28,402.8279,406.2317,398.8768,405.3459,965400
2025-08-29,405.744,407.0379,398.9166,402.0417,996400
2025-09-02,399.7526,406.5402,398.2299,404.2113,955600
2025-09-03,403.5147,406.1322,401.355,405.6743,651700
2025-09-04,408.053,415.2188,405.6644,409.6355,1714800
2025-09-05,410.0236,418.9809,407.217,418.7719,1059800
2025-09-08,416.851,416.851,404.7587,416.1146,1472900
2025-09-09,413.8255,414.2534,398.409,411.4369,1084100
2025-09-10,413.2084,413.4174,383.7589,392.4873,2014000
2025-09-11,393.8906,402.2507,390.7655,400.937,1295300
2025-09-12,398.6678,404.4502,397.7422,403.2061,761200
2025-09-15,401.8924,404.6791,398.1204,401.2555,897500
2025-09-16,402.5416,405.0243,397.7958,398.5635,1319800
2025-09-17,400.5376,403.9574,389.1814,398.2045,1250000
2025-09-18,395.5225,401.1956,388.9421,399.8696,1337800
2025-09-19,400.2884,402.4719,395.7219,401.1059,4308500
2025-09-22,401.2455,407.9256,399.74,406.0312,1010600
2025-09-23,407.6464,412.3225,404.8846,408.2347,801600
2025-09-24,405.9814,415.9617,405.9814,415.3834,978600
2025-09-25,417.1083,417.1083,407.786,413.6585,667300
2025-09-26,416.4602,421.2061,412.831,417.8361,1184900
2025-09-29,418.1053,421.7046,414.6954,419.6707,894800
2025-09-30,420.0097,428.1654,417.8361,424.935,1591800
2025-10-01,425.0546,427.268,419.212,424.8054,1371900
2025-10-02,422.6318,426.1613,419.1622,425.4235,865200
2025-10-03,425.6229,431.0767,424.5461,428.265,988400
2025-10-06,425.922,433.7387,424.4464,432.2631,960400
2025-10-07,433.7088,437.7069,431.4555,436.2712,1252400
2025-10-08,435.4536,435.4536,424.5062,425.0047,1485100
2025-10-09,426.2211,427.0487,416.6297,417.6267,1245300
2025-10-10,418.6537,420.2389,408.2845,413.9078,1638400
2025-10-13,415.0145,415.2638,409.152,409.461,1067200
2025-10-14,408.7831,419.3316,406.4899,417.1581,1523000
2025-10-15,417.198,420.1592,413.6685,419.0026,1260800
2025-10-16,419.202,420.3586,415.7423,418.3546,1004700
2025-10-17,419.6905,425.3836,416.7493,424.8951,1034500
2025-10-20,425.7126,434.9651,423.2599,431.8643,878400
2025-10-21,432.4227,433.6789,428.8333,430.7277,1082700
2025-10-22,433.4097,442.0939,431.1066,439.8805,1522700
2025-10-23,437.7169,445.7629,437.7169,438.8535,1928600
2025-10-24,455.7732,460.19,422.7415,445.7131,2847200
2025-10-27,448.9235,467.7874,447.4679,466.4713,1789500
2025-10-28,464.9458,465.6537,453.1111,465.0754,1493700
2025-10-29,463.4204,473.969,459.173,467.0097,1564900
2025-10-30,466.6109,476.7707,463.211,465.4145,1513900
2025-10-31,464.0087,464.7265,454.5867,458.3156,1511200
2025-11-03,456.0523,460.2398,448.6643,460.19,1269800
2025-11-04,461.1272,472.8224,458.176,470.2799,1490400
2025-11-05,469.6718,476.5114,464.3875,471.7955,1097000
2025-11-06,470.5392,473.8394,467.3288,469.9609,836700
2025-11-07,469.9111,477.4586,468.6049,475.1953,1186300
2025-11-10,453.6694,458.7344,442.5525,457.9367,1716500
2025-11-11,460.2299,468.1762,456.83,460.9378,1347900
2025-11-12,460.6287,478.007,458.5947,472.2042,1411800
