date,open,high,low,close,volume
2025-03-14,114.8958,117.1776,113.8926,116.9317,1283400
2025-03-17,116.4596,119.0168,116.2727,118.4758,1982400
2025-03-18,118.5545,119.2922,116.8432,116.9514,1820800
2025-03-19,116.912,117.9546,116.4301,117.6989,1758300
2025-03-20,117.0202,118.3971,116.7055,117.6988,1348400
2025-03-21,117.5907,118.4365,116.6268,117.2858,3803100
2025-03-24,118.171,119.2725,117.7284,119.0856,1570500
2025-03-25,119.5676,120.6003,118.348,119.4594,1873700
2025-03-26,120.0298,121.6625,120.0298,120.6396,1033700
2025-03-27,121.4559,121.4559,120.3642,120.9543,1640100
2025-03-28,121.5838,122.1542,119.9511,120.2068,1324800
2025-03-31,120.0987,122.587,119.7151,121.692,2137200
2025-04-01,121.8985,122.8132,120.6789,122.3411,1243300
2025-04-02,121.2297,123.0197,120.7084,122.8034,1349400
2025-04-03,121.0133,122.9411,119.9708,121.4068,2192900
2025-04-04,118.8988,119.1545,111.1781,111.6993,2389900
2025-04-07,109.3093,112.1222,105.7195,108.0209,2716700
2025-04-08,110.8436,113.332,106.8112,108.2865,2177600
2025-04-09,106.703,114.9253,106.4473,114.4532,1930100
2025-04-10,113.568,115.4761,111.3452,112.8992,1947700
2025-04-11,112.8992,115.0532,110.9518,114.1385,1351200
2025-04-14,115.2499,117.0301,114.6893,115.7318,1168700
2025-04-15,116.1744,116.7547,115.1318,115.2302,1128100
2025-04-16,116.4301,118.1611,114.5614,115.2204,1506900
2025-04-17,115.1712,116.912,114.7089,115.8596,1403400
2025-04-21,115.0925,116.0367,111.4043,112.3386,1336500
2025-04-22,114.2467,117.2169,113.7746,116.7842,1059600
2025-04-23,116.8235,118.23,116.4301,117.0891,1595600
2025-04-24,116.2432,117.7972,115.4957,117.2759,1699400
2025-04-25,117.0989,118.3578,114.7384,116.8038,1814000
2025-04-28,116.8629,118.6824,116.853,118.4267,1581000
2025-04-29,118.2496,120.6396,118.2496,120.2068,1814500
2025-04-30,119.9315,121.1019,118.0234,120.6494,1871700
2025-05-01,119.3315,121.0527,118.8692,119.8331,1771400
2025-05-02,121.0035,123.8656,120.5412,123.5902,1614600
2025-05-05,122.9804,124.436,122.1837,123.6394,1449000
2025-05-06,122.9017,124.9081,122.705,124.495,1404100
2025-05-07,124.613,126.4227,124.2393,125.6753,1168800
2025-05-08,125.5474,127.4063,125.5474,126.0982,1484400
2025-05-09,125.99,126.3342,125.1638,125.4195,1350300
2025-05-12,126.1965,126.5309,123.1574,126.5211,1588000
2025-05-13,126.6293,127.6128,125.813,125.8228,1955300
2025-05-14,125.8326,125.9015,123.7475,124.0623,1727500
2025-05-15,124.7507,127.5145,124.4262,127.121,1805500
