date,open,high,low,close,volume
2025-03-14,224.2082,229.6662,223.9488,228.868,2766500
2025-03-17,227.8602,234.9846,227.8602,234.1364,2486600
2025-03-18,233.5178,233.5277,226.0641,226.5531,1693700
2025-03-19,227.8502,234.4058,227.1717,232.4401,1454300
2025-03-20,230.235,233.2683,230.205,231.4024,1413200
2025-03-21,226.7626,228.9279,219.0296,228.8281,4380600
2025-03-24,231.9512,232.5499,228.5088,232.051,2097800
2025-03-25,233.4879,234.4857,231.3625,234.1564,1882900
2025-03-26,234.4857,235.9824,232.4601,234.346,1735400
2025-03-27,232.8991,233.428,228.9179,231.5421,2225000
2025-03-28,230.4246,231.4823,223.829,225.216,1942400
2025-03-31,221.6738,227.8901,218.7302,227.052,3838200
2025-04-01,225.7448,227.511,222.8612,226.7826,2005600
2025-04-02,223.8989,231.5321,223.7093,230.8736,1508100
2025-04-03,219.3688,222.8312,215.5173,216.9042,4213300
2025-04-04,211.7156,215.6869,206.7565,208.3929,5071300
2025-04-07,201.7175,213.9108,199.2429,203.6932,6159100
2025-04-08,210.5482,211.0271,197.5068,200.8395,4003300
2025-04-09,199.2629,218.7003,195.6109,218.1714,6665600
2025-04-10,213.2223,213.6613,203.8129,209.4606,3213900
2025-04-11,208.0736,213.4318,204.5813,211.9451,2751800
2025-04-14,211.2865,212.7733,206.2077,209.6701,2872600
2025-04-15,210.8575,212.5837,209.9096,210.8575,2606000
2025-04-16,208.812,212.5637,206.4073,208.6324,2300000
2025-04-17,210.3386,211.985,208.4328,209.9894,2144500
2025-04-21,208.5426,208.6424,200.7098,204.1422,2519400
2025-04-22,206.1478,210.628,206.1478,210.179,1683800
2025-04-23,216.6947,221.5042,213.352,214.8887,2181200
2025-04-24,214.0305,219.758,213.5715,218.8799,1786700
2025-04-25,219.0794,220.7857,216.7645,219.1393,1591600
2025-04-28,220.4265,224.6872,218.7502,221.115,2705100
2025-04-29,224.1084,227.1418,221.115,225.9145,3078900
2025-04-30,222.5518,225.3358,216.575,224.9865,2455000
2025-05-01,226.4134,235.2739,226.4134,233.5777,3868900
2025-05-02,234.6852,240.9914,234.6852,240.3727,2992400
2025-05-05,237.8882,240.8417,237.0201,238.437,1593200
2025-05-06,237.4791,239.4049,235.4735,236.0722,1777600
2025-05-07,237.549,243.8451,237.0501,241.1211,2099900
2025-05-08,242.3684,245.5614,240.9615,242.6478,1787800
2025-05-09,242.0191,243.0868,240.233,242.4781,1300600
2025-05-12,255.4497,258.9919,249.2932,251.8675,2988600
2025-05-13,253.3643,257.6449,252.556,255.4497,2030900
2025-05-14,254.9408,256.5972,252.2268,252.4463,2098100
2025-05-15,251.1691,252.9751,250.4906,251.9374,1550300
2025-05-16,251.7977,255.31,249.9218,255.2102,1706400
