date,open,high,low,close,volume
2025-03-14,60.59,61.13,60.34,60.71,2516100
2025-03-17,60.52,62.0,60.52,61.82,2623400
2025-03-18,61.89,62.85,61.2,61.98,3766500
2025-03-19,61.98,62.29,60.98,61.47,3268500
2025-03-20,61.3,61.62,60.54,61.01,3116100
2025-03-21,60.98,61.49,60.4,61.47,7416500
2025-03-24,62.1,62.13,61.58,61.89,2690000
2025-03-25,61.91,62.09,60.36,60.8,2378000
2025-03-26,60.87,61.88,60.54,61.48,1465900
2025-03-27,61.55,62.57,61.41,62.32,1303600
2025-03-28,62.16,62.33,61.22,61.32,1111000
2025-03-31,61.36,62.18,61.05,61.77,2036400
2025-04-01,61.74,61.87,60.86,61.38,1518200
2025-04-02,60.91,61.04,60.03,60.56,1342800
2025-04-03,60.28,61.87,59.06,61.69,4596000
2025-04-04,61.0,63.0,60.37,60.86,6509000
2025-04-07,60.49,62.23,59.6,61.27,4721300
2025-04-08,62.05,62.41,57.48,58.46,6943900
2025-04-09,57.58,60.88,57.38,59.31,4497500
2025-04-10,58.63,58.74,56.51,57.16,4640900
2025-04-11,57.16,58.22,56.27,57.85,4235300
2025-04-14,58.37,59.02,57.68,58.84,4435700
2025-04-15,58.82,58.88,57.64,57.86,2061400
2025-04-16,57.95,58.29,56.05,56.5,3257000
2025-04-17,56.27,57.75,55.89,57.56,6818900
2025-04-21,57.46,57.46,56.39,56.94,2068300
2025-04-22,57.34,58.28,57.31,58.19,1850000
2025-04-23,58.99,59.5,57.86,58.15,2387400
2025-04-24,58.47,58.61,57.75,58.29,2254500
2025-04-25,58.3,58.34,57.28,58.02,1814300
2025-04-28,58.39,58.49,57.68,58.08,1579300
2025-04-29,58.01,58.59,57.6,58.36,1552000
2025-04-30,58.57,58.57,57.56,58.2,2877900
2025-05-01,57.54,57.93,56.96,57.28,2512200
2025-05-02,55.31,55.62,52.12,54.16,7843300
2025-05-05,54.34,54.34,52.69,52.73,3988600
2025-05-06,52.22,53.25,51.9,53.11,3637400
2025-05-07,53.15,57.51,52.81,55.43,12757600
2025-05-08,55.43,56.24,54.87,56.18,5038100
2025-05-09,56.3,56.82,55.97,56.75,3259100
2025-05-12,58.02,59.02,57.82,58.81,2770000
2025-05-13,58.54,58.67,57.0,57.12,3367300
2025-05-14,57.19,57.19,55.15,55.36,3605600
2025-05-15,55.53,55.86,54.84,55.74,3093000
2025-05-16,55.75,56.81,55.35,56.79,2768400
2025-05-19,56.45,56.72,56.1,56.43,1636900
2025-05-20,56.32,56.78,56.0,56.47,1897900
2025-05-21,56.14,56.37,54.76,54.82,2714800
2025-05-22,54.58,54.92,54.15,54.48,1793900
2025-05-23,54.04,54.44,53.62,54.28,2268500
2025-05-27,54.89,68.25,54.52,62.17,19388800
2025-05-28,61.92,64.74,61.68,63.71,8762700
2025-05-29,63.49,63.73,62.88,62.92,3694800
2025-05-30,62.75,62.92,61.85,62.17,5375400
2025-06-02,61.76,62.47,61.28,62.01,2584400
2025-06-03,62.05,64.15,61.52,63.04,3059100
2025-06-04,63.31,63.84,62.49,62.57,2491100
2025-06-05,62.72,63.69,62.22,63.07,2432500
2025-06-06,63.51,64.6,63.2,64.33,2267900
2025-06-09,64.43,64.97,63.92,64.57,2234200
2025-06-10,64.69,65.4,64.3,65.14,2631600
2025-06-11,64.97,65.72,64.2,64.58,2740600
2025-06-12,64.48,65.5,64.19,65.22,1732400
2025-06-13,64.51,65.48,64.41,64.75,2309400
2025-06-16,64.7,65.41,64.0,65.18,1926000
2025-06-17,64.74,65.13,63.96,64.14,3116200
2025-06-18,64.3,64.92,63.76,63.97,3239800
2025-06-20,64.42,64.95,63.83,64.48,5573100
2025-06-23,64.11,64.66,63.77,64.43,3148500
2025-06-24,64.25,64.94,63.68,64.83,2236800
2025-06-25,64.64,64.75,63.81,64.27,2015100
2025-06-26,64.63,65.2,63.68,65.11,2404800
2025-06-27,65.05,67.0,64.77,65.01,3320100
2025-06-30,64.94,65.39,64.74,65.16,1590500
2025-07-01,64.86,66.65,64.59,65.33,2165200
2025-07-02,64.99,65.52,64.56,65.3,2282400
2025-07-03,65.3,65.3,64.49,64.78,1233600
2025-07-07,64.76,64.95,64.05,64.37,1815100
2025-07-08,64.17,65.2,64.17,64.9,2280200
2025-07-09,65.8,66.43,64.68,65.85,2115300
2025-07-10,65.58,67.06,65.35,66.85,2086800
2025-07-11,66.7,66.92,65.63,65.72,1776800
2025-07-14,65.37,65.82,64.54,64.62,1693900
2025-07-15,64.51,64.81,63.22,63.26,1727200
2025-07-16,63.51,64.17,63.44,63.86,1454200
2025-07-17,63.72,64.15,63.39,64.02,1516500
2025-07-18,64.58,64.64,63.61,63.99,1582100
2025-07-21,63.98,64.52,63.58,63.69,2326900
2025-07-22,64.03,65.59,63.92,65.37,1957900
2025-07-23,65.55,66.05,65.0,65.95,1441500
2025-07-24,65.9,66.53,65.56,66.1,1540400
2025-07-25,66.36,66.96,65.61,66.5,1116500
2025-07-28,66.18,66.45,65.59,65.69,1959200
2025-07-29,65.7,66.25,65.17,66.04,1663700
2025-07-30,65.73,66.2,64.78,64.98,2750700
2025-07-31,66.45,67.52,65.05,66.82,3187900
2025-08-01,66.35,67.26,65.35,67.16,1874000
2025-08-04,67.16,67.99,66.81,67.91,1224000
2025-08-05,68.0,68.12,67.15,67.82,1140500
2025-08-06,69.07,69.07,66.86,66.89,1897500
2025-08-07,67.34,67.96,66.78,67.93,1311700
2025-08-08,68.0,68.33,67.67,68.06,1889600
2025-08-11,68.13,68.5,67.47,67.99,1173300
2025-08-12,67.89,68.08,67.39,67.95,1162100
2025-08-13,67.85,69.13,67.77,68.98,1747100
