date,open,high,low,close,volume
2025-03-14,28.0222,28.3858,27.9553,28.2614,2700600
2025-03-17,28.3284,28.8928,28.2614,28.6632,2412500
2025-03-18,28.7685,28.9407,28.5006,28.6441,2408800
2025-03-19,28.4814,28.6154,28.3188,28.4814,3208700
2025-03-20,28.4719,28.5963,28.1753,28.3953,3137800
2025-03-21,28.3379,28.7589,28.2423,28.6824,9492800
2025-03-24,28.4336,28.7302,27.7639,27.9935,4098900
2025-03-25,28.0414,28.0605,27.5152,27.563,3311400
2025-03-26,27.6587,28.4049,27.6587,28.2997,2194800
2025-03-27,28.558,29.1224,28.4814,29.0076,2717400
2025-03-28,29.199,29.2373,28.8546,29.0459,2168300
2025-03-31,29.2564,29.8783,29.1894,29.6008,3340700
2025-04-01,29.7347,29.7826,29.2564,29.4095,2517200
2025-04-02,29.4286,29.5721,29.065,29.2947,2209600
2025-04-03,29.419,30.1653,29.419,30.0792,3776100
2025-04-04,30.0218,30.6819,29.2564,29.4095,4262100
2025-04-07,28.9502,29.4956,28.4814,28.7398,4345300
2025-04-08,29.1129,29.132,27.783,28.0509,3648700
2025-04-09,27.7448,28.625,27.5343,28.424,4226700
2025-04-10,28.424,28.9502,27.8309,28.2327,5056200
2025-04-11,28.4623,29.2373,28.271,28.9981,3581500
2025-04-14,28.8822,29.7805,28.8339,29.51,3908600
2025-04-15,29.9157,29.9157,29.2589,29.3458,2187200
2025-04-16,29.5873,29.5873,29.0464,29.1526,2438900
2025-04-17,29.143,29.6453,29.085,29.539,2859000
2025-04-21,29.4134,29.4328,29.0753,29.3651,2259400
2025-04-22,29.3941,29.7225,29.2975,29.6646,2322800
2025-04-23,29.6066,29.8288,29.3168,29.7612,2047900
2025-04-24,29.5873,29.6646,29.0657,29.1623,1879600
2025-04-25,29.056,29.1236,28.5731,28.689,2383900
2025-04-28,28.631,28.7759,28.3702,28.5151,2257300
2025-04-29,28.5054,28.6407,28.1867,28.602,2341400
2025-04-30,28.8628,29.0174,28.3509,28.8822,3312000
2025-05-01,28.5537,28.6407,28.235,28.3895,2391000
2025-05-02,28.5344,28.631,28.2446,28.3122,2964800
2025-05-05,28.2929,28.3122,27.8389,28.2156,2530600
2025-05-06,28.1384,28.3122,28.0321,28.1577,1759900
2025-05-07,28.1867,28.3509,27.9935,28.1191,2286400
2025-05-08,28.1384,28.7276,28.0611,28.3895,2614300
2025-05-09,28.2543,28.5151,28.1867,28.2156,1609200
2025-05-12,28.1867,28.6407,28.0321,28.5441,2999300
2025-05-13,28.4378,28.5441,28.0031,28.2736,2685900
2025-05-14,28.1384,28.3026,27.9162,28.1673,4189600
2025-05-15,28.3412,29.1719,28.3412,29.1333,2966100
2025-05-16,29.1043,29.51,28.9884,29.4907,3068500
2025-05-19,29.4617,29.4617,29.0367,29.0947,2622300
2025-05-20,29.0657,29.4231,29.0367,29.114,3773300
2025-05-21,29.0464,29.1043,28.3799,28.4185,3265500
2025-05-22,28.2929,28.5248,28.0031,28.4475,3260800
2025-05-23,28.4475,28.5537,28.0128,28.4378,2770800
2025-05-27,28.7856,29.2299,28.66,29.1719,4867600
2025-05-28,29.2879,29.4134,28.7952,29.0174,4251500
2025-05-29,28.3122,29.4521,27.7906,29.3458,6055400
2025-05-30,29.4811,29.8095,29.3168,29.6356,4464400
