date,open,high,low,close,volume
2025-03-14,166.4766,169.785,165.0213,165.1474,1357400
2025-03-17,164.934,167.0393,163.8183,165.4094,997800
2025-03-18,165.6713,166.5833,163.7406,164.3713,991900
2025-03-19,162.7704,163.5272,160.7136,162.363,1705100
2025-03-20,162.2659,162.7801,158.9188,159.5688,1696600
2025-03-21,159.365,162.8578,159.365,162.198,3047100
2025-03-24,161.8778,163.7115,159.6076,163.0033,1475300
2025-03-25,162.5473,162.5473,159.5299,160.3061,1409400
2025-03-26,160.1703,164.6429,160.1703,163.4981,1123000
2025-03-27,164.74,166.4378,163.0033,165.5355,754900
2025-03-28,166.8744,168.3782,164.1869,164.7982,1075200
2025-03-31,165.6616,167.6214,164.3034,165.9333,1759500
2025-04-01,166.5736,167.0684,163.4981,164.5653,950900
2025-04-02,164.9049,166.1467,158.5598,159.0643,1644900
2025-04-03,158.7732,162.4891,157.4343,161.8584,3022000
2025-04-04,162.9936,166.4669,156.4156,157.4052,2504500
2025-04-07,155.9111,160.0927,152.3796,157.7545,2376800
2025-04-08,159.3359,161.092,152.7094,154.3588,1853300
2025-04-09,153.7476,161.4219,152.3893,159.268,1830900
2025-04-10,158.7538,161.4704,156.0955,159.2001,1491600
2025-04-11,159.6561,161.9264,157.803,160.7136,1233900
2025-04-14,161.0532,166.1564,160.6457,165.2251,1637600
2025-04-15,165.225,166.3893,161.7517,162.9451,1252200
2025-04-16,163.6339,164.4586,158.7441,159.3359,1024400
2025-04-17,160.9174,162.1592,157.9194,161.6256,1120500
2025-04-21,161.4121,161.7129,159.8113,161.5092,743300
2025-04-22,161.8778,163.8861,160.8009,162.4503,1002500
2025-04-23,162.0428,163.6339,160.0539,161.6353,911200
2025-04-24,161.0047,161.286,158.8217,159.1031,760800
2025-04-25,158.6471,159.4524,156.6873,158.4142,981800
2025-04-28,158.6859,159.5203,156.4544,158.2008,1298000
2025-04-29,158.2105,160.7815,155.979,160.1509,1208600
2025-04-30,160.5487,163.1391,160.1121,162.2077,3463500
2025-05-01,161.3539,162.4697,156.2022,162.1495,2618200
2025-05-02,161.7711,162.5958,156.1246,158.4821,2230800
2025-05-05,158.3851,161.7517,157.056,161.6935,1820400
2025-05-06,161.3248,165.0213,160.471,164.9437,1539400
2025-05-07,164.9534,164.9534,161.5383,163.6436,2195300
2025-05-08,163.372,165.2347,162.2368,165.0504,1750000
2025-05-09,163.9638,166.04,163.3429,165.8072,1228300
2025-05-12,165.9915,166.3408,161.4316,162.5861,2300400
2025-05-13,162.0719,162.6346,156.4253,158.4336,2246100
2025-05-14,158.2396,158.7829,156.0276,156.9007,1461400
2025-05-15,158.1426,159.5009,156.5709,158.812,1231200
2025-05-16,158.812,158.812,152.4819,155.0648,2012400
2025-05-19,154.8789,155.3779,152.8732,153.1667,1785800
2025-05-20,153.1178,154.4973,152.1981,152.3351,1679400
2025-05-21,152.6286,152.6286,147.9128,148.0204,1814200
2025-05-22,147.6877,150.8479,146.7974,150.5349,2865700
2025-05-23,151.7578,152.5014,148.9205,151.9927,1907600
2025-05-27,152.7069,156.3367,152.3155,154.8104,2737900
2025-05-28,153.7146,155.5638,152.3057,152.5308,1248400
2025-05-29,151.2491,159.0566,151.0338,157.8336,2388000
2025-05-30,157.3249,158.4891,156.3758,157.2172,2073000
2025-06-02,156.3269,158.0195,154.3604,157.9608,1063700
2025-06-03,157.3053,159.6436,155.2409,159.5556,1068800
2025-06-04,159.898,160.0839,157.7358,157.9902,1114200
2025-06-05,157.227,159.9665,157.1488,159.2621,1403800
2025-06-06,159.2621,160.309,157.3933,158.2543,1112200
2025-06-09,157.9608,163.8311,157.9021,163.3028,1677300
2025-06-10,163.6746,166.0814,162.7451,164.8976,1433900
2025-06-11,164.8976,165.5922,164.0073,164.4182,1022000
2025-06-12,164.4182,168.772,163.8801,168.4002,2227600
2025-06-13,168.5372,170.4353,165.1324,165.4651,1834400
2025-06-16,166.3946,167.6077,165.0639,166.7272,1554000
2025-06-17,165.9347,167.6469,164.8487,165.2205,1262500
2025-06-18,165.2987,167.187,163.792,166.0521,1787100
2025-06-20,166.326,170.0733,166.326,167.7447,4188700
2025-06-23,168.048,169.5841,166.1499,169.3884,1354500
2025-06-24,169.1047,169.408,166.9131,168.3317,1697600
2025-06-25,166.3065,167.0598,163.5572,163.9192,2234500
2025-06-26,164.5943,165.289,162.5397,163.3909,1980200
2025-06-27,163.5083,165.2107,162.8821,163.3811,2471500
2025-06-30,163.0387,163.8801,161.2384,162.3636,2050400
2025-07-01,162.3636,174.2118,162.344,172.0105,2869300
2025-07-02,171.6387,174.0455,170.6407,173.253,1071500
2025-07-03,173.39,173.7129,171.2376,172.6562,733800
2025-07-07,172.803,173.028,170.6799,171.7561,1548900
2025-07-08,169.8874,170.9245,165.5238,166.2576,1919100
2025-07-09,165.7879,165.7879,158.0098,158.45,3522800
2025-07-10,157.5303,161.9037,156.6107,161.0819,2135200
2025-07-11,160.309,161.7961,159.0762,161.1993,1080600
2025-07-14,162.2462,162.7549,159.9372,161.346,1050100
2025-07-15,161.2971,162.5201,159.0175,159.3893,1659600
2025-07-16,159.7122,160.8373,157.8043,160.7199,1343600
2025-07-17,162.4223,167.9893,162.0407,167.5295,2096500
2025-07-18,167.8426,169.271,167.1381,167.5882,2394100
2025-07-21,170.4157,177.3623,170.4157,172.9302,3328500
2025-07-22,172.1279,178.6831,171.5409,177.7634,2193700
2025-07-23,178.1254,181.403,177.871,179.2701,1782100
2025-07-24,179.2212,180.2583,177.6949,179.9256,1130000
2025-07-25,179.9061,183.6044,178.644,183.076,1943800
2025-07-28,181.5596,182.4499,178.4679,180.5714,1533400
2025-07-29,180.2583,182.8021,178.9668,182.2053,2203900
2025-07-30,189.8074,194.6993,183.9468,184.7491,3009200
2025-07-31,182.2836,185.6492,181.2465,182.1075,2167800
2025-08-01,183.8294,187.0385,183.4283,184.9252,2072900
2025-08-04,184.299,186.9407,183.7511,186.295,1345000
2025-08-05,186.2558,188.5061,184.798,184.8567,1109100
2025-08-06,184.8469,185.7177,182.1955,184.5143,1062200
2025-08-07,184.2208,186.4417,181.0117,183.4478,1977800
2025-08-08,183.0076,183.35,179.4756,180.2876,1655500
2025-08-11,180.6399,180.6496,170.2102,171.6289,3185000
2025-08-12,172.441,174.0455,171.0517,172.6562,1447200
2025-08-13,171.7072,176.8633,171.7072,176.1686,1248000
2025-08-14,175.4153,177.1177,173.752,176.3643,1291000
2025-08-15,178.4248,178.4248,173.8503,175.477,1290000
2025-08-18,176.0094,176.8375,174.7869,175.8812,1154800
2025-08-19,176.5516,179.6769,176.5023,178.2178,1496800
2025-08-20,179.3811,182.388,178.5628,179.0262,1289000
2025-08-21,177.6065,177.8135,175.9108,176.8277,1171300
2025-08-22,177.7248,179.4205,176.8671,178.8684,1110300
