date,open,high,low,close,volume
2025-03-14,335.6858,339.538,331.962,336.644,605022
2025-03-17,334.8166,343.8446,334.8166,339.8443,369384
2025-03-18,337.2268,337.3058,331.5966,332.2584,382492
2025-03-19,333.9573,342.2543,332.1227,338.0169,454625
2025-03-20,333.177,338.743,329.8483,335.0241,615504
2025-03-21,331.1718,335.2512,328.337,334.2141,813564
2025-03-24,340.506,345.6917,339.633,345.2176,577255
2025-03-25,345.1287,350.9811,342.3976,349.2871,580780
2025-03-26,346.9659,349.1587,340.6443,342.3828,714454
2025-03-27,339.4591,343.8644,335.834,337.8095,379099
2025-03-28,335.271,336.5798,326.6578,327.9419,387277
2025-03-31,324.8601,328.7617,312.4639,326.8554,669387
2025-04-01,325.0676,330.8459,321.9216,328.7815,470908
2025-04-02,321.8969,337.8984,321.5413,337.4342,345287
2025-04-03,317.2644,322.5192,309.2933,317.4125,1033709
2025-04-04,307.3968,316.4248,295.7562,312.0688,1202143
2025-04-07,304.1569,329.305,297.0847,313.0072,1037760
2025-04-08,322.7068,327.5764,309.0809,313.6097,1154432
2025-04-09,312.4935,350.8675,310.923,347.6376,1340732
2025-04-10,337.7206,347.0547,329.3593,337.6515,869092
2025-04-11,335.8439,351.6281,331.4385,349.0995,1052244
2025-04-14,353.653,355.6976,345.0102,346.2152,1009217
2025-04-15,345.8103,349.1489,341.4642,342.3433,595590
2025-04-16,337.2267,341.2666,330.1051,334.629,464181
2025-04-17,336.5649,338.0169,332.9695,334.8166,466124
2025-04-21,330.7916,330.7916,321.0968,325.1861,464458
2025-04-22,329.4828,337.6811,329.4828,336.3476,357800
2025-04-23,353.1788,354.6605,341.5629,341.7111,599098
2025-04-24,342.8964,357.5249,342.8964,355.8655,470586
2025-04-25,353.2875,360.9426,352.5664,355.4309,434579
2025-04-28,355.3124,358.9473,350.23,353.5937,409796
2025-04-29,353.5937,357.1348,350.4033,355.0654,440238
2025-04-30,348.892,359.0263,346.961,358.73,736800
2025-05-01,361.4463,362.8489,336.8514,338.9158,1468575
2025-05-02,345.346,351.7367,343.1038,351.549,1047052
2025-05-05,349.9588,355.0605,347.6968,349.1785,515697
2025-05-06,345.7115,349.2081,341.8297,344.0422,611346
2025-05-07,345.7806,349.4649,345.1139,348.0722,500916
2025-05-08,352.9319,353.9098,349.4945,350.2255,719215
2025-05-09,352.1615,354.137,349.1883,352.3492,465712
2025-05-12,368.6074,377.1761,368.6074,373.7733,788757
2025-05-13,373.7734,384.283,373.4079,381.9223,843225
2025-05-14,384.0064,385.2609,379.2949,380.9543,640012
2025-05-15,379.5616,383.4928,377.9219,381.9026,821403
2025-05-16,382.91,388.1945,379.5517,387.4142,659441
