date,open,high,low,close,volume
2025-03-14,251.1699,255.6769,247.7773,249.3947,1331300
2025-03-17,252.2054,261.969,250.5683,260.7658,1103900
2025-03-18,261.4759,267.6496,260.2233,266.0618,1632500
2025-03-19,264.7303,265.9434,260.5389,263.6554,1614200
2025-03-20,262.9059,264.7994,261.3477,263.1524,1069900
2025-03-21,262.4719,265.5982,259.602,262.5015,1963600
2025-03-24,262.4325,268.981,261.9098,267.975,1252800
2025-03-25,268.7147,270.2236,265.2531,269.9968,1392700
2025-03-26,271.0125,271.555,262.9847,266.7521,822600
2025-03-27,267.6002,271.052,263.6258,266.6535,1284400
2025-03-28,267.1136,268.8154,260.6326,261.7903,967900
2025-03-31,260.5832,264.1848,258.0007,261.8101,1201500
2025-04-01,262.285,265.4117,259.1386,261.9486,927200
2025-04-02,259.9796,262.9974,258.2481,262.9974,1117300
2025-04-03,259.9203,272.0312,259.198,262.6809,1808700
2025-04-04,260.8108,267.8557,250.4215,251.0943,2435100
2025-04-07,244.7222,253.6867,239.6661,252.0244,1838800
2025-04-08,289.0399,289.6534,271.7244,278.9772,4637900
2025-04-09,278.8881,287.813,267.9843,282.5194,2653600
2025-04-10,283.5683,290.7814,276.5036,287.1897,2277700
2025-04-11,286.9324,293.1363,281.896,291.9291,1674600
2025-04-14,292.879,294.858,278.8881,281.8169,1473200
2025-04-15,283.6177,285.6164,277.3545,283.7563,1150900
2025-04-16,283.1428,288.2583,279.0266,282.5986,1338400
2025-04-17,254.2506,267.4698,253.3404,261.6914,3670300
2025-04-21,259.7421,261.3945,241.081,243.3172,2050400
2025-04-22,245.5335,256.4769,244.2275,256.19,1340700
2025-04-23,256.6056,263.5318,252.5191,260.8305,1092400
2025-04-24,258.634,265.1842,257.0112,265.006,1061100
2025-04-25,263.3042,264.4915,259.2474,261.6122,1097900
2025-04-28,261.4341,263.8385,257.2784,260.4249,1717300
2025-04-29,261.7309,261.7309,255.2203,256.6253,2472500
2025-04-30,270.5668,273.2284,251.8166,259.475,3488800
2025-05-01,261.4044,264.1947,252.905,253.3404,1755600
2025-05-02,256.1405,257.4565,251.4604,255.7547,1740000
2025-05-05,254.2705,257.2883,253.3503,253.9835,1348200
2025-05-06,252.3806,255.2797,248.1457,249.1154,985500
2025-05-07,252.1827,252.1827,247.364,250.4511,782900
2025-05-08,250.0752,253.4096,248.8482,250.6787,1234900
2025-05-09,250.6787,251.4802,245.9788,246.899,1088200
2025-05-12,248.0764,252.905,244.9399,250.1939,1425100
2025-05-13,241.8528,241.8528,226.16,226.4766,3848500
2025-05-14,232.4529,232.5024,226.0215,228.04,2532300
2025-05-15,222.974,225.2002,210.21,225.0716,4230000
2025-05-16,227.3177,236.6087,225.596,235.451,2572000
2025-05-19,242.4168,245.5138,237.1331,244.7321,2095700
2025-05-20,246.3746,253.1722,243.8812,252.6181,1878500
2025-05-21,247.1464,251.2922,243.1094,243.1786,1554600
2025-05-22,229.1581,235.7874,223.7161,224.7451,3009100
2025-05-23,225.22,226.5953,219.8769,222.5584,1674900
2025-05-27,224.1217,225.2893,218.6698,224.2207,1555400
2025-05-28,224.6066,230.1079,224.28,225.3882,1581100
2025-05-29,226.7933,228.9503,223.7259,227.6541,1283000
2025-05-30,227.1692,231.3843,225.9621,230.6719,2524800
2025-06-02,229.8705,230.3949,223.5676,228.9503,1300500
2025-06-03,227.1297,232.8191,224.7154,230.9589,1129400
2025-06-04,230.9787,234.0658,228.1983,228.3962,1106100
2025-06-05,228.2972,231.3052,223.4687,224.7649,1708800
2025-06-06,228.2378,229.633,225.0122,228.2675,3453600
2025-06-09,229.5538,233.8283,228.5644,230.6126,1251900
2025-06-10,231.2953,233.4919,228.7722,229.534,1137400
2025-06-11,228.8018,235.3125,228.6039,229.2966,1293200
2025-06-12,228.1587,232.6014,225.3585,232.4826,1419500
2025-06-13,229.8902,233.9371,228.7524,232.7794,1512500
2025-06-16,234.2142,234.4121,226.813,232.9081,2307100
2025-06-17,231.9681,242.3376,231.9681,238.9042,3163900
2025-06-18,239.7848,243.2875,237.4101,240.8336,1686200
2025-06-20,241.2393,243.802,236.7868,237.0935,2045300
2025-06-23,236.4899,238.0434,231.1864,232.1858,1826800
2025-06-24,232.6112,237.0341,230.8203,236.2722,1281300
2025-06-25,236.4503,238.4985,234.1053,235.9952,1346200
2025-06-26,236.668,240.8633,235.8171,237.3705,1096800
2025-06-27,237.2464,242.5,237.2464,240.2158,1755400
2025-06-30,239.4114,243.0065,239.2823,242.7979,1232900
2025-07-01,240.1562,251.1401,240.1562,250.8422,1456000
2025-07-02,246.4824,249.0943,240.1463,242.1127,2586900
2025-07-03,244.9332,244.9332,236.4321,238.031,960800
2025-07-07,237.3557,237.4053,232.7674,235.578,1367200
2025-07-08,235.578,238.1402,233.1051,235.856,912200
2025-07-09,235.1211,236.1242,232.1219,235.0715,770300
2025-07-10,232.9462,235.2602,229.8477,230.5826,1183200
2025-07-11,227.8217,230.2449,226.8882,229.083,1077600
2025-07-14,229.2121,229.2121,225.0112,225.8951,1234000
2025-07-15,226.2923,228.2189,219.7476,220.3733,1469600
2025-07-16,220.9692,225.7759,219.688,225.0012,1097200
2025-07-17,223.6903,226.1533,215.1594,222.0119,1775500
2025-07-18,221.4161,222.6277,205.4467,218.8936,4320000
2025-07-21,222.2106,225.1403,219.4398,221.8928,2139300
2025-07-22,222.5085,230.3343,222.3695,229.5298,1622600
2025-07-23,233.8301,235.6574,229.0432,235.4886,1914900
2025-07-24,233.1349,236.1043,226.3916,227.633,1235000
2025-07-25,229.51,238.17,229.51,236.3427,1569800
2025-07-28,235.4687,237.7827,229.51,229.9271,1791700
2025-07-29,228.2388,235.6475,225.9447,231.0195,2089100
2025-07-30,247.8728,263.425,239.183,259.6711,6384000
2025-07-31,258.3403,259.671,246.2441,248.1508,3140900
2025-08-01,247.7933,250.2662,243.1455,245.5588,1756100
2025-08-04,247.118,248.9354,243.662,245.6482,1316300
2025-08-05,243.2448,257.1088,242.4206,252.7192,1936900
2025-08-06,251.7162,257.6749,250.6932,254.8544,1263400
2025-08-07,255.7582,257.218,250.8124,254.3777,850400
2025-08-08,254.9935,265.5801,253.8811,264.8452,1678300
2025-08-11,265.4113,270.069,263.1767,264.8353,1749500
2025-08-12,265.1134,273.7336,264.0209,273.0484,1547200
2025-08-13,274.6175,281.5395,273.4258,280.0499,2064400
2025-08-14,278.8879,281.9467,277.1698,279.4043,1144800
2025-08-15,285.224,288.6503,282.6618,284.4196,1738600
2025-08-18,287.3691,288.8688,285.0254,285.2141,1298000
2025-08-19,284.7076,290.0109,283.2477,286.2668,1534200
2025-08-20,286.3164,288.1736,283.4463,288.0048,1247700
2025-08-21,288.2828,294.6984,286.2966,292.444,1496200
2025-08-22,294.8076,299.5448,293.8642,297.4493,1615500
2025-08-25,297.5288,298.4325,292.9703,295.1552,880100
2025-08-26,294.7282,298.7106,292.9704,296.8138,1010500
2025-08-27,296.2476,299.2469,294.4004,295.2148,859300
2025-08-28,295.1949,297.7473,292.2752,295.8405,997500
2025-08-29,295.5127,301.978,294.9566,301.5708,1100000
2025-09-02,302.4944,312.1177,300.9252,307.9267,1966100
2025-09-03,306.7846,312.1177,304.0337,309.8335,1739400
2025-09-04,308.7907,311.5516,305.9008,309.8534,1621300
2025-09-05,309.3171,313.1804,304.421,305.8015,1504600
2025-09-08,307.7678,309.4462,300.6869,308.2445,1147300
2025-09-09,309.9924,312.3759,269.3341,271.1416,4844000
2025-09-10,268.1523,271.9857,252.2524,271.6977,4315700
2025-09-11,273.8131,280.5464,269.1553,276.8024,2057000
2025-09-12,275.0843,278.014,272.3135,274.5381,1138400
2025-09-15,273.4059,274.9949,269.2348,273.5251,1277600
2025-09-16,270.1286,271.6183,263.0178,270.4464,2637100
2025-09-17,271.1217,271.9659,265.8185,267.5366,1491900
2025-09-18,268.3807,270.1286,262.9781,263.0377,1355100
2025-09-19,261.8758,261.8758,248.5183,250.9217,4957800
2025-09-22,249.0745,256.8009,246.7903,256.0958,1927000
2025-09-23,255.7582,260.8231,254.5267,256.5427,1612900
2025-09-24,255.9468,261.5878,255.9468,260.1676,1569100
2025-09-25,260.1974,261.4785,250.9415,252.6795,2208600
2025-09-26,255.3254,257.0495,252.2958,254.0797,1255900
2025-09-29,254.5082,255.2258,251.5882,254.3587,1184600
2025-09-30,252.8041,261.0159,252.8041,259.2819,1603100
