date,open,high,low,close,volume
2025-03-14,124.6938,126.4396,122.8284,126.2001,2564100
2025-03-17,125.3921,129.8312,125.0031,128.9534,2275600
2025-03-18,127.8262,128.6841,124.0355,127.9359,2595500
2025-03-19,128.5644,132.6743,128.4347,131.6568,2427200
2025-03-20,130.0008,133.0334,129.5818,131.3475,2075000
2025-03-21,130.8487,131.2178,128.4945,130.5295,3841400
2025-03-24,132.9436,136.1557,132.0558,135.7666,2406600
2025-03-25,136.2156,137.4725,134.5696,137.3827,2661600
2025-03-26,137.5323,137.7219,133.5022,133.8115,2732000
2025-03-27,133.2528,134.3501,130.4098,132.1057,1543000
2025-03-28,131.3076,132.6842,128.2252,129.3724,1945700
2025-03-31,127.1478,130.35,123.8659,129.4123,3282000
2025-04-01,128.6142,131.6667,127.7065,131.4572,2241400
2025-04-02,128.8536,133.8015,128.684,133.572,1749400
2025-04-03,127.487,129.6816,124.4943,124.6938,2372600
2025-04-04,115.666,116.9329,109.152,112.0549,6664400
2025-04-07,107.1469,118.9579,104.7827,115.4964,5805500
2025-04-08,121.9306,122.6489,112.414,114.3393,4241900
2025-04-09,113.0026,129.1429,111.8055,127.7763,5275000
2025-04-10,124.5741,127.1378,120.0452,123.8858,3076400
2025-04-11,123.0678,126.0405,121.6314,125.3622,2036000
2025-04-14,128.1354,128.7638,125.9508,127.1478,2011400
2025-04-15,123.2973,126.26,122.7486,124.1651,3606700
2025-04-16,123.5965,125.9907,121.9506,123.6265,2864000
2025-04-17,123.2773,124.8335,122.6588,122.9282,2189000
2025-04-21,122.19,122.6888,117.8008,119.1774,2008200
2025-04-22,120.9929,124.7138,120.7735,123.9956,2234600
2025-04-23,128.8736,131.9859,127.1977,129.3823,2931400
2025-04-24,128.9634,134.011,128.9634,133.1631,2224200
2025-04-25,133.9711,136.1258,133.4124,135.4275,1603300
2025-04-28,137.9313,139.2681,134.7292,136.0161,2878600
2025-04-29,135.6669,138.071,135.4175,137.1632,2450100
2025-04-30,134.7691,138.6296,134.4798,138.2406,3140900
2025-05-01,146.1013,150.1114,144.3556,147.6674,4819600
2025-05-02,149.8421,154.351,149.8421,153.6926,3651800
2025-05-05,152.6951,155.2089,152.4457,153.962,1881900
2025-05-06,150.9494,156.4159,150.2611,155.4184,2646400
2025-05-07,155.2488,157.0444,153.9321,156.7352,2908100
2025-05-08,158.3013,158.6505,156.6653,157.1142,2806200
2025-05-09,157.6133,158.6814,154.4391,157.1242,2232500
2025-05-12,160.3284,161.2867,155.3275,156.675,4990400
2025-05-13,156.3357,159.8493,154.9382,158.0126,3635300
2025-05-14,158.5017,160.538,157.8329,159.1705,3504800
2025-05-15,158.7113,161.4264,158.7113,160.9972,4660500
2025-05-16,160.8375,162.6142,160.2984,162.5044,1839400
2025-05-19,162.205,166.0779,160.1088,165.9382,2585400
2025-05-20,165.4391,166.1977,163.7821,164.8003,1836100
2025-05-21,164.0416,165.3992,161.8656,162.4645,1858600
2025-05-22,162.2649,164.0516,161.2367,162.7141,2073200
2025-05-23,161.2866,165.7286,159.7195,164.7903,2045900
2025-05-27,166.9663,169.5017,166.8366,169.3819,2845100
2025-05-28,169.4418,171.2086,169.0425,170.0108,2781500
2025-05-29,169.8012,170.989,167.9845,169.7812,3285500
2025-05-30,169.2322,170.4799,167.5952,169.5816,4750300
2025-06-02,169.9309,172.4463,169.6115,172.3365,2287800
2025-06-03,172.2467,174.3429,169.8611,172.2966,2764300
2025-06-04,172.9854,174.9418,172.4464,173.6242,2118700
2025-06-05,174.6623,175.1215,172.8656,174.6923,1984500
2025-06-06,175.5208,176.9282,174.283,175.0516,1655800
2025-06-09,176.2495,176.5489,172.4763,172.5562,2277600
2025-06-10,171.1886,173.0952,166.5671,168.3139,5076900
2025-06-11,168.7631,171.7876,165.2095,170.43,2979900
2025-06-12,168.3737,171.7077,168.1941,171.2086,2280600
2025-06-13,170.6097,172.2367,169.7912,170.8892,2418300
2025-06-16,172.4763,174.0734,170.979,171.2885,2340000
2025-06-17,171.1587,172.6061,170.5598,171.8075,1965400
2025-06-18,171.6977,173.3148,169.6215,169.921,2343400
2025-06-20,171.3983,173.1451,168.7531,173.0253,4597400
2025-06-23,172.5861,175.4609,172.077,175.3111,2427100
2025-06-24,176.6786,177.1777,173.4645,176.2494,2509400
2025-06-25,177.4073,178.3656,174.9618,175.7603,2692900
2025-06-26,178.2558,178.9945,175.5308,176.5289,4390800
2025-06-27,177.1578,185.1832,177.1578,184.5643,23827800
2025-06-30,182.7077,187.1696,181.8293,185.7921,4564700
2025-07-01,183.5462,186.0117,175.7005,175.9001,6061300
2025-07-02,175.0516,176.6387,173.185,175.6306,3249700
2025-07-03,176.3692,180.7313,175.7504,180.7313,1766400
2025-07-07,180.6215,181.989,178.4554,179.9228,2865100
2025-07-08,179.6632,181.0108,173.8239,179.1342,3288700
2025-07-09,181.0707,182.1088,178.675,181.0906,2306100
2025-07-10,181.5997,182.3683,176.3093,178.2059,2824000
2025-07-11,178.0661,179.9827,177.6768,179.3538,1748300
2025-07-14,179.8729,184.3248,179.0344,183.9854,2084900
2025-07-15,184.165,184.7839,181.8193,184.3447,1918600
2025-07-16,184.734,185.3429,180.6714,183.9654,1843800
2025-07-17,185.6524,189.136,184.9137,188.4872,3041000
2025-07-18,188.7767,191.2621,188.1578,190.1442,2265100
2025-07-21,190.1541,190.3238,186.96,187.489,2098300
2025-07-22,184.6741,186.5507,179.9427,183.0071,3283100
2025-07-23,183.4763,186.4409,182.7676,186.0616,2769800
2025-07-24,187.0099,187.9881,185.7622,186.4609,2903300
2025-07-25,187.2894,190.5934,186.6705,189.1759,1915600
2025-07-28,189.7748,190.0943,186.8102,187.8284,2337900
2025-07-29,190.4636,190.8529,188.3874,188.8266,2289500
2025-07-30,188.6868,192.9091,188.1378,191.7912,2971700
2025-07-31,187.4391,188.4572,171.4681,179.4436,8508800
2025-08-01,176.6787,186.0316,173.7041,183.9255,5089200
2025-08-04,185.1632,186.2113,180.4119,180.8311,3729100
2025-08-05,181.6696,182.6478,177.3474,178.9944,2986700
2025-08-06,179.0743,182.3483,177.7267,181.7295,2018100
2025-08-07,181.3102,182.6378,177.6768,181.2504,1889900
2025-08-08,182.5588,183.1981,178.5834,180.5412,1588800
2025-08-11,180.4613,181.6599,177.9542,179.6722,1449700
2025-08-12,180.6011,181.0905,178.1739,180.691,1256100
2025-08-13,181.3602,181.5999,172.3207,176.5957,3174700
2025-08-14,176.1962,177.205,173.9688,175.7867,2004000
2025-08-15,175.7967,175.7967,170.1432,171.0521,3265000
2025-08-18,171.7613,173.2796,170.6027,172.8501,2241000
2025-08-19,172.051,173.9887,170.8424,171.7014,2274200
2025-08-20,171.3018,172.4605,169.2542,171.7413,2762800
2025-08-21,171.6514,174.2884,171.0721,173.0498,2261500
2025-08-22,173.8989,174.8777,170.0433,170.8024,2996400
2025-08-25,171.152,174.5281,170.6526,171.0422,1945800
2025-08-26,171.9012,176.0264,171.212,175.7167,4060100
2025-08-27,175.2972,176.4659,174.7379,175.4471,1926600
2025-08-28,175.5469,177.255,175.0975,175.9565,2313300
2025-08-29,175.9465,176.336,172.3207,173.8988,1665700
2025-09-02,172.1109,173.3894,170.6126,173.0199,1995200
2025-09-03,173.1997,174.3084,172.2108,174.2884,1678700
2025-09-04,174.668,180.7409,174.4582,179.3226,2265600
2025-09-05,180.0417,181.1804,173.1797,177.9941,2016700
2025-09-08,178.074,180.3414,178.074,179.2227,1777300
2025-09-09,178.5734,179.2826,176.1163,178.7732,1399600
2025-09-10,179.792,184.0171,179.4125,183.5876,1995500
2025-09-11,184.1769,185.4455,181.1504,183.9972,2000200
2025-09-12,184.7863,187.0436,184.2868,185.5554,1817100
2025-09-15,185.7851,189.2811,185.7851,189.0313,1813200
2025-09-16,189.281,190.0701,186.2545,187.2434,3287800
2025-09-17,187.3633,188.0325,183.0283,185.1758,2227600
2025-09-18,184.4566,192.0279,182.5688,191.6183,2223200
2025-09-19,192.6771,192.767,186.0848,190.0102,4621000
2025-09-22,192.2776,192.5773,189.7805,191.928,2111200
2025-09-23,192.2276,194.1255,189.5008,193.3563,2224900
2025-09-24,194.3352,194.4651,189.8704,190.0002,1772200
2025-09-25,189.311,190.15,186.5143,189.6307,1326900
2025-09-26,191.7782,194.6648,190.9092,192.9268,2339400
2025-09-29,194.4651,196.1631,189.7006,191.6983,2485200
2025-09-30,192.1677,196.4328,191.7082,196.0033,2384800
2025-10-01,193.9357,198.2507,192.817,194.6249,2267200
2025-10-02,194.8946,195.9034,189.9303,190.8592,2133100
2025-10-03,191.7482,191.7981,186.6741,189.0313,1617500
2025-10-06,188.2722,190.7593,186.3744,190.2599,1751200
2025-10-07,190.2,191.2987,188.6318,191.2388,1489300
2025-10-08,192.3275,193.606,190.0402,191.4286,1265400
2025-10-09,192.3475,192.7071,188.3721,188.6118,1121000
2025-10-10,188.5319,189.9203,183.6176,183.8773,1726300
2025-10-13,185.865,190.5696,185.6153,189.7705,1671700
2025-10-14,187.7828,194.7248,186.6641,192.807,1884500
2025-10-15,194.2553,195.8435,188.8116,192.0479,1212700
2025-10-16,192.757,194.2253,190.16,191.4585,1351900
2025-10-17,189.6206,191.1289,187.2434,189.4608,1522700
2025-10-20,191.4086,193.2764,190.3698,192.2976,1044900
2025-10-21,193.0167,197.6114,192.8569,196.9522,2022600
2025-10-22,197.5615,199.7689,188.6418,191.009,2251000
2025-10-23,191.3886,199.9687,191.2788,199.8688,2300800
2025-10-24,201.467,202.266,198.0209,198.2806,2142300
2025-10-27,200.9376,202.6056,199.7689,201.6068,1665600
2025-10-28,202.7655,205.0528,200.6179,200.8077,2499900
2025-10-29,200.8377,204.913,199.4293,203.2449,2517400
2025-10-30,200.8876,211.7051,199.7689,201.5369,3983100
2025-10-31,202.6356,209.5576,202.6356,205.712,3401800
2025-11-03,207.8596,210.2568,206.3014,206.5011,3134400
2025-11-04,202.8354,205.3025,200.3582,204.7831,1917800
2025-11-05,202.7954,207.2003,202.7954,206.0716,1406300
2025-11-06,205.8818,207.9994,204.4335,205.4823,1935700
