date,open,high,low,close,volume
2025-03-14,236.862,242.9116,235.8179,242.3261,4045200
2025-03-17,243.2043,248.4538,242.9604,246.8341,3233900
2025-03-18,246.3852,246.4438,239.1745,240.9601,4171900
2025-03-19,242.3066,247.5073,240.6576,246.1705,3853600
2025-03-20,238.3158,240.8137,231.4661,237.4181,7026800
2025-03-21,235.8277,239.2623,232.715,237.9548,9580100
2025-03-24,241.3113,242.7847,240.0038,242.4237,4753300
2025-03-25,242.3359,244.8143,242.1798,243.8385,3133800
2025-03-26,245.1558,248.1513,243.4775,244.2678,4450100
2025-03-27,243.6531,244.2288,239.7697,240.238,2889300
2025-03-28,240.2966,241.565,236.1984,238.0816,3125300
2025-03-31,236.8522,244.8045,236.6083,242.6286,6795000
2025-04-01,242.0139,244.541,237.584,244.2678,4412900
2025-04-02,242.1993,246.6584,241.2333,243.9166,4080800
2025-04-03,236.8229,244.5313,236.6473,237.584,5309600
2025-04-04,232.2272,234.3348,221.3769,221.9623,7407100
2025-04-07,213.9222,226.6557,209.2972,220.3036,7797900
2025-04-08,226.9191,227.3972,212.0098,215.6688,6850000
2025-04-09,211.8536,230.5684,209.9412,229.6024,7302800
2025-04-10,225.397,226.9289,216.6348,223.9821,5656100
2025-04-11,224.148,231.8174,221.9916,229.7683,4325900
2025-04-14,233.9542,235.9057,230.988,233.2615,3321500
2025-04-15,233.7396,235.6715,232.4906,234.8617,3363700
2025-04-16,234.4519,237.3986,230.1684,232.7834,4869900
2025-04-17,233.8664,235.9155,231.6417,233.0175,4635200
2025-04-21,232.2955,234.969,227.2801,230.4903,4908900
2025-04-22,232.715,236.7546,232.2467,235.0568,4232700
2025-04-23,240.0331,243.2921,237.7499,239.5258,7948300
2025-04-24,225.5726,227.1338,218.9961,223.7675,15428100
2025-04-25,223.3967,227.6997,220.8305,226.7728,6700100
2025-04-28,227.2118,230.8904,226.441,230.4318,3653500
2025-04-29,231.2514,234.1591,230.4123,233.5835,3426500
2025-04-30,230.988,236.5887,228.6559,235.9545,5143000
2025-05-01,235.5837,236.4912,232.1784,233.8469,4243300
2025-05-02,237.2328,239.7307,235.4764,239.5941,3731900
2025-05-05,237.8279,243.7409,237.7304,243.136,4137800
2025-05-06,241.7504,244.1215,240.1405,243.0774,2900600
2025-05-07,243.3994,248.2977,242.7945,247.2243,3399700
2025-05-08,248.8148,250.2979,247.1073,247.9757,3637000
2025-05-09,248.0248,248.5061,243.2413,244.7736,2901300
2025-05-12,248.015,249.3017,240.3044,249.1838,4609500
2025-05-13,249.9107,254.9692,248.3882,253.9968,3521400
2025-05-14,253.0244,255.922,251.6689,253.2405,3634700
2025-05-15,254.4094,262.6798,254.0165,261.9431,4856300
2025-05-16,261.619,263.22,259.8902,262.0217,3817900
2025-05-19,260.7349,264.3594,260.3715,263.6424,3198600
2025-05-20,262.6503,264.4969,260.9019,262.2083,2437900
2025-05-21,260.2635,260.9314,255.7845,256.2363,3753900
