date,open,high,low,close,volume
2025-03-14,167.9774,169.5298,166.9886,169.1441,3018600
2025-03-18,171.0606,171.7129,169.9536,170.8332,2995100
2025-03-19,171.1495,172.4938,170.171,171.6734,2609300
2025-03-20,171.1199,173.8577,171.0013,173.5513,2746700
2025-03-21,173.6304,173.9467,171.0902,172.3652,4717100
2025-03-24,172.296,174.1147,172.1379,173.2152,2982400
2025-03-25,174.1048,174.4409,172.4542,173.5908,2777100
2025-03-26,173.8874,174.767,172.9583,173.7193,2575200
2025-03-27,173.8676,175.3897,173.0868,174.3124,2946000
2025-03-28,174.085,174.9647,172.4542,172.6815,3199200
2025-03-31,170.8135,171.5251,169.3012,170.4972,6282800
2025-04-01,169.8053,170.7048,168.6094,169.4989,3877200
2025-04-02,168.214,170.003,167.6407,168.4611,6613000
2025-04-03,167.2552,170.5664,165.3378,165.6145,6043400
2025-04-04,163.4796,164.5767,154.7324,154.9202,6340400
2025-04-07,150.5614,157.6382,148.723,152.8544,6950500
2025-04-08,156.6993,156.9464,147.7247,149.8596,6466300
2025-04-09,149.1084,155.444,145.5305,154.9893,7429300
2025-04-10,154.3864,155.187,149.0689,153.3882,4719200
2025-04-11,152.8248,154.9894,150.4922,154.0998,2786500
2025-04-14,156.4423,158.4289,155.3748,157.9348,2946400
2025-04-15,158.6662,159.1208,156.1557,158.0929,2675600
2025-04-16,157.9842,158.508,155.533,156.6004,2628900
2025-04-17,157.5987,158.9429,156.215,156.7981,2742700
2025-04-21,155.5923,155.9876,151.3521,153.23,2815000
2025-04-22,154.7126,159.101,154.7126,158.8144,2909600
2025-04-23,160.2179,161.2557,157.6086,159.1208,2876100
2025-04-24,159.1999,161.404,158.1522,161.0877,1559700
2025-04-25,160.554,161.7302,159.7336,161.3348,1642800
2025-04-28,161.404,162.4715,160.4057,161.5819,2337500
2025-04-29,161.572,164.6854,161.5127,164.3988,2114600
2025-04-30,164.1221,166.8204,162.6395,166.0198,3672000
2025-05-01,164.3099,170.3094,161.0482,168.8564,4008900
2025-05-02,171.0803,172.474,169.2419,171.4361,2921400
2025-05-05,171.703,173.1362,170.5861,171.96,2239100
2025-05-06,170.9518,174.1641,170.9518,173.1559,2744300
2025-05-07,172.9484,174.9647,172.4937,174.4804,2025800
2025-05-08,175.1327,176.724,174.3519,174.4211,4378300
2025-05-09,174.8263,177.3566,174.7275,176.2595,3313500
2025-05-12,176.8426,176.8426,168.5995,171.4263,4617700
2025-05-13,171.5053,172.7705,170.7739,170.8332,2122900
2025-05-14,171.0704,171.9798,168.9355,169.9437,4025800
2025-05-15,170.2303,173.1856,169.8646,172.8199,2563600
2025-05-16,173.5118,174.2135,171.8018,174.2036,2330900
2025-05-19,172.9682,175.3502,172.5333,174.6978,2731500
2025-05-20,173.8577,175.3205,173.5019,174.2432,2150800
2025-05-21,173.8083,175.113,172.1676,172.6914,4479600
2025-05-22,172.4937,173.3833,171.5548,171.9798,2896200
2025-05-23,171.4856,174.7374,170.9024,174.0751,2248100
2025-05-27,175.0537,176.8822,174.5002,176.467,2831500
2025-05-28,175.5577,176.5659,175.5182,175.7356,2297700
2025-05-29,175.6961,176.7141,174.8164,176.4572,1789700
2025-05-30,176.3781,178.5427,175.9432,177.7124,5439100
2025-06-02,176.6746,178.2462,175.6072,178.2264,1854700
2025-06-03,178.1473,178.7898,175.7357,177.2578,2387700
2025-06-04,177.7025,177.8607,175.8641,177.0502,1869900
2025-06-05,177.4851,177.5938,175.5973,176.4868,2438400
2025-06-06,176.131,176.8031,175.3008,176.6054,3245200
2025-06-09,175.7356,176.7537,172.7606,173.9269,2776000
2025-06-10,173.9565,174.2926,172.7112,173.492,1898200
2025-06-11,173.9664,175.4984,172.9187,175.4391,1677200
2025-06-12,174.9548,177.0601,174.9351,177.0008,1841500
2025-06-13,177.4765,178.3387,175.8611,176.8422,2500300
2025-06-16,177.9621,180.0037,177.3972,178.19,2150700
2025-06-17,177.5954,180.0235,177.1197,179.3694,3230500
2025-06-18,179.3694,179.7063,177.9026,178.1504,2055300
