date,open,high,low,close,volume
2025-03-14,178.1184,179.9006,175.6076,179.5855,554600
2025-03-17,179.2507,182.7166,179.2507,181.7517,378000
2025-03-18,181.476,181.9191,179.743,181.7812,511200
2025-03-19,182.1849,182.943,180.1861,181.7418,519900
2025-03-20,180.2944,183.3271,179.8415,180.9049,653200
2025-03-21,179.556,179.556,176.2673,179.1129,1170500
2025-03-24,180.8852,182.9529,180.2649,182.2538,561800
2025-03-25,182.7461,183.1892,179.7923,181.535,425300
2025-03-26,181.3972,184.7745,180.6686,181.8994,492000
2025-03-27,181.8994,183.5929,179.5067,181.1018,319700
2025-03-28,182.1751,183.2975,177.1239,178.1283,370500
2025-03-31,176.7596,178.6993,173.6778,178.1873,760300
2025-04-01,177.5276,179.3787,176.0605,178.3646,632300
2025-04-02,176.4347,180.8557,176.4052,180.4815,477100
2025-04-03,175.6273,175.6273,165.85,166.0863,779100
2025-04-04,162.7681,163.2801,157.6678,159.9915,1053500
2025-04-07,157.1459,163.6641,151.0019,160.4247,1613800
2025-04-08,165.0525,165.8401,156.437,159.45,1656000
2025-04-09,156.9293,172.831,156.9293,171.1276,1198100
2025-04-10,166.8051,167.7208,159.578,164.4026,807800
2025-04-11,164.1466,168.0949,159.4696,165.9189,793100
2025-04-14,167.5436,168.8531,165.3872,167.2482,445800
2025-04-15,167.0709,168.8433,164.2254,164.7669,440400
2025-04-16,163.4081,165.3774,160.2573,161.557,724500
2025-04-17,161.8032,162.9257,161.114,161.429,863900
2025-04-21,159.637,159.8438,155.8462,158.1896,604100
2025-04-22,159.9423,164.3731,159.3712,163.8414,631200
2025-04-23,168.4002,172.3978,164.0777,164.5798,1068900
2025-04-24,164.314,171.423,163.9103,171.1177,995400
2025-04-25,170.7337,172.3091,168.9023,170.3399,603200
2025-04-28,170.9799,172.5455,170.0839,171.423,676600
2025-04-29,170.9011,171.5313,169.3553,169.5522,742600
2025-04-30,169.178,171.295,166.7066,171.295,1082100
2025-05-01,181.1707,181.1707,169.9165,172.5553,915000
2025-05-02,176.6021,179.8021,173.9338,178.66,780100
2025-05-05,177.2322,180.4618,177.2027,178.9356,660800
2025-05-06,177.0944,178.7584,176.543,176.7793,583100
2025-05-07,176.9171,179.0046,176.8285,177.3208,677400
2025-05-08,179.5067,183.7898,178.7879,181.8107,630900
2025-05-09,182.0274,182.5591,180.2058,180.6489,383500
2025-05-12,186.468,190.6034,186.468,188.3486,889000
2025-05-13,188.6243,189.5203,187.2853,187.3837,471400
2025-05-14,186.3696,187.0687,185.4243,185.572,517500
2025-05-15,185.1683,187.2656,184.5874,186.6452,529000
2025-05-16,186.5665,187.9646,185.0797,187.9154,421500
2025-05-19,185.3063,188.9037,185.3063,187.7079,490700
2025-05-20,186.8382,187.2137,185.4842,186.0574,524500
2025-05-21,183.221,183.2408,177.6173,179.0405,986300
2025-05-22,178.3882,179.8805,176.9354,179.0108,468900
2025-05-23,176.1942,178.1411,176.125,177.4987,421400
2025-05-27,179.8212,181.3235,178.1906,181.3037,500400
2025-05-28,181.7385,182.3019,178.24,178.5859,419800
2025-05-29,180.4241,180.4241,177.558,180.009,551600
2025-05-30,180.009,181.1554,177.3208,178.7934,834200
2025-06-02,177.6667,177.6667,174.7018,177.0737,557200
2025-06-03,177.1034,180.0782,176.4709,179.9102,464900
2025-06-04,180.5625,180.6613,178.7539,178.7736,389500
2025-06-05,178.9812,179.4852,177.4296,178.1708,683300
2025-06-06,180.5427,181.4717,178.8132,181.1653,479600
2025-06-09,181.7978,182.628,179.9102,181.0863,626600
2025-06-10,181.1752,182.717,180.3352,182.1042,345100
2025-06-11,182.2129,183.6756,180.9973,181.027,532000
2025-06-12,179.5149,181.8769,179.5149,180.3747,622200
2025-06-13,178.1115,179.5149,175.1268,175.7396,650900
2025-06-16,177.5284,178.6056,176.0064,177.815,600500
2025-06-17,176.6587,177.8446,173.6444,173.931,652100
2025-06-18,173.5752,175.1169,172.0236,172.9822,888800
2025-06-20,173.7234,174.7908,170.2743,171.1242,2463800
2025-06-23,171.1637,171.8852,168.268,170.6992,965400
2025-06-24,172.1026,173.8519,170.5213,172.834,501300
2025-06-25,173.3083,173.3083,170.7388,172.4584,551900
2025-06-26,173.3281,175.0378,172.9328,174.2867,608100
2025-06-27,175.0972,176.0954,173.3676,174.2571,788100
2025-06-30,173.8816,174.9489,171.7271,173.5159,902700
2025-07-01,172.8241,180.9182,172.4683,178.0818,644000
2025-07-02,178.3585,180.177,177.5481,180.0288,488000
2025-07-03,180.6119,181.3828,178.576,179.1294,224100
2025-07-07,178.0127,179.2579,176.1843,177.2319,802500
2025-07-08,177.3604,181.8769,176.3523,180.3352,911500
2025-07-09,181.3729,182.7269,179.5939,182.2228,1036200
2025-07-10,182.1141,185.5139,181.7089,183.2506,686200
2025-07-11,181.693,182.4768,179.7981,180.0362,674900
2025-07-14,179.2723,180.4827,177.8338,179.441,793500
2025-07-15,180.4926,181.3954,177.9925,178.052,766800
2025-07-16,178.4092,179.5303,175.6908,178.3497,685700
2025-07-17,178.9052,182.7943,178.9052,182.5066,498600
2025-07-18,183.4788,183.4788,180.8398,181.9312,652000
2025-07-21,182.8836,183.1118,178.8854,179.4707,652500
2025-07-22,178.8358,183.3995,178.8358,183.082,468400
2025-07-23,184.7884,185.2249,181.5938,182.9431,729000
2025-07-24,182.576,183.4391,181.5541,182.2089,352300
2025-07-25,183.4491,184.2626,181.1474,184.2229,369300
2025-07-28,184.5305,185.1456,182.7348,182.9729,534900
2025-07-29,183.7963,184.8181,181.9708,183.7169,701900
2025-07-30,173.6174,176.8218,161.8709,162.9821,2650700
2025-07-31,161.2161,164.1131,160.0058,162.2181,1484800
2025-08-01,160.8986,162.0594,157.089,157.8628,1320400
2025-08-04,157.7735,159.0533,156.2159,156.9997,1008900
2025-08-05,158.3291,161.226,157.9323,160.5613,695500
2025-08-06,160.5713,161.7221,157.6446,158.4581,1006900
2025-08-07,160.3728,160.73,157.0592,157.2775,747700
2025-08-08,156.9997,158.7359,156.6921,157.0096,639100
2025-08-11,157.3569,158.5375,156.0076,156.2854,765100
2025-08-12,158.4085,162.3471,157.6247,162.0296,657300
2025-08-13,162.8134,168.4584,162.4364,168.1608,1048000
2025-08-14,165.8691,167.0893,164.2619,165.8691,850800
2025-08-15,166.2758,166.385,162.863,163.4682,579200
2025-08-18,163.1904,164.2123,162.486,162.486,486800
2025-08-19,163.2797,166.4147,162.486,164.5892,822000
2025-08-20,163.9642,164.5496,162.3471,163.1706,705100
2025-08-21,162.3967,163.2995,160.9681,161.0971,676800
2025-08-22,162.238,167.4862,161.9999,167.2282,1228900
2025-08-25,167.3969,167.4961,164.6488,164.6686,463600
2025-08-26,164.3908,164.9464,163.3888,164.6885,755100
2025-08-27,163.7757,165.7699,163.6666,164.7678,612300
2025-08-28,165.6806,165.6806,162.4166,163.9146,584200
2025-08-29,164.3214,164.6686,162.5356,163.2003,445700
2025-09-02,161.1764,161.7022,159.3311,160.8689,839200
2025-09-03,160.3232,161.3054,159.0335,160.0454,960100
2025-09-04,160.1149,163.6071,159.1228,163.5575,515700
2025-09-05,164.3015,165.6806,162.6943,163.6269,647500
2025-09-08,163.5277,163.5674,160.9383,162.8729,738400
2025-09-09,162.5058,162.5257,159.728,160.73,557800
2025-09-10,160.3332,161.3649,158.1406,158.9045,786100
2025-09-11,159.3113,163.4682,159.3113,163.1904,743100
2025-09-12,162.9225,163.1507,159.2815,159.2815,394400
2025-09-15,160.1943,160.8689,158.7061,159.8867,677300
2025-09-16,159.9561,162.6844,159.5295,162.5455,747700
2025-09-17,162.8928,164.5992,157.9223,158.3291,1033300
2025-09-18,159.5593,161.7816,158.8152,160.7796,608200
2025-09-19,162.7043,163.4483,159.3212,159.7577,1828300
2025-09-22,159.5891,159.9859,157.7438,159.3311,661300
2025-09-23,160.0851,161.0971,157.8926,158.1406,478500
2025-09-24,157.8926,159.4105,157.8033,158.4978,630800
2025-09-25,157.7438,158.4779,156.9402,158.0216,835600
2025-09-26,158.5375,160.3728,158.0315,160.0752,489300
2025-09-29,161.1169,161.6427,159.3113,160.9086,691900
2025-09-30,160.7895,161.5237,159.0831,161.474,690400
2025-10-01,160.3034,162.9324,159.728,162.8035,630300
2025-10-02,163.24,164.9762,162.4265,163.8749,603300
2025-10-03,165.4127,166.9604,164.3809,165.6806,471300
2025-10-06,165.7401,166.5139,164.0734,165.7302,334800
2025-10-07,165.9881,166.2361,163.0316,164.49,484000
2025-10-08,164.6885,165.9881,162.9523,165.5714,573800
2025-10-09,165.7302,165.8889,163.0912,164.5396,606200
2025-10-10,165.2471,165.3567,159.5279,160.5741,741600
2025-10-13,161.7897,163.2643,160.1756,160.2553,515300
2025-10-14,158.691,163.7127,158.691,163.0551,364300
2025-10-15,163.4038,164.4002,162.1683,162.5967,1050600
2025-10-16,163.9618,166.074,162.8658,164.4301,558500
2025-10-17,163.3739,166.4427,163.3739,165.7054,819900
2025-10-20,166.0541,168.3358,164.6891,166.0043,361600
2025-10-21,165.8947,170.3684,165.6357,168.7144,412000
2025-10-22,168.8639,169.1428,165.0378,165.7453,496400
2025-10-23,165.8549,168.2461,165.1873,167.7579,408100
2025-10-24,168.6447,168.6646,166.8612,167.3394,427000
2025-10-27,168.6845,169.1927,166.901,166.9907,570000
2025-10-28,166.8711,166.8711,164.7987,166.3431,897600
2025-10-29,172.3711,180.611,170.7171,172.7696,1690700
2025-10-30,172.6799,176.3565,169.6809,169.6809,855900
2025-10-31,169.382,171.7832,168.8838,170.8367,633100
2025-11-03,169.9001,169.9001,166.7815,167.6383,772300
2025-11-04,166.7815,168.6347,166.3929,167.2498,912300
2025-11-05,167.4989,169.0133,165.8947,167.6583,549700
2025-11-06,168.0369,169.6012,165.3965,166.2135,544000
2025-11-07,165.277,168.4354,164.8286,167.3494,872600
2025-11-10,169.5812,169.5812,165.8947,168.1863,612900
2025-11-11,168.9535,170.2389,168.4155,168.8938,333400
2025-11-12,168.7443,171.305,168.6148,168.9536,546000
2025-11-13,169.0831,171.1157,166.074,166.4527,548900
2025-11-14,165.3965,166.5722,163.6031,163.892,891900
2025-11-17,164.0215,164.8485,161.6801,162.1683,513300
2025-11-18,161.4111,162.4074,160.1357,161.0922,627500
2025-11-19,160.5741,162.3078,160.0162,161.0922,384400
2025-11-20,162.8658,163.6828,161.152,162.4074,596700
2025-11-21,162.9156,170.9662,162.3078,170.0296,974000
2025-11-24,169.2325,170.5876,168.3059,169.2923,982400
2025-11-25,170.6773,174.035,170.478,173.0187,533000
2025-11-26,172.391,174.9915,171.9427,173.1283,406200
2025-11-28,173.7361,173.9752,172.7995,173.2977,243300
2025-12-01,171.7533,175.8584,171.7533,174.0051,762400
2025-12-02,174.0051,175.7089,172.7596,174.4634,446900
2025-12-03,175.3602,177.6618,175.3602,177.5621,466500
2025-12-04,177.5621,178.9371,176.2968,178.3792,904000
2025-12-05,176.506,178.8474,176.1174,176.8946,597300
2025-12-08,176.7551,176.8547,174.7823,175.3103,583700
2025-12-09,175.121,175.7886,172.401,172.8693,541900
2025-12-10,173.7062,177.2034,173.4471,175.8683,807600
2025-12-11,176.0975,180.9597,176.0477,180.5811,632200
2025-12-12,181.7867,182.3845,176.9045,178.2795,742200
2025-12-15,178.5485,178.9471,176.8049,178.0404,562200
2025-12-16,178.0503,178.4589,175.8683,176.5458,664600
2025-12-17,175.7388,179.0666,175.1808,175.689,977500
2025-12-18,176.9743,178.1301,175.9281,176.8547,574600
2025-12-19,176.4861,178.3792,175.8285,177.1337,1571700
2025-12-22,177.9906,179.6844,176.7949,178.8674,515200
2025-12-23,179.0766,181.0693,177.5721,179.6844,464200
2025-12-24,179.5947,180.5512,179.1862,179.5449,159700
2025-12-26,178.7677,179.8737,178.2197,179.6645,225100
2025-12-29,179.6844,180.5712,178.5485,179.3556,344900
2025-12-30,178.8973,179.5648,178.0005,178.6283,380800
2025-12-31,178.4987,178.7777,176.7451,177.2931,466300
2026-01-02,177.3828,179.1962,176.6455,178.409,493300
2026-01-05,176.9942,182.0757,176.9942,180.1427,408000
2026-01-06,182.1653,183.4506,179.236,183.2016,671600
