date,open,high,low,close,volume
2025-03-14,31.9037,32.2501,31.5668,32.2212,2861400
2025-03-17,32.1539,32.7794,31.9903,32.5388,2299600
2025-03-18,32.5773,32.8468,32.3945,32.7602,3400900
2025-03-19,32.6158,32.8276,32.3271,32.5773,2327600
2025-03-20,32.7217,32.9334,32.3752,32.7602,3201300
2025-03-21,32.7891,33.1067,32.534,32.5966,5621900
2025-03-24,32.8083,33.0874,32.6303,32.9527,3289800
2025-03-25,32.9815,33.2289,32.6351,32.7891,2953500
2025-03-26,32.9238,33.1163,32.7794,33.0778,2000000
2025-03-27,33.1069,33.699,33.0584,33.1554,2453400
2025-03-28,33.3787,33.534,33.039,33.4563,2924300
2025-03-31,33.6116,34.0678,33.466,33.8251,5228100
2025-04-01,33.796,33.8591,33.2137,33.534,2798400
2025-04-02,33.5728,33.7863,33.3301,33.6116,3360500
2025-04-03,33.3398,33.699,32.8788,32.9904,2766900
2025-04-04,32.7866,33.1263,31.486,31.5831,4671900
2025-04-07,31.7044,31.9713,30.0495,30.5154,5098400
2025-04-08,31.0201,31.2142,29.2148,29.6322,3600600
2025-04-09,29.0304,31.4181,28.5063,31.321,5029400
2025-04-10,31.0104,31.4957,29.8748,30.7095,3461700
2025-04-11,30.6222,31.2337,29.9234,31.1754,3768200
2025-04-14,31.3016,31.9131,31.3016,31.7384,3485500
2025-04-15,31.9034,32.0975,31.6316,32.0004,4998800
2025-04-16,32.0004,32.4954,31.8937,32.0684,3198100
2025-04-17,32.146,33.0098,32.0587,32.6313,2561800
2025-04-21,32.4469,32.6604,31.9325,32.4178,2072200
2025-04-22,32.7672,33.1943,32.7284,33.0487,2336900
2025-04-23,33.1166,33.3107,32.6119,32.9516,3709800
2025-04-24,32.9031,33.136,32.6701,32.874,2393000
2025-04-25,32.971,32.971,32.6022,32.7866,2283500
2025-04-28,32.6895,33.0681,32.6604,33.0098,1988700
2025-04-29,32.8351,33.0098,32.5343,32.6604,2837500
2025-04-30,32.7187,33.3107,32.1509,33.1845,3267900
2025-05-01,33.7863,34.4851,33.0584,34.0775,4345400
2025-05-02,34.5725,34.7462,34.1551,34.4269,3434600
2025-05-05,34.3201,34.4172,33.8348,33.961,1822100
2025-05-06,33.9416,34.0969,33.6796,33.8737,1559300
2025-05-07,33.9125,34.2134,33.8251,33.8737,2519200
2025-05-08,33.9901,33.9901,33.4078,33.5534,2970900
2025-05-09,33.5825,33.8591,33.4369,33.7475,1809900
2025-05-12,33.9513,34.194,33.2622,33.4757,3191500
2025-05-13,33.4369,33.466,32.6313,32.7381,3457200
2025-05-14,32.5343,32.709,32.2188,32.4857,3343800
2025-05-15,32.5925,33.0293,32.5051,33.0293,2477200
2025-05-16,33.0778,33.4757,32.971,33.4078,7336300
2025-05-19,33.1748,33.5631,33.0001,33.3884,2091300
2025-05-20,33.2719,33.4272,33.1943,33.3107,2237000
2025-05-21,33.2913,33.301,32.5537,32.5925,2504900
2025-05-22,32.6604,32.6895,32.0004,32.1266,3404800
2025-05-23,32.1266,32.2431,31.7675,32.0393,2680100
2025-05-27,32.1945,32.4712,32.0296,32.3984,4678500
2025-05-28,32.3984,32.4469,32.0664,32.2237,4173600
2025-05-29,32.2237,32.5245,31.9665,32.5148,4070600
2025-05-30,32.3498,32.7672,32.2431,32.709,6013600
2025-06-02,32.5537,32.7041,32.0975,32.6798,2782500
2025-06-03,32.5148,32.6701,32.0392,32.4663,3892700
2025-06-04,32.2625,32.476,32.049,32.2625,3168400
2025-06-05,32.2528,32.3498,31.8937,31.9713,2851100
2025-06-06,32.3595,32.4663,31.8548,32.214,3987900
2025-06-09,32.1363,32.4469,31.8888,32.214,3287300
