date,open,high,low,close,volume
2025-03-14,49.0021,49.7791,48.6855,49.3186,4689700
2025-03-17,49.4434,50.3547,49.3474,49.4817,4531200
2025-03-18,49.5873,50.2204,49.2611,49.923,4312900
2025-03-19,49.7791,50.9687,49.7695,50.4794,6938900
2025-03-20,50.4219,50.6233,50.0189,50.1628,6445600
2025-03-21,49.5968,49.7695,48.5704,49.2995,14551500
2025-03-24,49.4242,50.8536,49.1939,50.6809,8781600
2025-03-25,52.6859,54.3359,51.928,53.9713,13752500
2025-03-26,53.1751,53.8179,52.5228,53.1559,8955800
2025-03-27,52.3405,52.8585,51.7074,52.3789,4790900
2025-03-28,52.3117,52.5995,50.7001,51.0454,4877200
2025-03-31,50.4411,51.4292,49.971,51.1797,4930500
2025-04-01,51.2277,51.5059,49.9422,51.4675,3376300
2025-04-02,50.9687,52.6475,50.9591,52.2446,3830900
2025-04-03,49.6256,49.8463,46.1529,47.1794,9255900
2025-04-04,45.75,46.7477,43.5627,46.0282,8130100
2025-04-07,43.8697,46.9012,42.5171,44.8386,7771500
2025-04-08,45.2991,45.702,41.9607,42.8432,7550700
2025-04-09,42.402,47.6207,41.5098,47.0259,7956700
2025-04-10,45.9706,46.1529,43.4284,44.3206,5003000
2025-04-11,43.8601,45.1552,43.1118,44.9346,5351300
2025-04-14,46.22,46.316,44.7523,45.6445,3560600
2025-04-15,45.6444,46.316,44.829,44.9633,2737900
2025-04-16,44.7043,45.1744,44.0616,44.4165,2846300
2025-04-17,44.2343,45.1744,44.2343,44.3973,3511100
2025-04-21,43.9656,44.3781,42.8145,43.227,2016200
2025-04-22,43.6874,44.8482,43.5723,44.5892,2621500
2025-04-23,45.654,46.3639,44.5029,44.8482,3644000
2025-04-24,44.5125,45.8939,44.1191,45.6924,2200200
2025-04-25,45.4238,45.7596,44.925,45.4238,2158900
2025-04-28,45.6061,46.6805,45.0401,45.5485,3479600
2025-04-29,45.6157,46.3256,45.2511,45.6924,4030500
2025-04-30,42.2676,44.618,42.1717,43.8217,10716800
2025-05-01,43.1694,43.3517,42.0086,42.1046,6197400
