date,open,high,low,close,volume
2025-03-14,81.2616,82.1808,80.3825,81.7911,1923900
2025-03-17,81.7611,83.4795,81.5314,82.8901,1968500
2025-03-18,82.5304,82.7202,81.0119,81.5314,1849600
2025-03-19,81.871,82.4605,80.852,82.0509,2361000
2025-03-20,81.0019,82.2367,80.8061,81.5913,1473100
2025-03-21,80.5623,81.0418,79.7731,80.882,2946300
2025-03-24,81.901,82.8101,81.2517,82.1508,3134500
2025-03-25,82.6203,82.97,81.3116,82.2906,1984000
2025-03-26,82.2407,83.0799,81.0758,81.3016,1782000
2025-03-27,81.0019,81.5164,79.7731,81.2217,1963500
2025-03-28,80.922,81.6912,78.9539,79.3635,1769100
2025-03-31,78.1247,80.4774,77.1057,79.9529,2928000
2025-04-01,79.6332,80.8021,78.8839,80.5323,2016700
2025-04-02,79.3435,81.9909,79.3435,81.6213,1683600
2025-04-03,77.8649,78.2845,72.9347,73.4492,4805000
2025-04-04,70.6718,70.6918,67.1253,69.6329,6552900
2025-04-07,68.1942,71.9406,65.5768,67.8745,6227400
2025-04-08,70.5719,71.591,65.5468,66.6857,4638500
2025-04-09,65.8265,74.0686,65.6367,73.2494,7395500
2025-04-10,71.3112,73.0895,69.3431,70.8717,7486400
2025-04-11,70.8816,73.3693,69.0534,72.9297,4559400
2025-04-14,73.9487,74.0586,72.61,73.2993,1751800
2025-04-15,73.2594,74.2884,72.61,72.7598,1727500
2025-04-16,71.8207,72.62,70.6918,71.2912,1353700
2025-04-17,71.8008,72.9097,71.6309,71.9706,1891000
2025-04-21,70.8217,71.1913,68.9036,69.6528,2308000
2025-04-22,70.7018,72.55,70.2473,72.1804,2011000
2025-04-23,75.1275,76.5062,73.1345,73.2993,2032800
2025-04-24,73.2793,76.0667,72.9916,75.667,1802000
2025-04-25,75.2075,75.9747,74.5381,74.9078,3403600
2025-04-28,75.1475,76.0467,74.0736,74.7279,7044300
2025-04-29,74.0286,75.2874,73.8188,74.7879,7168700
2025-04-30,73.8987,75.5571,72.6599,75.3573,4848400
2025-05-01,75.9767,77.3105,75.2774,76.1366,4644700
2025-05-02,75.9168,78.3145,75.1275,76.6561,4538900
2025-05-05,76.2365,77.9049,75.9118,76.8759,3667200
2025-05-06,76.0267,76.8309,75.5571,75.8469,3216700
2025-05-07,76.3564,78.0747,76.1865,77.785,5279800
2025-05-08,78.784,79.803,77.805,79.1537,3707500
2025-05-09,79.5433,80.2426,78.9918,79.2436,3023700
2025-05-12,82.98,84.5884,82.6004,84.1389,7019400
2025-05-13,84.4186,85.2878,83.959,84.4186,2783700
2025-05-14,84.029,84.4685,83.0899,83.1598,2857600
2025-05-15,82.94,83.4796,82.6102,82.94,2732400
2025-05-16,82.85,84.0192,82.5902,83.9492,2206500
2025-05-19,82.7801,83.8893,82.6502,83.4896,2818300
2025-05-20,82.9699,83.4296,82.5203,82.86,2362200
2025-05-21,81.9607,82.5702,81.0064,81.1313,3765800
2025-05-22,80.7216,81.7208,80.5217,81.1413,3892500
2025-05-23,79.6623,80.9014,79.4025,80.3219,3790800
2025-05-27,81.551,82.6602,80.7515,82.5303,3025700
2025-05-28,82.6502,82.91,81.531,81.7808,2367200
2025-05-29,82.5103,82.5103,81.3811,82.0906,2455700
2025-05-30,81.6709,81.8408,80.9014,81.581,5060200
2025-06-02,81.3511,81.531,79.5674,81.0014,2418400
2025-06-03,81.1912,82.1605,80.7515,81.8907,1970600
2025-06-04,82.3704,82.5103,81.546,81.8208,1762900
2025-06-05,82.1805,82.2105,81.1812,81.8108,1961200
2025-06-06,83.1398,83.4796,82.7901,83.0599,2139400
2025-06-09,83.6395,83.9392,83.1598,83.3996,1689800
2025-06-10,83.7194,84.8386,83.1898,84.6387,2804100
2025-06-11,84.8386,84.8386,82.825,83.1398,2777100
2025-06-12,82.2405,82.7101,81.551,82.4603,1820300
2025-06-13,81.3211,81.8707,80.159,80.4418,2209700
2025-06-16,81.4311,82.2305,80.9214,81.551,1564100
2025-06-17,80.7715,81.7158,80.3618,80.5817,1655900
2025-06-18,80.9214,81.6009,80.5817,80.7316,1778000
2025-06-20,81.6409,81.6709,79.9971,80.3319,2896000
2025-06-23,80.3418,82.0106,79.6823,81.8707,1707100
2025-06-24,82.5902,84.0392,82.0906,83.6295,2657800
2025-06-25,83.8993,84.0991,83.1898,83.2198,1650300
2025-06-26,83.5895,85.0984,83.2697,84.8786,1679000
2025-06-27,84.8286,85.3882,83.6994,84.209,2878100
2025-06-30,83.9093,83.9093,83.0199,83.1198,2641700
2025-07-01,82.8001,86.1077,82.5203,85.2383,2776100
2025-07-02,85.3982,86.5274,85.0085,86.4874,2594500
2025-07-03,86.9671,87.3668,86.8321,86.9171,1240600
2025-07-07,86.5773,87.4587,85.8029,86.7772,5127200
2025-07-08,87.007,87.7065,86.6673,86.9471,2050000
2025-07-09,87.7565,88.0463,86.987,87.6366,1783700
2025-07-10,87.7865,90.3746,87.4367,88.6259,3712500
2025-07-11,87.6765,89.0905,87.6466,88.9556,2286800
2025-07-14,88.0063,88.436,86.6773,87.5766,2635500
2025-07-15,88.0563,88.1762,86.2176,86.2376,2182800
2025-07-16,86.2076,86.4574,84.3639,86.0677,2654300
2025-07-17,86.2676,87.7685,86.0227,87.6865,2493900
2025-07-18,86.2676,87.3168,84.6288,85.4881,4273700
2025-07-21,86.3175,86.3175,83.8293,83.8293,2569500
2025-07-22,83.7794,85.4581,83.5096,85.3782,2593400
2025-07-23,86.3375,87.1969,85.698,86.7672,2834600
2025-07-24,86.2576,87.4067,85.9578,86.8271,2749500
2025-07-25,87.1969,88.2961,86.7772,88.2062,2081200
2025-07-28,88.2061,88.6009,87.5866,87.7665,1947600
2025-07-29,88.2661,88.406,86.6373,87.007,2309200
2025-07-30,87.2369,87.4367,85.2683,85.698,2826100
2025-07-31,85.3083,86.6373,84.349,84.5688,4827900
2025-08-01,79.1427,79.2926,73.8166,74.9258,12246100
2025-08-04,75.6253,78.9728,75.3255,78.5431,6799300
2025-08-05,78.3833,78.4532,76.6945,77.5938,4172600
2025-08-06,77.5539,77.7937,76.3348,76.4247,4007100
2025-08-07,77.364,77.374,76.0549,76.2248,2403500
2025-08-08,76.4646,76.8044,75.6352,75.8351,1773600
2025-08-11,76.1549,76.6845,75.5703,76.3947,2539000
2025-08-12,77.0442,79.1827,76.7445,78.3733,2759900
2025-08-13,78.6631,80.7516,77.8337,80.7116,3312100
2025-08-14,79.842,80.3018,79.1823,80.1618,3142200
2025-08-15,80.3617,80.3967,77.678,78.2827,2918000
2025-08-18,78.1828,79.0923,77.773,78.8525,2316000
2025-08-19,78.8225,80.5317,78.6825,79.802,1754600
2025-08-20,79.5022,79.5721,78.6026,79.0024,2989500
2025-08-21,78.8725,79.0824,77.2332,77.4131,1849000
2025-08-22,78.4127,81.3813,77.9529,80.5916,2184400
2025-08-25,80.7216,80.9615,79.6421,79.6421,1437600
2025-08-26,79.6621,81.2313,79.3822,81.0914,4712800
2025-08-27,80.8015,81.4512,80.4017,80.6016,1693200
2025-08-28,80.8315,80.8315,79.6571,80.2218,1431300
2025-08-29,79.912,80.4717,79.0224,79.3922,1923000
2025-09-02,78.5626,78.8874,77.1933,77.9029,2228700
2025-09-03,77.5431,78.0678,76.8334,77.3432,1567300
2025-09-04,77.3532,79.6621,77.1133,79.1623,2898000
2025-09-05,79.892,81.4612,79.4852,80.9115,3149700
2025-09-08,80.9115,81.2413,79.1723,80.3418,4536500
2025-09-09,80.0119,80.4917,78.9824,79.6221,3291700
2025-09-10,79.6421,81.0814,79.3322,80.2018,2742800
2025-09-11,80.0119,82.3208,79.912,80.9814,4317800
