date,open,high,low,close,volume
2025-03-14,118.3219,120.1457,117.5374,119.675,1005859
2025-03-17,119.0475,121.087,118.7925,120.381,889911
2025-03-18,120.0967,120.9105,119.1651,120.1163,879104
2025-03-19,120.4006,121.9499,120.1751,121.8322,664883
2025-03-20,120.7242,121.4498,119.2338,119.5181,1259773
2025-03-21,118.3905,119.0377,117.1943,118.8906,2558936
2025-03-24,119.7241,120.9791,119.273,120.7928,1314010
2025-03-25,120.9399,122.1068,120.2339,121.2145,862439
2025-03-26,121.4988,122.6755,120.8027,121.5577,922433
2025-03-27,121.6165,122.45,120.1163,121.038,828099
2025-03-28,121.0576,121.3125,118.3905,118.8612,516211
2025-03-31,117.9003,119.1553,116.3608,118.5376,890618
2025-04-01,118.4886,119.8221,117.5571,119.6064,650541
2025-04-02,118.2042,122.3519,118.0964,122.097,592466
2025-04-03,117.6649,118.3219,115.8901,116.1745,1135947
2025-04-04,113.2133,113.8702,108.742,109.2813,1046259
2025-04-07,107.4183,112.2033,104.1629,108.8989,1408243
2025-04-08,112.3406,112.7622,106.8397,108.6341,1025756
2025-04-09,107.1339,116.6059,106.2808,116.2333,1783256
2025-04-10,113.8702,115.1351,109.9579,112.6151,1564490
2025-04-11,112.1053,114.5566,110.1834,114.2723,923342
2025-04-14,116.2922,116.3216,114.135,115.5862,530351
2025-04-15,115.8411,116.6648,115.1155,115.2234,492779
2025-04-16,114.8508,116.0176,113.6251,114.3115,629129
2025-04-17,114.6154,116.2235,114.2821,114.939,662055
2025-04-21,114.7233,115.6744,112.0464,113.429,752046
2025-04-22,114.5762,116.4687,114.1448,116.0863,570246
2025-04-23,118.6651,120.0967,116.3118,116.8805,707808
2025-04-24,116.7432,120.5183,115.9784,119.9496,811232
2025-04-25,119.9692,120.3908,118.7631,119.2044,532371
2025-04-28,119.5083,121.0968,118.5474,120.028,561560
2025-04-29,120.028,121.9107,120.028,121.4988,826786
2025-04-30,120.8027,121.842,119.1848,121.391,1088275
2025-05-01,121.9499,122.9402,120.028,121.8812,1569338
2025-05-02,123.3128,125.0092,122.3029,124.2149,1487427
2025-05-05,123.6756,124.3718,123.1069,124.1659,1267752
2025-05-06,115.6352,121.793,115.0763,117.1452,1502981
2025-05-07,118.2042,118.2925,115.7431,116.9687,1168267
2025-05-08,118.2336,121.5381,117.1845,120.5575,997981
2025-05-09,120.7438,120.9497,118.8318,120.3712,964651
2025-05-12,123.8129,125.2445,122.8814,125.0288,1144229
2025-05-13,125.2837,125.7838,124.411,124.4699,732351
2025-05-14,120.283,124.2836,120.0378,123.7639,1134230
2025-05-15,123.96,126.4702,123.9502,126.2937,871832
2025-05-16,127.1308,128.4479,126.5465,127.923,734400
2025-05-19,127.7349,128.4083,127.2397,127.6061,627900
2025-05-20,127.0515,128.0122,126.4375,126.8832,442700
2025-05-21,126.1404,127.3189,124.853,125.0907,613000
2025-05-22,124.9817,126.3979,124.3974,125.5858,639100
2025-05-23,124.1065,125.4468,124.1065,124.9504,510800
2025-05-27,126.2014,127.7502,125.417,127.7403,718000
2025-05-28,128.1871,128.336,125.5759,125.7943,537800
2025-05-29,125.8043,126.112,124.5334,125.1192,582600
2025-05-30,125.1192,126.0823,124.0271,125.3972,2174900
2025-06-02,124.8213,125.7546,122.6669,123.2427,806700
2025-06-03,123.5108,125.4766,123.2129,124.9405,625200
2025-06-04,125.2086,125.8936,124.5334,124.7022,428800
2025-06-05,125.3873,125.4468,123.7391,124.1065,447500
2025-06-06,125.7943,127.0453,124.871,126.7574,684100
2025-06-09,127.3928,127.8396,126.5985,126.8269,574400
