date,open,high,low,close,volume
2025-03-14,149.8893,149.8893,145.3988,147.377,1660700
2025-03-17,146.4769,149.2563,145.9626,147.832,1426200
2025-03-18,148.2079,148.2079,144.2514,145.5274,1466600
2025-03-19,146.1406,146.3187,143.3217,145.4483,1295300
2025-03-20,145.7747,147.1693,144.4888,145.8933,1081900
2025-03-21,144.8449,147.3473,142.7678,146.9319,1121700
2025-03-24,148.5541,150.5521,146.9121,150.3641,974600
2025-03-25,150.8983,151.1356,147.3375,148.3167,972100
2025-03-26,145.9824,150.6806,145.9626,149.741,2268800
2025-03-27,149.8893,150.2355,148.0496,149.1574,1043200
2025-03-28,149.3651,149.3651,144.1723,144.5284,794900
2025-03-31,143.4206,147.7331,143.203,146.3385,912300
2025-04-01,145.3098,148.3562,143.4206,148.0892,774800
2025-04-02,146.3978,151.3038,145.8835,151.1158,847800
2025-04-03,144.6768,144.6768,133.9449,134.7461,1704500
2025-04-04,132.7185,135.3099,125.9629,133.1932,2230400
2025-04-07,131.7393,139.0586,126.6948,130.6315,1788800
2025-04-08,135.1022,135.4682,126.1409,128.0499,1044900
2025-04-09,126.8234,141.8083,125.6661,140.1071,3089500
2025-04-10,138.9498,139.2664,130.0874,132.8767,1405100
2025-04-11,132.4613,132.8569,127.4267,131.4326,1976800
2025-04-14,133.3119,136.9024,131.1853,136.3188,1620400
2025-04-15,136.3781,137.4958,132.1744,133.6383,1446200
2025-04-16,126.6058,129.9193,121.4525,123.3714,2965300
2025-04-17,124.6968,128.7323,124.3704,127.8224,1950100
2025-04-21,125.9134,125.9332,121.8185,125.7354,1683100
2025-04-22,126.8926,128.1191,125.2408,127.1201,1498500
2025-04-23,131.1754,134.9637,128.2378,128.9401,1856200
2025-04-24,127.8026,131.9469,126.952,131.5315,1200100
2025-04-25,129.395,129.8006,126.9618,128.3169,1960400
2025-04-28,128.7126,130.6314,128.2378,129.5236,1115500
2025-04-29,128.9005,130.1567,127.3575,128.9796,1118800
2025-04-30,126.7937,129.4049,124.677,129.1577,1553800
2025-05-01,129.1478,130.2457,127.2388,128.3862,1770400
2025-05-02,130.5226,133.4405,129.6522,132.1151,1401900
2025-05-05,130.5919,133.3416,130.5919,132.1547,1595700
2025-05-06,130.6017,131.5612,129.2467,129.4445,863100
2025-05-07,130.0874,132.2338,130.0874,131.5018,1041100
2025-05-08,133.3317,136.843,132.0755,135.9825,1773400
2025-05-09,135.9825,137.5602,133.8689,134.4841,1222600
2025-05-12,144.6451,151.8392,143.5338,147.5724,2835200
2025-05-13,148.2174,149.2196,146.1534,146.1832,1365600
2025-05-14,145.9847,148.8425,144.4963,146.7488,1153800
2025-05-15,145.9946,147.1358,145.2008,146.719,730700
2025-05-16,146.4015,147.5625,145.6473,146.9075,849200
2025-05-19,144.7741,145.3893,143.8215,145.1115,791500
2025-05-20,144.2978,146.0244,143.1666,143.9009,957100
2025-05-21,142.1049,142.3926,138.0068,138.2945,1519900
2025-05-22,138.2648,138.6617,136.1611,137.9572,1727400
2025-05-23,135.4169,137.1236,135.3772,136.3596,793100
2025-05-27,138.5823,139.7432,136.9152,138.9196,830900
2025-05-28,139.2273,139.8822,137.4511,137.5701,578400
2025-05-29,138.5426,139.3463,136.5679,138.9196,1421400
2025-05-30,138.7113,139.4555,136.6771,137.7785,1193900
2025-06-02,136.0222,136.2306,134.1567,135.5955,1084500
2025-06-03,135.5955,140.0905,134.9604,139.5448,869900
2025-06-04,139.4257,139.8127,137.4908,139.0288,790300
2025-06-05,138.2648,139.4357,137.3221,138.0464,684600
2025-06-06,139.6142,140.9042,138.2647,139.128,421800
2025-06-09,140.6165,141.5889,138.8601,140.547,786600
2025-06-10,141.7675,145.6672,140.2989,144.0597,1111800
2025-06-11,144.5558,144.8833,139.6639,139.8127,740000
2025-06-12,138.8204,140.1203,137.1236,139.8326,601100
2025-06-13,138.0762,139.9715,137.9968,138.7708,833500
2025-06-16,140.2791,142.1148,139.1082,141.3905,944300
2025-06-17,140.1501,141.6385,137.5305,138.0167,957000
2025-06-18,137.977,139.515,137.0244,137.9373,1295200
2025-06-20,139.0387,139.8226,137.8381,138.5525,1876500
2025-06-23,138.6517,141.708,137.8381,141.5889,1081200
2025-06-24,142.5613,143.6231,141.8667,142.3232,1025900
2025-06-25,142.1743,142.4026,140.676,141.6385,496100
2025-06-26,141.9362,142.9979,141.2019,142.1743,516800
2025-06-27,142.7896,144.7344,142.73,144.2184,900800
2025-06-30,144.2184,144.7444,142.2835,142.4919,1060700
2025-07-01,142.6705,153.0299,142.2736,149.9142,1414300
2025-07-02,149.9836,152.4346,149.3287,151.8392,919000
2025-07-03,152.0178,152.8116,150.5691,151.7003,478000
2025-07-07,150.2912,152.2956,147.4136,148.4059,781000
2025-07-08,148.7433,153.0994,148.7433,151.869,888900
2025-07-09,152.4941,153.4467,151.0255,151.4919,913900
2025-07-10,151.6308,156.6319,150.8171,153.4665,891100
2025-07-11,152.6628,153.3474,150.837,152.3849,884700
2025-07-14,151.0156,152.1468,149.16,151.0255,885100
2025-07-15,151.6705,152.1071,147.3541,147.7113,1781500
2025-07-16,156.622,156.6418,148.128,150.2714,2429900
2025-07-17,150.4599,152.4742,149.7752,151.5117,1280800
2025-07-18,153.4467,153.5261,146.0244,147.741,1636600
2025-07-21,147.8006,149.7852,145.8061,146.461,1133000
2025-07-22,147.3243,151.472,147.0266,150.7576,987200
2025-07-23,151.859,152.1567,148.5051,148.6837,1362100
2025-07-24,148.5151,149.6363,146.2328,148.5746,1188600
2025-07-25,149.7355,151.0156,146.5305,148.1578,980500
2025-07-28,148.009,149.7951,146.0939,147.2449,1100800
2025-07-29,147.0564,148.4456,145.3497,145.6473,1206600
2025-07-30,145.7466,146.0046,141.45,142.7598,1148000
2025-07-31,141.6583,144.5062,141.6187,142.9384,1128600
2025-08-01,141.4004,141.5988,137.6098,138.4831,1173900
2025-08-04,138.7708,141.2714,138.0167,140.9638,905000
2025-08-05,141.7278,142.4919,140.0112,142.1347,689800
2025-08-06,142.5514,143.3552,141.3408,142.4026,823900
2025-08-07,143.246,143.4147,138.741,139.2471,927100
2025-08-08,139.8941,140.8497,138.4707,138.7992,990300
2025-08-11,138.6698,139.924,135.7931,137.1468,1022400
2025-08-12,138.6598,142.3428,138.0029,142.1736,1139300
2025-08-13,142.512,145.3987,141.5365,145.1797,1002000
2025-08-14,143.3084,144.0748,141.5166,143.7861,745000
2025-08-15,144.692,144.8114,142.5618,142.7908,544600
2025-08-18,142.8903,143.7264,141.4768,141.865,507300
2025-08-19,144.2938,149.1215,142.0243,146.5534,1082200
2025-08-20,146.0358,146.2149,141.7655,141.875,991000
2025-08-21,140.6705,142.8803,140.0932,142.741,1216800
2025-08-22,142.9002,151.3014,142.512,149.45,1224700
2025-08-25,148.3451,148.4148,142.0342,142.094,2156000
2025-08-26,141.3275,143.7861,140.143,143.6568,1399300
2025-08-27,143.378,145.9661,142.9401,145.12,1211700
2025-08-28,145.3887,146.3543,142.2632,143.3183,1213400
2025-08-29,143.1093,144.7417,142.6912,144.3237,785400
2025-09-02,142.303,143.6568,141.9745,143.5871,864000
2025-09-03,142.9003,144.7218,142.6116,144.7119,770900
2025-09-04,144.6621,144.8313,140.6506,144.6124,930400
2025-09-05,142.2134,147.29,142.094,143.0695,891800
2025-09-08,142.8803,143.0695,139.8344,142.3329,1445600
2025-09-09,142.2035,142.2035,139.705,140.352,694400
2025-09-10,139.695,140.6108,135.0664,136.3107,1345600
2025-09-11,135.9822,141.2479,135.1062,140.7999,1084200
2025-09-12,140.7103,140.7103,137.1269,137.2961,652700
2025-09-15,137.8038,137.8038,135.156,135.7234,1017000
2025-09-16,136.3107,137.3459,135.584,137.1667,964000
2025-09-17,137.3459,140.3819,133.633,133.9018,1799600
2025-09-18,135.3153,135.6238,133.2548,134.4393,1140000
2025-09-19,134.3895,134.8673,131.2739,131.911,2214400
2025-09-22,131.911,131.911,129.8007,130.0496,1644800
2025-09-23,130.8559,132.1598,130.1889,131.3735,1066600
2025-09-24,130.607,132.777,130.3183,132.2594,1247700
2025-09-25,132.2594,133.7226,130.5274,131.7915,1047200
2025-09-26,132.0006,134.2004,129.522,133.8421,2027700
2025-09-29,135.3849,135.3849,132.3987,134.1805,1106600
2025-09-30,133.4041,133.9117,131.1047,133.5534,1085300
2025-10-01,132.4883,133.7027,131.254,132.0702,840700
2025-10-02,131.8114,134.8673,131.5427,133.5833,1277800
2025-10-03,133.9117,139.1575,133.9117,137.316,1212100
2025-10-06,136.7984,141.4569,135.8528,141.0189,1150500
2025-10-07,140.5411,141.6659,137.5947,139.3566,1523200
2025-10-08,139.4064,146.195,138.2119,145.8765,1448200
2025-10-09,146.842,147.9569,141.8451,141.9646,1791100
2025-10-10,143.1192,143.9753,135.8329,136.46,1578600
2025-10-13,137.1866,138.6001,136.6392,137.4852,1135100
2025-10-14,136.4799,139.2073,135.8826,138.7295,946200
2025-10-15,138.9783,140.4615,137.3559,138.192,2240700
2025-10-16,162.241,168.9301,158.1399,168.7907,6506000
2025-10-17,169.149,169.2088,162.2111,164.0924,2979200
2025-10-20,165.6651,167.1184,163.8834,164.7295,1603600
2025-10-21,164.7494,168.5319,163.8535,168.2034,1182900
2025-10-22,168.3328,169.5174,166.5809,167.7555,1711200
2025-10-23,169.8657,171.6973,163.8137,165.9737,1782100
2025-10-24,167.5266,168.4224,164.1422,164.3512,1163900
2025-10-27,166.561,167.9645,164.6697,166.999,1147600
2025-10-28,167.2578,167.9645,165.0978,165.7945,994600
2025-10-29,165.5755,170.7317,165.5755,168.1039,1636700
2025-10-30,167.437,168.2034,165.4462,165.8742,1093500
2025-10-31,164.1422,168.3527,162.9576,168.084,1160800
2025-11-03,168.084,169.7065,165.5855,168.9699,1153500
2025-11-04,168.9798,173.1705,168.2134,171.8466,2472300
2025-11-05,170.3834,171.7968,167.5863,169.4676,1099300
2025-11-06,168.5419,169.368,165.705,168.2532,1108900
2025-11-07,167.8839,171.5366,167.7143,170.6185,947400
2025-11-10,170.7881,170.7881,166.2572,168.1434,1134300
2025-11-11,167.9139,169.1913,164.6704,167.6943,1214400
2025-11-12,168.2333,170.1195,167.6444,168.9219,831000
2025-11-13,167.9837,169.7003,165.1494,165.9778,733400
2025-11-14,165.1295,166.2672,161.9458,162.4847,1722200
2025-11-17,162.4348,162.9837,158.6923,159.9798,1414400
2025-11-18,159.361,162.5346,157.5047,161.7063,1364700
2025-11-19,161.1474,162.9338,159.4508,159.6005,918300
2025-11-20,161.1774,162.0556,157.834,158.6025,1269900
2025-11-21,159.2911,168.1334,159.0217,166.0975,1780400
2025-11-24,165.339,167.1953,164.9298,166.3171,1297800
2025-11-25,167.4448,172.2552,167.4348,171.6863,1103900
2025-11-26,171.2572,175.2292,170.868,173.0536,852100
2025-11-28,173.6624,174.83,172.6544,173.6125,339700
2025-12-01,173.1534,180.349,172.4448,179.3709,1739800
2025-12-02,179.3709,186.1873,177.9937,185.3589,2614800
2025-12-03,185.4587,190.4188,185.2092,187.5446,1936400
2025-12-04,187.355,190.5685,186.0376,187.1653,1596100
2025-12-05,186.8659,188.7422,185.7781,188.0336,813300
2025-12-08,189.83,191.4967,188.7821,189.5107,1398500
2025-12-09,189.4707,190.4887,188.2532,189.3909,1128100
2025-12-10,189.1214,199.0615,189.1214,197.7342,1614900
2025-12-11,199.81,204.0216,198.7821,199.1514,1802900
2025-12-12,199.9897,201.337,196.1474,198.2831,1211600
2025-12-15,198.4228,199.6004,195.6284,197.2052,1143500
2025-12-16,198.7721,199.1513,195.319,196.3669,947800
2025-12-17,195.4388,196.8859,193.3929,193.7122,954200
2025-12-18,195.4587,197.9737,192.814,196.0276,1198500
2025-12-19,195.0995,198.3729,193.6324,197.2851,2096600
2025-12-22,198.313,200.0495,196.8959,199.1813,691900
2025-12-23,198.8819,199.8899,195.5685,196.6364,856800
2025-12-24,197.1653,198.5426,196.0875,197.8939,280600
2025-12-26,196.846,198.0935,196.5266,197.8839,349700
2025-12-29,198.0136,198.5525,196.9558,197.1553,473900
2025-12-30,196.8559,197.3749,195.5585,195.818,686400
2025-12-31,195.818,196.4667,193.7122,193.9518,623800
2026-01-02,194.0515,196.8559,193.1533,196.3869,714600
2026-01-05,196.8958,202.9537,196.1773,201.6164,957100
2026-01-06,202.0356,206.2771,201.1673,205.1294,1008500
2026-01-07,205.1294,207.4148,203.1334,203.4128,988800
2026-01-08,201.8559,206.7561,201.8559,205.0096,728000
2026-01-09,206.0276,207.5845,203.3629,206.4368,925100
2026-01-12,205.5286,207.0455,203.2931,205.9178,1071300
2026-01-13,206.1473,207.7142,204.2511,204.7601,806600
2026-01-14,203.5825,206.0376,202.6743,205.3988,876100
2026-01-15,206.2771,208.3729,204.9098,206.1074,1298400
2026-01-16,199.4108,209.1114,197.6144,203.9717,2760700
2026-01-20,202.0955,203.9517,199.0316,203.0935,1113800
2026-01-21,204.7801,210.8379,203.9118,209.2811,1034100
2026-01-22,208.9318,211.5765,207.9038,210.309,856000
2026-01-23,210.2691,211.2871,205.798,206.337,980300
2026-01-26,205.6982,207.1653,203.2432,204.7002,769500
2026-01-27,204.7601,206.1374,202.0855,202.4747,989000
2026-01-28,202.5745,206.7861,202.2751,204.6503,987500
2026-01-29,205.4687,206.8958,203.1733,204.8,841600
2026-01-30,202.7641,203.303,199.3809,202.315,1721700
2026-02-02,202.4547,211.4567,201.4368,211.2871,1244600
2026-02-03,211.6164,220.2491,210.828,220.1693,1991200
2026-02-04,220.0395,228.9816,220.0395,227.7641,1982600
2026-02-05,225.0495,228.1433,223.2631,224.8,1154100
2026-02-06,223.76,228.22,223.37,227.91,1065200
2026-02-09,227.7,227.74,222.88,226.27,945200
2026-02-10,225.14,230.91,225.14,229.05,1140300
2026-02-11,230.56,234.82,229.42,230.38,1225800
2026-02-12,231.87,234.4,208.86,218.72,3273400
2026-02-13,219.34,224.68,217.9,221.76,866300
2026-02-17,222.07,224.29,220.22,223.51,787300
2026-02-18,222.79,225.45,221.18,223.45,493300
2026-02-19,223.45,226.75,222.23,225.72,756800
2026-02-20,224.99,231.53,224.36,230.16,838000
2026-02-23,228.83,229.6,220.83,222.07,640800
2026-02-24,223.12,226.55,220.85,222.9,675800
2026-02-25,223.72,223.72,217.69,219.25,559900
2026-02-26,220.32,230.32,216.08,228.22,886200
2026-02-27,226.44,233.98,224.0,233.41,1481100
2026-03-02,232.25,234.45,227.99,232.07,615800
2026-03-03,226.24,231.66,223.31,230.87,582800
2026-03-04,233.01,236.0,231.39,234.92,622700
2026-03-05,232.65,234.3,225.65,226.36,731700
2026-03-06,220.59,220.59,211.47,213.39,1605900
2026-03-09,211.64,217.84,206.43,217.46,1125200
2026-03-10,217.0,220.69,213.43,215.85,706700
2026-03-11,215.85,216.54,207.54,210.36,804600
2026-03-12,207.2,207.77,200.56,201.13,995200
2026-03-13,203.0,203.76,199.98,200.25,1198600
2026-03-16,202.9,205.0,201.64,202.73,894400
2026-03-17,204.06,205.7,193.94,200.12,1401500
2026-03-18,200.12,200.89,194.47,197.64,1812400
2026-03-19,195.2,201.32,195.2,200.2,949000
2026-03-20,200.2,201.5,195.97,199.93,1701505
