date,open,high,low,close,volume
2025-03-14,78.2629,79.2151,77.7471,79.0068,4696600
2025-03-17,78.3092,81.1373,78.1312,80.6034,4057400
2025-03-18,79.8617,80.7715,79.3376,80.7022,4736000
2025-03-19,80.5144,82.502,80.4748,81.968,4495500
2025-03-20,81.0187,82.4624,80.9396,82.2251,3842000
2025-03-21,81.4933,81.8691,80.366,81.8098,6990700
2025-03-24,83.2302,84.015,82.7435,83.9554,3866000
2025-03-25,83.9553,84.5315,83.2104,83.7766,3086300
2025-03-26,83.6971,84.2335,81.9091,82.2071,5015700
2025-03-27,82.1872,82.2767,81.1443,81.6211,4444700
2025-03-28,81.2336,81.4919,78.8497,79.1576,3498600
2025-03-31,78.1047,80.0317,76.9922,79.5748,3930200
2025-04-01,79.1874,80.9059,78.5418,80.8562,4099700
2025-04-02,79.4755,82.5051,79.4755,82.3064,3437600
2025-04-03,77.5683,78.9689,76.426,76.7141,5782600
2025-04-04,74.5188,75.234,71.1415,71.221,7065000
2025-04-07,69.6317,73.6944,67.5755,71.5488,9017400
2025-04-08,72.8004,74.1513,69.5224,70.6647,5603800
2025-04-09,70.2376,79.396,69.6118,78.3034,7791700
2025-04-10,75.9889,76.9922,73.5851,75.7207,6458800
2025-04-11,75.5221,77.608,74.34,77.2008,3026700
2025-04-14,78.214,78.8497,77.2604,77.9756,3308600
2025-04-15,78.0848,79.3066,77.8564,78.065,3519900
2025-04-16,77.0021,77.5782,75.4029,76.1479,3346400
2025-04-17,76.426,77.3399,76.0783,76.3167,4893500
2025-04-21,75.1943,75.83,73.0586,73.9526,4544600
2025-04-22,75.1843,76.3664,74.6678,76.0982,3873400
2025-04-23,78.4325,79.7933,77.5981,77.757,4031700
2025-04-24,77.5584,80.0715,77.469,79.8232,3277100
2025-04-25,79.8132,80.9257,79.4755,80.5284,2920600
2025-04-28,80.7867,81.4025,79.6543,80.5582,3155600
2025-04-29,80.3099,81.929,80.0119,81.78,3220900
2025-04-30,81.9191,83.4587,81.0052,83.3395,4910100
2025-05-01,84.0845,87.6704,84.0448,86.6671,7535800
2025-05-02,87.571,88.7829,87.4717,88.326,5868600
2025-05-05,87.4916,88.8921,86.7267,88.7332,3961800
2025-05-06,87.3426,88.6438,87.3426,88.2167,4590900
2025-05-07,87.9088,90.4417,87.1836,89.1504,7014600
2025-05-08,90.2033,91.7926,89.7464,90.6305,9040800
2025-05-09,91.2165,91.4649,90.3027,91.3059,3018800
2025-05-12,94.6931,94.862,93.7197,94.6435,4890100
2025-05-13,94.9415,96.4612,94.6733,95.4183,4950700
2025-05-14,95.4183,96.0441,95.0011,95.7063,4820000
2025-05-15,95.16,96.3321,95.16,96.1434,2544800
2025-05-16,96.1334,97.2956,95.6567,97.2758,3609600
2025-05-19,95.8851,97.6731,95.4083,97.2062,3201300
2025-05-20,97.097,97.534,96.4016,96.9976,3542300
