date,open,high,low,close,volume
2025-03-14,173.4005,175.0674,172.0393,173.4301,613600
2025-03-17,172.8777,175.748,172.4437,174.7715,676800
2025-03-18,174.2685,175.2746,173.223,174.2882,547200
2025-03-19,173.4399,175.9157,173.4103,174.7518,457300
2025-03-20,174.3967,174.3967,171.6448,172.9073,493900
2025-03-21,172.5523,173.1835,169.0704,170.688,935700
2025-03-24,171.4377,173.6866,170.1061,170.4612,532500
2025-03-25,170.7768,172.7594,169.2677,172.3944,550800
2025-03-26,172.8186,177.2867,172.4536,176.9415,499900
2025-03-27,177.2769,178.5986,176.6752,176.8725,373200
2025-03-28,177.8292,178.4309,175.4718,176.1524,327600
2025-03-31,176.4187,181.1039,175.314,180.1077,810100
2025-04-01,179.7723,182.396,178.2238,181.5083,740800
2025-04-02,182.4749,182.4848,179.7033,181.5971,585100
2025-04-03,181.5675,186.6275,180.0485,182.0804,648300
2025-04-04,181.1039,183.4021,170.0075,170.2639,879700
2025-04-07,167.512,172.2169,161.4065,167.0484,1130100
2025-04-08,168.5181,168.6266,159.5324,161.3078,777800
2025-04-09,160.6963,169.248,158.9307,168.38,993000
2025-04-10,167.4725,170.3921,164.3458,167.8178,761100
2025-04-11,168.5476,171.6744,163.4186,170.4118,547900
2025-04-14,170.7374,173.3906,170.4809,171.4771,517600
2025-04-15,172.2761,173.0947,170.8163,171.5757,415500
2025-04-16,171.9308,172.4635,168.4293,169.534,487700
2025-04-17,170.8952,171.3292,168.0249,169.4847,400900
2025-04-21,169.4847,170.0469,164.9376,166.4171,543500
2025-04-22,167.729,170.5598,166.1508,170.3231,544500
2025-04-23,170.6387,172.4733,169.751,170.8459,505200
2025-04-24,170.3823,171.2601,168.7745,170.185,475900
2025-04-25,169.0901,170.6387,167.1865,168.597,429600
2025-04-28,168.6759,170.1258,167.2556,167.729,541300
2025-04-29,167.7586,171.1417,167.078,171.1417,659700
2025-04-30,170.5302,171.1319,166.4073,171.0628,914100
2025-05-01,170.7965,172.4536,169.2973,171.5166,878800
2025-05-02,173.2624,175.245,171.6448,171.773,671600
2025-05-05,171.1122,171.339,169.5833,169.9187,578300
2025-05-06,169.0211,170.2146,166.9991,169.6721,918600
2025-05-07,161.9391,170.8163,161.9391,169.3071,1761400
2025-05-08,169.9384,176.9711,169.899,176.9711,1143000
2025-05-09,176.7541,179.1213,176.33,178.4901,631300
2025-05-12,179.1213,179.5652,177.2473,179.1805,652400
2025-05-13,179.2299,179.5948,175.6395,175.9058,613300
2025-05-14,175.9058,176.4385,174.0022,175.4817,613600
2025-05-15,175.7973,178.3914,175.0379,178.1646,754900
2025-05-16,178.6282,180.2754,178.1153,180.1767,650600
2025-05-19,179.7033,182.3566,177.8391,181.7746,477800
2025-05-20,181.9226,183.6092,180.6995,183.481,805700
2025-05-21,182.3862,183.9742,180.2162,180.4825,662300
2025-05-22,180.2754,180.5516,178.7071,179.3581,534200
2025-05-23,179.3482,180.4332,178.1054,179.5159,522900
2025-05-27,180.4727,182.0705,179.3975,182.0705,825800
2025-05-28,181.9817,182.6623,179.4271,179.6145,573100
2025-05-29,179.1692,179.1692,176.0127,178.1896,868500
2025-05-30,178.249,179.4661,177.497,179.2682,875800
2025-06-02,178.1006,178.5854,176.0919,178.4766,426800
2025-06-03,177.5168,178.6349,176.0127,178.3183,450200
2025-06-04,178.9317,180.891,178.2589,179.6046,521100
2025-06-05,180.0895,180.1785,178.5458,179.1098,395900
2025-06-06,180.3171,181.4154,178.5063,179.9312,277400
2025-06-09,179.5749,179.5749,175.8346,178.0709,389600
2025-06-10,177.774,178.813,175.4982,177.6256,692500
2025-06-11,177.8136,178.7141,176.547,177.9126,368200
2025-06-12,178.0709,178.3381,176.8439,178.2886,354500
2025-06-13,177.3683,178.5557,176.5075,177.2199,483000
2025-06-16,177.309,179.2979,177.2199,178.7438,620300
2025-06-17,177.9719,178.9021,176.7054,178.437,530800
2025-06-18,178.5656,180.0202,177.8829,179.4859,667900
2025-06-20,179.9905,181.3066,175.3201,176.4085,888100
2025-06-23,176.6064,179.4166,175.5872,179.1198,506100
2025-06-24,179.9114,181.6628,178.3282,179.1198,432800
2025-06-25,178.7833,178.9515,175.894,176.1908,399100
2025-06-26,176.6559,177.6355,175.1617,175.7357,502500
2025-06-27,176.0226,176.8241,175.1617,176.4481,687200
2025-06-30,176.8934,178.6844,175.0925,178.2787,543300
2025-07-01,178.15,181.3857,177.7641,180.1785,618800
2025-07-02,179.288,180.0994,175.5081,177.5365,419200
2025-07-03,178.2985,180.1587,176.6262,179.4166,245500
2025-07-07,178.6943,179.8025,177.5267,178.625,333600
2025-07-08,177.8829,180.1983,177.7344,178.4271,527600
2025-07-09,178.7339,179.1495,176.3393,177.873,344800
2025-07-10,177.0319,179.2979,176.1315,177.6751,243800
2025-07-11,177.4772,177.4772,173.1926,173.351,439400
2025-07-14,173.1432,175.7357,173.1234,174.3207,327400
2025-07-15,173.6676,175.4487,173.1827,173.1827,729600
2025-07-16,174.192,175.7455,173.4994,175.6367,439600
2025-07-17,175.4487,177.4574,174.6472,177.21,427700
2025-07-18,178.1105,178.4865,176.547,176.7647,430500
2025-07-21,176.5767,177.497,174.5581,175.0034,372000
2025-07-22,176.4778,178.9713,176.2898,178.6844,390900
2025-07-23,178.625,179.2088,177.1902,178.6349,357200
2025-07-24,177.774,180.3962,174.4097,179.001,387700
2025-07-25,178.3776,178.3776,170.8079,174.4988,792600
2025-07-28,174.0337,174.7066,173.3015,173.539,432100
2025-07-29,173.7369,174.7956,172.8265,173.5983,276600
2025-07-30,173.9051,174.6769,171.1641,171.5303,447900
2025-07-31,170.1944,171.8172,167.7405,168.0373,665200
2025-08-01,168.4925,169.1753,164.9204,165.524,627100
2025-08-04,165.7516,168.8388,165.7516,168.6904,837800
2025-08-05,168.5024,169.7788,164.0991,164.2673,660300
2025-08-06,164.2673,166.4541,162.9513,165.0094,480900
2025-08-07,165.5933,165.9396,162.0508,162.3675,671200
2025-08-08,163.0008,163.4658,159.3198,159.864,885100
2025-08-11,159.5375,160.2005,156.1435,156.856,1114500
2025-08-12,157.5684,160.5468,157.1528,158.1126,1279400
2025-08-13,158.3204,162.0014,156.8263,161.655,901000
2025-08-14,161.091,161.3879,157.3705,157.5783,1066900
2025-08-15,157.5486,159.5177,157.3804,158.7063,814400
2025-08-18,159.1417,160.1312,158.9438,159.1417,744000
2025-08-19,159.2308,159.4188,157.1528,158.9438,950500
2025-08-20,157.3309,164.396,156.8659,162.0805,1769700
2025-08-21,161.6254,162.4862,160.1312,161.5462,1020100
2025-08-22,162.9117,164.6631,162.0112,163.822,768900
2025-08-25,163.258,163.6637,159.4682,159.9828,771100
2025-08-26,159.8146,160.4577,158.6173,160.3786,725500
2025-08-27,160.4973,161.4373,160.3885,161.0316,584600
2025-08-28,160.7843,161.3186,160.1609,161.1108,586300
2025-08-29,161.8134,163.258,160.9921,161.5462,692800
2025-09-02,160.5567,161.3384,158.3204,159.0823,869600
2025-09-03,158.6271,159.9927,157.509,159.8937,652900
2025-09-04,159.9036,160.3885,158.2017,160.1708,660000
2025-09-05,160.1708,162.0477,159.3366,161.1142,595400
2025-09-08,161.859,161.859,159.3167,161.4022,608900
2025-09-09,161.1539,162.5144,160.6077,161.6207,652300
2025-09-10,160.9752,161.1837,157.6583,157.996,892200
2025-09-11,158.1251,160.3595,157.8073,160.2999,781200
2025-09-12,159.1877,160.1708,158.7606,159.0089,693400
2025-09-15,159.0089,159.6643,156.6156,157.3306,797100
2025-09-16,156.9831,158.1449,156.268,157.9662,695400
2025-09-17,158.8897,160.7964,158.3535,158.6713,696200
2025-09-18,158.3733,159.1082,153.3187,153.3981,1175800
2025-09-19,153.9741,154.1628,150.6374,150.9155,3452800
2025-09-22,151.0048,151.7695,149.5848,150.3991,922000
2025-09-23,150.3991,150.8459,148.3534,148.979,642800
2025-09-24,149.1081,150.7764,149.1081,150.4487,884200
2025-09-25,150.4487,151.1141,147.2709,147.4199,1225400
2025-09-26,147.8072,149.0286,147.3007,148.3434,1246100
2025-09-29,148.9889,150.7566,147.4695,150.121,988600
2025-09-30,149.3663,149.5351,146.5658,147.8965,947200
2025-10-01,147.41,147.8767,144.6294,145.2749,1712700
2025-10-02,144.8081,145.9799,143.1199,145.2947,1576700
2025-10-03,144.6691,146.5857,144.3116,145.2451,1869800
2025-10-06,145.97,147.9065,144.3712,146.6652,1482300
2025-10-07,146.6652,148.7009,146.6652,148.6016,907400
2025-10-08,148.5123,149.7933,147.1915,148.3931,1005600
2025-10-09,148.6612,148.6612,146.9531,148.2839,718000
2025-10-10,148.83,151.3425,148.3931,150.4884,1721400
2025-10-13,150.3395,152.0078,149.0485,151.1339,1188100
2025-10-14,150.9353,154.0039,150.4884,153.0505,1055600
2025-10-15,152.8321,154.3415,152.3256,153.3882,1044600
2025-10-16,153.1101,154.8778,151.7894,151.8787,1412000
2025-10-17,152.3753,152.9512,150.7665,151.8688,1239600
2025-10-20,152.8221,154.2621,151.4815,153.994,592900
2025-10-21,153.0704,156.6554,153.0704,155.8311,775300
2025-10-22,155.2949,157.8867,154.7983,155.9106,1019700
2025-10-23,155.7616,156.0297,153.994,154.6394,829300
2025-10-24,155.6921,155.7417,153.8549,154.7487,601000
2025-10-27,154.1727,155.7616,152.842,155.2154,776900
2025-10-28,155.0267,155.3048,153.0803,153.2293,762400
2025-10-29,152.2462,153.3286,145.9998,148.8499,1833000
2025-10-30,148.8499,150.9055,148.5023,148.84,952000
2025-10-31,147.8568,149.9621,147.5589,147.9065,1303300
2025-11-03,147.1716,150.0515,145.4735,149.5848,1158600
2025-11-04,150.5083,151.7695,149.2471,151.3623,1175000
2025-11-05,155.6226,159.3763,152.6037,158.7209,1595700
2025-11-06,161.2433,163.6862,159.9126,161.9484,1330800
2025-11-07,161.6604,162.6236,158.7011,159.6842,1045500
2025-11-10,159.6246,161.8391,158.6712,161.4816,850700
2025-11-11,161.3724,164.7389,161.3724,164.58,759500
2025-11-12,164.8481,166.3178,163.2989,166.01,896400
2025-11-13,165.2652,167.2612,163.8848,164.1232,814400
2025-11-14,164.2622,164.6296,161.8093,162.8819,752300
2025-11-17,162.9017,163.6564,161.71,162.5045,626100
2025-11-18,162.0179,163.6366,161.2731,162.8024,937900
2025-11-19,163.4777,165.2453,162.2761,164.6495,913200
2025-11-20,166.6555,170.7469,166.0994,166.6058,1031800
2025-11-21,166.5264,171.4817,166.4966,169.6148,758400
2025-11-24,169.5354,170.2603,168.2444,169.3963,1001300
2025-11-25,170.1213,172.6337,170.0021,172.4152,578000
2025-11-26,172.4252,173.3388,171.8889,172.7132,540300
2025-11-28,173.2097,173.7857,172.6436,173.2693,404200
2025-12-01,172.3258,174.6794,171.7896,172.9912,773600
2025-12-02,172.5129,173.2403,171.2376,172.0546,959900
2025-12-03,172.0646,176.2095,171.2874,175.4921,979500
2025-12-04,176.08,180.5936,175.0338,179.6869,1082400
2025-12-05,179.3282,181.3409,177.7639,181.0519,813900
2025-12-08,182.0184,185.1869,178.82,180.3345,1155600
2025-12-09,179.9559,181.4704,179.378,179.5175,643100
2025-12-10,179.3282,185.1669,179.3182,184.2503,914200
2025-12-11,183.8916,188.9831,181.9287,186.5021,817200
2025-12-12,186.6516,188.6642,186.1135,186.8209,659300
2025-12-15,187.4088,189.2621,184.9677,186.9704,864400
