date,open,high,low,close,volume
2025-03-14,157.7255,158.7275,156.7331,158.3968,6235800
2025-03-17,158.0076,159.0681,157.3461,158.426,6669800
2025-03-18,159.0097,160.3912,158.5524,159.7977,7348800
2025-03-19,159.5253,159.9048,157.813,158.5719,5936400
2025-03-20,158.5816,158.7762,157.5406,158.6011,7485900
2025-03-21,158.5816,159.681,158.0757,159.1945,17047100
2025-03-24,158.4259,159.9339,158.0952,158.8637,8046400
2025-03-25,159.0875,159.7393,156.2077,156.6553,7456200
2025-03-26,156.8401,158.0855,156.2856,157.3363,7223500
2025-03-27,157.9492,159.6226,156.9471,158.7081,6752500
2025-03-28,159.1556,160.0604,158.4941,159.2724,5760300
2025-03-31,159.9145,162.1132,159.7783,161.3446,12481400
2025-04-01,156.3731,157.4239,148.9792,149.0959,23303100
2025-04-02,149.8353,151.567,149.2905,151.1487,10356900
2025-04-03,154.4468,156.2953,153.2112,155.4878,13249300
2025-04-04,154.8457,155.4878,148.7846,149.0862,16601700
2025-04-07,147.1793,148.5706,143.4045,146.5372,18083000
2025-04-08,149.4267,149.4267,143.9882,145.934,12018400
2025-04-09,138.3454,149.0375,137.6644,146.8777,18773700
2025-04-10,146.294,147.1015,141.196,144.6595,13830500
2025-04-11,145.2822,148.2203,144.1731,147.6171,9943900
2025-04-14,147.4809,150.4774,147.0723,150.1758,10685300
2025-04-15,151.4795,152.0632,147.9771,149.4559,10847700
2025-04-16,151.1584,151.4114,148.1133,149.738,7986900
2025-04-17,149.9813,155.1181,149.9813,153.2015,10981100
2025-04-21,153.6782,153.9409,151.2752,152.6664,6285400
2025-04-22,153.2793,154.4176,152.0243,153.4739,7136300
2025-04-23,152.2481,152.8416,150.1466,151.1682,9099400
2025-04-24,151.5768,151.6741,149.2808,150.7304,8310400
2025-04-25,150.1369,150.7012,148.3176,150.3899,8643600
2025-04-28,151.2849,151.5865,149.6505,151.139,5815200
2025-04-29,151.2363,152.7637,150.1077,151.6838,5246700
2025-04-30,153.9117,153.9117,150.8179,152.073,9598200
2025-05-01,150.7985,150.886,149.2029,150.2731,7325800
2025-05-02,151.8395,152.4718,150.8374,151.8881,5974500
2025-05-05,152.4232,152.5399,150.5358,150.7984,5464100
2025-05-06,150.6234,151.6741,149.524,150.2828,8644200
2025-05-07,150.5455,153.6588,150.312,153.0361,7853100
2025-05-08,151.5962,152.7734,150.5844,151.4406,7606100
2025-05-09,151.2071,151.8297,149.6407,150.0396,6520400
2025-05-12,147.8992,151.1487,147.082,149.9618,9023800
2025-05-13,147.5879,147.5879,144.066,144.4163,10549600
2025-05-14,144.6401,144.786,142.1592,142.3927,10216000
2025-05-15,143.9882,145.5935,143.3364,145.5546,7945800
2025-05-16,145.6129,147.3933,145.1751,147.228,8051200
2025-05-19,147.7728,148.5219,146.9556,148.3565,12639900
2025-05-20,148.2008,149.8645,147.9965,149.4948,7351500
2025-05-21,149.0375,150.2439,148.8527,149.0278,7032200
2025-05-22,148.5122,149.164,147.2669,148.4733,7535300
2025-05-23,148.8527,149.3197,148.0841,148.7943,6727300
2025-05-27,149.6578,151.1493,149.0788,150.3741,6990700
2025-05-28,150.4035,150.7568,149.0789,149.5695,8459300
2025-05-29,148.9022,151.1493,148.7158,150.6979,6810600
2025-05-30,151.0119,152.7879,150.3447,152.2973,15529700
2025-06-02,151.581,152.6211,149.4419,152.4837,6669300
2025-06-03,151.895,152.7389,151.1885,151.5221,8209800
2025-06-04,152.0226,152.0226,150.2563,150.3447,6983900
2025-06-05,150.796,151.1983,149.7755,150.7764,5295400
2025-06-06,151.11,153.1019,151.11,152.1207,5391500
2025-06-09,151.9441,153.0627,151.5516,152.3169,5319000
2025-06-10,152.5132,154.4855,152.1109,153.5141,6791600
2025-06-11,153.3669,153.6612,151.8263,152.3464,6016000
2025-06-12,153.308,153.7397,152.258,153.7201,7075500
2025-06-13,153.043,154.7111,153.043,154.1518,6587500
