date,open,high,low,close,volume
2025-03-14,223.5364,228.4556,223.0073,227.7697,11962100
2025-03-17,226.535,230.9348,225.8295,229.2297,9586000
2025-03-18,229.6119,231.4247,228.828,230.2488,10344900
2025-03-19,231.0034,237.461,230.1704,234.3056,10120600
2025-03-20,231.8069,236.9024,231.4541,234.2077,8328500
2025-03-21,233.0318,237.4315,231.7481,236.775,19326900
2025-03-24,240.5476,243.6932,239.4991,243.0758,9422700
2025-03-25,244.3007,246.7603,242.6446,246.0841,9287700
2025-03-26,247.5246,249.553,244.7613,245.9862,12779300
2025-03-27,244.5163,245.604,242.2135,243.1346,8022500
2025-03-28,241.9783,244.4967,236.2655,237.9705,11978400
2025-03-31,234.5996,240.92,232.5908,240.3713,13603000
2025-04-01,237.7451,240.7534,236.0401,238.7642,8054700
2025-04-02,236.7456,242.2821,236.6084,240.8808,7758800
2025-04-03,229.5629,230.4154,222.7329,224.095,17188500
2025-04-04,212.2834,214.6398,205.9931,207.3241,27170700
2025-04-07,202.8775,218.9287,199.3183,211.4256,22914400
2025-04-08,220.378,224.6373,210.2524,213.8215,19485700
2025-04-09,209.5129,234.1418,208.034,231.0459,24022400
2025-04-10,226.7669,227.112,217.0061,223.9175,18896400
2025-04-11,223.1288,235.2263,221.8372,232.8797,20284500
2025-04-14,233.7671,236.4094,230.3459,231.4205,13017800
2025-04-15,232.7812,235.2953,229.5473,229.8529,10912900
2025-04-16,228.7388,230.2966,224.726,226.3824,9322300
2025-04-17,227.5557,231.0459,227.3092,228.6994,9557900
2025-04-21,227.388,228.5515,223.1583,225.7711,8716200
2025-04-22,228.7191,232.6727,228.1177,232.2783,10701400
2025-04-23,236.8432,243.3209,236.6263,237.494,14126800
2025-04-24,236.37,242.0194,234.2404,241.2011,9055200
2025-04-25,241.211,242.1673,238.3517,240.1264,8588600
2025-04-28,241.1222,243.3702,237.4545,239.8011,7394300
2025-04-29,238.7856,241.8025,238.2926,241.1814,7216800
2025-04-30,237.8193,241.773,235.0784,241.1814,12991700
2025-05-01,239.4264,244.9575,238.7658,243.4195,8689600
2025-05-02,247.7281,250.0549,245.9534,248.9605,7165000
2025-05-05,247.6492,251.5733,247.0675,249.0098,5450700
2025-05-06,246.4858,249.0985,245.4998,245.7463,6369900
2025-05-07,246.3379,248.9013,245.3322,245.8844,8724100
2025-05-08,248.0337,252.2831,248.014,249.907,8320100
2025-05-09,250.9225,251.9183,248.7929,249.5225,5087600
2025-05-12,259.2044,259.8946,255.0635,256.3945,9603900
2025-05-13,257.3607,259.9636,256.7297,259.3129,8589000
2025-05-14,259.303,262.8919,258.603,261.9059,8643100
2025-05-15,263.2172,265.7314,261.0383,263.7299,9214600
2025-05-16,263.7398,264.6863,260.989,263.7989,8932900
2025-05-19,261.8172,264.5483,258.2481,261.1566,12145000
2025-05-20,258.8298,262.9116,258.6129,261.9453,8436300
2025-05-21,260.634,261.9158,257.0649,257.3706,7464000
2025-05-22,255.7931,258.6129,255.2311,257.0058,6514100
2025-05-23,253.2001,258.3072,252.4014,257.0452,6671800
2025-05-27,258.3565,261.5707,258.3072,261.5609,7506600
