date,open,high,low,close,volume
2025-03-14,14.7547,15.0224,14.7164,14.9937,18651700
2025-03-17,14.9937,15.185,14.8599,15.1085,11350900
2025-03-18,15.1563,15.2041,14.9842,15.1563,10329200
2025-03-19,15.1754,15.5292,15.0702,15.3475,9796700
2025-03-20,15.1467,15.5962,15.1467,15.3858,15328600
2025-03-21,15.2997,15.5579,15.1754,15.4432,57103900
2025-03-24,15.6344,15.9308,15.5866,15.8448,12006300
2025-03-25,15.8543,16.0169,15.7109,15.8448,14952800
2025-03-26,15.9308,16.1221,15.5675,15.6822,12792700
2025-03-27,15.6248,15.7396,15.3953,15.4623,13081200
2025-03-28,15.3953,15.5675,14.9555,15.1085,10180600
2025-03-31,14.8694,15.3571,14.7164,15.2902,14386800
2025-04-01,15.118,15.2328,14.9172,15.1085,11185100
2025-04-02,14.8503,15.3953,14.8503,15.3667,12591700
2025-04-03,14.5156,14.573,13.4542,13.502,20374000
2025-04-04,13.0048,13.0621,12.1728,12.8805,23358000
2025-04-07,12.5745,13.4351,12.2207,12.9187,36888500
2025-04-08,13.4064,13.6933,12.4215,12.651,35694000
2025-04-09,12.4023,14.1427,12.2398,13.8845,28765700
2025-04-10,13.4638,13.5116,12.6892,13.1386,19867700
2025-04-11,12.9665,13.1865,12.6318,13.1291,15718600
2025-04-14,13.4255,13.5881,13.2247,13.4446,18741900
2025-04-15,13.5211,13.961,13.502,13.6263,15071700
2025-04-16,13.502,13.8367,13.2821,13.4542,16943400
2025-04-17,13.8654,14.0853,13.5976,13.6454,19001500
2025-04-21,13.4351,13.5881,13.0813,13.1864,13122100
2025-04-22,13.3873,13.5785,13.2916,13.5498,17914200
2025-04-23,13.9897,14.4774,13.8271,13.8845,16244200
2025-04-24,13.8654,14.2766,13.7984,14.2192,8822700
2025-04-25,14.0566,14.2192,13.9897,14.0757,8052200
2025-04-28,14.0949,14.2861,14.0949,14.2192,10593900
2025-04-29,14.1331,14.3817,14.0088,14.2861,9756600
2025-04-30,13.9897,14.2287,13.808,14.1905,9494700
2025-05-01,14.1714,14.4582,14.0757,14.3339,9888900
2025-05-02,14.6208,14.8694,14.4774,14.812,12415200
2025-05-05,14.659,15.0989,14.6208,14.879,12782500
2025-05-06,14.6877,14.812,14.6017,14.6304,9606200
2025-05-07,14.7164,14.8025,14.4965,14.5634,11611000
2025-05-08,14.7355,14.9937,14.7355,14.8885,10822800
2025-05-09,14.9555,14.9555,14.7164,14.812,12402500
2025-05-12,15.577,15.883,15.4814,15.7396,15649600
2025-05-13,15.8352,15.9404,15.7109,15.8926,12244300
2025-05-14,15.8735,15.9404,15.797,15.8639,11046800
2025-05-15,15.7778,15.8735,15.6535,15.7587,9587500
2025-05-16,15.7874,15.9786,15.6248,15.9022,14471000
2025-05-19,15.7396,15.8735,15.6918,15.7683,10157900
2025-05-20,15.7109,15.8161,15.5579,15.577,10538700
2025-05-21,15.3858,15.4336,14.9077,14.9268,9809300
2025-05-22,14.8885,15.1085,14.812,15.0033,11195000
2025-05-23,14.6112,15.0415,14.6112,14.965,10025700
2025-05-27,15.2606,15.2799,14.9699,15.2703,12084800
2025-05-28,15.2799,15.5803,15.1055,15.2703,21884500
2025-05-29,15.3768,15.464,15.2412,15.4543,15588800
2025-05-30,15.3284,15.4059,15.1637,15.3671,16412800
2025-06-02,15.2993,15.3671,14.9893,15.309,10950400
2025-06-03,15.3187,15.6191,15.1637,15.5319,10399900
2025-06-04,15.5416,15.6288,15.3865,15.4059,9923000
2025-06-05,15.3962,15.5125,15.2412,15.4059,10979600
2025-06-06,15.7256,15.8419,15.5997,15.8225,8924000
2025-06-09,15.9291,15.9969,15.7644,15.7741,9965500
2025-06-10,15.7935,15.9194,15.7256,15.8419,9962700
2025-06-11,15.9873,15.9873,15.6578,15.7256,15996600
2025-06-12,15.6191,15.6675,15.3865,15.6094,10316200
2025-06-13,15.3671,15.4156,15.1055,15.1637,13459200
2025-06-16,15.4059,15.5997,15.309,15.435,10764200
2025-06-17,15.3381,15.4447,15.1734,15.2412,13936100
2025-06-18,15.2218,15.6481,15.1927,15.5125,14236300
2025-06-20,15.59,15.6966,15.5319,15.6578,14385500
2025-06-23,15.5125,15.9969,15.5125,15.9776,12262100
2025-06-24,16.1326,16.3651,16.0938,16.2295,17234400
2025-06-25,16.2101,16.2973,16.0938,16.2489,11935700
2025-06-26,16.3361,16.6752,16.2973,16.6171,12325100
2025-06-27,16.6267,16.7721,16.5299,16.6849,21123200
2025-06-30,16.8205,16.9562,16.7624,16.8787,24095000
2025-07-01,16.8496,17.4116,16.8012,17.3147,18865000
2025-07-02,17.2856,17.6635,17.2372,17.6344,18037900
2025-07-03,17.7991,17.9736,17.6441,17.8864,13695000
2025-07-07,17.741,17.9736,17.5279,17.7216,18626200
2025-07-08,18.1092,18.1092,17.8088,17.9057,24580200
2025-07-09,17.9832,18.148,17.8185,17.8864,16825400
2025-07-10,17.8185,18.0608,17.8185,17.9154,15971700
2025-07-11,17.7507,17.8573,17.6151,17.7604,14371400
2025-07-14,17.7507,17.8185,17.6054,17.7895,17225400
2025-07-15,17.6732,17.8379,17.305,17.3341,24816500
2025-07-16,17.4116,17.5085,17.0918,17.4116,24751100
2025-07-17,17.3341,17.8573,17.2953,17.7991,27655900
2025-07-18,17.8767,18.0026,17.7701,17.9251,33687900
2025-07-21,17.8863,18.0317,17.7119,17.7119,32000900
2025-07-22,17.9251,18.2255,17.5957,18.1286,40652200
2025-07-23,18.2255,18.3224,18.0317,18.2158,44310800
2025-07-24,18.2158,18.2158,17.8863,17.9251,37471000
2025-07-25,17.9251,18.0317,17.6635,17.9929,39231200
2025-07-28,17.9929,18.0511,17.7507,17.867,32397700
2025-07-29,18.0123,18.0511,17.7119,17.8185,34808600
2025-07-30,17.8476,17.9542,17.46,17.5957,43720200
2025-07-31,17.5472,17.6538,17.3244,17.3631,47085700
2025-08-01,17.0046,17.179,16.6461,17.1015,52086100
2025-08-04,17.15,17.3244,17.0821,17.2759,34804200
2025-08-05,17.3438,17.3631,16.9174,17.2565,37531700
2025-08-06,17.3341,17.3341,16.9271,16.9465,32012400
2025-08-07,17.1597,17.1597,16.7915,16.869,20231700
2025-08-08,17.0143,17.1015,16.8496,17.0628,16690800
2025-08-11,17.0821,17.15,16.8012,16.8302,17423700
2025-08-12,16.9465,17.3825,16.9465,17.3534,24622000
2025-08-13,17.46,17.6635,17.2856,17.6538,27662100
2025-08-14,17.5278,17.7507,17.3437,17.7313,24619700
2025-08-15,17.7895,17.7895,17.4794,17.4794,23017500
2025-08-18,17.4406,17.6151,17.4019,17.6151,20244500
2025-08-19,17.5763,17.741,17.4891,17.586,19541900
2025-08-20,17.586,17.7119,17.4116,17.6538,27083900
2025-08-21,17.586,17.6344,17.431,17.586,26286200
2025-08-22,17.7023,18.4871,17.6732,18.3902,37060900
2025-08-25,18.3902,18.4774,18.2642,18.4289,26873500
2025-08-26,18.3805,18.7099,18.3611,18.7002,26738300
2025-08-27,18.6227,18.8456,18.6034,18.7874,24172500
2025-08-28,18.8747,18.8747,18.6421,18.7487,22487800
2025-08-29,18.8068,18.894,18.6906,18.7584,21339900
2025-09-02,18.5674,18.7045,18.3618,18.5674,22708900
2025-09-03,18.4989,18.7339,18.303,18.5576,27617100
2025-09-04,18.636,18.8318,18.5087,18.7829,25628000
2025-09-05,18.8612,18.92,18.3422,18.5478,32355900
2025-09-08,18.5576,18.7927,18.2638,18.7535,53265100
2025-09-09,18.7339,19.0081,18.5772,18.7045,32948300
2025-09-10,18.7241,18.92,18.6556,18.8318,26802300
2025-09-11,18.871,18.9493,18.6947,18.7633,25646700
2025-09-12,18.7437,18.7829,18.6164,18.6653,23206500
2025-09-15,18.7339,18.7535,18.3814,18.4499,32455100
2025-09-16,18.4695,18.4793,18.019,18.2443,34792400
2025-09-17,18.2834,18.6262,18.0974,18.3226,29317400
2025-09-18,18.4009,18.7535,18.2345,18.7339,32893500
2025-09-19,18.7633,18.8025,18.5772,18.6849,43884200
2025-09-22,18.5282,18.6458,18.254,18.3324,16940400
2025-09-23,18.4205,18.6849,18.3128,18.352,22698500
2025-09-24,18.4107,18.5674,18.1855,18.3814,26364000
2025-09-25,18.2736,18.5087,18.1561,18.4205,25725400
2025-09-26,18.4891,18.6947,18.4107,18.4989,21600100
2025-09-29,18.5576,18.6849,18.2443,18.4891,27699000
2025-09-30,18.5478,18.6066,17.9211,18.303,30421800
2025-10-01,18.2443,18.2932,17.9896,18.1267,25284900
2025-10-02,18.1072,18.1757,17.9015,18.068,19987100
2025-10-03,18.2247,18.3814,18.1169,18.2443,21806700
2025-10-06,18.3618,18.6458,17.9701,18.1561,29963300
2025-10-07,18.2247,18.303,18.0092,18.0288,29621900
2025-10-08,18.1169,18.1169,17.6665,17.7154,26505700
2025-10-09,17.784,17.9113,17.6371,17.8036,32344600
2025-10-10,17.8525,17.8819,16.8243,16.8439,23313100
2025-10-13,17.1083,17.2943,16.9908,17.1964,21474400
2025-10-14,17.1083,17.8427,17.1083,17.6371,26657400
2025-10-15,17.784,17.8232,17.2552,17.3629,24169400
2025-10-16,16.8145,17.265,16.129,16.4326,43809100
2025-10-17,16.7068,16.7166,16.4424,16.6088,20553900
2025-10-20,16.7166,17.0691,16.6676,17.0201,20069900
2025-10-21,16.9908,17.3041,16.9516,17.1768,15170500
2025-10-22,17.2748,17.3531,17.0495,17.1083,15941100
2025-10-23,17.2258,17.2454,17.0691,17.1572,11098100
2025-10-24,17.3335,17.549,17.3237,17.451,10623500
2025-10-27,17.5294,17.5294,17.1474,17.2454,19236300
2025-10-28,17.2356,17.2748,17.0397,17.2258,13525500
2025-10-29,17.1572,17.3335,16.932,17.0397,17835200
2025-10-30,17.0299,17.4412,17.0299,17.1474,11796800
2025-10-31,17.0593,17.2943,16.9418,17.2258,13758900
2025-11-03,17.1376,17.1866,16.9516,17.1768,14899800
2025-11-04,16.9516,17.167,16.8634,16.9516,30829900
2025-11-05,16.9614,17.1768,16.8145,17.1572,22150900
2025-11-06,17.1279,17.3335,17.0201,17.2258,23023900
2025-11-07,17.1572,17.7056,17.0887,17.7056,23789800
2025-11-10,17.7938,17.9798,17.6175,17.7448,17118500
2025-11-11,17.7742,17.8623,17.6175,17.7056,10471000
2025-11-12,17.784,18.0876,17.3629,17.4314,29956200
2025-11-13,17.3727,17.5587,17.216,17.2552,17425800
2025-11-14,17.167,17.265,16.9614,17.2552,18339600
2025-11-17,17.2062,17.2258,16.6088,16.7655,21035000
2025-11-18,16.697,17.0397,16.5599,16.8341,18784100
2025-11-19,16.8732,17.0397,16.8243,16.9908,14732500
2025-11-20,17.1376,17.4608,16.8634,16.9222,18931100
2025-11-21,17.0201,17.6175,16.9516,17.451,16316000
2025-11-24,17.451,17.6175,17.4021,17.5196,19662600
2025-11-25,17.6273,18.0582,17.6175,17.9896,14223300
2025-11-26,17.9896,18.2051,17.9407,18.019,10410100
2025-11-28,18.0288,18.1267,17.9896,17.9994,4701400
2025-12-01,17.9603,18.2932,17.9309,18.2345,13897600
2025-12-02,18.3483,18.3681,18.081,18.1008,12244900
2025-12-03,18.1107,18.5761,18.0909,18.5662,15502500
2025-12-04,18.5662,18.9623,18.5563,18.9226,16615200
2025-12-05,18.9325,19.5366,18.9325,19.0712,40222100
2025-12-08,19.1405,19.3484,19.1009,19.1999,20917100
2025-12-09,19.3583,20.1307,19.2989,19.7841,32497700
2025-12-10,19.8732,20.4674,19.7445,20.3188,19497800
2025-12-11,20.2792,20.6159,20.2297,20.4872,14343600
2025-12-12,20.5763,20.6357,20.299,20.4575,17219400
2025-12-15,20.6753,20.6753,20.2396,20.2594,18204900
2025-12-16,20.3584,20.4773,20.1901,20.3782,18774900
2025-12-17,20.4178,20.6852,20.4178,20.5961,16295300
2025-12-18,20.6951,20.9129,20.6456,20.7347,16179500
2025-12-19,20.7545,20.8733,20.6357,20.7743,13382300
2025-12-22,20.7941,21.0021,20.7743,21.0021,8342600
2025-12-23,21.012,21.0417,20.8337,20.8436,8420000
2025-12-24,20.8436,21.0021,20.7842,20.9327,4598700
2025-12-26,20.9426,21.0417,20.8634,20.9823,7615800
2025-12-29,20.9129,21.0021,20.7347,20.7644,8287300
2025-12-30,20.7842,20.8238,20.5169,20.5268,8370800
2025-12-31,20.5961,20.6159,20.4178,20.4376,8600700
2026-01-02,20.4277,20.8733,20.2891,20.7743,16134600
2026-01-05,20.8139,21.5269,20.7644,21.1605,18853500
2026-01-06,20.9228,21.3981,20.9228,21.3585,17231500
2026-01-07,21.309,21.3783,21.012,21.0912,14569500
2026-01-08,21.0714,21.5368,21.0417,21.2892,14469600
2026-01-09,21.2991,21.4278,20.9823,20.9823,13452800
2026-01-12,20.8931,21.0318,20.7248,20.8634,19906700
2026-01-13,20.9327,21.012,20.606,20.6456,14901000
2026-01-14,20.5565,20.8733,20.3584,20.7446,16471900
2026-01-15,20.9327,21.111,20.8238,21.0219,11903100
2026-01-16,20.9823,21.2001,20.8337,20.9625,15102500
2026-01-20,20.3584,21.3585,19.9723,20.8832,22525200
2026-01-21,20.9624,21.6457,20.9426,21.4774,19251000
2026-01-22,21.4873,21.8536,21.3486,21.3585,16150500
2026-01-23,21.2595,21.2991,20.8634,20.8931,14994200
2026-01-26,20.9724,21.1803,20.8535,21.0813,15386700
2026-01-27,21.1704,21.2694,21.012,21.2496,14301600
2026-01-28,21.1011,21.2595,20.8832,21.1011,19721400
2026-01-29,21.2199,21.4774,21.1308,21.4179,16627300
2026-01-30,21.2793,21.5665,21.1407,21.309,13710500
2026-02-02,21.3288,21.814,21.2298,21.7843,15457600
2026-02-03,21.8437,22.2398,21.8041,22.121,17913900
2026-02-04,22.1408,22.6854,22.1408,22.4279,21048600
2026-02-05,22.2794,22.5369,22.0814,22.4775,15453300
2026-02-06,22.626,23.0617,22.6161,22.9824,15101300
2026-02-09,22.7547,23.1211,22.7547,22.7844,11993700
2026-02-10,22.7448,23.032,22.4378,22.7151,11440300
2026-02-11,22.824,23.0716,22.1903,22.319,11943300
2026-02-12,22.4081,22.6062,21.2892,21.5467,16633000
2026-02-13,21.3882,21.6061,21.1803,21.4873,15379800
2026-02-17,21.6754,21.8635,21.3981,21.4774,13212200
2026-02-18,21.5665,21.9328,21.4873,21.7249,14429400
2026-02-19,21.5863,21.715,21.3486,21.5764,16041900
2026-02-20,21.5863,22.3982,21.2892,21.9824,39766600
2026-02-23,21.8635,22.22,20.6456,20.804,25544300
2026-02-24,20.8139,21.0219,20.398,20.7941,18017200
2026-02-25,21.0219,21.2595,20.7842,21.2595,11430400
2026-02-26,21.3684,21.8536,21.3189,21.6457,14622400
2026-02-27,21.2199,21.3684,20.2792,20.5367,27546900
2026-03-02,20.4475,20.8634,20.101,20.705,11736800
2026-03-03,20.25,20.71,20.05,20.47,15336600
2026-03-04,20.62,20.75,20.39,20.71,14238400
2026-03-05,20.51,20.65,20.14,20.37,11926200
2026-03-06,19.8,19.92,19.32,19.86,20056800
2026-03-09,19.49,19.76,18.97,19.69,20104700
2026-03-10,19.71,20.17,19.41,19.76,18753900
2026-03-11,19.78,19.85,19.37,19.65,17538700
2026-03-12,19.2,19.35,19.05,19.22,17049200
2026-03-13,19.34,19.48,18.84,18.9,23402800
2026-03-16,19.14,19.29,18.95,18.96,20130100
2026-03-17,19.17,19.31,19.04,19.1,16113600
2026-03-18,19.03,19.34,19.01,19.07,15707400
2026-03-19,18.98,19.41,18.73,19.28,18888400
2026-03-20,19.29,19.44,19.155,19.41,26171066
