date,open,high,low,close,volume
2025-03-14,150.0,152.2,147.99,152.03,758400
2025-03-17,151.58,155.29,150.765,154.24,584700
2025-03-18,153.06,153.77,152.01,152.73,664800
2025-03-19,153.33,157.55,152.993,155.47,946800
2025-03-20,154.17,156.75,154.17,155.13,714400
2025-03-21,154.04,155.0,152.17,154.56,1244100
2025-03-24,157.14,159.24,156.665,158.72,737400
2025-03-25,158.14,159.57,156.96,158.47,657900
2025-03-26,158.69,159.101,155.43,156.4,566000
2025-03-27,155.79,156.35,152.885,155.15,742500
2025-03-28,154.29,155.0,149.53,150.33,767600
2025-03-31,147.17,150.74,143.98,149.77,1442400
2025-04-01,149.58,151.38,148.03,150.04,635500
2025-04-02,148.01,152.58,147.945,151.71,819100
2025-04-03,146.31,146.31,134.218,135.73,1319600
2025-04-04,132.34,133.77,123.9,127.02,2107000
2025-04-07,124.0,134.9,121.43,129.89,1801100
2025-04-08,134.76,135.96,125.01,127.96,1221500
2025-04-09,127.17,143.77,126.04,142.5,2011200
2025-04-10,137.325,137.68,129.26,133.41,1364600
2025-04-11,131.75,134.45,129.295,133.59,1591000
2025-04-14,138.23,138.4,134.83,136.39,1322600
2025-04-15,136.51,139.08,136.195,136.89,709100
2025-04-16,134.66,136.525,132.63,134.79,1016400
2025-04-17,135.69,136.945,134.79,135.46,707800
2025-04-21,133.2,133.832,129.878,131.88,778400
2025-04-22,133.71,135.97,133.33,135.11,708000
2025-04-23,141.54,143.74,136.825,137.29,911900
2025-04-24,138.66,144.17,137.09,143.79,1825600
2025-04-25,143.37,144.17,141.8,144.01,802100
2025-04-28,143.47,145.22,141.68,143.94,734800
2025-04-29,143.19,145.46,142.825,144.55,646400
2025-04-30,141.67,145.98,140.727,145.4,1122000
2025-05-01,146.31,147.535,144.86,145.54,920400
2025-05-02,148.49,150.27,147.56,148.52,979400
2025-05-05,147.06,148.585,146.625,147.29,715800
2025-05-06,145.56,147.55,145.505,146.54,563600
2025-05-07,146.63,149.75,146.23,149.55,963500
2025-05-08,151.5,154.08,150.52,152.24,830100
2025-05-09,153.77,154.51,152.52,154.12,784500
2025-05-12,161.395,162.93,160.47,162.63,1062600
2025-05-13,163.47,165.965,162.95,165.06,781500
2025-05-14,164.54,165.65,163.47,164.46,847400
2025-05-15,163.39,164.94,163.0,164.78,704300
2025-05-16,164.53,165.85,163.86,165.4,810900
2025-05-19,162.09,163.58,162.09,162.77,1042400
2025-05-20,161.42,163.7,160.4,162.8,1839900
2025-05-21,171.6,174.98,161.51,162.47,2412400
2025-05-22,162.18,162.72,159.79,161.74,1158100
2025-05-23,158.44,160.63,157.85,160.03,874700
2025-05-27,162.31,162.79,160.82,162.26,795900
2025-05-28,162.41,162.7,157.85,158.54,1315400
2025-05-29,159.98,160.297,157.46,158.66,973600
