date,open,high,low,close,volume
2025-03-14,684.778,708.3692,684.778,707.6348,1142600
2025-03-17,700.4295,718.7506,700.2211,712.885,976200
2025-03-18,706.5431,707.4363,692.8072,704.6573,950700
2025-03-19,704.6573,724.5763,699.6453,714.1949,753300
2025-03-20,703.4863,714.2447,702.3548,711.0688,629400
2025-03-21,697.0252,704.042,687.1501,701.1738,2454800
2025-03-24,717.2717,729.6082,711.0092,722.2539,730200
2025-03-25,719.1673,721.6981,713.3216,716.4182,498700
2025-03-26,716.0609,718.7207,693.5516,700.2309,734600
2025-03-27,695.08,701.809,686.7929,694.7327,735100
2025-03-28,680.2126,688.9464,662.1595,668.5312,989500
2025-03-31,667.9258,676.0145,650.488,674.6845,1165400
2025-04-01,668.9282,677.662,657.1972,677.3246,669400
2025-04-02,662.2687,690.3855,662.2687,681.0265,791100
2025-04-03,647.3022,651.9767,615.6025,616.1484,1525300
2025-04-04,588.0812,595.4851,555.5479,572.1918,2072800
2025-04-07,562.3861,628.0085,547.1813,600.0703,2996100
2025-04-08,621.2894,639.412,582.3943,594.9987,2719800
2025-04-09,600.3184,716.4082,592.855,698.0176,3447900
2025-04-10,659.8967,675.5679,623.7606,651.8179,2676100
2025-04-11,641.9528,671.6377,630.3012,665.1767,1361800
2025-04-14,676.3718,679.1507,654.4877,664.9285,987000
2025-04-15,664.3828,676.9773,659.996,671.1217,790400
2025-04-16,633.4473,654.0907,614.6498,637.3576,2020800
2025-04-17,644.1462,644.3049,626.8672,629.656,1224100
2025-04-21,618.7388,622.4903,603.1271,616.1285,1346100
2025-04-22,621.9743,635.0352,621.1405,631.5715,1372400
2025-04-23,659.2417,667.6381,647.9672,652.1653,945100
2025-04-24,669.0374,685.3736,659.202,684.2322,1304000
2025-04-25,674.8831,695.0402,673.8112,689.3831,631600
2025-04-28,682.5252,693.8791,673.9402,688.4998,736000
2025-04-29,678.4858,690.1175,676.61,682.7733,726100
2025-04-30,671.9057,699.685,669.1267,697.4023,1172300
2025-05-01,684.0138,687.8249,669.6825,671.2208,1463500
2025-05-02,689.0259,702.5136,687.6959,692.9064,851800
2025-05-05,685.8201,696.3304,681.9494,688.073,811900
2025-05-06,675.7366,684.8078,672.5111,674.3074,905400
2025-05-07,675.3694,691.2192,670.1887,689.1251,962800
2025-05-08,698.0275,705.1535,687.5867,698.0375,906900
2025-05-09,700.8264,705.9476,691.4872,695.9236,955000
2025-05-12,739.394,757.06,736.0295,754.7476,2110300
2025-05-13,754.2811,792.0151,749.9639,789.911,1804800
2025-05-14,780.8298,799.3296,780.8298,798.9425,1171400
2025-05-15,791.2706,804.5102,789.5834,799.9349,1129800
2025-05-16,801.0565,801.0565,778.1799,785.2166,1132000
2025-05-19,776.6807,785.5151,771.0398,782.9682,1142000
2025-05-20,775.6261,786.7984,773.1887,786.2313,949200
2025-05-21,774.3228,795.6128,771.1989,774.9396,1236700
2025-05-22,762.5237,777.7451,758.0866,763.5683,682500
2025-05-23,743.9098,757.1912,741.0446,753.2814,941900
2025-05-27,770.7314,788.1116,764.6527,785.0076,1292500
2025-05-28,785.0076,792.2104,772.2037,773.507,905700
2025-05-29,788.9075,790.7182,764.7323,769.9951,932300
2025-05-30,768.8113,769.5773,736.6373,752.9929,1717700
2025-06-02,748.5359,760.723,748.0982,758.5244,864600
2025-06-03,758.1363,775.5863,752.4557,771.8057,943200
2025-06-04,777.6059,782.8886,769.627,778.0735,839500
2025-06-05,784.361,792.4194,773.4274,787.8231,1618900
2025-06-06,797.1251,809.7897,795.6627,803.8504,996300
2025-06-09,806.835,830.7117,806.835,825.031,1529800
2025-06-10,825.031,852.7579,822.514,852.1909,1515500
2025-06-11,860.6372,869.0438,854.3894,867.5217,1650400
2025-06-12,862.0499,874.6449,862.0499,870.5063,1091700
2025-06-13,854.5885,871.9489,852.5391,863.2139,1832200
2025-06-16,871.5011,888.7222,871.1231,887.797,1619400
2025-06-17,885.4292,910.1317,883.1609,888.4138,1334000
2025-06-18,890.2941,893.5374,862.8558,866.686,1431500
2025-06-20,879.291,879.291,830.5625,845.6347,2347800
2025-06-23,848.5397,855.2053,836.86,851.8824,1427700
2025-06-24,866.7656,885.9964,865.0943,884.4643,1145100
