date,open,high,low,close,volume
2025-03-14,133.2057,134.2971,132.9185,133.694,1324100
2025-03-17,133.7706,134.4695,132.928,133.9525,1469900
2025-03-18,133.9333,134.9961,132.8897,133.5887,1661900
2025-03-19,133.4355,133.962,132.5163,133.7035,1716800
2025-03-20,133.4067,133.7514,131.2047,133.1578,1665400
2025-03-21,133.1578,134.3163,131.5877,132.7653,7442700
2025-03-24,132.4206,133.2727,131.2621,131.9515,1979700
2025-03-25,131.8844,131.894,130.1994,131.1568,1801000
2025-03-26,131.4249,133.9716,131.3962,133.6653,2209900
2025-03-27,134.6514,135.0344,133.5504,134.5748,1052600
2025-03-28,136.0396,136.5279,134.0578,134.7184,1227300
2025-03-31,135.2546,136.662,135.0631,136.1641,1974100
2025-04-01,136.7768,137.3992,135.9726,136.9396,1725400
2025-04-02,136.8822,137.629,135.5322,136.8151,1845500
2025-04-03,138.8257,140.8555,138.2896,139.0364,2384900
2025-04-04,139.6108,140.7406,131.7887,132.0376,2554900
2025-04-07,129.4143,132.2196,127.7293,128.8111,2827200
2025-04-08,130.7738,130.86,126.6091,127.6048,2543100
2025-04-09,126.2357,131.7887,125.9197,129.3952,2436400
2025-04-10,129.5962,132.928,129.0601,131.6355,2281800
2025-04-11,130.8887,134.728,130.1802,133.8089,1721600
2025-04-14,133.8759,136.7769,132.7366,136.4896,1676800
2025-04-15,136.1737,136.9684,135.3503,135.4461,1855700
2025-04-16,136.0971,136.5662,133.445,133.7514,2004900
2025-04-17,134.4503,137.3322,134.2493,136.729,2108300
2025-04-21,137.3417,137.3896,132.7748,134.1057,2615600
2025-04-22,127.4133,132.4876,127.3367,132.0472,3834600
2025-04-23,129.7494,130.7547,125.5368,127.7197,4583400
2025-04-24,127.3463,127.6431,126.0442,126.7048,2709000
2025-04-25,127.2984,127.5569,124.3113,126.0059,2627000
2025-04-28,126.1208,126.3793,125.0963,125.3261,1746400
2025-04-29,124.5889,125.4889,122.7698,124.991,1964200
2025-04-30,125.9963,126.3793,123.6602,126.1687,2928800
2025-05-01,124.7996,125.4219,123.0283,124.34,1965600
2025-05-02,124.8187,125.9963,123.756,124.7996,2258400
2025-05-05,125.6517,125.9484,124.6942,125.3261,1459500
2025-05-06,124.991,127.6814,124.2347,127.1165,3014000
2025-05-07,126.858,128.7058,126.6665,127.9016,2953500
2025-05-08,128.0643,129.1367,127.4037,127.8537,2165900
2025-05-09,127.509,128.7633,127.1835,127.3846,1864200
2025-05-12,126.7623,130.9653,126.3889,130.8504,3112800
2025-05-13,130.1036,130.3622,127.0782,128.3228,3058800
2025-05-14,127.9016,128.4473,126.9346,127.825,2139300
2025-05-15,128.7346,131.6164,127.959,131.5015,2625800
2025-05-16,131.7983,133.4163,131.2047,133.1482,2310000
2025-05-19,135.0918,137.1598,133.7036,134.795,3259500
2025-05-20,134.7663,135.695,134.3737,135.5992,2421600
2025-05-21,134.8716,136.3077,134.6705,135.0631,2475800
2025-05-22,134.4982,134.4982,132.4398,133.7993,2743800
2025-05-23,134.1248,135.6184,132.1812,135.5226,2582900
2025-05-27,135.6088,136.9875,135.1397,136.7673,2594100
2025-05-28,136.8822,137.7439,136.2407,136.6045,1748600
2025-05-29,136.1641,138.1651,135.5514,137.7151,1716200
2025-05-30,136.9683,138.0885,136.9683,137.6385,3382800
2025-06-02,137.4854,137.4854,135.1301,135.6471,2048300
2025-06-03,134.9386,135.0152,133.5216,133.5599,1937300
2025-06-04,133.5025,134.412,132.3919,132.5355,2047300
2025-06-05,130.927,131.0515,127.5474,129.5388,3515400
2025-06-06,129.6548,130.2056,128.7753,129.0652,2576800
2025-06-09,129.0652,129.7417,128.1858,128.2341,2008100
2025-06-10,128.0602,129.2875,127.7412,128.5724,1891800
2025-06-11,128.5434,129.1329,127.9345,128.3887,1680000
2025-06-12,128.7656,129.4228,128.0698,129.3938,1551700
2025-06-13,129.2682,129.5001,126.1853,126.4462,1837800
2025-06-16,126.6878,127.403,126.0307,126.2819,1989200
2025-06-17,125.9244,125.963,124.4651,124.6004,2883000
2025-06-18,124.5231,124.8323,123.4697,123.6629,3088900
2025-06-20,123.663,124.5037,123.4503,123.9819,5306900
2025-06-23,124.0012,126.0983,123.8369,125.7601,3205900
2025-06-24,125.5765,125.9534,125.1029,125.5861,2760900
2025-06-25,125.3155,125.3928,123.4697,123.8466,1820300
2025-06-26,124.0109,124.2428,122.0587,122.5806,2369300
2025-06-27,122.6192,124.2138,122.6192,123.5953,1950900
2025-06-30,123.576,124.9483,123.3923,124.5907,2172600
2025-07-01,125.2962,128.0408,124.9579,127.1904,2829800
2025-07-02,127.3063,128.0311,126.5139,127.9152,2137900
