date,open,high,low,close,volume
2025-03-14,66.5799,67.3088,66.4536,67.2116,14205100
2025-03-17,67.2894,68.1932,67.1339,68.1446,15634800
2025-03-18,68.1349,68.2126,67.3477,67.4254,12657600
2025-03-19,66.6188,67.4254,66.6091,67.3282,14780000
2025-03-20,67.3574,67.8433,67.1436,67.7461,16295300
2025-03-21,67.7461,67.9988,66.2592,66.7354,47479500
2025-03-24,66.8618,67.1339,66.405,67.0075,12575400
2025-03-25,67.0075,67.1339,66.6674,66.8715,12513900
2025-03-26,66.9784,68.3681,66.959,68.0474,14478200
2025-03-27,68.2029,68.9901,68.096,68.7471,11663400
2025-03-28,68.8151,69.3108,67.5712,68.3875,17412900
2025-03-31,68.7374,69.9133,68.5042,69.6023,24016900
2025-04-01,69.6606,69.8842,69.1844,69.8453,15309100
2025-04-02,69.9327,70.3215,69.0484,69.3205,14606500
2025-04-03,70.4381,71.8667,70.2826,71.1184,24959600
2025-04-04,70.3798,70.9532,67.8239,67.9599,26517300
2025-04-07,64.3642,67.4254,64.1892,66.4439,34258400
2025-04-08,67.0173,68.0085,65.8511,66.4925,22774400
2025-04-09,66.0066,68.4847,65.3846,67.9794,27918700
2025-04-10,68.2126,69.2039,67.0367,68.7665,22450200
2025-04-11,68.9123,69.8258,68.5527,69.4177,19988200
2025-04-14,69.2913,70.613,68.9318,70.4089,13930200
2025-04-15,70.5742,70.5839,69.6995,69.8356,14965500
2025-04-16,70.3215,70.6227,69.3788,69.6606,15276200
2025-04-17,69.8744,71.3613,69.6995,70.9434,20754500
2025-04-21,71.3127,71.4002,69.7967,70.7199,16037200
2025-04-22,70.9435,72.2846,70.8657,71.8181,15613500
2025-04-23,71.2253,71.8667,70.3409,71.235,16353900
2025-04-24,70.9629,71.3613,70.2632,70.477,16893900
2025-04-25,70.6033,70.8657,69.1261,69.8842,16316000
2025-04-28,70.0494,70.2243,69.3011,69.7675,15997500
2025-04-29,69.1844,70.6616,68.3001,70.3118,16244100
2025-04-30,71.2836,71.4099,69.6703,70.5061,21074700
2025-05-01,69.9716,70.0105,69.2233,69.2816,18034200
2025-05-02,69.4857,69.7967,69.097,69.6315,12629600
2025-05-05,69.6509,69.7773,69.0095,69.6801,11932700
2025-05-06,69.6606,69.8744,69.1553,69.6995,12705500
2025-05-07,69.6995,70.6422,69.6509,70.3604,15018200
2025-05-08,70.166,70.4284,69.1261,69.165,14371100
2025-05-09,68.9901,69.1456,68.475,68.5333,11228900
2025-05-12,68.1737,68.3487,66.7646,67.5712,21539000
2025-05-13,67.6295,67.7267,66.9298,67.0173,14389100
2025-05-14,66.9395,67.3865,66.648,67.2116,16286800
2025-05-15,67.7364,69.7092,67.6392,69.5926,19817100
2025-05-16,69.8356,70.2243,69.4177,69.9716,18441200
2025-05-19,70.0008,70.1368,69.6218,69.9036,13282800
2025-05-20,69.7773,70.0979,69.4177,69.6703,12137800
2025-05-21,69.6704,70.0494,69.5635,69.8258,12094400
2025-05-22,69.8161,69.9619,68.9609,69.1358,11101800
2025-05-23,69.5246,69.9522,68.6985,69.7481,12822100
2025-05-27,69.7189,70.1854,69.544,69.7578,10666100
2025-05-28,69.6801,69.8744,69.0484,69.1456,8710900
2025-05-29,68.9998,69.6412,68.475,69.476,10291100
2025-05-30,69.5926,70.4284,69.5926,70.0688,28019500
2025-06-02,70.0008,70.0105,69.3496,69.9716,10202700
2025-06-03,69.6898,69.7578,68.4847,69.1553,20139800
2025-06-04,69.2525,69.8258,68.6888,69.3594,13565900
2025-06-05,69.3691,69.4468,68.8346,68.9123,13531400
2025-06-06,69.0775,69.4663,68.9415,69.3399,9524000
2025-06-09,69.3399,69.8064,69.0872,69.7481,12281300
2025-06-10,69.8744,70.6422,69.7384,70.3118,12265000
2025-06-11,70.234,70.3215,69.7384,70.0396,12718500
2025-06-12,70.2146,70.3603,69.5829,70.2048,12806900
2025-06-13,70.244,70.3517,69.2261,69.5099,17467200
2025-06-16,69.6861,70.0972,68.7465,69.0206,15045900
2025-06-17,68.8836,68.9619,68.1006,68.1397,15437000
2025-06-18,68.5116,68.5116,67.621,67.7384,16227600
2025-06-20,67.621,68.081,67.3176,67.3763,40859400
2025-06-23,67.6699,68.3257,67.5035,68.2572,21822800
2025-06-24,68.4529,68.8542,68.2082,68.7172,15216100
2025-06-25,68.4431,68.5312,67.9538,68.1495,12540400
2025-06-26,68.218,68.4333,67.6797,67.9929,14454100
2025-06-27,68.1104,69.0597,67.9929,68.8346,23470700
2025-06-30,68.6389,69.2848,68.5997,69.2457,15429000
2025-07-01,69.4806,70.9095,69.3925,70.1461,21729300
2025-07-02,70.1657,70.3027,69.2359,69.4023,13050200
2025-07-03,69.5295,69.8819,68.9521,69.8329,9440500
2025-07-07,69.8525,69.8525,69.2946,69.5002,16984700
2025-07-08,69.1772,69.1772,68.3942,68.7465,17115500
2025-07-09,68.6682,68.7563,67.5035,68.0027,33704100
2025-07-10,67.8167,68.3648,67.6895,68.2865,14608400
2025-07-11,68.0908,68.6682,67.7776,68.3844,12916700
2025-07-14,68.3159,68.5899,67.7972,67.9929,13983200
2025-07-15,68.0321,68.0712,67.6797,67.8852,12639800
2025-07-16,67.8755,68.0223,67.3274,67.7972,13178300
2025-07-17,68.3257,69.187,68.0321,69.0891,20464700
2025-07-18,68.9423,69.1968,68.3453,68.3648,14928000
2025-07-21,68.6976,69.1185,68.4431,68.5801,17811700
2025-07-22,67.9733,68.7661,67.2295,68.1789,22339900
2025-07-23,68.1789,68.2572,67.1414,67.6895,21030000
2025-07-24,67.7874,68.0712,67.5231,67.6308,12511400
2025-07-25,67.6601,67.758,67.2882,67.6993,12574800
2025-07-28,67.2784,67.435,66.6129,66.6422,13668800
2025-07-29,66.8869,67.944,66.701,67.9048,16223400
2025-07-30,67.6406,67.8559,67.0729,67.2882,10448200
2025-07-31,66.701,67.1903,66.2997,66.4465,17193400
2025-08-01,67.1414,67.5721,66.8184,67.3959,16107500
2025-08-04,67.2588,67.6112,66.8576,67.4937,10701500
2025-08-05,67.435,68.0125,67.2882,67.5818,11993400
2025-08-06,67.6504,68.3159,67.1708,68.0321,10783000
2025-08-07,67.9831,69.2163,67.8559,68.9325,15790800
2025-08-08,68.864,69.3631,68.5899,68.8444,9232700
2025-08-11,68.8053,69.3534,68.4725,69.2457,10909400
2025-08-12,69.3142,69.5491,68.727,69.2065,11061100
2025-08-13,69.187,69.2653,68.7368,68.9619,10356500
2025-08-14,68.8836,68.9619,67.9146,68.0712,10722400
2025-08-15,68.2572,68.8933,68.0908,68.4333,12381100
2025-08-18,68.4921,68.5606,67.5818,67.6601,14094900
2025-08-19,67.8265,68.727,67.7678,68.6389,13862200
2025-08-20,69.2359,70.1853,68.9129,69.1968,17530800
2025-08-21,69.0989,69.4023,68.8346,69.1576,8840400
2025-08-22,69.4512,69.5099,68.4333,68.6389,12999600
2025-08-25,68.6193,68.7367,67.2589,67.4644,13634600
2025-08-26,67.5721,67.6112,67.1218,67.2686,17964200
2025-08-27,67.3567,67.4057,67.0142,67.3665,11562700
2025-08-28,67.4154,67.435,66.8282,66.9065,16209900
