date,open,high,low,close,volume
2025-03-14,232.405,237.3519,231.4156,236.9858,615900
2025-03-17,236.9067,239.2614,236.4516,237.8763,375300
2025-03-18,238.1137,240.0727,234.6014,237.1342,571800
2025-03-19,234.176,238.1929,229.6446,237.1738,695700
2025-03-20,236.6593,236.9858,232.7414,233.2756,478400
2025-03-21,232.1972,233.9187,229.8821,231.7223,851200
2025-03-24,233.3944,234.3442,231.6234,233.9286,519700
2025-03-25,234.5915,237.5695,230.0206,231.9597,637700
2025-03-26,232.5039,234.2452,230.5944,230.8615,423800
2025-03-27,231.0891,231.8707,228.6058,229.2093,570900
2025-03-28,229.2093,230.9704,226.2807,227.5768,479800
2025-03-31,227.4779,232.128,225.6871,230.2679,1081500
2025-04-01,229.4962,232.3061,227.6857,230.1789,686900
2025-04-02,230.7131,234.7795,229.1895,233.8594,776700
2025-04-03,232.3654,235.8579,230.0404,230.9803,1123400
2025-04-04,229.0411,231.2573,219.919,222.6102,1424200
2025-04-07,218.524,226.5182,214.0718,221.1261,1037900
2025-04-08,226.7458,227.0525,212.38,215.3679,996000
2025-04-09,211.816,228.6256,211.7171,228.032,929400
2025-04-10,226.2313,226.4885,210.2231,216.288,2023100
2025-04-11,215.8329,219.2265,210.8365,219.1077,1031700
2025-04-14,221.2943,227.0623,220.948,225.6178,900100
2025-04-15,226.5973,226.5973,221.5515,223.6193,591800
2025-04-16,224.114,224.5196,216.6936,218.2272,702900
2025-04-17,216.9212,218.0689,214.6159,214.8138,762200
2025-04-21,214.0026,214.0026,207.1561,209.9659,741000
2025-04-22,213.4782,218.5141,211.7468,217.9106,884600
2025-04-23,220.1268,225.3705,218.7318,221.7593,635500
2025-04-24,221.6208,226.2412,220.018,226.1521,845000
2025-04-25,225.608,226.8051,224.0942,225.885,907300
2025-04-28,226.9139,228.5563,224.7076,227.1613,983800
2025-04-29,219.5035,239.3801,216.4364,237.8664,2268400
2025-04-30,236.7781,238.9349,231.6729,238.4501,987100
2025-05-01,235.8282,240.5377,233.3053,238.7172,837300
2025-05-02,241.8832,246.0782,240.7454,245.0294,854900
2025-05-05,244.9998,246.6718,243.3376,244.1984,677700
2025-05-06,242.4472,244.2676,240.7553,241.3292,702900
